Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","1997","225.30","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","1998","205.57","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","1999","177.54","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2000","163.48","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2001","166.05","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2002","138.61","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2003","184.77","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2004","208.92","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2005","179.09","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2006","213.54","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2007","303.80","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2008","393.87","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2009","264.55","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2010","323.91","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2011","372.91","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2012","393.97","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2013","395.64","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2014","342.24","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","1995","161.82","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","1996","334.93","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","1997","235.01","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","1998","199.16","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","1999","203.35","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2000","194.84","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2001","167.27","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2002","181.23","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2003","209.25","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2004","250.05","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2005","233.30","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2006","249.92","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2007","309.64","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2008","429.11","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2009","273.75","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2010","279.41","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2011","406.63","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2012","360.61","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2013","407.06","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2014","360.80","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1991","292.32","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1992","469.41","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1993","439.06","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1994","292.37","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1995","398.63","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1996","347.04","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1997","329.25","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1998","323.47","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1999","285.40","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2000","252.46","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2001","246.07","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2002","238.45","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2003","245.49","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2004","263.69","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2005","259.30","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2006","275.03","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2007","303.24","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2008","696.78","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2009","619.49","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2010","605.00","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2011","617.11","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2012","580.95","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2013","567.10","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2014","559.14","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","15","Wheat","1991","88.14","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","15","Wheat","1992","98.93","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","15","Wheat","1993","134.14","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","15","Wheat","1994","122.12","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","15","Wheat","1995","177.04","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","15","Wheat","1996","203.07","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","15","Wheat","1997","143.07","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","15","Wheat","1998","112.06","","Official data"
