Date,ERSTE GROUP BANK AG,RAIFFEISEN BANK INTERNATIONA,KBC GROEP NV,DEXIA SA,BANK OF CYPRUS PUBLIC CO LTD,HELLENIC BANK PUBLIC CO LTD,COMMERZBANK AG,DEUTSCHE BANK AG?REGISTERED,AAREAL BANK AG,DEUTSCHE PFANDBRIEFBANK AG,BANCO BILBAO VIZCAYA ARGENTA,BANCO DE SABADELL SA,BANCO POPULAR ESPANOL,BANCO SANTANDER SA,BANKIA SA,BANKINTER SA,CAIXABANK S.A,LIBERBANK SA,BNP PARIBAS,Crédit Mutuel,CREDIT AGRICOLE SA,BPCE,SOCIETE GENERALE SA,ALPHA BANK AE,EUROBANK ERGASIAS SA,PIRAEUS BANK S.A,BANK OF IRELAND,ALLIED IRISH BANKS PLC,PERMANENT TSB GROUP HOLDINGS,BANCA CARIGE SPA,BANCA MONTE DEI PASCHI SIENA,BANCA POPOL EMILIA ROMAGNA,BANCA POPOLARE DI MILANO,BANCA POPOLARE DI SONDRIO,BANCO POPOLARE SC,INTESA SANPAOLO,MEDIOBANCA SPA IT,UBI BANCA SPA,UNICREDIT SPA,BANK OF VALLETTA PLC,ING GROEP NV,ABN AMRO GROUP,RABOBANK,BANCO BPI SA.? REG SHS,BANCO COMERCIAL PORTUGUES?R,UBS GROUP AG?REG,CREDIT SUISSE GROUP AG?REG,BARCLAYS PLC GB,HSBC HOLDINGS PLC GB,ROYAL BANK OF SCOTLAND GROUP GB,NORDEA BANK AB,JPMORGAN CHASE & Co,CITIGROUP INC,BANK OF AMERICA,GOLDMAN SACHS Group,MORGAN STANLEY
11/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,#N/A N/A,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
10/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
09/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
08/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
07/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
06/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
05/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
04/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
03/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
02/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
