,assetmanager,staticfund,CAC 40 net return close,FR0000051732,FR0000120073,FR0000120172,FR0000120271,FR0000120404,FR0000120503,FR0000120578,FR0000120644,FR0000120693,FR0000121014,FR0000121147,FR0000121261,FR0000121329,FR0000121501,FR0000121972,FR0000125007,FR0000125338,FR0000125486,FR0000125585,FR0000127771,FR0000130577,FR0000133308,FR0004035913,FR0010208488,FR0010220475,FR0010242511,FR0010533075,FR0010613471,FR0012942647,FR0013176526,FR0013181864
2006-12-01,40.32,42.81959191383913,47.06302776051596,41.82,52.06573042,40.3592574,52.65,37.687904100000004,44.15,65.6,53.45550649999999,62.80030919,68.62843605,39.87404645,62.2742969,35.91,29.61755441,39.5285275,53.5103555,45.65,46.76054213,62.032802399999994,27.74516314,29.05,19.36,64.95,31.73,43.45,47.24292895,14.897718,18.1,1.889,9.99332334,181.63198530000003
2006-12-04,40.54,43.16000701645813,47.4395043919685,42.52,52.84236721,40.83972475,52.75,38.235096899999995,44.6,65.85,54.6821995,63.57086514,69.1241109,39.6828957,62.660793700000006,36.31,29.92965337,40.270615,54.19172675,46.41,47.60218238,62.032802399999994,28.17096962,28.88,19.41,64.75,31.81,44.75,48.216532,14.897718,18.1,1.889,10.2666564,181.9947656
2006-12-05,40.82,43.77549297631082,48.00930020322302,42.85,53.12195646,41.2328344,53.8,38.919087899999994,45.26,67.85,54.870921499999994,63.10853157,69.89015385,38.994753,63.0472905,36.34,29.70035617,40.14693375,54.328001,46.66,48.39431438,62.8906068,28.44193738,29.2,19.59,65.1,32.28,45.925,49.46830735,14.897718,18.1,1.889,10.3666563,185.6225682
2006-12-06,40.58,43.643302815733456,47.92800637801161,42.73,53.43261117,40.61259473,53.65,38.5086933,45.65,67.6,54.63501899999999,62.37650343,69.57472440000001,39.4535148,63.143914699999996,36.16,29.43921215,40.64165875,54.73682375,44.93,48.27054375,62.7100164,28.34516318,29.07,19.5,65.15,32.3,46.125,49.6073935,14.897718,18.1,1.889,10.32998967,185.6225682
2006-12-07,40.69,43.950265210813065,48.184143513658775,42.8,53.619004000000004,40.0971843,53.9,39.53467979999999,46.8,68.4,54.6821995,63.14705937,69.66484709999999,38.994753,64.1584688,36.55,29.59844631,41.48269125,55.1456465,44.8,48.518085,62.303688,28.28709866,29.11,19.6,65.8,33.24,46.075,48.63379045,14.897718,18.1,1.889,10.56332277,189.9759314
2006-12-08,40.69,44.01455033811752,48.22848560013773,42.69,53.52580759,40.07097699,53.9,39.8082762,46.79,68.55,54.91810200000001,62.91589259,69.61978575,39.4535148,64.1101567,36.86,29.51564454,41.13638375,54.963947499999996,44.93,48.98841338,62.39398320000001,28.34516318,29.12,19.6,66.1,34.09,47.15,48.5874284,14.897718,18.1,1.889,10.50332283,192.51539319999998
2006-12-11,40.87,44.39033940173396,48.617217891603204,43.33,54.58203362,40.45535087,54.45,39.70567755,46.53,69.0,54.729380000000006,63.57086514,70.6561968,38.841832399999994,65.70445600000001,37.04,30.12710373,41.48269125,55.28192075,45.16,48.914151000000004,62.8003116,28.38387286,29.61,20.01,67.0,33.89,46.525,48.494704299999995,14.897718,18.1,1.889,10.58665608,195.1757818
2006-12-12,40.9,44.37723465293355,48.61056657863136,43.61,55.20334306,41.25030594,53.95,39.671478,46.96,69.35,55.34272650000001,63.57086514,70.52101275,38.459530900000004,65.4145834,37.02,30.06977943,41.58163625,54.64597425,45.39,48.98841338,62.8906068,28.32580834,29.63,20.14,66.8,33.59,47.25,49.143772999999996,14.897718,18.1,1.889,10.63998936,197.11060990000001
2006-12-13,41.09,44.70691248320894,49.049737993466636,43.72,56.10424173,41.8443383,54.45,39.50048025,47.75,69.25,56.0976145,64.37994887,71.3771784,38.23015,67.3953795,36.77,30.305446000000003,41.3095375,55.46361975,45.5,48.93890513,63.07119720000001,28.33548576,30.09,20.42,65.55,33.94,48.35,51.50823755,14.897718,18.1,1.889,10.55332278,199.529145
2006-12-14,41.23,44.95917493026561,49.35194163006694,43.85,55.917848899999996,42.11514717,55.1,39.671478,47.9,69.7,56.3806975,64.53406006,71.69260785,38.23015,68.2649973,36.22,30.95512138,40.864284999999995,55.82701775,45.76,49.211200500000004,63.1163448,28.49032448,29.84,20.64,65.25,34.16,48.45,50.720082700000006,14.897718,18.1,1.889,10.49665617,198.1989507
2006-12-15,41.35,45.21816294967831,49.6389334675557,43.43,55.76252154,41.71330175,55.7,39.671478,49.12,70.15,56.050433999999996,65.49725499,72.2784054,38.68891179999999,68.31330940000001,36.9,31.15257175,40.963229999999996,56.37211475,45.04,49.23595463,63.20664,28.38387286,29.73,20.98,65.25,34.05,49.325,51.13734115,14.897718,18.1,1.889,10.4999895,198.1989507
2006-12-18,41.29,45.05522563144783,49.537685703428764,44.04,55.94891437,41.61720828,55.0,39.84247575,48.9,69.75,55.814531499999994,66.19075534,71.91791459999997,38.12310558,68.2166852,37.02,31.27995908,41.457955,56.14499100000001,45.32,49.112184,63.25178760000001,28.47096964,30.07,20.94,64.9,34.0,49.25,51.23006525,14.897718,18.1,1.889,10.4999895,193.4828072
2006-12-19,41.05,44.77336683217503,49.129553749128746,44.09,55.60719419,41.22409863,54.5,39.50048025,48.99,69.35,55.295545999999995,65.76694957,71.3771784,38.459530900000004,68.6998062,36.92,30.76404039,41.260065000000004,55.59989399999999,45.0,48.56759325,62.980902,28.36451802,29.91,20.87,64.85,33.95,48.625,51.78640985,14.897718,18.1,1.889,10.34332299,189.85500459999997
2006-12-20,41.17,45.04996966856824,49.39529833684635,44.21,56.66342022,40.76983859,54.6,39.70567755,49.36,68.85,55.4370875,65.49725499,72.1882827,37.88607865,70.052545,36.9,30.92327455,41.75479,57.3260345,45.95,48.83988863,63.432378,28.7903245,30.73,20.99,65.1,33.69,49.625,50.998255,14.897718,18.1,1.889,10.39332294,194.08744099999998
2006-12-21,41.15,45.06133149422998,49.36887784365265,44.52,55.94891437,40.184542,54.5,40.32126945,49.36,68.65,55.24836550000001,65.49725499,71.42223975,36.81563445,70.2457934,37.15,30.89142772,41.457955,57.78028199999999,47.0,48.716118,63.3420828,28.87742128,32.29,20.87,65.35,34.23,49.7,51.13734115,14.897718,18.1,1.889,10.41332292,196.38504939999999
2006-12-22,40.87,44.70509138991233,48.86319329909894,44.52,55.32760494,39.72154619,53.75,39.77407665,48.36,68.95,54.446296999999994,65.72842177,70.43089005,36.700944,69.3278635,37.25,30.70671609,40.98796625,57.18976025,46.48,47.80021537,62.9357544,28.49032448,31.79,20.72,65.25,33.81,50.4,50.2564622,14.897718,18.1,1.889,10.30998969,196.38504939999999
2006-12-27,41.26,45.427972360921075,49.63425291398293,44.85,56.60128928,40.22822085,54.9,40.355469,49.0,70.15,55.012463000000004,66.84572789,72.41358945,37.02972329,70.2457934,37.57,31.62390487,41.3095375,58.18910475,47.39,47.97349425,63.3872304,28.84838902,31.95,21.0,65.5,34.0,50.5,51.23006525,14.897718,18.1,1.889,10.43665623,197.7152437
2006-12-28,41.2,45.38048391358845,49.574637442161226,44.92,56.22850362,40.0971843,54.7,40.32126945,48.77,70.4,54.257575,66.6145611,72.09816,37.44260891,70.1491692,37.52,32.00606686,41.48269125,57.91655625,47.32,47.8249695,63.74841120000001,28.68387288,31.81,21.07,66.1,33.9,50.6,51.23006525,14.897718,18.1,1.889,10.57332276,198.1989507
2006-12-29,41.22,45.32866823002807,49.649895816713,44.93,55.88678343,40.13212738,54.65,40.1502717,48.63,69.95,54.163214,67.03836687,72.05309865,37.52671524,70.052545,37.78,31.97422003,41.6063725,57.82570675,47.55,47.923986,63.5678208,28.65484062,31.95,20.95,65.8,34.85,51.35,51.183703200000004,14.897718,18.1,1.889,10.50998949,198.56173090000001
2007-01-02,41.62,45.77830032431484,50.33036208547124,45.22,56.97407494,40.49029395,55.15,40.629065399999995,49.62,70.6,54.91810200000001,67.15395026,72.68395755,38.994753,70.19748129999999,38.22,32.67485035,42.2989875,58.870476000000004,48.17,47.84972363,64.4707728,29.07096968,32.16,21.27,66.95,34.85,51.6,51.13734115,14.897718,18.1,1.889,10.57665609,200.85933930000002
2007-01-03,41.61,45.64876547081473,50.26957647525634,46.6,56.53915833,40.6213305,54.55,40.38966855,49.81,70.35,55.154004500000006,66.76867229,71.5574238,39.6828957,70.39072970000002,38.31,33.27994017,42.27425125,58.507078,48.46,47.923986,64.4256252,29.15806646,31.96,21.38,69.0,34.88,52.25,50.34918629999999,14.897718,18.1,1.889,10.59665607,196.5059761
2007-01-04,41.49,45.31748944751231,49.94384689832972,46.4,56.13530720000001,40.69121666,53.45,40.45806765,49.17,70.3,54.776560499999995,65.49725499,71.60248515,39.87404645,69.13461509999999,37.94,33.94872366,42.71950375,58.73420175,48.12,47.35464113,64.4256252,29.2258084,32.06,21.68,69.05,34.95,49.7,49.37558325,14.897718,18.1,1.889,10.52998947,190.21778490000003
2007-01-05,41.19,44.87627839668936,49.431264695879285,46.29,55.265474,40.77857436,52.75,40.45806765,48.84,70.1,54.6821995,64.84228244,70.83644220000002,39.9887369,66.670698,37.63,34.29903882,42.447404999999996,57.8711315,48.03,47.0328375,63.52267320000001,28.90645354,31.8,21.61,68.7,34.5,47.95,47.752911499999996,14.897718,18.1,1.889,10.82665584,188.28295680000002
2007-01-08,41.19,44.89400199422198,49.44241180373024,46.67,54.89268834,40.56018011,52.5,40.38966855,49.15,69.2,54.163214,65.61283838,70.70125815,40.10342735,67.05719479999999,38.23,34.77674131,42.051625,59.052175,49.56,46.933821,63.65811600000001,29.26451808,32.15,21.66,70.7,35.19,47.725,48.772876600000004,14.897718,18.1,1.889,10.86998913,188.5248103
2007-01-09,41.25,44.85572679449995,49.571742889293844,46.56,55.23440853,40.6213305,51.85,40.9026618,49.7,68.65,54.0216725,64.91933803,70.11546059999999,40.52395900000001,66.9122585,38.16,34.45827298,42.42266875,61.82308475,48.84,47.55267412,63.8387064,30.08709878,31.9,22.25,70.35,35.35,47.075,49.329221200000006,14.897718,18.1,1.889,10.97665569,185.6225682
2007-01-10,41.09,44.79564236327878,49.29324995171354,45.96,55.23440853,40.4466151,51.25,40.560666299999994,49.07,69.1,53.7385895,64.61111566,70.79138085,40.40926855,66.9122585,38.02,33.94872366,43.4863275,61.45968675,50.15,47.15660813,62.5745736,30.01935684,31.85,21.87,69.45,34.42,47.9,49.56103145,14.897718,18.1,1.889,10.98998901,179.93901069999995
2007-01-11,41.63,45.558994585194334,50.25953791956736,47.0,56.13530720000001,40.85719629,52.15,42.475841100000004,49.75,70.45,54.446296999999994,65.03492142,71.7376692,40.48572885,67.10550690000001,39.0,34.45827298,44.4757775,62.82242925,50.9,47.50316588,63.20664,30.61935688,32.63,22.09,72.45,35.52,48.9,49.514669399999995,14.897718,18.1,1.889,11.10332223,190.21778490000003
2007-01-12,41.64,45.58544706126065,50.32956146446537,46.0,55.917848899999996,38.612103399999995,52.2,43.2282312,50.5,70.45,54.870921499999994,66.57603331,71.0166876,40.6004193,66.7190101,39.36,34.45827298,44.79734875,63.09497775,50.8,47.89923188,61.987654799999994,30.79355044,32.26,22.16,73.25,35.88,49.3,49.4219453,14.897718,18.1,1.889,11.15332218,188.28295680000002
2007-01-15,41.7,45.71539278081016,50.45014730519563,46.35,56.13530720000001,38.45485954,52.4,42.7494375,50.35,70.9,54.870921499999994,66.19075534,71.15187165,40.371038399999996,67.2021311,39.9,34.36273248,44.4757775,63.412951,50.9,47.97349425,61.9425072,30.90967948,32.7,22.29,72.95,35.3,48.525,49.83920375,14.897718,18.1,1.889,11.24998875,188.8875906
2007-01-16,41.53,45.36464209920891,50.09596488944501,46.34,56.47702739,38.66451802,51.7,42.37324245,49.97,70.65,54.351936,67.68566093,69.98027655,39.5299751,66.4291375,39.64,33.82133633,44.59945875,61.959359,50.85,47.725953000000004,61.9425072,30.967744,32.59,22.17,72.1,34.81,48.2,50.11737605,14.897718,18.1,1.889,11.53998846,182.96217959999998
2007-01-17,41.43,45.345492151516964,49.829296508259084,46.35,56.352765500000004,38.72566841,51.55,42.85203615,50.1,70.6,54.068853000000004,66.62229331,70.79138085,39.79758615,66.76732220000001,39.33,33.91687682,44.030525,62.2319075,50.8,48.14677312,62.5745736,30.5806472,32.29,22.03,71.95,34.86,46.95,49.09741095,14.897718,18.1,1.889,11.79665487,182.8412528
2007-01-18,41.4,45.357829760498646,49.768942001662744,44.47,55.85571796,38.62083917,51.4,43.4334285,50.65,70.6,53.7385895,66.62229331,71.06174895,39.8358163,67.63694,39.9,33.78948949,44.30262375,62.141057999999994,49.57,48.8151345,62.9357544,30.75484076,32.22,21.85,70.55,34.06,48.2,47.98472175,14.897718,18.1,1.889,12.06998793,183.68774009999998
