Security,VCAC Index                                                      ,
Start Date,01/01/2000 00:00,
End Date,21/12/2018 00:00,
Period,D,
Currency,EUR,
,,
Date,PX_LAST,PX_VOLUME
21/12/2018,20.679,#N/A N/A
20/12/2018,21.013,#N/A N/A
19/12/2018,19.371,#N/A N/A
18/12/2018,20.323,#N/A N/A
17/12/2018,19.532,#N/A N/A
14/12/2018,18.866,#N/A N/A
13/12/2018,19.037,#N/A N/A
12/12/2018,19.51,#N/A N/A
11/12/2018,20.901,#N/A N/A
10/12/2018,22.743,#N/A N/A
07/12/2018,20.981,#N/A N/A
06/12/2018,24.204,#N/A N/A
05/12/2018,19.645,#N/A N/A
04/12/2018,17.336,#N/A N/A
03/12/2018,17.639,#N/A N/A
30/11/2018,18.415,#N/A N/A
29/11/2018,19.549,#N/A N/A
28/11/2018,18.739,#N/A N/A
27/11/2018,18.59,#N/A N/A
26/11/2018,18.557,#N/A N/A
23/11/2018,19.082,#N/A N/A
22/11/2018,19.403,#N/A N/A
21/11/2018,18.07,#N/A N/A
20/11/2018,21.322,#N/A N/A
19/11/2018,18.318,#N/A N/A
16/11/2018,19.347,#N/A N/A
15/11/2018,21.561,#N/A N/A
14/11/2018,18.963,#N/A N/A
13/11/2018,17.452,#N/A N/A
12/11/2018,18.003,#N/A N/A
09/11/2018,16.157,#N/A N/A
08/11/2018,15.739,#N/A N/A
07/11/2018,16.262,#N/A N/A
06/11/2018,17.745,#N/A N/A
05/11/2018,18.028,#N/A N/A
02/11/2018,18.67,#N/A N/A
01/11/2018,18.613,#N/A N/A
31/10/2018,19.765,#N/A N/A
30/10/2018,21.864,#N/A N/A
29/10/2018,22.135,#N/A N/A
26/10/2018,22.963,#N/A N/A
25/10/2018,20.274,#N/A N/A
24/10/2018,19.66,#N/A N/A
23/10/2018,20.503,#N/A N/A
22/10/2018,18.24,#N/A N/A
19/10/2018,17.79,#N/A N/A
18/10/2018,17.328,#N/A N/A
17/10/2018,16.223,#N/A N/A
16/10/2018,16.985,#N/A N/A
15/10/2018,18.167,#N/A N/A
12/10/2018,20.052,#N/A N/A
11/10/2018,20.427,#N/A N/A
10/10/2018,17.521,#N/A N/A
09/10/2018,15.914,#N/A N/A
08/10/2018,16.837,#N/A N/A
05/10/2018,15.622,#N/A N/A
04/10/2018,14.687,#N/A N/A
03/10/2018,13.362,#N/A N/A
02/10/2018,14.167,#N/A N/A
01/10/2018,13.22,#N/A N/A
28/09/2018,13.251,#N/A N/A
27/09/2018,12.315,#N/A N/A
26/09/2018,12.312,#N/A N/A
25/09/2018,12.475,#N/A N/A
24/09/2018,13.088,#N/A N/A
21/09/2018,12.152,#N/A N/A
20/09/2018,12.276,#N/A N/A
19/09/2018,12.786,#N/A N/A
18/09/2018,13.337,#N/A N/A
17/09/2018,13.857,#N/A N/A
14/09/2018,12.745,#N/A N/A
13/09/2018,13.481,#N/A N/A
12/09/2018,14.13,#N/A N/A
11/09/2018,14.632,#N/A N/A
10/09/2018,14.868,#N/A N/A
07/09/2018,15.498,#N/A N/A
06/09/2018,16.276,#N/A N/A
05/09/2018,16.617,#N/A N/A
04/09/2018,15.626,#N/A N/A
03/09/2018,14.574,#N/A N/A
31/08/2018,14.586,#N/A N/A
30/08/2018,13.555,#N/A N/A
29/08/2018,12.661,#N/A N/A
28/08/2018,12.584,#N/A N/A
27/08/2018,12.634,#N/A N/A
24/08/2018,12.729,#N/A N/A
23/08/2018,12.948,#N/A N/A
22/08/2018,13.315,#N/A N/A
21/08/2018,13.144,#N/A N/A
20/08/2018,13.691,#N/A N/A
17/08/2018,15.113,#N/A N/A
16/08/2018,15.238,#N/A N/A
15/08/2018,17.798,#N/A N/A
14/08/2018,15.541,#N/A N/A
13/08/2018,14.947,#N/A N/A
10/08/2018,13.751,#N/A N/A
09/08/2018,12.062,#N/A N/A
08/08/2018,12.812,#N/A N/A
07/08/2018,12.769,#N/A N/A
06/08/2018,13.027,#N/A N/A
03/08/2018,12.903,#N/A N/A
02/08/2018,13.744,#N/A N/A
01/08/2018,12.646,#N/A N/A
31/07/2018,12.39,#N/A N/A
30/07/2018,12.879,#N/A N/A
27/07/2018,11.87,#N/A N/A
26/07/2018,12.205,#N/A N/A
25/07/2018,13.032,#N/A N/A
24/07/2018,12.478,#N/A N/A
23/07/2018,13.533,#N/A N/A
20/07/2018,12.637,#N/A N/A
19/07/2018,12.047,#N/A N/A
18/07/2018,11.353,#N/A N/A
17/07/2018,12.201,#N/A N/A
16/07/2018,11.8,#N/A N/A
13/07/2018,11.647,#N/A N/A
12/07/2018,12.373,#N/A N/A
11/07/2018,13.399,#N/A N/A
10/07/2018,11.501,#N/A N/A
09/07/2018,12.641,#N/A N/A
06/07/2018,13.187,#N/A N/A
05/07/2018,14.294,#N/A N/A
04/07/2018,14.74,#N/A N/A
03/07/2018,15.033,#N/A N/A
02/07/2018,16.469,#N/A N/A
29/06/2018,14.961,#N/A N/A
28/06/2018,16.931,#N/A N/A
27/06/2018,15.789,#N/A N/A
26/06/2018,15.699,#N/A N/A
25/06/2018,16.456,#N/A N/A
22/06/2018,13.258,#N/A N/A
21/06/2018,15.125,#N/A N/A
20/06/2018,13.048,#N/A N/A
19/06/2018,13.957,#N/A N/A
18/06/2018,13.566,#N/A N/A
15/06/2018,11.945,#N/A N/A
14/06/2018,10.893,#N/A N/A
13/06/2018,11.89,#N/A N/A
12/06/2018,12.115,#N/A N/A
11/06/2018,12.255,#N/A N/A
08/06/2018,12.934,#N/A N/A
07/06/2018,12.478,#N/A N/A
06/06/2018,13.646,#N/A N/A
05/06/2018,13.727,#N/A N/A
04/06/2018,13.622,#N/A N/A
01/06/2018,14.765,#N/A N/A
31/05/2018,16.337,#N/A N/A
