Date,Alu
03/01/1989,2515
04/01/1989,2535
05/01/1989,2462
06/01/1989,2400
09/01/1989,2390
10/01/1989,2370
11/01/1989,2345
12/01/1989,2334
13/01/1989,2361
16/01/1989,2352
17/01/1989,2380
18/01/1989,2325
19/01/1989,2300
20/01/1989,2310
23/01/1989,2292
24/01/1989,2370
25/01/1989,2340
26/01/1989,2335
27/01/1989,2322
30/01/1989,2265
31/01/1989,2250
01/02/1989,2226
02/02/1989,2210
03/02/1989,2193
06/02/1989,2150
07/02/1989,2150
08/02/1989,2220
09/02/1989,2174
10/02/1989,2160
13/02/1989,2110
14/02/1989,2135
15/02/1989,2120
16/02/1989,2127
17/02/1989,2145
20/02/1989,2130
21/02/1989,2149
22/02/1989,2200
23/02/1989,2190
24/02/1989,2162
27/02/1989,2200
28/02/1989,2183
01/03/1989,2155
02/03/1989,2195
03/03/1989,2250
06/03/1989,2230
07/03/1989,2225
08/03/1989,2235
09/03/1989,2166
10/03/1989,2090
13/03/1989,2060
14/03/1989,1975
15/03/1989,2028
16/03/1989,1977
17/03/1989,2012
20/03/1989,1905
21/03/1989,1905
22/03/1989,1925
23/03/1989,1968
28/03/1989,1998
29/03/1989,1970
30/03/1989,1928
31/03/1989,1931
03/04/1989,1950
04/04/1989,1978
05/04/1989,2008
06/04/1989,2010
07/04/1989,2051
10/04/1989,1995
11/04/1989,2040
12/04/1989,2057
13/04/1989,2050
14/04/1989,2034
17/04/1989,2135
18/04/1989,2116
19/04/1989,2098
20/04/1989,2068
21/04/1989,2117
24/04/1989,2170
25/04/1989,2171
26/04/1989,2115
27/04/1989,2132
28/04/1989,2185
02/05/1989,2140
03/05/1989,2131
04/05/1989,2145
05/05/1989,2149
08/05/1989,2177
09/05/1989,2170
10/05/1989,2160
11/05/1989,2155
12/05/1989,2221
15/05/1989,2220
16/05/1989,2225
17/05/1989,2175
18/05/1989,2175
19/05/1989,2105
22/05/1989,2075
23/05/1989,1988
24/05/1989,1968
25/05/1989,2000
26/05/1989,2013
30/05/1989,1980
31/05/1989,1926
01/06/1989,1940
02/06/1989,1924
05/06/1989,1957
06/06/1989,1902
07/06/1989,1916
08/06/1989,1862
09/06/1989,1860
12/06/1989,1827
13/06/1989,1855
14/06/1989,1880
15/06/1989,1840
16/06/1989,1865
19/06/1989,1855
20/06/1989,1864
21/06/1989,1825
22/06/1989,1855
23/06/1989,1855
26/06/1989,1850
27/06/1989,1826
28/06/1989,1792
29/06/1989,1820
30/06/1989,1810
03/07/1989,1764
04/07/1989,1777
05/07/1989,1790
06/07/1989,1780
07/07/1989,1772
10/07/1989,1760
11/07/1989,1720
12/07/1989,1720
13/07/1989,1720
14/07/1989,1685
17/07/1989,1670
18/07/1989,1713
19/07/1989,1727
