country,year,loggdp,loginv,logpop,loghcap
AUS,1960,,,15.6555,
AUS,1961,,,15.67627,
AUS,1962,,,15.69825,
AUS,1963,,,15.71924,
AUS,1964,,-1.230209,15.74082,
AUS,1965,,-1.185103,15.7635,
AUS,1966,,-1.188055,15.78869,
AUS,1967,,-1.201439,15.80943,
AUS,1968,-3.497636,-1.193271,15.83151,
AUS,1969,-3.443573,-1.191505,15.8554,2.390719
AUS,1970,-3.381456,-1.196576,15.87704,2.399664
AUS,1971,-3.389162,-1.200291,15.92325,2.404734
AUS,1972,-3.380262,-1.248594,15.94286,2.409804
AUS,1973,-3.355863,-1.269541,15.96063,2.414874
AUS,1974,-3.364377,-1.337179,15.9808,2.419943
AUS,1975,-3.353518,-1.364772,15.99726,2.425013
AUS,1976,-3.334414,-1.368358,16.01197,2.429939
AUS,1977,-3.340651,-1.368384,16.02828,2.434865
AUS,1978,-3.316036,-1.345613,16.04438,2.439791
AUS,1979,-3.299501,-1.362326,16.05915,2.444716
AUS,1980,-3.281213,-1.322144,16.07426,2.444716
AUS,1981,-3.267787,-1.266669,16.09203,2.44717
AUS,1982,-3.311848,-1.291054,16.11213,2.449961
AUS,1983,-3.282673,-1.387394,16.12871,2.452926
AUS,1984,-3.246562,-1.383688,16.14472,2.456061
AUS,1985,-3.219899,-1.303652,16.16132,2.459367
AUS,1986,-3.215894,-1.31267,16.17982,2.462133
AUS,1987,-3.181215,-1.323498,16.1985,2.465095
AUS,1988,-3.160386,-1.307339,16.21719,2.468244
AUS,1989,-3.139857,-1.271989,16.23526,2.471585
AUS,1990,-3.16099,-1.381923,16.25059,2.472952
AUS,1991,-3.171276,-1.496182,16.262,2.474368
AUS,1992,-3.145296,-1.517955,16.27293,2.474848
AUS,1993,-3.11306,-1.506339,16.28134,2.475252
AUS,1994,-3.079118,-1.441302,16.29113,2.475605
AUS,1995,-3.050718,-1.46606,16.3031,2.475622
AUS,1996,-3.025672,-1.479712,16.31665,2.477093
AUS,1997,-2.99373,-1.449013,16.32852,2.47857
AUS,1998,-2.954705,-1.419206,16.33996,2.479274
AUS,1999,-2.92809,-1.408551,16.35238,2.485948
AUS,2000,-2.922091,-1.451657,16.36558,2.4918
AUS,2001,-2.89925,-1.504243,16.37977,2.49508
AUS,2002,-2.880688,-1.422278,16.39315,2.504693
AUS,2003,-2.855158,-1.384434,16.40665,2.51042
AUS,2004,-2.845544,-1.371632,16.42005,2.519147
AUT,1960,,,15.34863,
AUT,1961,,,15.34528,
AUT,1962,,,15.34485,
AUT,1963,,,15.34597,
AUT,1964,,-1.417995,15.34568,
AUT,1965,,-1.383138,15.34473,
AUT,1966,,-1.358498,15.34449,
AUT,1967,,-1.397536,15.34484,
AUT,1968,-4.045789,-1.4369,15.34339,
AUT,1969,-3.988919,-1.475761,15.34103,2.272527
AUT,1970,-3.914171,-1.426174,15.34086,2.274102
AUT,1971,-3.867272,-1.355825,15.34383,2.280779
AUT,1972,-3.813301,-1.282356,15.35009,2.287455
AUT,1973,-3.773266,-1.362861,15.35777,2.294132
AUT,1974,-3.738376,-1.352529,15.36156,2.300808
AUT,1975,-3.741627,-1.407284,15.36118,2.307485
AUT,1976,-3.70016,-1.433556,15.36447,2.314803
AUT,1977,-3.660375,-1.390986,15.37166,2.322121
AUT,1978,-3.668243,-1.469444,15.37814,2.329439
AUT,1979,-3.621119,-1.468251,15.3843,2.336757
AUT,1980,-3.612616,-1.434004,15.39348,2.344073
AUT,1981,-3.628075,-1.444718,15.40745,2.350832
AUT,1982,-3.621804,-1.536033,15.42047,2.35819
AUT,1983,-3.602375,-1.563079,15.43122,2.366161
AUT,1984,-3.612183,-1.582658,15.44084,2.374738
AUT,1985,-3.592296,-1.548895,15.44619,2.380666
AUT,1986,-3.57311,-1.551147,15.44883,2.387092
AUT,1987,-3.558835,-1.529953,15.44984,2.394015
AUT,1988,-3.525361,-1.499621,15.45043,2.401416
AUT,1989,-3.494423,-1.49293,15.45419,2.409285
AUT,1990,-3.456634,-1.489435,15.46142,2.414457
AUT,1991,-3.430418,-1.465785,15.47054,2.419924
AUT,1992,-3.416777,-1.477524,15.48024,2.424263
AUT,1993,-3.420102,-1.484656,15.48689,2.425528
AUT,1994,-3.395789,-1.481247,15.48884,2.427048
AUT,1995,-3.376888,-1.501222,15.48886,2.434762
AUT,1996,-3.352153,-1.509019,15.48998,2.445004
AUT,1997,-3.336038,-1.498566,15.49209,2.453511
AUT,1998,-3.303686,-1.50028,15.49473,2.461945
AUT,1999,-3.275086,-1.5023,15.4988,2.472286
AUT,2000,-3.247078,-1.489657,15.50381,2.482521
AUT,2001,-3.245489,-1.512091,15.5105,2.488533
AUT,2002,-3.244901,-1.564326,15.51844,2.494519
AUT,2003,-3.240787,-1.555702,15.52516,2.498431
AUT,2004,-3.222973,-1.56547,15.53147,2.515476
BEL,1960,,,15.59114,
BEL,1961,,,15.58894,
BEL,1962,,,15.58893,
BEL,1963,,,15.595,
BEL,1964,,-1.422449,15.60256,
BEL,1965,,-1.42403,15.60875,
BEL,1966,,-1.398511,15.61231,
BEL,1967,,-1.399256,15.61531,
BEL,1968,-4.050419,-1.462469,15.61802,
BEL,1969,-3.986282,-1.472196,15.6205,2.092507
BEL,1970,-3.926205,-1.40766,15.62127,2.099379
BEL,1971,-3.891647,-1.435875,15.62356,2.112564
BEL,1972,-3.845973,-1.470092,15.6291,2.125748
BEL,1973,-3.791971,-1.467663,15.63452,2.138933
BEL,1974,-3.757748,-1.408482,15.64144,2.152117
BEL,1975,-3.779167,-1.420332,15.6495,2.165302
BEL,1976,-3.731531,-1.441588,15.65685,2.177484
BEL,1977,-3.73216,-1.461508,15.66372,2.189666
BEL,1978,-3.710021,-1.4615,15.66961,2.201847
BEL,1979,-3.692808,-1.507962,15.67553,2.214029
BEL,1980,-3.656299,-1.488971,15.68285,2.226212
BEL,1981,-3.663785,-1.629851,15.68754,2.231218
BEL,1982,-3.663029,-1.690205,15.69271,2.236477
BEL,1983,-3.667694,-1.770987,15.70049,2.241996
BEL,1984,-3.64949,-1.790058,15.70665,2.24777
BEL,1985,-3.636083,-1.76559,15.70963,2.253815
BEL,1986,-3.618565,-1.773931,15.71017,2.258665
BEL,1987,-3.596255,-1.750471,15.71067,2.26348
BEL,1988,-3.551936,-1.652493,15.7125,2.268263
BEL,1989,-3.519139,-1.572248,15.7138,2.273012
BEL,1990,-3.488142,-1.523375,15.7137,2.27363
BEL,1991,-3.470155,-1.591921,15.71388,2.287685
BEL,1992,-3.456005,-1.605117,15.71492,2.290745
BEL,1993,-3.467405,-1.641055,15.71665,2.304174
BEL,1994,-3.43701,-1.665731,15.71802,2.319206
BEL,1995,-3.413612,-1.645113,15.71819,2.34731
BEL,1996,-3.402016,-1.6456,15.71809,2.350613
BEL,1997,-3.369622,-1.610384,15.71854,2.358058
BEL,1998,-3.350995,-1.598352,15.71892,2.365457
BEL,1999,-3.321635,-1.573654,15.71987,2.373174
BEL,2000,-3.285024,-1.571929,15.72118,2.383732
BEL,2001,-3.277486,-1.590483,15.72407,2.39088
BEL,2002,-3.267169,-1.650353,15.72867,2.397986
BEL,2003,-3.261391,-1.670379,15.73199,2.403462
BEL,2004,-3.240372,-1.665824,15.73654,2.413294
CAN,1960,,,16.1469,
CAN,1961,,,16.16327,
CAN,1962,,,16.18177,
CAN,1963,,,16.20103,
CAN,1964,,-1.503468,16.22337,
CAN,1965,,-1.444958,16.2466,
CAN,1966,,-1.406591,16.27243,
CAN,1967,,-1.453493,16.29999,
CAN,1968,-3.525548,-1.522224,16.32553,
CAN,1969,-3.476443,-1.522047,16.34957,2.426023
CAN,1970,-3.446591,-1.548456,16.37351,2.430617
CAN,1971,-3.452245,-1.507459,16.41951,2.435034
CAN,1972,-3.421202,-1.516731,16.4415,2.439451
CAN,1973,-3.37671,-1.489509,16.46433,2.443868
CAN,1974,-3.365362,-1.4493,16.48923,2.448285
CAN,1975,-3.371789,-1.414451,16.51372,2.452702
CAN,1976,-3.34333,-1.443972,16.53595,2.460805
CAN,1977,-3.329849,-1.471069,16.55646,2.468908
CAN,1978,-3.30925,-1.48682,16.57464,2.477011
CAN,1979,-3.289086,-1.470921,16.59182,2.485115
CAN,1980,-3.285963,-1.456077,16.61009,2.493214
CAN,1981,-3.267674,-1.404782,16.62629,2.495904
CAN,1982,-3.310459,-1.518204,16.64006,2.498752
CAN,1983,-3.295384,-1.589263,16.65181,2.501756
CAN,1984,-3.249519,-1.628315,16.66244,2.504905
CAN,1985,-3.212462,-1.599724,16.67209,2.508216
CAN,1986,-3.198153,-1.580622,16.68172,2.511102
CAN,1987,-3.165672,-1.531094,16.69087,2.513956
CAN,1988,-3.127198,-1.501037,16.70095,2.516793
CAN,1989,-3.112304,-1.484456,16.71192,2.519606
CAN,1990,-3.122754,-1.546243,16.7243,2.523983
CAN,1991,-3.155952,-1.629067,16.73634,2.528293
CAN,1992,-3.158788,-1.674807,16.74789,2.531965
CAN,1993,-3.14632,-1.713418,16.75854,2.535624
CAN,1994,-3.110329,-1.6711,16.76948,2.539268
