DATE,CE16OV
1948-01-01,58061
1948-02-01,58196
1948-03-01,57671
1948-04-01,58291
1948-05-01,57854
1948-06-01,58743
1948-07-01,58968
1948-08-01,58456
1948-09-01,58513
1948-10-01,58387
1948-11-01,58417
1948-12-01,58740
1949-01-01,58175
1949-02-01,58208
1949-03-01,58043
1949-04-01,57747
1949-05-01,57552
1949-06-01,57172
1949-07-01,57190
1949-08-01,57397
1949-09-01,57584
1949-10-01,57269
1949-11-01,58009
1949-12-01,57845
1950-01-01,57635
1950-02-01,57751
1950-03-01,57728
1950-04-01,58583
1950-05-01,58649
1950-06-01,59052
1950-07-01,59001
1950-08-01,59797
1950-09-01,59575
1950-10-01,59803
1950-11-01,59697
1950-12-01,59429
1951-01-01,59636
1951-02-01,59661
1951-03-01,60401
1951-04-01,59889
1951-05-01,60188
1951-06-01,59620
1951-07-01,60156
1951-08-01,59994
1951-09-01,59713
1951-10-01,60010
1951-11-01,59836
1951-12-01,60497
1952-01-01,60460
1952-02-01,60462
1952-03-01,59908
1952-04-01,59909
1952-05-01,60195
1952-06-01,60219
1952-07-01,59971
1952-08-01,59790
1952-09-01,60521
1952-10-01,60132
1952-11-01,60748
1952-12-01,60954
1953-01-01,61600
1953-02-01,61884
1953-03-01,62010
1953-04-01,61444
1953-05-01,61019
1953-06-01,61456
1953-07-01,61397
1953-08-01,61151
1953-09-01,60906
1953-10-01,60893
1953-11-01,60738
1953-12-01,59977
1954-01-01,60024
1954-02-01,60663
1954-03-01,60186
1954-04-01,60185
1954-05-01,59908
1954-06-01,59792
1954-07-01,59643
1954-08-01,59853
1954-09-01,60282
1954-10-01,60270
1954-11-01,60357
1954-12-01,60116
1955-01-01,60753
1955-02-01,60727
1955-03-01,60964
1955-04-01,61515
1955-05-01,61634
1955-06-01,61781
1955-07-01,62513
1955-08-01,62797
1955-09-01,62950
1955-10-01,62991
1955-11-01,63257
1955-12-01,63684
1956-01-01,63753
1956-02-01,63518
1956-03-01,63411
1956-04-01,63614
1956-05-01,63861
1956-06-01,63820
1956-07-01,63800
1956-08-01,63972
1956-09-01,64079
1956-10-01,63975
1956-11-01,63796
1956-12-01,63910
1957-01-01,63632
1957-02-01,64257
1957-03-01,64404
1957-04-01,64047
1957-05-01,63985
1957-06-01,64196
1957-07-01,64540
1957-08-01,63959
1957-09-01,64121
1957-10-01,64046
1957-11-01,63669
1957-12-01,63922
1958-01-01,63220
1958-02-01,62898
1958-03-01,62731
1958-04-01,62631
1958-05-01,62874
1958-06-01,62730
1958-07-01,62745
1958-08-01,63012
1958-09-01,63181
1958-10-01,63475
1958-11-01,63470
1958-12-01,63549
1959-01-01,63868
1959-02-01,63684
1959-03-01,64267
1959-04-01,64768
1959-05-01,64699
1959-06-01,64849
1959-07-01,65011
1959-08-01,64844
1959-09-01,64770
1959-10-01,64911
1959-11-01,64530
1959-12-01,65341
1960-01-01,65347
1960-02-01,65620
1960-03-01,64673
1960-04-01,65959
1960-05-01,66057
1960-06-01,66168
1960-07-01,65909
1960-08-01,65895
1960-09-01,66267
1960-10-01,65632
1960-11-01,66109
1960-12-01,65778
1961-01-01,65776
1961-02-01,65588
1961-03-01,65850
1961-04-01,65374
1961-05-01,65449
1961-06-01,65993
1961-07-01,65608
1961-08-01,65852
1961-09-01,65541
1961-10-01,65919
1961-11-01,66081
1961-12-01,65900
1962-01-01,66108
1962-02-01,66538
1962-03-01,66493
1962-04-01,66372
1962-05-01,66688
1962-06-01,66670
1962-07-01,66483
1962-08-01,66968
1962-09-01,67192
1962-10-01,67114
1962-11-01,66847
1962-12-01,66947
1963-01-01,67072
1963-02-01,67024
1963-03-01,67351
1963-04-01,67642
1963-05-01,67615
1963-06-01,67649
1963-07-01,67905
1963-08-01,67908
1963-09-01,68174
1963-10-01,68294
1963-11-01,68267
1963-12-01,68213
1964-01-01,68327
1964-02-01,68751
1964-03-01,68763
1964-04-01,69356
1964-05-01,69631
1964-06-01,69218
1964-07-01,69399
1964-08-01,69463
1964-09-01,69578
1964-10-01,69582
1964-11-01,69735
1964-12-01,69814
1965-01-01,69997
1965-02-01,70127
1965-03-01,70439
1965-04-01,70633
1965-05-01,71034
1965-06-01,71025
1965-07-01,71460
1965-08-01,71362
1965-09-01,71286
1965-10-01,71695
1965-11-01,71724
1965-12-01,72062
1966-01-01,72198
1966-02-01,72134
1966-03-01,72188
1966-04-01,72510
1966-05-01,72497
1966-06-01,72775
1966-07-01,72860
1966-08-01,73146
1966-09-01,73258
1966-10-01,73401
1966-11-01,73840
1966-12-01,73729
1967-01-01,73671
1967-02-01,73606
1967-03-01,73439
1967-04-01,73882
1967-05-01,73844
1967-06-01,74278
1967-07-01,74520
1967-08-01,74767
1967-09-01,74854
1967-10-01,75051
1967-11-01,75125
1967-12-01,75473
1968-01-01,74700
1968-02-01,75229
1968-03-01,75379
1968-04-01,75561
1968-05-01,76107
1968-06-01,76182
1968-07-01,76087
1968-08-01,76043
1968-09-01,76172
1968-10-01,76224
1968-11-01,76494
1968-12-01,76778
1969-01-01,76805
1969-02-01,77327
1969-03-01,77367
1969-04-01,77523
1969-05-01,77412
1969-06-01,77880
1969-07-01,77959
1969-08-01,78250
1969-09-01,78250
1969-10-01,78445
1969-11-01,78541
1969-12-01,78740
1970-01-01,78780
1970-02-01,78698
1970-03-01,78863
1970-04-01,78930
1970-05-01,78564
1970-06-01,78413
1970-07-01,78726
1970-08-01,78624
1970-09-01,78498
1970-10-01,78685
1970-11-01,78650
1970-12-01,78594
1971-01-01,78864
1971-02-01,78700
1971-03-01,78588
1971-04-01,78987
1971-05-01,79139
1971-06-01,78757
1971-07-01,79305
1971-08-01,79539
1971-09-01,79689
1971-10-01,79918
1971-11-01,80297
1971-12-01,80471
1972-01-01,80959
1972-02-01,81108
1972-03-01,81573
1972-04-01,81655
1972-05-01,81887
1972-06-01,82083
1972-07-01,82230
1972-08-01,82578
1972-09-01,82543
1972-10-01,82616
1972-11-01,82990
1972-12-01,83400
1973-01-01,83161
1973-02-01,83912
1973-03-01,84452
1973-04-01,84559
1973-05-01,84648
1973-06-01,85185
1973-07-01,85299
1973-08-01,85204
1973-09-01,85488
1973-10-01,85987
1973-11-01,86320
1973-12-01,86401
1974-01-01,86555
1974-02-01,86754
1974-03-01,86819
1974-04-01,86669
1974-05-01,86891
1974-06-01,86941
1974-07-01,87149
1974-08-01,87037
1974-09-01,87051
1974-10-01,86995
1974-11-01,86626
1974-12-01,86144
1975-01-01,85627
1975-02-01,85256
1975-03-01,85187
1975-04-01,85189
1975-05-01,85451
1975-06-01,85355
1975-07-01,85894
1975-08-01,86234
