Date,Cu
03/01/1989,140.95
04/01/1989,146.85
05/01/1989,145.25
06/01/1989,140.25
09/01/1989,139.05
10/01/1989,139.35
11/01/1989,139.05
12/01/1989,142.39
13/01/1989,147.09
16/01/1989,152.55
17/01/1989,153.29
18/01/1989,151.35
19/01/1989,151.24
20/01/1989,151.9
23/01/1989,153.8
24/01/1989,151.79
25/01/1989,148.84
26/01/1989,147.39
27/01/1989,150.5
30/01/1989,145.69
31/01/1989,146.15
01/02/1989,139.29
02/02/1989,137.6
03/02/1989,135.09
06/02/1989,132.89
07/02/1989,134
08/02/1989,136.49
09/02/1989,136.25
10/02/1989,133.19
13/02/1989,128.49
14/02/1989,126.2
15/02/1989,127.75
16/02/1989,129.6
17/02/1989,128.6
21/02/1989,136.99
22/02/1989,140.69
23/02/1989,140.79
24/02/1989,138.3
27/02/1989,138.59
28/02/1989,138.89
01/03/1989,147.44
02/03/1989,149.14
03/03/1989,154.74
06/03/1989,151.64
07/03/1989,152
08/03/1989,148.95
09/03/1989,147
13/03/1989,144.2
14/03/1989,145.6
15/03/1989,143.24
16/03/1989,140.69
17/03/1989,143.2
20/03/1989,140.05
21/03/1989,140.99
22/03/1989,141.95
23/03/1989,141.1
27/03/1989,143.79
28/03/1989,143.7
29/03/1989,139.75
30/03/1989,134.39
31/03/1989,134.59
03/04/1989,128.89
04/04/1989,130.2
05/04/1989,131.09
06/04/1989,131.9
07/04/1989,134.79
10/04/1989,142.35
11/04/1989,142
12/04/1989,144.2
13/04/1989,143
14/04/1989,146.54
17/04/1989,143.85
18/04/1989,142.89
19/04/1989,140.9
20/04/1989,140.79
21/04/1989,140.84
24/04/1989,142.65
25/04/1989,141.3
26/04/1989,142
27/04/1989,141.89
28/04/1989,141.69
01/05/1989,139.4
02/05/1989,133.5
03/05/1989,133.34
04/05/1989,135.05
05/05/1989,132.8
08/05/1989,128.4
09/05/1989,127.84
10/05/1989,127.44
11/05/1989,127.64
12/05/1989,126.85
15/05/1989,122
16/05/1989,119.09
17/05/1989,121
18/05/1989,118.85
19/05/1989,119.99
22/05/1989,113.35
23/05/1989,111.19
24/05/1989,110.7
25/05/1989,112.1
26/05/1989,113.8
30/05/1989,117.3
31/05/1989,117.35
01/06/1989,113.85
02/06/1989,114.25
05/06/1989,109.95
06/06/1989,110.05
07/06/1989,112.4
08/06/1989,114.9
09/06/1989,113.8
12/06/1989,111.4
13/06/1989,112.15
14/06/1989,113.55
15/06/1989,113.5
16/06/1989,117
19/06/1989,119.6
20/06/1989,118.75
21/06/1989,110.85
22/06/1989,110.15
23/06/1989,111.2
26/06/1989,110.15
27/06/1989,109.7
28/06/1989,111.15
29/06/1989,111
30/06/1989,108.6
03/07/1989,103.5
05/07/1989,104.6
06/07/1989,101.95
07/07/1989,105.65
10/07/1989,105.15
11/07/1989,104.7
12/07/1989,107.7
13/07/1989,106.3
14/07/1989,107.1
17/07/1989,108.25
18/07/1989,111.9
19/07/1989,112.3
20/07/1989,111.7
21/07/1989,110.9
24/07/1989,116.25
25/07/1989,116.7
26/07/1989,114.75
27/07/1989,115.2
28/07/1989,112.7
31/07/1989,115
01/08/1989,115.3
02/08/1989,116.3
03/08/1989,115.65
04/08/1989,116.1
07/08/1989,113.85
08/08/1989,113.4
09/08/1989,114
10/08/1989,115.55
11/08/1989,120.3
14/08/1989,123.3
15/08/1989,124.7
16/08/1989,125.05
17/08/1989,130.75
18/08/1989,127.4
21/08/1989,128.95
22/08/1989,128.85
23/08/1989,131.35
24/08/1989,133.75
25/08/1989,139.55
28/08/1989,138.95
29/08/1989,131.9
30/08/1989,132.75
31/08/1989,135.7
01/09/1989,133.7
05/09/1989,132.3
06/09/1989,129.75
07/09/1989,132.8
08/09/1989,130.7
11/09/1989,133.8
12/09/1989,134.5
13/09/1989,136.4
14/09/1989,140.8
15/09/1989,140.2
18/09/1989,141.7
19/09/1989,140.5
20/09/1989,138.7
21/09/1989,138.6
22/09/1989,137.7
25/09/1989,135
26/09/1989,131.7
27/09/1989,133.8
28/09/1989,123.15
29/09/1989,122.9
02/10/1989,128.9
03/10/1989,128.3
04/10/1989,130.3
05/10/1989,131
06/10/1989,133.8
09/10/1989,134.4
10/10/1989,130.8
11/10/1989,130.5
12/10/1989,132.85
13/10/1989,130.5
16/10/1989,130
17/10/1989,130.8
18/10/1989,129
19/10/1989,130.7
20/10/1989,126.45
23/10/1989,122.3
24/10/1989,117.9
25/10/1989,118.8
26/10/1989,114.2
27/10/1989,119.3
30/10/1989,116.8
31/10/1989,118.25
01/11/1989,120.5
02/11/1989,117.15
03/11/1989,116.35
06/11/1989,113.6
07/11/1989,114.35
08/11/1989,117.5
09/11/1989,118.6
