Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=143.FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA
,FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA
,"Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Reuters"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
2018Aug,-0.1693
2018Jul,-0.1795
2018Jun,-0.1815
2018May,-0.1880
2018Apr,-0.1897
2018Mar,-0.1910
2018Feb,-0.1912
2018Jan,-0.1887
2017Dec,-0.1897
2017Nov,-0.1890
2017Oct,-0.1798
2017Sep,-0.1683
2017Aug,-0.1563
2017Jul,-0.1541
2017Jun,-0.1491
2017May,-0.1272
2017Apr,-0.1190
2017Mar,-0.1096
2017Feb,-0.1059
2017Jan,-0.0945
2016Dec,-0.0804
2016Nov,-0.0740
2016Oct,-0.0688
2016Sep,-0.0571
2016Aug,-0.0483
2016Jul,-0.0560
2016Jun,-0.0280
2016May,-0.0126
2016Apr,-0.0098
2016Mar,-0.0124
2016Feb,-0.0079
2016Jan,0.0424
2015Dec,0.0589
2015Nov,0.0789
2015Oct,0.1279
2015Sep,0.1536
2015Aug,0.1613
2015Jul,0.1673
2015Jun,0.1630
2015May,0.1654
2015Apr,0.1804
2015Mar,0.2124
2015Feb,0.2550
2015Jan,0.2982
2014Dec,0.3285
2014Nov,0.3347
2014Oct,0.3376
2014Sep,0.3623
2014Aug,0.4691
2014Jul,0.4875
2014Jun,0.5127
2014May,0.5923
2014Apr,0.6039
2014Mar,0.5773
2014Feb,0.5490
2014Jan,0.5621
2013Dec,0.5425
2013Nov,0.5064
2013Oct,0.5410
2013Sep,0.5434
2013Aug,0.5423
2013Jul,0.5254
2013Jun,0.5071
2013May,0.4838
2013Apr,0.5284
2013Mar,0.5450
2013Feb,0.5942
2013Jan,0.5753
2012Dec,0.5493
2012Nov,0.5879
2012Oct,0.6501
2012Sep,0.7398
2012Aug,0.8766
2012Jul,1.0608
2012Jun,1.2190
2012May,1.2660
2012Apr,1.3678
2012Mar,1.4985
2012Feb,1.6783
2012Jan,1.8366
2011Dec,2.0035
2011Nov,2.0439
2011Oct,2.1101
2011Sep,2.0669
2011Aug,2.0969
2011Jul,2.1827
2011Jun,2.1441
2011May,2.1471
2011Apr,2.0856
2011Mar,1.9241
2011Feb,1.7140
2011Jan,1.5500
2010Dec,1.5261
2010Nov,1.5405
2010Oct,1.4954
2010Sep,1.4205
2010Aug,1.4210
2010Jul,1.3734
2010Jun,1.2813
2010May,1.2493
2010Apr,1.2252
2010Mar,1.2151
2010Feb,1.2252
2010Jan,1.2322
2009Dec,1.2424
2009Nov,1.2306
2009Oct,1.2426
2009Sep,1.2610
2009Aug,1.3343
2009Jul,1.4120
2009Jun,1.6105
2009May,1.6444
2009Apr,1.7710
2009Mar,1.9089
2009Feb,2.1354
2009Jan,2.6216
2008Dec,3.4520
2008Nov,4.3504
2008Oct,5.2478
2008Sep,5.3839
2008Aug,5.3230
2008Jul,5.3932
2008Jun,5.3608
2008May,4.9938
2008Apr,4.8199
2008Mar,4.5901
2008Feb,4.3489
2008Jan,4.4980
2007Dec,4.7929
2007Nov,4.6072
2007Oct,4.6467
2007Sep,4.7245
2007Aug,4.6663
2007Jul,4.5638
2007Jun,4.5055
2007May,4.3731
2007Apr,4.2527
2007Mar,4.1055
2007Feb,4.0936
2007Jan,4.0644
2006Dec,3.9209
2006Nov,3.8637
2006Oct,3.7992
2006Sep,3.7153
2006Aug,3.6151
2006Jul,3.5386
2006Jun,3.4005
2006May,3.3078
2006Apr,3.2214
2006Mar,3.1053
2006Feb,2.9142
2006Jan,2.8335
2005Dec,2.7833
2005Nov,2.6844
2005Oct,2.4136
2005Sep,2.2195
2005Aug,2.2229
2005Jul,2.1680
2005Jun,2.1028
2005May,2.1933
2005Apr,2.2651
2005Mar,2.3348
2005Feb,2.3100
2005Jan,2.3121
2004Dec,2.3010
2004Nov,2.3283
2004Oct,2.3161
2004Sep,2.3770
2004Aug,2.3020
2004Jul,2.3610
2004Jun,2.4044
2004May,2.2974
2004Apr,2.1626
2004Mar,2.0550
2004Feb,2.1630
2004Jan,2.2163
2003Dec,2.3808
2003Nov,2.4103
2003Oct,2.3025
2003Sep,2.2576
2003Aug,2.2786
2003Jul,2.0761
2003Jun,2.0137
2003May,2.2521
2003Apr,2.4470
2003Mar,2.4112
2003Feb,2.5036
2003Jan,2.7045
2002Dec,2.8716
2002Nov,3.0174
2002Oct,3.1259
2002Sep,3.2364
2002Aug,3.4404
2002Jul,3.6448
2002Jun,3.8687
2002May,3.9627
2002Apr,3.8602
2002Mar,3.8156
2002Feb,3.5936
2002Jan,3.4832
2001Dec,3.2981
2001Nov,3.1979
2001Oct,3.3694
2001Sep,3.7700
2001Aug,4.1075
2001Jul,4.3109
2001Jun,4.3125
2001May,4.5205
2001Apr,4.4811
2001Mar,4.4711
2001Feb,4.5913
2001Jan,4.5736
2000Dec,4.8809
2000Nov,5.1933
2000Oct,5.2184
2000Sep,5.2192
2000Aug,5.2484
2000Jul,5.1050
2000Jun,4.9649
2000May,4.8485
2000Apr,4.3645
2000Mar,4.2675
2000Feb,4.1114
2000Jan,3.9495
1999Dec,3.8263
1999Nov,3.6892
1999Oct,3.6837
1999Sep,3.3011
1999Aug,3.2373
1999Jul,3.0300
1999Jun,2.8363
1999May,2.6827
1999Apr,2.7564
1999Mar,3.0462
1999Feb,3.0297
1999Jan,3.0617
1998Dec,3.2700
1998Nov,3.5500
1998Oct,3.5900
1998Sep,3.7500
1998Aug,3.9300
1998Jul,4.0100
1998Jun,4.0800
1998May,4.1300
1998Apr,4.1200
1998Mar,4.0500
1998Feb,4.1700
1998Jan,4.2200
1997Dec,4.4100
1997Nov,4.5600
1997Oct,4.5500
1997Sep,4.4200
1997Aug,4.4900
1997Jul,4.3200
1997Jun,4.3300
1997May,4.3600
1997Apr,4.4700
1997Mar,4.5500
1997Feb,4.3200
1997Jan,4.2500
1996Dec,4.3900
1996Nov,4.5400
1996Oct,4.6700
1996Sep,4.9600
1996Aug,5.1600
1996Jul,5.1800
1996Jun,5.1900
1996May,5.0700
1996Apr,5.3200
1996Mar,5.5500
1996Feb,5.5600
1996Jan,5.6900
1995Dec,6.2100
1995Nov,6.4300
1995Oct,6.7600
1995Sep,6.5900
1995Aug,6.8300
1995Jul,7.1600
1995Jun,7.2400
1995May,7.2500
1995Apr,7.6300
1995Mar,8.0200
1995Feb,7.5000
1995Jan,7.6600
1994Dec,7.5100
1994Nov,7.1900
1994Oct,7.3000
1994Sep,7.3100
1994Aug,7.0800
1994Jul,6.7700
1994Jun,6.6200
1994May,6.2500
1994Apr,6.4600
1994Mar,6.5500
1994Feb,6.4200
1994Jan,6.3400
