Libellé;;Masse salariale versée - Total branches - Valeur aux prix courants - Série CVS
IdBank;;001689203
Année;Trimestre
2016;2;211 080
2016;1;210 273
2015;4;208 650
2015;3;207 319
2015;2;206 427
2015;1;205 724
2014;4;204 662
2014;3;204 229
2014;2;203 959
2014;1;203 478
2013;4;203 257
2013;3;202 464
2013;2;201 997
2013;1;201 193
2012;4;200 909
2012;3;200 800
2012;2;199 690
2012;1;199 008
2011;4;197 739
2011;3;196 374
2011;2;195 871
2011;1;194 800
2010;4;193 683
2010;3;192 511
2010;2;191 636
2010;1;190 188
2009;4;188 626
2009;3;186 830
2009;2;185 590
2009;1;185 611
2008;4;187 275
2008;3;187 240
2008;2;186 428
2008;1;185 311
2007;4;183 576
2007;3;181 825
2007;2;179 970
2007;1;178 411
2006;4;177 042
2006;3;174 716
2006;2;172 656
2006;1;170 900
2005;4;169 229
2005;3;167 199
2005;2;165 320
2005;1;163 840
2004;4;162 414
2004;3;161 191
2004;2;159 664
2004;1;158 412
2003;4;156 520
2003;3;155 358
2003;2;153 979
2003;1;153 031
2002;4;152 478
2002;3;151 474
2002;2;150 554
2002;1;148 623
2001;4;146 843
2001;3;145 483
2001;2;143 724
2001;1;142 502
2000;4;141 068
2000;3;138 947
2000;2;136 920
2000;1;134 813
1999;4;132 645
1999;3;130 737
1999;2;129 077
1999;1;127 237
1998;4;126 113
1998;3;125 012
1998;2;123 425
1998;1;121 996
1997;4;120 955
1997;3;119 645
1997;2;118 846
1997;1;117 689
1996;4;117 097
1996;3;116 442
1996;2;115 833
1996;1;115 080
1995;4;114 345
1995;3;113 516
1995;2;112 499
1995;1;111 402
1994;4;110 300
1994;3;109 185
1994;2;108 122
1994;1;107 409
1993;4;107 013
1993;3;106 606
1993;2;106 364
1993;1;106 211
1992;4;105 818
1992;3;105 318
1992;2;104 608
1992;1;103 737
1991;4;102 836
1991;3;101 999
1991;2;101 155
1991;1;100 243
1990;4;99 093
1990;3;97 741
1990;2;96 323
1990;1;94 772
1989;4;92 874
1989;3;91 193
1989;2;89 725
1989;1;88 164
1988;4;86 742
1988;3;85 504
1988;2;84 374
1988;1;83 279
1987;4;82 145
1987;3;81 060
1987;2;80 022
1987;1;79 074
1986;4;78 395
1986;3;77 810
1986;2;77 108
1986;1;76 311
1985;4;75 338
1985;3;74 199
1985;2;73 134
1985;1;72 164
1984;4;71 257
1984;3;70 419
1984;2;69 522
1984;1;68 509
1983;4;67 368
1983;3;66 094
1983;2;64 783
1983;1;63 403
1982;4;61 840
1982;3;60 645
1982;2;59 487
1982;1;57 791
1981;4;55 605
1981;3;53 412
1981;2;51 571
1981;1;49 931
1980;4;48 524
1980;3;47 100
1980;2;45 565
1980;1;43 880
1979;4;42 232
1979;3;40 695
1979;2;39 311
1979;1;38 218
1978;4;37 264
1978;3;36 152
1978;2;35 048
1978;1;33 991
1977;4;32 900
1977;3;31 841
1977;2;30 992
1977;1;30 131
1976;4;29 308
1976;3;28 396
1976;2;27 345
1976;1;26 263
1975;4;25 276
1975;3;24 500
1975;2;23 643
1975;1;22 768
1974;4;21 931
1974;3;21 220
1974;2;20 358
1974;1;19 181
1973;4;18 357
1973;3;17 589
1973;2;16 943
1973;1;16 358
1972;4;15 711
1972;3;15 191
1972;2;14 757
1972;1;14 332
1971;4;13 973
1971;3;13 588
1971;2;13 200
1971;1;12 831
1970;4;12 416
1970;3;12 021
1970;2;11 714
1970;1;11 323
1969;4;10 929
1969;3;10 534
1969;2;10 257
1969;1;9 985
1968;4;9 787
1968;3;9 529
1968;2;8 690
1968;1;8 535
1967;4;8 292
1967;3;8 198
1967;2;8 060
1967;1;7 958
1966;4;7 782
1966;3;7 624
1966;2;7 486
1966;1;7 338
1965;4;7 200
1965;3;7 067
1965;2;6 947
1965;1;6 830
1964;4;6 731
1964;3;6 593
1964;2;6 465
1964;1;6 316
1963;4;6 143
1963;3;5 970
1963;2;5 800
1963;1;5 587
1962;4;5 408
1962;3;5 223
1962;2;5 065
1962;1;4 923
1961;4;4 775
1961;3;4 639
1961;2;4 514
1961;1;4 394
1960;4;4 300
1960;3;4 193
1960;2;4 097
1960;1;4 013
1959;4;3 929
1959;3;3 848
1959;2;3 767
1959;1;3 672
1958;4;3 597
1958;3;3 532
1958;2;3 449
1958;1;3 337
1957;4;3 209
1957;3;3 088
1957;2;2 987
1957;1;2 901
1956;4;2 825
1956;3;2 750
1956;2;2 672
1956;1;2 593
1955;4;2 513
1955;3;2 435
1955;2;2 368
1955;1;2 321
1954;4;2 284
1954;3;2 247
1954;2;2 216
1954;1;2 162
1953;4;2 105
1953;3;2 069
1953;2;2 046
1953;1;2 024
1952;4;2 020
1952;3;2 008
1952;2;1 980
1952;1;1 928
1951;4;1 847
1951;3;1 721
1951;2;1 585
1951;1;1 467
1950;4;1 382
1950;3;1 317
1950;2;1 265
1950;1;1 216
1949;4;1 183
1949;3;1 177
1949;2;1 169
1949;1;1 141
