DATE,GPDIC96
1947-01-01,222.679
1947-04-01,205.623
1947-07-01,199.573
1947-10-01,238.192
1948-01-01,262.632
1948-04-01,278.885
1948-07-01,281.741
1948-10-01,268.267
1949-01-01,228.041
1949-04-01,197.725
1949-07-01,214.117
1949-10-01,203.585
1950-01-01,251.917
1950-04-01,278.877
1950-07-01,302.850
1950-10-01,341.332
1951-01-01,306.454
1951-04-01,313.558
1951-07-01,290.470
1951-10-01,267.326
1952-01-01,274.301
1952-04-01,253.621
1952-07-01,267.217
1952-10-01,286.467
1953-01-01,292.632
1953-04-01,294.299
1953-07-01,288.145
1953-10-01,267.328
1954-01-01,265.414
1954-04-01,264.787
1954-07-01,277.560
1954-10-01,289.723
1955-01-01,318.651
1955-04-01,337.941
1955-07-01,343.122
1955-10-01,351.080
1956-01-01,341.063
1956-04-01,338.385
1956-07-01,335.358
1956-10-01,332.248
1957-01-01,327.088
1957-04-01,326.755
1957-07-01,334.246
1957-10-01,308.547
1958-01-01,287.700
1958-04-01,281.906
1958-07-01,303.543
1958-10-01,329.424
1959-01-01,347.373
1959-04-01,374.394
1959-07-01,350.215
1959-10-01,361.612
1960-01-01,397.964
1960-04-01,360.873
1960-07-01,359.955
1960-10-01,320.079
1961-01-01,328.386
1961-04-01,351.395
1961-07-01,378.713
1961-10-01,384.980
1962-01-01,405.737
1962-04-01,402.536
1962-07-01,409.376
1962-10-01,397.400
1963-01-01,418.307
1963-04-01,424.962
1963-07-01,438.047
1963-10-01,443.366
1964-01-01,459.958
1964-04-01,458.301
1964-07-01,468.997
1964-10-01,473.452
1965-01-01,518.593
1965-04-01,519.955
1965-07-01,538.059
1965-10-01,541.622
1966-01-01,584.895
1966-04-01,576.237
1966-07-01,571.985
1966-10-01,575.338
1967-01-01,561.218
1967-04-01,540.914
1967-07-01,556.775
1967-10-01,568.785
1968-01-01,580.189
1968-04-01,602.381
1968-07-01,585.953
1968-10-01,592.327
1969-01-01,627.207
1969-04-01,623.511
1969-07-01,636.170
1969-10-01,605.453
1970-01-01,587.395
1970-04-01,588.671
1970-07-01,598.252
1970-10-01,566.489
1971-01-01,632.533
1971-04-01,650.482
1971-07-01,658.374
1971-10-01,640.645
1972-01-01,682.859
1972-04-01,721.647
1972-07-01,731.894
1972-10-01,736.484
1973-01-01,779.645
1973-04-01,812.878
1973-07-01,783.403
1973-10-01,811.308
1974-01-01,764.976
1974-04-01,761.923
1974-07-01,722.434
1974-10-01,726.819
1975-01-01,609.744
1975-04-01,591.591
1975-07-01,637.454
1975-10-01,655.247
1976-01-01,718.469
1976-04-01,746.906
1976-07-01,749.510
1976-10-01,755.119
1977-01-01,790.107
1977-04-01,846.752
1977-07-01,889.601
1977-10-01,867.284
1978-01-01,884.186
1978-04-01,941.615
1978-07-01,969.053
1978-10-01,991.471
1979-01-01,993.130
1979-04-01,992.232
1979-07-01,975.505
1979-10-01,958.170
1980-01-01,951.572
1980-04-01,870.674
1980-07-01,813.266
1980-10-01,889.175
1981-01-01,971.650
1981-04-01,931.326
1981-07-01,983.540
