,BOURRELIER GROUP,ALES GROUPE,MANITOU BF,FIGEAC AERO,FOUNTAINE PAJOT,DELFINGEN INDUSTRY,PRECIA,MANUTAN INTERNATIONAL,HAULOTTE GROUP,ADVINI,DAMARTEX,ROBERTET,ESKER,DESJOYAUX SA PISCINES,CAPELLI RGPT,TFF GROUP,EUROGERM,JACQUET METAL SERVICE,CPS LECTRA,GROUPE GUILLIN,AUBAY,LNA SANTE,LACROIX S.A,GUERBET,SOGECLAIR,HERIGE,VETOQUINOL,LAURENT-PERRIER,A.S.T GROUPE
2014-05-06,30.33333,17.85,13.4,12.27,17.7,24.5,86.0,53.3,12.94,35.0,19.0,166.0,18.99,4.86088,9.96,14.975,15.44,15.64,7.75,12.974,11.97,16.7,21.4,34.35,29.81,34.29,39.3,72.3,2.75
2014-05-07,31.20833,17.7,13.13,12.58,17.6,24.7,85.8,52.52,12.8,34.99,18.87,166.0,18.81,4.91875,10.2,14.955,15.3,15.45,7.65,12.94,12.04,16.96,21.55,34.0,29.86,34.0,38.52,72.5,2.69
2014-05-08,32.95833,17.85,13.32,12.6,17.6,24.9,85.8,51.5,13.42,34.99,18.87,166.0,19.0,4.77408,10.26,14.9475,15.3,15.84,7.85,12.915,12.07,16.96,21.4,34.03,29.8,34.0,39.5,72.5,2.75
2014-05-09,32.95833,17.98,13.32,12.44,17.6,24.7,83.5,51.33,13.3,34.89,18.88,166.0,19.0,4.70656,10.26,15.29,15.3,15.83,7.8,12.94,12.05,16.94,21.8,34.22,29.63,33.49,38.97,72.5,2.8
2014-05-12,32.95833,17.86,13.34,12.45,17.6,24.31,85.5,51.45,13.41,33.0,18.9,170.0,18.85,4.77408,10.32,15.375,15.31,16.57,7.95,12.91,12.1,16.94,22.0,34.38,29.79,32.7,38.5,72.5,2.8
2014-05-13,31.1111,18.0,13.0,12.34,17.75,24.23,85.5,51.46,13.3,33.1,18.88,170.69,18.8,4.8223,10.38,15.375,15.3,16.58,8.0,12.925,12.1,16.98,21.89,34.49,29.7,32.91,37.97,72.6,2.75
2014-05-14,31.1111,18.0,13.03,12.41,17.7,24.24,85.0,52.27,13.05,33.2,18.9,170.7,18.89,4.8223,10.2,15.275,15.4,16.8,8.04,12.915,12.1,16.97,22.65,34.7,29.7,33.3,37.98,72.6,2.78
2014-05-15,31.1111,18.0,12.84,12.44,18.45,24.0,88.0,52.27,12.75,32.9,18.9,170.5,18.85,4.94768,10.26,15.2775,15.4,16.29,8.0,12.845,11.85,16.9,22.7,34.3,29.63,32.53,38.89,72.5,2.85
2014-05-16,31.1111,18.0,12.55,12.25,18.45,23.5,86.99,52.13,12.53,33.0,18.88,170.49,18.9,4.91875,10.38,15.2775,15.4,15.6,7.95,12.885,11.4,16.8,22.7,33.8,29.63,32.22,37.52,72.5,2.74
2014-05-19,31.1111,18.01,12.48,12.06,18.4,23.5,86.99,52.1,12.46,33.0,18.87,170.49,18.74,4.91875,10.38,14.875,15.31,16.02,7.9,12.885,11.9,16.73,22.6,33.25,29.01,30.2,37.3,72.57,2.78
2014-05-20,31.1111,17.95,12.38,11.98,18.48,23.99,86.99,51.9,12.41,32.8,18.87,169.0,18.84,4.9091,10.38,14.87,15.3,15.97,7.9,12.783,11.84,16.56,22.5,32.75,28.49,29.65,37.52,72.5,2.8
2014-05-21,31.12083,17.96,12.24,12.09,19.0,23.94,86.99,51.0,12.12,32.0,18.85,168.49,18.8,4.9091,10.32,15.275,15.3,15.9,7.84,12.77,11.3,16.49,22.5,32.45,28.34,30.2,38.0,72.6,2.77
2014-05-22,31.12083,17.96,12.3,11.72,18.6,23.94,87.0,51.0,11.89,32.49,18.85,168.49,18.7,5.15986,10.44,14.95,15.3,16.1,7.85,12.762,11.0,16.54,22.35,32.7,28.15,29.99,38.5,72.85,2.81
2014-05-23,31.12083,18.2,12.3,11.91,19.0,23.5,87.0,51.0,12.33,32.49,18.85,168.49,18.8,5.15986,10.44,15.025,15.3,16.65,7.84,12.77,11.29,16.7,22.5,33.0,28.2,30.0,38.4,72.5,2.85
2014-05-26,31.12083,18.14,12.63,11.74,19.0,24.15,87.0,51.0,12.43,32.5,18.85,168.49,18.79,5.11164,10.38,15.035,15.3,16.9,7.84,12.775,11.0,16.62,22.35,33.3,28.1,30.2,37.55,71.9,2.83
2014-05-27,33.00694,18.38,12.77,11.81,19.1,24.19,88.0,51.2,12.52,32.49,18.87,168.48,18.8,5.26595,10.32,15.35,15.3,16.9,7.95,12.8,10.82,16.78,22.17,33.78,28.16,30.75,37.7,72.51,2.85
2014-05-28,32.56944,18.2,12.8,12.08,19.0,23.7,88.0,51.0,12.75,32.49,18.87,168.49,18.52,5.30453,10.44,15.335,15.3,17.0,8.0,12.895,11.05,16.99,21.86,32.89,28.16,30.05,36.99,72.5,2.75
2014-05-29,33.05555,18.0,12.98,12.05,19.0,23.51,88.0,51.0,12.57,32.01,18.88,168.48,18.11,5.21773,10.56,15.4,15.29,17.0,8.01,13.03,10.98,17.01,21.86,32.91,28.17,30.66,36.51,72.8,2.75
2014-05-30,33.05555,18.01,12.99,11.88,18.64,23.59,87.99,50.75,11.9,32.5,18.85,168.48,17.73,5.07306,10.56,15.325,15.2,16.81,8.0,13.125,11.03,17.0,21.55,33.0,28.25,31.76,36.9,72.5,2.7
2014-06-02,33.07499,18.03,12.85,12.0,19.13,23.59,88.0,51.0,12.25,32.5,18.85,172.0,17.8,5.15022,10.68,15.3175,15.21,16.67,8.1,13.225,11.5,17.06,21.6,32.91,28.32,32.55,37.0,73.19,2.64
2014-06-03,33.07499,17.8,12.9,12.0,20.05,23.5,88.0,51.0,12.16,32.5,18.85,172.0,17.5,5.15022,10.62,15.25,15.21,16.785,8.13,13.41,11.47,17.15,21.69,32.8,28.25,33.79,37.01,73.0,2.75
2014-06-04,33.07499,17.56,12.96,12.82,20.8,23.4,84.1,49.9,12.26,32.5,18.8,174.0,17.08,5.14057,10.62,15.25,15.21,16.89,8.23,13.7,11.38,17.2,21.69,33.52,28.27,33.66,36.5,73.93,2.67
2014-06-05,33.08471,17.55,12.99,12.9,21.0,23.51,88.0,50.15,12.68,32.5,18.8,173.99,17.19,5.14057,10.5,14.9975,15.2,16.78,8.44,13.8,11.45,17.2,21.85,33.65,28.3,33.89,36.49,73.0,2.66
2014-06-06,33.08471,17.3,13.11,12.94,21.85,23.1,88.0,50.5,12.77,32.0,18.8,173.98,17.2,5.19844,10.44,14.9975,15.2,16.95,8.4,14.66,11.55,17.24,21.85,32.84,28.3,33.5,36.5,72.41,2.6
