Titre :;Espagne, PIB en PPA
Code série :;AME.A.ESP.1.0.212.0.UVGD
Unité :;Unité décrite dans le titre (UNITS) (UNITS)
Magnitude :;Milliards (9)
Méthode d'observation :;Fin de période (E)
Source :;Eurostat (4D0)
2019;1380,81
2018;1330,58
2017;1280
2016;1238,82
2015;1208,32
2014;1149,77
2013;1116,42
2012;1130,53
2011;1130,62
2010;1137,66
2009;1142,51
2008;1215,46
2007;1215,32
2006;1132,48
2005;1027,74
2004;950,86
2003;896,68
2002;866,89
2001;812,4
2000;765,49
1999;701,34
1998;661,76
1997;617,93
1996;575,84
1995;543,29
1994;556,54
1993;534,07
1992;536,58
1991;517,38
1990;481,7
1989;444,1
1988;401,21
1987;364,92
1986;338,24
1985;318,45
1984;297,06
1983;275,41
1982;258
1981;235,28
1980;213,11
1979;189,12
1978;172,69
1977;159,9
1976;144,41
1975;127,36
1974;111,88
1973;93,32
1972;79,37
1971;69,11
1970;61,74
1969;55,21
1968;48,13
1967;43,79
1966;40,71
1965;36,5
1964;32,83
1963;29,6
1962;26,13
1961;22,96
1960;19,9
