DATE,RKNANPUSA666NRUG
1950-01-01,5684549.5
1951-01-01,7012460
1952-01-01,7305345.5
1953-01-01,7621198.5
1954-01-01,7925134
1955-01-01,8265726
1956-01-01,8603746
1957-01-01,8926616
1958-01-01,9210734
1959-01-01,9560204
1960-01-01,9898476
1961-01-01,10916100
1962-01-01,11325772
1963-01-01,11772312
1964-01-01,12272174
1965-01-01,13106078
1966-01-01,13722319
1967-01-01,14296026
1968-01-01,14888506
1969-01-01,15472193
1970-01-01,15973745
1971-01-01,16485769
1972-01-01,17084226
1973-01-01,17751130
1974-01-01,18319176
1975-01-01,18749454
1976-01-01,19258246
1977-01-01,19880752
1978-01-01,20621346
1979-01-01,21398030
1980-01-01,22033664
1981-01-01,22647426
1982-01-01,23128434
1983-01-01,23675252
1984-01-01,24426868
1985-01-01,25249576
1986-01-01,26067404
1987-01-01,26866096
1988-01-01,27655804
1989-01-01,28460168
1990-01-01,29208680
1991-01-01,29807550
1992-01-01,30447546
1993-01-01,31142584
1994-01-01,31914478
1995-01-01,32739804
1996-01-01,33669852
1997-01-01,34694972
1998-01-01,35854404
1999-01-01,37122332
2000-01-01,38439588
2001-01-01,39627500
2002-01-01,40679832
2003-01-01,41793136
2004-01-01,43024076
2005-01-01,44360180
2006-01-01,45671960
2007-01-01,46844308
2008-01-01,47779440
2009-01-01,48245684
2010-01-01,48728140
2011-01-01,49279028
2012-01-01,49960604
2013-01-01,50633788
2014-01-01,51190644
