Dates,VFTSE Index,UKX Index
04/01/1999,#N/A N/A,5879.4
05/01/1999,#N/A N/A,5958.2
06/01/1999,#N/A N/A,6148.8
07/01/1999,#N/A N/A,6101.2
08/01/1999,#N/A N/A,6147.2
11/01/1999,#N/A N/A,6085
12/01/1999,#N/A N/A,6033.6
13/01/1999,#N/A N/A,5850.1
14/01/1999,#N/A N/A,5820.2
15/01/1999,#N/A N/A,5941
18/01/1999,#N/A N/A,6123.9
19/01/1999,#N/A N/A,6027.6
20/01/1999,#N/A N/A,6105.6
21/01/1999,#N/A N/A,6022.3
22/01/1999,#N/A N/A,5861.2
25/01/1999,#N/A N/A,5880.9
26/01/1999,#N/A N/A,5885.7
27/01/1999,#N/A N/A,5876.4
28/01/1999,#N/A N/A,5872.5
29/01/1999,#N/A N/A,5896
01/02/1999,#N/A N/A,6012.4
02/02/1999,#N/A N/A,6013
03/02/1999,#N/A N/A,5940.3
04/02/1999,#N/A N/A,5939.9
05/02/1999,#N/A N/A,5855.3
08/02/1999,#N/A N/A,5834.9
09/02/1999,#N/A N/A,5779.9
10/02/1999,#N/A N/A,5770.2
11/02/1999,#N/A N/A,5888.5
12/02/1999,#N/A N/A,5950.7
15/02/1999,#N/A N/A,6023.2
16/02/1999,#N/A N/A,6108.6
17/02/1999,#N/A N/A,6078.4
18/02/1999,#N/A N/A,6074.9
19/02/1999,#N/A N/A,6031.2
22/02/1999,#N/A N/A,6069.9
23/02/1999,#N/A N/A,6155.2
24/02/1999,#N/A N/A,6307.6
25/02/1999,#N/A N/A,6206.5
26/02/1999,#N/A N/A,6175.1
01/03/1999,#N/A N/A,6060.9
02/03/1999,#N/A N/A,6061.3
03/03/1999,#N/A N/A,6048.3
04/03/1999,#N/A N/A,6101.4
05/03/1999,#N/A N/A,6205.5
08/03/1999,#N/A N/A,6208.8
09/03/1999,#N/A N/A,6237.7
10/03/1999,#N/A N/A,6241.5
11/03/1999,#N/A N/A,6335.7
12/03/1999,#N/A N/A,6282.2
15/03/1999,#N/A N/A,6206.8
16/03/1999,#N/A N/A,6201.9
17/03/1999,#N/A N/A,6140.6
18/03/1999,#N/A N/A,6114.3
19/03/1999,#N/A N/A,6163.2
22/03/1999,#N/A N/A,6152.8
23/03/1999,#N/A N/A,6060.5
24/03/1999,#N/A N/A,6016.7
25/03/1999,#N/A N/A,6085
26/03/1999,#N/A N/A,6139.2
29/03/1999,#N/A N/A,6252.9
30/03/1999,#N/A N/A,6264.1
31/03/1999,#N/A N/A,6295.3
01/04/1999,#N/A N/A,6330
02/04/1999,#N/A N/A,6330
05/04/1999,#N/A N/A,6330
06/04/1999,#N/A N/A,6415.3
07/04/1999,#N/A N/A,6473.2
08/04/1999,#N/A N/A,6437.9
09/04/1999,#N/A N/A,6472.8
12/04/1999,#N/A N/A,6441.2
13/04/1999,#N/A N/A,6513.1
14/04/1999,#N/A N/A,6493.6
15/04/1999,#N/A N/A,6466.1
16/04/1999,#N/A N/A,6420.6
19/04/1999,#N/A N/A,6515.3
20/04/1999,#N/A N/A,6319.8
21/04/1999,#N/A N/A,6311
22/04/1999,#N/A N/A,6413.6
23/04/1999,#N/A N/A,6428
26/04/1999,#N/A N/A,6503.6
27/04/1999,#N/A N/A,6593.6
28/04/1999,#N/A N/A,6598.8
29/04/1999,#N/A N/A,6497.6
30/04/1999,#N/A N/A,6552.2
03/05/1999,#N/A N/A,6552.2
04/05/1999,#N/A N/A,6533.1
05/05/1999,#N/A N/A,6401.7
06/05/1999,#N/A N/A,6406.6
07/05/1999,#N/A N/A,6356
10/05/1999,#N/A N/A,6348.8
11/05/1999,#N/A N/A,6378.3
12/05/1999,#N/A N/A,6343.1
13/05/1999,#N/A N/A,6456.6
14/05/1999,#N/A N/A,6300.4
17/05/1999,#N/A N/A,6165.8
18/05/1999,#N/A N/A,6206.4
19/05/1999,#N/A N/A,6266.7
20/05/1999,#N/A N/A,6368.2
21/05/1999,#N/A N/A,6353.1
24/05/1999,#N/A N/A,6322.1
25/05/1999,#N/A N/A,6249.3
26/05/1999,#N/A N/A,6236.8
27/05/1999,#N/A N/A,6199.5
28/05/1999,#N/A N/A,6226.2
31/05/1999,#N/A N/A,6226.2
01/06/1999,#N/A N/A,6250
02/06/1999,#N/A N/A,6302.2
03/06/1999,#N/A N/A,6348.6
04/06/1999,#N/A N/A,6361.5
07/06/1999,#N/A N/A,6412
08/06/1999,#N/A N/A,6431.5
09/06/1999,#N/A N/A,6453
10/06/1999,#N/A N/A,6403.4
11/06/1999,#N/A N/A,6484.8
14/06/1999,#N/A N/A,6430.1
15/06/1999,#N/A N/A,6451.2
16/06/1999,#N/A N/A,6504.9
17/06/1999,#N/A N/A,6493.6
18/06/1999,#N/A N/A,6527.8
21/06/1999,#N/A N/A,6581.2
22/06/1999,#N/A N/A,6552.4
23/06/1999,#N/A N/A,6496.5
24/06/1999,#N/A N/A,6416.7
25/06/1999,#N/A N/A,6435.4
28/06/1999,#N/A N/A,6405.7
29/06/1999,#N/A N/A,6307.1
30/06/1999,#N/A N/A,6318.5
01/07/1999,#N/A N/A,6488.9
02/07/1999,#N/A N/A,6491.9
05/07/1999,#N/A N/A,6592
06/07/1999,#N/A N/A,6620.6
07/07/1999,#N/A N/A,6597.4
08/07/1999,#N/A N/A,6557.3
09/07/1999,#N/A N/A,6562.6
12/07/1999,#N/A N/A,6545.5
13/07/1999,#N/A N/A,6445.6
14/07/1999,#N/A N/A,6473.1
15/07/1999,#N/A N/A,6575
16/07/1999,#N/A N/A,6563.2
19/07/1999,#N/A N/A,6483.7
20/07/1999,#N/A N/A,6392
21/07/1999,#N/A N/A,6329.8
22/07/1999,#N/A N/A,6297.8
23/07/1999,#N/A N/A,6207.4
26/07/1999,#N/A N/A,6169.1
27/07/1999,#N/A N/A,6262.8
28/07/1999,#N/A N/A,6297.2
29/07/1999,#N/A N/A,6117.5
30/07/1999,#N/A N/A,6231.9
02/08/1999,#N/A N/A,6288.3
03/08/1999,#N/A N/A,6250.6
04/08/1999,#N/A N/A,6235.4
05/08/1999,#N/A N/A,6101.6
06/08/1999,#N/A N/A,6121
09/08/1999,#N/A N/A,6126.4
10/08/1999,#N/A N/A,5978.4
11/08/1999,#N/A N/A,6014.4
12/08/1999,#N/A N/A,6153.3
13/08/1999,#N/A N/A,6245.1
16/08/1999,#N/A N/A,6235.4
17/08/1999,#N/A N/A,6166.4
18/08/1999,#N/A N/A,6201.8
19/08/1999,#N/A N/A,6118
20/08/1999,#N/A N/A,6180.8
23/08/1999,#N/A N/A,6322.1
24/08/1999,#N/A N/A,6315.1
25/08/1999,#N/A N/A,6369.5
26/08/1999,#N/A N/A,6383.9
27/08/1999,#N/A N/A,6375.2
30/08/1999,#N/A N/A,6375.2
31/08/1999,#N/A N/A,6246.4
01/09/1999,#N/A N/A,6276.2
02/09/1999,#N/A N/A,6195.6
03/09/1999,#N/A N/A,6332.1
06/09/1999,#N/A N/A,6375.7
07/09/1999,#N/A N/A,6309.5
08/09/1999,#N/A N/A,6253.6
09/09/1999,#N/A N/A,6260.6
10/09/1999,#N/A N/A,6191
13/09/1999,#N/A N/A,6169
14/09/1999,#N/A N/A,6116
15/09/1999,#N/A N/A,6067.7
16/09/1999,#N/A N/A,6014.6
17/09/1999,#N/A N/A,6039.8
20/09/1999,#N/A N/A,6056.5
21/09/1999,#N/A N/A,5957.3
22/09/1999,#N/A N/A,5913.9
23/09/1999,#N/A N/A,5969.7
24/09/1999,#N/A N/A,5937.6
27/09/1999,#N/A N/A,6078.6
28/09/1999,#N/A N/A,6007.2
29/09/1999,#N/A N/A,6020.6
30/09/1999,#N/A N/A,6029.8
01/10/1999,#N/A N/A,5970.7
04/10/1999,#N/A N/A,6052.9
05/10/1999,#N/A N/A,6084.5
06/10/1999,#N/A N/A,6097.5
07/10/1999,#N/A N/A,6200.4
08/10/1999,#N/A N/A,6199.4
11/10/1999,#N/A N/A,6234.8
12/10/1999,#N/A N/A,6174.8
13/10/1999,#N/A N/A,6113.4
14/10/1999,#N/A N/A,6039.4
15/10/1999,#N/A N/A,5907.3
18/10/1999,#N/A N/A,5869.2
19/10/1999,#N/A N/A,5993.7
20/10/1999,#N/A N/A,6006.7
21/10/1999,#N/A N/A,5939.3
22/10/1999,#N/A N/A,6058.9
25/10/1999,#N/A N/A,6009.4
26/10/1999,#N/A N/A,6092.4
27/10/1999,#N/A N/A,6045.7
28/10/1999,#N/A N/A,6149.1
29/10/1999,#N/A N/A,6255.7
01/11/1999,#N/A N/A,6284
02/11/1999,#N/A N/A,6252
03/11/1999,#N/A N/A,6280.8
04/11/1999,#N/A N/A,6331.3
05/11/1999,#N/A N/A,6356.6
08/11/1999,#N/A N/A,6374.3
09/11/1999,#N/A N/A,6435.5
10/11/1999,#N/A N/A,6447
11/11/1999,#N/A N/A,6551.4
12/11/1999,#N/A N/A,6511.6
15/11/1999,#N/A N/A,6533.6
16/11/1999,#N/A N/A,6583
17/11/1999,#N/A N/A,6555.7
18/11/1999,#N/A N/A,6550.8
19/11/1999,#N/A N/A,6482.3
22/11/1999,#N/A N/A,6442
23/11/1999,#N/A N/A,6534.2
