Libellé;;Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014)
IdBank;;001641607
Année;Mois
2016;9;66 790
2016;8;66 763
2016;7;66 735
2016;6;66 710
2016;5;66 688
2016;4;66 672
2016;3;66 659
2016;2;66 644
2016;1;66 628
2015;12;66 610
2015;11;66 590
2015;10;66 567
2015;9;66 539
2015;8;66 512
2015;7;66 484
2015;6;66 458
2015;5;66 433
2015;4;66 413
2015;3;66 400
2015;2;66 394
2015;1;66 381
2014;12;66 360
2014;11;66 337
2014;10;66 309
2014;9;66 278
2014;8;66 248
2014;7;66 218
2014;6;66 189
2014;5;66 163
2014;4;66 140
2014;3;66 118
2014;2;66 097
2014;1;66 074
2013;12;65 831
2013;11;65 805
2013;10;65 777
2013;9;65 746
2013;8;65 714
2013;7;65 683
2013;6;65 656
2013;5;65 629
2013;4;65 609
2013;3;65 594
2013;2;65 581
2013;1;65 565
2012;12;65 541
2012;11;65 514
2012;10;65 483
2012;9;65 449
2012;8;65 415
2012;7;65 382
2012;6;65 352
2012;5;65 323
2012;4;65 298
2012;3;65 278
2012;2;65 262
2012;1;65 241
2011;12;65 219
2011;11;65 195
2011;10;65 168
2011;9;65 138
2011;8;65 106
2011;7;65 074
2011;6;65 044
2011;5;65 016
2011;4;64 993
2011;3;64 971
2011;2;64 952
2011;1;64 933
2010;12;64 911
2010;11;64 883
2010;10;64 854
2010;9;64 823
2010;8;64 791
2010;7;64 759
2010;6;64 730
2010;5;64 703
2010;4;64 677
2010;3;64 654
2010;2;64 634
2010;1;64 613
2009;12;64 588
2009;11;64 562
2009;10;64 534
2009;9;64 502
2009;8;64 470
2009;7;64 437
2009;6;64 408
2009;5;64 380
2009;4;64 356
2009;3;64 333
2009;2;64 316
2009;1;64 305
2008;12;64 281
2008;11;64 253
2008;10;64 223
2008;9;64 189
2008;8;64 155
2008;7;64 120
2008;6;64 089
2008;5;64 057
2008;4;64 029
2008;3;64 005
2008;2;63 984
2008;1;63 962
2007;12;63 935
2007;11;63 907
2007;10;63 875
2007;9;63 840
2007;8;63 804
2007;7;63 769
2007;6;63 737
2007;5;63 703
2007;4;63 677
2007;3;63 649
2007;2;63 626
2007;1;63 601
2006;12;63 569
2006;11;63 534
2006;10;63 495
2006;9;63 455
2006;8;63 415
2006;7;63 377
2006;6;63 341
2006;5;63 302
2006;4;63 271
2006;3;63 240
2006;2;63 213
2006;1;63 186
2005;12;63 150
2005;11;63 111
2005;10;63 069
2005;9;63 024
2005;8;62 978
2005;7;62 934
2005;6;62 894
2005;5;62 854
2005;4;62 817
2005;3;62 789
2005;2;62 764
2005;1;62 731
2004;12;62 692
2004;11;62 650
2004;10;62 607
2004;9;62 563
2004;8;62 518
2004;7;62 471
2004;6;62 428
2004;5;62 390
2004;4;62 352
2004;3;62 317
2004;2;62 283
2004;1;62 251
2003;12;62 219
2003;11;62 183
2003;10;62 143
2003;9;62 102
2003;8;62 077
2003;7;62 035
2003;6;61 997
2003;5;61 956
2003;4;61 920
2003;3;61 887
2003;2;61 855
2003;1;61 824
2002;12;61 789
2002;11;61 753
2002;10;61 713
2002;9;61 671
2002;8;61 628
2002;7;61 585
2002;6;61 548
2002;5;61 508
2002;4;61 473
2002;3;61 440
2002;2;61 411
2002;1;61 385
2001;12;61 354
2001;11;61 319
2001;10;61 278
2001;9;61 238
2001;8;61 198
2001;7;61 156
2001;6;61 117
2001;5;61 077
2001;4;61 041
2001;3;61 006
2001;2;60 974
2001;1;60 941
2000;12;60 906
2000;11;60 870
2000;10;60 831
2000;9;60 791
2000;8;60 749
2000;7;60 707
2000;6;60 668
2000;5;60 627
2000;4;60 591
2000;3;60 557
2000;2;60 529
2000;1;60 508
1999;12;60 480
1999;11;60 449
1999;10;60 415
1999;9;60 376
1999;8;60 338
1999;7;60 298
1999;6;60 261
1999;5;60 225
1999;4;60 193
1999;3;60 166
1999;2;60 146
1999;1;60 123
1998;12;60 107
1998;11;60 088
1998;10;60 067
1998;9;60 042
1998;8;60 018
1998;7;59 992
1998;6;59 971
1998;5;59 952
1998;4;59 936
1998;3;59 925
1998;2;59 915
1998;1;59 899
1997;12;59 882
1997;11;59 866
1997;10;59 846
1997;9;59 825
1997;8;59 806
1997;7;59 782
1997;6;59 759
1997;5;59 738
1997;4;59 719
1997;3;59 704
1997;2;59 693
1997;1;59 691
1996;12;59 680
1996;11;59 663
1996;10;59 643
1996;9;59 622
1996;8;59 601
1996;7;59 577
1996;6;59 555
1996;5;59 535
1996;4;59 520
1996;3;59 506
1996;2;59 496
1996;1;59 487
1995;12;59 476
1995;11;59 459
1995;10;59 437
1995;9;59 416
1995;8;59 395
1995;7;59 372
1995;6;59 350
1995;5;59 331
1995;4;59 319
1995;3;59 304
1995;2;59 291
1995;1;59 281
1994;12;59 263
1994;11;59 245
1994;10;59 226
1994;9;59 207
1994;8;59 188
1994;7;59 166
1994;6;59 145
1994;5;59 122
1994;4;59 105
1994;3;59 090
1994;2;59 078
1994;1;59 070
