Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,50.71,20.75,68.48,47.48,34.91,32.84,36.63,16.59,14.66,8.27,19.12,22.94
1901,41.44,93.28,89.52,24.22,18.45,24.86,19.22,28.28,14.50,17.50,14.60,20.78
1902,83.38,49.93,19.38,3.74,8.86,14.84,9.48,11.27,12.70,15.89,29.45,55.54
1903,67.34,45.51,84.34,57.15,28.38,21.83,22.73,16.50,31.90,21.40,39.03,90.47
1904,93.03,71.02,61.81,47.35,39.37,21.35,40.67,11.66,23.30,39.62,16.77,47.21
1905,63.92,32.48,24.24,43.00,31.98,23.00,19.57,10.74,12.06,18.58,17.87,31.58
1906,58.04,75.07,57.60,8.18,22.73,26.70,20.18,34.38,40.62,28.22,40.51,78.28
1907,80.40,64.18,56.12,14.67,19.28,41.85,23.21,16.31,8.57,14.48,32.94,88.68
1908,48.79,87.41,82.83,44.31,24.53,24.00,26.35,19.86,14.81,22.56,25.95,39.64
1909,63.27,45.46,50.72,39.66,20.91,44.89,15.26,42.49,10.79,25.89,44.06,41.52
1910,75.48,69.77,82.97,36.09,30.81,40.63,26.42,13.50,20.86,23.18,51.46,68.52
1911,80.70,72.81,35.94,41.09,22.86,15.68,19.25,12.66,13.20,15.05,34.79,60.28
1912,35.38,66.19,70.72,9.69,9.99,43.63,33.05,11.12,12.66,16.26,31.01,30.92
1913,71.01,92.25,74.31,24.71,24.82,23.85,12.01,13.10,14.63,17.66,14.02,54.53
1914,92.79,38.26,55.03,24.11,27.16,20.08,15.77,6.46,6.17,17.90,45.81,70.20
1915,83.45,52.16,20.21,14.40,36.79,29.11,16.65,18.51,22.32,14.48,14.43,52.36
1916,75.48,57.54,47.42,21.92,17.74,40.70,36.96,21.02,19.26,54.87,51.94,78.93
1917,112.15,73.01,75.55,18.62,20.06,26.12,24.63,25.29,35.69,26.54,68.18,65.20
1918,126.58,97.55,30.36,26.42,21.71,17.11,16.08,23.81,7.34,11.04,18.24,28.01
1919,61.76,80.20,27.77,27.87,24.33,11.74,9.87,18.49,9.01,11.33,23.01,51.62
1920,87.94,36.45,31.79,38.65,26.46,36.50,37.12,29.75,29.35,28.96,55.26,70.65
1921,60.61,87.74,91.57,23.56,61.79,44.48,25.36,18.07,21.86,23.37,23.00,61.81
1922,50.06,79.62,55.50,20.96,24.98,19.44,22.80,11.02,12.11,20.72,15.35,82.70
1923,58.12,27.18,53.35,38.96,23.52,57.20,22.61,10.49,14.42,16.32,13.86,76.13
1924,48.30,78.61,41.56,23.44,11.31,16.65,14.88,23.01,20.36,29.00,50.95,44.22
1925,98.52,82.55,65.49,20.22,27.13,18.54,17.39,14.79,12.04,7.37,26.71,33.68
1926,83.92,24.73,71.59,32.73,34.05,15.54,16.14,13.01,22.94,10.41,17.83,71.70
1927,79.01,60.23,69.02,14.78,12.28,34.28,17.29,11.69,14.10,19.53,31.77,53.53
1928,46.28,76.20,54.59,26.62,12.95,21.57,18.54,7.82,8.37,15.94,19.67,48.83
1929,58.67,68.23,62.77,30.73,20.61,23.65,7.89,13.77,10.04,12.72,23.72,39.84
1930,77.00,91.16,42.56,18.81,30.25,27.45,19.77,22.28,9.48,46.22,25.24,80.65
1931,65.68,22.91,70.29,41.47,44.02,37.91,19.39,13.61,17.66,16.22,41.41,44.23
1932,47.06,41.89,58.70,27.88,35.03,18.81,15.22,21.78,15.55,21.80,23.30,60.13
1933,43.66,57.51,52.58,28.48,23.83,24.44,30.74,25.12,22.55,19.88,49.04,66.60
1934,63.57,74.55,66.48,43.14,9.42,21.33,32.89,16.77,12.46,30.75,45.27,21.79
1935,58.67,37.25,68.79,17.35,10.18,25.75,21.21,17.94,21.01,26.05,15.29,25.21
1936,63.14,66.51,61.24,15.94,25.94,22.96,25.36,16.57,8.52,14.14,17.79,61.85
1937,105.74,43.95,60.45,12.99,15.09,21.77,8.78,16.76,9.81,15.78,32.99,38.12
1938,73.04,86.66,17.71,12.05,22.56,26.31,26.20,16.22,6.24,20.12,35.57,18.12
1939,93.58,86.81,61.54,33.56,15.81,41.39,33.07,25.90,6.94,25.58,37.19,28.95
1940,96.19,91.17,53.83,27.05,10.42,7.99,12.35,9.51,10.98,9.14,20.81,43.80
1941,109.30,38.75,102.21,29.46,22.06,36.39,16.17,12.49,11.03,19.02,37.39,36.95
1942,86.55,89.90,47.93,23.49,48.41,34.91,21.35,14.96,12.63,26.54,34.71,89.17
1943,41.88,84.48,51.94,36.89,16.23,14.75,15.08,17.59,22.12,20.20,28.17,38.83
1944,60.21,77.16,47.10,20.20,18.92,14.32,22.51,16.92,7.18,11.70,17.49,57.89
1945,56.49,61.32,61.21,13.19,17.69,40.42,24.55,21.21,11.67,19.03,16.12,58.12
1946,94.56,109.31,30.65,12.58,10.71,15.83,21.36,9.08,11.62,6.28,24.28,49.87
1947,34.46,105.31,89.67,15.68,16.69,18.56,19.73,38.18,32.12,32.42,36.68,60.75
1948,35.93,86.18,43.93,42.44,16.25,28.93,21.78,10.31,11.92,11.22,19.42,52.94
1949,38.65,102.03,78.97,13.95,35.06,15.25,14.62,11.41,20.46,41.24,36.37,56.79
1950,69.64,89.17,77.09,33.80,42.67,39.94,36.84,11.54,16.21,52.08,62.35,84.20
