Bank;"EBA 
Sample";"CET 1 
Adverse
2018
(Fully Loaded)";"? CET1
Adverse
2018-2015
(Fully Loaded)"
BANCOCOMERCIALPORTUGUESR;No;;
UNICREDITSPA;Yes;7,10%;-3,29%
BANCOPOPOLARESC;Yes;9,00%;-3,39%
EUROBANKERGASIASSA;No;;
PIRAEUSBANKSA;No;;
BANCAPOPOLAREDIMILANO;No;;
ALPHABANKAE;No;;
BANCACARIGESPA;No;;
COMMERZBANKAG;Yes;7,42%;-4,71%
COMMERZBANKAG;No;;
INTESASANPAOLO;Yes;10,21%;-2,26%
ROYALBANKOFSCOTLANDGROUPGB;Yes;8,08%;-7,45%
ROYALBANKOFSCOTLANDGROUPGB;No;;
SOCIETEGENERALESA;Yes;7,50%;-3,41%
BANCOBILBAOVIZCAYAARGENTA;Yes;8,19%;-2,08%
BANCOPOPULARESPANOL;Yes;6,62%;-3,58%
DEUTSCHEPFANDBRIEFBANKAG;No;;
MEDIOBANCASPAIT;No;;
UBIBANCASPA;Yes;8,85%;-2,77%
HSBCHOLDINGSPLCGB;Yes;8,76%;-3,12%
AAREALBANKAG;No;;
BARCLAYSPLCGB;Yes;7,30%;-4,05%
BANCODESABADELLSA;Yes;8,04%;-3,69%
CREDITSUISSEGROUPAGREG;No;;
BANCOBPISAREGSHS;No;;
BNPPARIBAS;Yes;8,51%;-2,36%
GOLDMANSACHSGroup;No;;
MORGANSTANLEY;No;;
NORDEABANKAB;No;;
UBSGROUPAGREG;No;;
RAIFFEISENBANKINTERNATIONA;Yes;6,12%;-4,08%
BANCOSANTANDERSA;Yes;8,20%;-1,99%
CREDITAGRICOLESA;Yes;13,38%;-2,16%
BANKOFAMERICA;No;;
CITIGROUPINC;No;;
ABNAMROGROUP;Yes;9,53%;-5,91%
JPMORGANCHASECo;No;;
BANKOFCYPRUSPUBLICCOLTD;No;;
BANKOFVALLETTAPLC;No;;
BPCE;Yes;9,47%;-3,31%
CrditMutuel;Yes;10,49%;-3,19%
HELLENICBANKPUBLICCOLTD;No;;
BANKIASA;No;;
INGGROEPNV;Yes;8,98%;-3,71%
ERSTEGROUPBANKAG;Yes;8,02%;-4,23%
BANKINTERSA;No;;
CAIXABANKSA;Yes;7,81%;-1,84%
KBCGROEPNV;Yes;11,27%;-3,61%
DEXIASA;No;;
Simple Average;;9,02%;-3,35%
DEUTSCHEBANKAGREGISTERED;Yes;7,80%;-3,32%
BANKOFIRELAND;Yes;6,15%;-5,13%
ALLIEDIRISHBANKSPLC;Yes;4,31%;-8,80%
LIBERBANKSA;No;;
PERMANENTTSBGROUPHOLDINGS;No;;
BANCAMONTEDEIPASCHISIENA;Yes;-2,44%;-14,51%
