"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"19,95";"20,4";"20,48";"19,73";"117956";
"18/01/2013";"19,56";"19,85";"19,96";"19,4";"111239";
"21/01/2013";"20";"19,34";"20,23";"19,3";"131180";
"22/01/2013";"19,75";"20";"20,4";"19,72";"154369";
"23/01/2013";"19,57";"19,55";"20,35";"19,4";"141834";
"24/01/2013";"19,8";"19,6";"19,97";"19,51";"56110";
"25/01/2013";"19,74";"19,8";"20,05";"19,72";"62145";
"28/01/2013";"19,3";"19,75";"19,85";"19,25";"137741";
"29/01/2013";"18,86";"19,13";"19,29";"18,8";"138566";
"30/01/2013";"18,77";"18,8";"19,1";"18,57";"75218";
"31/01/2013";"18,17";"18,6";"18,7";"17,92";"159721";
"01/02/2013";"18,7";"17,93";"18,89";"17,85";"184970";
"04/02/2013";"18,07";"18,87";"18,98";"18,07";"86365";
"05/02/2013";"18,14";"18,07";"18,3";"18,03";"50385";
"06/02/2013";"18,28";"18,23";"18,6";"18,02";"54167";
"07/02/2013";"17,93";"18,48";"18,48";"17,82";"96226";
"08/02/2013";"18,08";"17,9";"18,27";"17,5";"130004";
"11/02/2013";"17,77";"18,08";"18,25";"17,72";"91283";
"12/02/2013";"19,8";"17,73";"20,07";"17,6";"617005";
"13/02/2013";"18,81";"19,7";"19,74";"18,81";"188235";
"14/02/2013";"18,13";"18,57";"18,95";"17,89";"137836";
"15/02/2013";"18,12";"17,99";"18,45";"17,92";"53406";
"18/02/2013";"18,16";"18,15";"18,48";"17,95";"32758";
"19/02/2013";"18,5";"18,25";"18,84";"18,2";"94936";
"20/02/2013";"19,05";"18,59";"19,49";"18,5";"173214";
"21/02/2013";"18,7";"18,95";"19,39";"18,54";"59764";
"22/02/2013";"18,64";"18,9";"19,8";"18,53";"163252";
"25/02/2013";"18,82";"19";"19,08";"18,62";"52327";
"26/02/2013";"18,77";"18,4";"18,9";"18,1";"59444";
"27/02/2013";"18,64";"18,9";"18,9";"18,36";"36860";
"28/02/2013";"18,46";"18,66";"18,79";"18,41";"41432";
"01/03/2013";"18,13";"18,33";"18,87";"18";"92754";
"04/03/2013";"17,9";"18,05";"18,05";"17,8";"71878";
"05/03/2013";"18,06";"17,8";"18,2";"17,8";"44088";
"06/03/2013";"18,03";"18,07";"18,5";"17,96";"50381";
"07/03/2013";"17,96";"18,2";"18,24";"17,78";"38621";
"08/03/2013";"17,81";"18,09";"18,1";"17,66";"67950";
"11/03/2013";"17,7";"17,8";"17,94";"17,62";"39353";
"12/03/2013";"17,98";"17,63";"18,1";"17,61";"59453";
"13/03/2013";"17,74";"18";"18";"17,66";"32767";
"14/03/2013";"17,83";"17,75";"17,85";"17,66";"20917";
"15/03/2013";"17,9";"17,99";"17,99";"17,7";"20299";
"18/03/2013";"18,8";"17,61";"19,14";"17,61";"320429";
"19/03/2013";"18,73";"19,35";"19,6";"18,73";"191223";
"20/03/2013";"18,74";"18,75";"18,93";"18,52";"75760";
"21/03/2013";"18,8";"18,82";"18,82";"18,56";"39270";
"22/03/2013";"18,4";"18,63";"18,69";"18,11";"45171";
"25/03/2013";"18,66";"18,8";"19,26";"18,5";"126486";
