"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"26/06/2015";"21";"22,3";"22,38";"20,57";"73816";
"29/06/2015";"20,7";"19,5";"20,88";"18,12";"31756";
"30/06/2015";"20,3";"20,45";"20,7";"20,01";"4855";
"01/07/2015";"20,35";"20,78";"20,85";"20,28";"28530";
"02/07/2015";"20,2";"20,69";"20,69";"20,18";"2652";
"03/07/2015";"19,61";"20,04";"20,14";"19,51";"4542";
"06/07/2015";"19,77";"19,5";"20,14";"19,5";"4781";
"07/07/2015";"19,2";"19,61";"19,95";"19,2";"16743";
"08/07/2015";"19,39";"19,04";"19,49";"18,5";"3239";
"09/07/2015";"19,18";"18,91";"19,69";"18,9";"1945";
"10/07/2015";"19,21";"19,01";"19,5";"18,99";"3342";
"13/07/2015";"19";"19,2";"19,2";"18,75";"2684";
"14/07/2015";"18,88";"18,8";"18,9";"18,25";"4959";
"15/07/2015";"20,4";"18,8";"20,59";"18,7";"19117";
"16/07/2015";"20";"20,5";"20,8";"19,85";"3421";
"17/07/2015";"20";"20,1";"20,1";"19,5";"8727";
"20/07/2015";"19,75";"20,34";"20,34";"19,5";"2430";
"21/07/2015";"19,93";"19,65";"19,94";"19,06";"3222";
"22/07/2015";"20";"19,92";"20,11";"19,81";"537";
"23/07/2015";"20";"20,1";"20,1";"19,81";"508";
"24/07/2015";"19,93";"20,1";"20,1";"19,75";"1060";
"27/07/2015";"19,54";"19,85";"19,85";"19,45";"1653";
"28/07/2015";"19,5";"19,53";"19,53";"19,16";"4253";
"29/07/2015";"19,47";"19,2";"19,78";"19,2";"1987";
"30/07/2015";"19,94";"19,69";"20";"19,6";"2033";
"31/07/2015";"20";"20";"20";"19,75";"1410";
"03/08/2015";"20";"20,25";"20,25";"19,65";"2318";
"04/08/2015";"20";"19,95";"20";"19,69";"1839";
"05/08/2015";"20";"20";"20,35";"19,55";"4318";
"06/08/2015";"20,1";"20,1";"20,3";"19,99";"1591";
"07/08/2015";"20,09";"20,04";"20,32";"19,7";"3311";
"10/08/2015";"20,5";"20,25";"21,44";"20,15";"10147";
"11/08/2015";"20,05";"20,69";"20,75";"19,95";"8958";
"12/08/2015";"19,53";"20,05";"20,05";"19,15";"3278";
"13/08/2015";"19,99";"19,53";"20,2";"19,42";"2433";
"14/08/2015";"20";"19,99";"20";"19,75";"713";
"17/08/2015";"19,89";"19,99";"20,1";"19,4";"1206";
"18/08/2015";"20";"19,99";"20,19";"19,8";"3272";
"19/08/2015";"19,9";"19,98";"19,98";"19,5";"2687";
"20/08/2015";"19,9";"19,9";"20,16";"19";"15404";
"21/08/2015";"19,83";"19,6";"20,1";"19,55";"13823";
"24/08/2015";"18,69";"19,58";"19,58";"17,75";"6537";
"25/08/2015";"19,29";"18,95";"19,94";"18,79";"4186";
"26/08/2015";"19,38";"19,1";"19,39";"19";"751";
"27/08/2015";"19,9";"19,38";"19,96";"19,24";"2873";
"28/08/2015";"19,78";"19,05";"19,78";"19,05";"1140";
"31/08/2015";"19,97";"19,8";"19,97";"19,28";"4652";
"01/09/2015";"19,95";"20,2";"20,2";"19,37";"3103";
"02/09/2015";"19,75";"19,94";"19,94";"19,65";"1795";
"03/09/2015";"19,76";"19,79";"19,79";"19,49";"896";
"04/09/2015";"19,2";"19,78";"19,79";"19,15";"2321";
"07/09/2015";"19,23";"19,6";"19,8";"19";"1068";
"08/09/2015";"19,42";"19";"19,8";"18,65";"2641";
"09/09/2015";"19,42";"19,38";"19,42";"18,5";"872";
"10/09/2015";"19,75";"19,45";"19,75";"18,93";"492";
"11/09/2015";"19,65";"19,74";"19,74";"19,29";"573";
"14/09/2015";"19,6";"19,65";"19,65";"19,07";"529";
"15/09/2015";"19,6";"19,65";"19,65";"19,16";"512";
"16/09/2015";"19,58";"19,19";"19,59";"19,19";"784";
"17/09/2015";"19,3";"19,58";"19,58";"18,97";"254";
"18/09/2015";"19,3";"19,19";"19,3";"18,85";"1089";
"21/09/2015";"19,1";"19,3";"19,3";"18,75";"932";
"22/09/2015";"19,5";"19,3";"19,5";"19,15";"886";
"23/09/2015";"19,75";"19,39";"19,75";"19,3";"613";
"24/09/2015";"19,63";"19,34";"19,73";"19,3";"1102";
"25/09/2015";"19,95";"19,7";"19,95";"19,5";"1120";
"28/09/2015";"19,23";"19,95";"20";"18,6";"2010";
"29/09/2015";"18,93";"18,5";"18,98";"18";"1145";
"30/09/2015";"19,24";"18,88";"19,24";"18,34";"261";
"01/10/2015";"19,23";"19,23";"19,24";"18,46";"1023";
"02/10/2015";"19,23";"19,22";"19,23";"18,39";"271";
"05/10/2015";"19";"19,24";"19,24";"18,86";"610";
"06/10/2015";"19";"18,67";"19";"18,67";"244";
"07/10/2015";"19,23";"18,99";"19,24";"18,85";"1075";
"08/10/2015";"19,2";"19,23";"19,24";"18,62";"1753";
"09/10/2015";"19,1";"19,19";"19,19";"18,9";"681";
"12/10/2015";"19,03";"19,1";"19,15";"19";"944";
"13/10/2015";"19";"19,03";"19,09";"19";"1050";
"14/10/2015";"19";"18,99";"19";"18,9";"927";
"15/10/2015";"18,99";"18,99";"18,99";"18,65";"492";
"16/10/2015";"18,55";"18,99";"18,99";"18,21";"1580";
"19/10/2015";"18,61";"18,55";"18,65";"18,34";"1062";
"20/10/2015";"18,55";"18,11";"18,6";"18,08";"1008";
"21/10/2015";"18,49";"18,55";"18,62";"18,18";"586";
"22/10/2015";"18,16";"18,49";"18,62";"18,03";"1095";
"23/10/2015";"17,9";"18,04";"18,19";"17,9";"2165";
"26/10/2015";"17,97";"17,9";"18,19";"17,54";"622";
"27/10/2015";"18,05";"17,8";"18,05";"17,67";"719";
"28/10/2015";"17,97";"18,04";"18,04";"17,75";"132";
"29/10/2015";"17,88";"17,89";"17,89";"17,74";"159";
"30/10/2015";"17,85";"17,73";"17,9";"17,54";"1071";
"02/11/2015";"17,67";"17,84";"17,84";"17,31";"1584";
"03/11/2015";"17,3";"17,49";"17,76";"17,1";"2077";
"04/11/2015";"16,85";"17,06";"17,29";"16,65";"2217";
"05/11/2015";"16";"16,83";"16,83";"15,7";"2273";
"06/11/2015";"15,15";"15,61";"15,62";"14,9";"5056";
"09/11/2015";"14,64";"14,85";"15,1";"14,63";"5597";
"10/11/2015";"14,92";"14,99";"15,15";"14,33";"860";
"11/11/2015";"14,69";"14,9";"14,9";"14,6";"322";
"12/11/2015";"14,44";"14,65";"14,65";"13,24";"6621";
