"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"6,85";"6,87";"6,89";"6,81";"175299";
"18/01/2013";"6,94";"6,88";"6,95";"6,87";"297757";
"21/01/2013";"6,94";"6,95";"6,99";"6,86";"291571";
"22/01/2013";"6,97";"6,95";"6,97";"6,89";"170107";
"23/01/2013";"6,94";"6,95";"6,97";"6,9";"165030";
"24/01/2013";"6,65";"6,94";"6,94";"6,25";"685539";
"25/01/2013";"6,39";"6,63";"6,63";"6,3";"386994";
"28/01/2013";"6,43";"6,39";"6,57";"5,85";"822426";
"29/01/2013";"6,23";"6,5";"6,57";"6,2";"179627";
"30/01/2013";"6,44";"6,25";"6,51";"6,22";"206667";
"31/01/2013";"6,3";"6,44";"6,44";"6,21";"291875";
"01/02/2013";"6,47";"6,25";"6,55";"6,24";"234444";
"04/02/2013";"6,57";"6,51";"6,64";"6,5";"178458";
"05/02/2013";"6,64";"6,57";"6,72";"6,51";"128666";
"06/02/2013";"6,88";"6,72";"6,91";"6,72";"182907";
"07/02/2013";"6,77";"6,89";"6,9";"6,77";"85558";
"08/02/2013";"6,86";"6,8";"6,88";"6,76";"100213";
"11/02/2013";"6,91";"6,9";"6,94";"6,84";"134916";
"12/02/2013";"6,89";"6,91";"6,95";"6,85";"188713";
"13/02/2013";"7,7";"7,15";"7,93";"7,14";"1557567";
"14/02/2013";"7,6";"7,7";"7,89";"7,56";"638736";
"15/02/2013";"7,8";"7,65";"7,94";"7,62";"497663";
"18/02/2013";"8";"7,9";"8,07";"7,85";"693587";
"19/02/2013";"7,9";"8,05";"8,1";"7,83";"600145";
"20/02/2013";"7,92";"7,93";"7,98";"7,83";"290266";
"21/02/2013";"7,8";"7,92";"7,96";"7,8";"159051";
"22/02/2013";"7,68";"7,8";"7,8";"7,61";"295567";
"25/02/2013";"7,67";"7,81";"7,93";"7,61";"420758";
"26/02/2013";"7,58";"7,58";"7,72";"7,5";"258298";
"27/02/2013";"7,72";"7,69";"7,83";"7,6";"166922";
"28/02/2013";"7,35";"7,24";"7,47";"6,9";"1075275";
"01/03/2013";"7,48";"7,47";"7,59";"7,38";"431254";
"04/03/2013";"7,37";"7,46";"7,5";"7,32";"229903";
"05/03/2013";"7,38";"7,37";"7,47";"7,35";"159523";
"06/03/2013";"7,31";"7,4";"7,44";"7,3";"315896";
"07/03/2013";"7,34";"7,3";"7,4";"7,29";"212304";
"08/03/2013";"7,23";"7,38";"7,38";"7,17";"354012";
"11/03/2013";"7,03";"7,21";"7,23";"6,91";"465612";
"12/03/2013";"7,33";"7,03";"7,37";"7,03";"212252";
"13/03/2013";"7,24";"7,3";"7,3";"7,19";"117515";
"14/03/2013";"7,25";"7,3";"7,34";"7,19";"174203";
"15/03/2013";"7,29";"7,25";"7,3";"7,22";"152599";
"18/03/2013";"7,21";"7,24";"7,24";"7,13";"133900";
"19/03/2013";"7,15";"7,26";"7,28";"7,12";"132717";
"20/03/2013";"7,09";"7,14";"7,19";"6,96";"251831";
"21/03/2013";"7,23";"7,1";"7,23";"7,01";"117757";
"22/03/2013";"7,18";"7,23";"7,23";"7,07";"67598";
"25/03/2013";"7,11";"7,22";"7,24";"7,03";"105926";
"26/03/2013";"7,02";"7,11";"7,14";"7,02";"42469";
"27/03/2013";"6,96";"7,05";"7,06";"6,93";"209328";
"28/03/2013";"6,81";"6,9";"6,9";"6,52";"367234";
"02/04/2013";"6,79";"6,73";"6,89";"6,66";"79499";
"03/04/2013";"6,65";"6,8";"6,81";"6,56";"94863";
"04/04/2013";"6,25";"6,58";"6,61";"6,22";"407615";
"05/04/2013";"5,98";"6,26";"6,33";"5,84";"514188";
"08/04/2013";"6,5";"5,92";"6,5";"5,85";"347548";
"09/04/2013";"6,57";"6,7";"6,81";"6,46";"306258";
"10/04/2013";"6,74";"6,58";"6,78";"6,58";"210082";
"11/04/2013";"6,94";"6,81";"6,96";"6,76";"116288";
"12/04/2013";"7,11";"6,98";"7,25";"6,97";"301500";
"15/04/2013";"6,98";"7,17";"7,19";"6,98";"107420";
"16/04/2013";"6,8";"7";"7,11";"6,76";"303217";
"17/04/2013";"6,5";"6,86";"6,92";"6,43";"144130";
"18/04/2013";"6,13";"6,49";"6,49";"6,12";"313424";
"19/04/2013";"6,31";"6,16";"6,39";"6,16";"74338";
"22/04/2013";"6,52";"6,45";"6,67";"6,44";"115821";
"23/04/2013";"6,57";"6,55";"6,65";"6,52";"56483";
"24/04/2013";"6,67";"6,69";"6,75";"6,58";"71402";
"25/04/2013";"6,59";"6,73";"6,74";"6,56";"60326";
"26/04/2013";"6,41";"6,6";"6,6";"6,4";"71826";
"29/04/2013";"6,49";"6,45";"6,5";"6,42";"46665";
"30/04/2013";"6,4";"6,5";"6,5";"6,4";"100691";
"02/05/2013";"6,47";"6,5";"6,5";"6,41";"49462";
"03/05/2013";"6,81";"6,52";"6,81";"6,45";"97945";
"06/05/2013";"6,73";"6,85";"6,95";"6,73";"89577";
"07/05/2013";"6,95";"6,84";"6,95";"6,75";"81232";
"08/05/2013";"6,91";"6,91";"6,92";"6,8";"77994";
"09/05/2013";"6,98";"6,94";"6,98";"6,84";"43882";
"10/05/2013";"6,84";"6,97";"7";"6,8";"113701";
"13/05/2013";"6,91";"6,88";"6,93";"6,76";"82132";
"14/05/2013";"6,9";"6,91";"6,96";"6,85";"52021";
"15/05/2013";"6,72";"6,9";"6,9";"6,56";"175874";
"16/05/2013";"6,68";"6,8";"6,85";"6,61";"112836";
"17/05/2013";"6,55";"6,68";"6,71";"6,52";"102484";
"20/05/2013";"6,7";"6,56";"6,73";"6,51";"89744";
"21/05/2013";"6,71";"6,7";"6,71";"6,56";"98428";
"22/05/2013";"6,56";"6,73";"6,74";"6,56";"119131";
"23/05/2013";"6,29";"6,55";"6,55";"6,25";"212032";
"24/05/2013";"6,21";"6,31";"6,42";"6,16";"156785";
"27/05/2013";"6,17";"6,25";"6,4";"6,17";"71341";
"28/05/2013";"6,15";"6,21";"6,21";"6,1";"210894";
"29/05/2013";"6,13";"6,17";"6,18";"6,12";"67854";
"30/05/2013";"6,16";"6,15";"6,2";"6,12";"57936";
"31/05/2013";"6,1";"6,19";"6,2";"6,1";"132318";
"03/06/2013";"6,03";"6,14";"6,15";"5,92";"218039";
"04/06/2013";"6,19";"6,06";"6,19";"6,05";"192355";
"05/06/2013";"6,24";"6,18";"6,34";"6,15";"168666";
"06/06/2013";"6,18";"6,28";"6,32";"6,18";"114241";
"07/06/2013";"6,17";"6,23";"6,28";"6,11";"107239";
"10/06/2013";"6,2";"6,26";"6,27";"6,13";"90974";
"11/06/2013";"6,15";"6,23";"6,25";"6,14";"75755";
"12/06/2013";"6,13";"6,19";"6,24";"6,13";"95003";
"13/06/2013";"6,07";"6,11";"6,11";"6,01";"83711";
"14/06/2013";"6,12";"6,19";"6,2";"6,11";"78071";
"17/06/2013";"6,1";"6,15";"6,18";"6,09";"108563";
"18/06/2013";"6,02";"6,1";"6,13";"6,02";"42636";
"19/06/2013";"6,04";"6,04";"6,08";"5,95";"124316";
"20/06/2013";"5,93";"6,04";"6,04";"5,91";"97427";
"21/06/2013";"5,99";"5,98";"6,07";"5,94";"162977";
"24/06/2013";"5,75";"6";"6";"5,75";"208692";
"25/06/2013";"5,73";"5,5";"5,75";"5,21";"369489";
"26/06/2013";"5,8";"5,76";"5,86";"5,71";"81747";
"27/06/2013";"5,85";"5,82";"5,87";"5,75";"63142";
"28/06/2013";"6";"5,9";"6,03";"5,89";"112815";
"01/07/2013";"6";"6,01";"6,1";"5,96";"52319";
"02/07/2013";"6";"6,03";"6,05";"5,99";"43346";
"03/07/2013";"5,93";"5,97";"5,97";"5,84";"87789";
"04/07/2013";"6,01";"6";"6,04";"5,95";"74664";
"05/07/2013";"6,25";"6,04";"6,27";"6,02";"473550";
"08/07/2013";"6,32";"6,3";"6,37";"6,25";"79515";
"09/07/2013";"6,38";"6,32";"6,4";"6,25";"86097";
"10/07/2013";"6,5";"6,41";"6,5";"6,3";"108351";
"11/07/2013";"6,69";"6,56";"6,7";"6,5";"83868";
"12/07/2013";"6,82";"6,72";"6,9";"6,72";"182281";
"15/07/2013";"6,81";"6,9";"6,9";"6,61";"65088";
"16/07/2013";"6,6";"6,8";"6,8";"6,41";"119122";
"17/07/2013";"6,45";"6,55";"6,55";"6,4";"46011";
"18/07/2013";"6,84";"6,45";"6,85";"6,43";"103307";
"19/07/2013";"6,8";"6,84";"6,84";"6,65";"67513";
"22/07/2013";"6,8";"6,8";"6,8";"6,62";"57599";
"23/07/2013";"6,8";"6,8";"6,8";"6,67";"51244";
"24/07/2013";"6,72";"6,8";"6,82";"6,7";"29250";
"25/07/2013";"6,75";"6,73";"6,75";"6,6";"30766";
"26/07/2013";"6,68";"6,78";"6,78";"6,55";"49725";
"29/07/2013";"6,55";"6,67";"6,67";"6,55";"38441";
"30/07/2013";"6,78";"6,59";"6,79";"6,59";"40407";
"31/07/2013";"6,91";"6,79";"6,92";"6,75";"70935";
"01/08/2013";"6,97";"6,95";"6,97";"6,84";"68996";
"02/08/2013";"6,9";"6,97";"6,97";"6,83";"59318";
"05/08/2013";"6,85";"6,86";"6,94";"6,67";"129421";
"06/08/2013";"6,96";"6,9";"6,96";"6,82";"62994";
"07/08/2013";"6,94";"6,92";"6,94";"6,87";"32467";
"08/08/2013";"6,99";"6,94";"7";"6,88";"72607";
"09/08/2013";"7";"7";"7";"6,93";"48593";
"12/08/2013";"6,99";"6,99";"7";"6,95";"58273";
"13/08/2013";"6,99";"7";"7";"6,95";"28080";
"14/08/2013";"7";"6,98";"7";"6,9";"64948";
"15/08/2013";"6,94";"7";"7";"6,93";"29698";
"16/08/2013";"6,97";"6,92";"6,98";"6,88";"28686";
"19/08/2013";"7";"6,97";"7,08";"6,93";"350593";
"20/08/2013";"6,9";"7";"7";"6,81";"76638";
"21/08/2013";"6,97";"7";"7,14";"6,9";"568572";
"22/08/2013";"7,19";"6,98";"7,26";"6,96";"213321";
"23/08/2013";"7,27";"7,21";"7,41";"7,21";"142919";
"26/08/2013";"7,3";"7,26";"7,31";"7,2";"69353";
"27/08/2013";"6,96";"7,29";"7,3";"6,88";"264921";
"28/08/2013";"7,11";"6,91";"7,13";"6,8";"155612";
"29/08/2013";"7,05";"7,15";"7,19";"7,03";"91028";
"30/08/2013";"6,96";"7,03";"7,07";"6,91";"113894";
"02/09/2013";"6,92";"6,99";"7";"6,86";"62653";
