"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"06/12/2017";"14";"14,05";"14,19";"13,9";"7400";
"07/12/2017";"14,04";"14";"14,04";"13,83";"5804";
"08/12/2017";"14,04";"14,03";"14,04";"13,88";"1530";
"11/12/2017";"14,04";"14,05";"14,05";"13,95";"1709";
"12/12/2017";"14,03";"14,03";"14,04";"13,95";"1401";
"13/12/2017";"13,95";"14,03";"14,03";"13,92";"851";
"14/12/2017";"14,02";"13,9";"14,02";"13,83";"2235";
"15/12/2017";"14";"14,02";"14,02";"13,98";"331";
"18/12/2017";"13,93";"13,98";"13,98";"13,86";"2479";
"19/12/2017";"13,93";"13,93";"13,93";"13,75";"1084";
"20/12/2017";"13,9";"13,88";"13,93";"13,79";"1709";
"21/12/2017";"14,01";"13,93";"14,01";"13,85";"2214";
"22/12/2017";"14,01";"14,01";"14,01";"13,98";"419";
"27/12/2017";"13,94";"14";"14";"13,9";"1799";
"28/12/2017";"13,93";"13,94";"13,94";"13,91";"598";
"29/12/2017";"13,95";"13,93";"14,02";"13,91";"8636";
"02/01/2018";"14,01";"13,98";"14,05";"13,98";"7187";
"03/01/2018";"14,02";"14,018";"14,068";"14,01";"2260";
"04/01/2018";"14";"14,05";"14,05";"14";"5114";
"05/01/2018";"14";"14,05";"14,05";"14";"3867";
"08/01/2018";"13,992";"14,018";"14,05";"13,992";"13583";
"09/01/2018";"14";"13,994";"14";"13,97";"4113";
"10/01/2018";"13,98";"14";"14";"13,98";"1563";
"11/01/2018";"13,7";"13,98";"13,98";"13,7";"3988";
"12/01/2018";"13,7";"13,7";"13,7";"13,692";"1372";
"15/01/2018";"13,698";"13,702";"13,702";"13,694";"3174";
"16/01/2018";"13,78";"13,698";"13,78";"13,696";"2542";


