"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"10/07/2014";"7,9";"8,5";"8,65";"7,74";"121481";
"11/07/2014";"7,85";"7,7";"7,9";"7,66";"26464";
"14/07/2014";"7,9";"7,8";"7,95";"7,8";"13298";
"15/07/2014";"8";"8";"8,09";"7,92";"25132";
"16/07/2014";"8,1";"8,1";"8,1";"7,92";"65180";
"17/07/2014";"8,09";"8,15";"8,15";"8";"8567";
"18/07/2014";"8,19";"8";"8,19";"7,92";"12906";
"21/07/2014";"8,3";"8,22";"8,3";"8,15";"9408";
"22/07/2014";"8,36";"8,38";"8,38";"8,2";"8792";
"23/07/2014";"8,47";"8,3";"8,5";"8,25";"13893";
"24/07/2014";"8,35";"8,47";"8,49";"8,35";"1520";
"25/07/2014";"8,47";"8,26";"8,47";"8,26";"6";
"28/07/2014";"8,36";"8,45";"8,45";"8,35";"2983";
"29/07/2014";"8,45";"8,45";"8,45";"8,4";"65";
"30/07/2014";"8,45";"8,45";"8,45";"8,45";"100";
"31/07/2014";"8,3";"8,45";"8,45";"8,26";"2629";
"01/08/2014";"8,32";"8,45";"8,45";"8,26";"2888";
"04/08/2014";"8,26";"8,32";"8,32";"8,26";"1065";
"05/08/2014";"8,33";"8,32";"8,45";"8,32";"305";
"06/08/2014";"8,35";"8,45";"8,45";"8,21";"35438";
"07/08/2014";"8,3";"8,21";"8,35";"8,15";"17829";
"08/08/2014";"8,3";"8,16";"8,3";"8";"23725";
"11/08/2014";"7,76";"8";"8";"7,71";"1307";
"12/08/2014";"7,78";"7,77";"7,78";"7,77";"424";
"13/08/2014";"8";"7,75";"8";"7,75";"514";
"14/08/2014";"7,83";"8";"8";"7,81";"367";
"15/08/2014";"8";"8";"8";"8";"21";
"18/08/2014";"7,81";"7,8";"7,81";"7,8";"421";
"19/08/2014";"8,6";"8,29";"8,75";"8,05";"13348";
"20/08/2014";"8,55";"8,6";"8,6";"8,5";"7756";
"21/08/2014";"8,41";"8,51";"8,58";"8,41";"3959";
"25/08/2014";"8,59";"8,55";"8,59";"8,4";"1011";
"26/08/2014";"8,58";"8,59";"8,59";"8,4";"902";
"27/08/2014";"8,5";"8,5";"8,55";"8,47";"2756";
"28/08/2014";"8,57";"8,58";"8,58";"8,47";"5709";
"29/08/2014";"8,5";"8,59";"8,59";"8,5";"3752";
"01/09/2014";"8,5";"8,59";"8,59";"8,5";"454";
"02/09/2014";"8,5";"8,59";"8,59";"8,5";"1011";
"03/09/2014";"8,5";"8,5";"8,55";"8,5";"942";
"04/09/2014";"8,51";"8,51";"8,56";"8,51";"4218";
"05/09/2014";"8,26";"8,51";"8,51";"8,25";"5012";
"08/09/2014";"8,3";"8,55";"8,55";"8,3";"101";
"09/09/2014";"8,21";"8,41";"8,41";"8,2";"2845";
"10/09/2014";"8,24";"8,21";"8,51";"8,21";"1493";
"11/09/2014";"8,21";"8,3";"8,3";"8,21";"425";
"12/09/2014";"8,4";"8,3";"8,4";"8,21";"751";
"15/09/2014";"8,31";"8,3";"8,31";"8,3";"1073";
"17/09/2014";"8,48";"8,41";"8,55";"8,41";"1725";
"18/09/2014";"8,45";"8,55";"8,55";"8,45";"1986";
"19/09/2014";"8,5";"8,54";"8,57";"8,5";"658";
"22/09/2014";"8,56";"8,57";"8,57";"8,56";"1782";
"23/09/2014";"8,51";"8,56";"8,56";"8,51";"552";
"24/09/2014";"8,51";"8,51";"8,51";"8,51";"2008";
"25/09/2014";"8,51";"8,51";"8,51";"8,51";"500";
"26/09/2014";"8,51";"8,51";"8,51";"8,51";"500";
"29/09/2014";"8,51";"8,55";"8,56";"8,51";"701";
"30/09/2014";"8,51";"8,57";"8,57";"8,51";"127";
"01/10/2014";"8,52";"8,52";"8,52";"8,52";"1000";
"02/10/2014";"8,5";"8,52";"8,55";"8,5";"2165";
"03/10/2014";"8,35";"8,35";"8,35";"8,35";"3300";
"06/10/2014";"8,55";"8,55";"8,55";"8,55";"730";
"07/10/2014";"8,54";"8,54";"8,54";"8,54";"500";
"08/10/2014";"8,4";"8,41";"8,53";"8,4";"400";
"09/10/2014";"8,4";"8,53";"8,53";"8,36";"1884";
"10/10/2014";"8,17";"8,35";"8,35";"8,17";"5312";
"13/10/2014";"8,07";"8,06";"8,07";"8,06";"480";
"14/10/2014";"7,75";"8,07";"8,07";"7,75";"5610";
"15/10/2014";"7,5";"7,73";"7,73";"7,5";"2455";
"16/10/2014";"7";"7,5";"7,57";"6,23";"4040";
"17/10/2014";"7,1";"7,1";"7,1";"6,93";"1150";
"20/10/2014";"7";"7";"7,21";"6,81";"885";
"21/10/2014";"7,2";"6,87";"7,2";"6,87";"3673";
"22/10/2014";"7,25";"7,25";"7,25";"7,25";"482";
"23/10/2014";"7,03";"7,1";"7,25";"6,95";"8262";
"24/10/2014";"6,9";"7,05";"7,4";"6,9";"15596";
"27/10/2014";"6,9";"7";"7,15";"6,9";"1187";
"28/10/2014";"7,35";"7";"7,35";"7";"130";
"29/10/2014";"7,8";"7,5";"7,85";"7,5";"1263";
"30/10/2014";"7,7";"7,81";"7,81";"7,7";"121";
"31/10/2014";"7,12";"7,5";"7,7";"7,11";"27982";
"03/11/2014";"7,11";"7,12";"7,3";"7,11";"3219";
"04/11/2014";"7,09";"7,11";"7,11";"7,09";"685";
"05/11/2014";"7,2";"7,2";"7,2";"7,2";"10";
"06/11/2014";"7";"7,07";"7,07";"7";"491";
