"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"11/05/2016";"6,749";"6,95";"6,975";"6,5";"111300";
"12/05/2016";"6,4";"6,88";"6,89";"6,4";"58678";
"13/05/2016";"6,6";"6,7";"6,75";"6,3";"43734";
"16/05/2016";"6,45";"6,5";"6,7";"6,211";"16113";
"17/05/2016";"6,35";"6,44";"6,44";"6,25";"9770";
"18/05/2016";"6,68";"6,35";"6,7";"6,161";"39191";
"19/05/2016";"6,788";"6,679";"6,788";"6,35";"7159";
"20/05/2016";"6,75";"6,5";"6,779";"6,5";"1526";
"23/05/2016";"6,748";"6,5";"6,758";"6,5";"3187";
"24/05/2016";"6,742";"6,76";"6,76";"6,6";"3581";
"25/05/2016";"6,749";"6,749";"6,749";"6,25";"69667";
"26/05/2016";"6,679";"6,739";"6,739";"6,46";"3400";
"27/05/2016";"6,678";"6,747";"6,747";"6,47";"3003";
"30/05/2016";"6,7";"6,7";"6,7";"6,551";"2988";
"31/05/2016";"6,683";"6,7";"6,7";"6,551";"8945";
"01/06/2016";"6,7";"6,687";"6,7";"6,56";"4986";
"02/06/2016";"6,7";"6,7";"6,7";"6,55";"10205";
"03/06/2016";"6,7";"6,55";"6,7";"6,45";"16230";
"06/06/2016";"6,645";"6,699";"6,699";"6,5";"27672";
"07/06/2016";"6,5";"6,61";"6,7";"6,47";"21786";
"08/06/2016";"6,7";"6,65";"6,7";"6,5";"27902";
"09/06/2016";"6,4";"6,65";"6,65";"6,222";"47799";
"10/06/2016";"6,44";"6,319";"6,5";"6,296";"3010";
"13/06/2016";"6,054";"6,5";"6,5";"6,054";"9847";
"14/06/2016";"5,441";"6,01";"6,011";"5,324";"23422";
"15/06/2016";"5,3";"5,41";"5,549";"5,3";"5638";
"16/06/2016";"5,35";"5,32";"5,55";"5,32";"4641";
"17/06/2016";"5,55";"5,403";"5,794";"5,403";"1327";
"20/06/2016";"5,515";"5,66";"5,753";"5,513";"2561";
"21/06/2016";"6,176";"6,06";"6,6";"6,06";"54169";
"22/06/2016";"6,32";"6,298";"6,388";"6,161";"20046";
"23/06/2016";"6,3";"6,372";"6,52";"6,211";"28987";
"24/06/2016";"5,933";"6,15";"6,15";"5,771";"24460";
"27/06/2016";"6,023";"6,15";"6,4";"6,013";"11153";
"28/06/2016";"6,76";"6,29";"6,76";"6,1";"13657";
"29/06/2016";"6,43";"6,76";"6,88";"6,401";"9865";
"30/06/2016";"6,362";"6,6";"6,6";"6,362";"2251";
"01/07/2016";"6,35";"6,5";"6,5";"6,35";"3467";
"04/07/2016";"6,255";"6,49";"6,49";"6,252";"2693";
"05/07/2016";"6,2";"6,211";"6,25";"6,2";"3095";
"06/07/2016";"6,15";"6,25";"6,25";"6,15";"1554";
"07/07/2016";"6,3";"6,24";"6,6";"6,24";"4108";
"08/07/2016";"6,267";"6,439";"6,439";"6,267";"592";
"11/07/2016";"6,262";"6,24";"6,419";"6,24";"1638";
"12/07/2016";"6,31";"6,45";"6,45";"6,305";"1612";
"13/07/2016";"6,25";"6,24";"6,4";"6,24";"706";
"14/07/2016";"6,2";"6,3";"6,379";"6,2";"5403";
"15/07/2016";"6,02";"6,15";"6,194";"6,02";"11924";
