"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"13/10/2017";"10,4";"11";"11,18";"10,28";"123379";
"16/10/2017";"10,42";"10,4";"10,44";"10,31";"11054";
"17/10/2017";"10,46";"10,43";"10,46";"9,7";"21283";
"18/10/2017";"10";"10,5";"10,5";"9,88";"13990";
"19/10/2017";"10,04";"10,1";"10,23";"9,45";"59391";
"20/10/2017";"9,95";"9,55";"9,98";"9,55";"4367";
"23/10/2017";"9,9";"9,95";"9,98";"9,62";"2327";
"24/10/2017";"9,72";"10";"10,12";"9,6";"7840";
"25/10/2017";"9,75";"9,62";"9,78";"9,58";"5882";
"26/10/2017";"9,72";"9,72";"9,9";"9,23";"18163";
"27/10/2017";"9,76";"9,85";"9,85";"9,3";"22934";
"30/10/2017";"9,5";"9,43";"9,51";"9,3";"9150";
"31/10/2017";"9,5";"9,5";"9,5";"9,4";"1734";
"01/11/2017";"9,15";"9,15";"9,39";"9,07";"6565";
"02/11/2017";"9,1";"9,26";"9,26";"9";"7623";
"03/11/2017";"9,1";"9,04";"9,35";"8,96";"5832";
"06/11/2017";"9,44";"9,01";"9,44";"9";"584";
"07/11/2017";"9,44";"9,49";"9,49";"9";"10675";
"08/11/2017";"9,32";"9,02";"9,32";"8,78";"14160";
"09/11/2017";"9,19";"9,32";"9,32";"8,9";"11560";
"10/11/2017";"9,24";"9,19";"9,43";"9,1";"6953";
"13/11/2017";"9,13";"9,17";"9,24";"9,1";"4043";
"14/11/2017";"8,95";"9,14";"9,19";"8,95";"6815";
"15/11/2017";"9,13";"9,14";"9,23";"9";"1476";
"16/11/2017";"9,23";"9,23";"9,4";"9,1";"12363";
"17/11/2017";"9,4";"9,4";"9,4";"9,23";"2766";
"20/11/2017";"9,6";"9,4";"9,8";"9,2";"13284";
"21/11/2017";"10,3";"9,66";"10,3";"9,66";"27694";
"22/11/2017";"10,5";"10,49";"10,66";"10,38";"11829";
"23/11/2017";"10,38";"10,49";"10,49";"10,2";"2344";
"24/11/2017";"10,38";"10,38";"10,39";"10,25";"515";
"27/11/2017";"10,2";"10,4";"10,4";"10,2";"780";
"28/11/2017";"10,27";"10,21";"10,35";"10,15";"1531";
"29/11/2017";"9,89";"10";"10";"9,62";"2337";
"30/11/2017";"10";"9,89";"10";"9,88";"176";
"01/12/2017";"9,89";"10";"10";"9,75";"2930";
"04/12/2017";"9,95";"9,8";"9,95";"9,8";"501";
"05/12/2017";"9,95";"9,95";"10,01";"9,95";"985";
"06/12/2017";"10";"9,95";"10";"9,95";"952";
"07/12/2017";"10";"9,9";"10,3";"9,8";"5241";
"08/12/2017";"10";"10";"10";"9,95";"478";
"11/12/2017";"10,35";"10,01";"10,35";"9,99";"4806";
"12/12/2017";"10,45";"10,33";"10,55";"10,03";"6715";
"13/12/2017";"10,45";"10,45";"10,51";"10,45";"180";
"14/12/2017";"10,66";"10,55";"10,99";"10,43";"29691";
"15/12/2017";"10,95";"10,67";"10,99";"10,66";"7043";
"18/12/2017";"11,31";"11,71";"12,73";"11,1";"216494";
"19/12/2017";"11,89";"11,5";"11,91";"11,2";"29752";
"20/12/2017";"12,3";"11,88";"12,3";"11,46";"43574";
"21/12/2017";"12,2";"12,01";"12,29";"11,82";"24380";
"22/12/2017";"12,4";"12,34";"12,4";"12,03";"18719";
"27/12/2017";"12,7";"12,68";"12,8";"12,5";"12238";
"28/12/2017";"13,09";"12,8";"13,14";"12,66";"14091";
"29/12/2017";"13,3";"13";"13,34";"12,93";"8693";
"02/01/2018";"13,7";"13,85";"13,89";"13,63";"13980";
"03/01/2018";"13,7";"13,74";"13,796";"13,55";"21620";
"04/01/2018";"13,548";"13,696";"13,7";"13,36";"4688";
"05/01/2018";"12,998";"13,55";"13,55";"12,3";"17578";
"08/01/2018";"12,68";"13";"13";"12,45";"7234";
"09/01/2018";"12,92";"12,698";"13";"12,6";"6661";
"10/01/2018";"12,92";"12,89";"12,942";"12,87";"977";
"11/01/2018";"12,386";"12,8";"12,9";"12,2";"7458";
"12/01/2018";"12,3";"12,208";"12,334";"12,11";"4958";
"15/01/2018";"12,3";"12,4";"12,638";"12,3";"39875";
"16/01/2018";"12,25";"12,3";"12,35";"12,19";"4244";


