"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"13/07/2015";"8,3";"6,4";"8,8";"6,3";"260726";
"14/07/2015";"10,6";"8,77";"11,5";"8,7";"643990";
"15/07/2015";"10,11";"11,1";"12,29";"9,92";"557378";
"16/07/2015";"9,9";"10,12";"10,44";"9,71";"180361";
"17/07/2015";"9,78";"9,96";"10,19";"9,45";"80347";
"20/07/2015";"10,28";"9,81";"10,98";"9,7";"208849";
"21/07/2015";"10,05";"10,31";"10,76";"9,81";"91879";
"22/07/2015";"9,95";"9,93";"10,18";"9,45";"62879";
"23/07/2015";"9,99";"10";"10,18";"9,74";"26139";
"24/07/2015";"10,08";"10";"10,5";"9,8";"56860";
"27/07/2015";"9,93";"9,91";"10,16";"9,8";"44343";
"28/07/2015";"9,97";"9,91";"10,03";"9,73";"26744";
"29/07/2015";"10,17";"10";"10,2";"9,86";"25921";
"30/07/2015";"9,91";"10,15";"10,22";"9,89";"24658";
"31/07/2015";"9,96";"9,95";"10,1";"9,91";"10310";
"03/08/2015";"12,15";"10,25";"12,39";"10,06";"261444";
"04/08/2015";"17";"13,22";"17,5";"12,87";"1067422";
"05/08/2015";"16,3";"16,4";"19,3";"15,25";"963071";
"06/08/2015";"16,78";"16,01";"17,2";"16,01";"165619";
"07/08/2015";"16,21";"16,87";"16,87";"16,15";"31238";
"10/08/2015";"17,26";"16,1";"17,93";"15,51";"160384";
"11/08/2015";"16,97";"17,49";"18";"16,81";"138420";
"12/08/2015";"16,67";"16,81";"17,26";"16,4";"49676";
"13/08/2015";"16,5";"17,07";"17,15";"16,5";"46448";
"14/08/2015";"16,52";"16,85";"16,89";"16,45";"23824";
"17/08/2015";"16,9";"16,52";"17,2";"16,51";"44069";
"18/08/2015";"16,7";"17,27";"17,35";"16,62";"29450";
"19/08/2015";"16,25";"16,7";"16,93";"15,2";"48868";
"20/08/2015";"15,33";"15,9";"16";"15,25";"49909";
"21/08/2015";"14,82";"14,9";"15,6";"14,2";"51693";
"24/08/2015";"12,91";"13,6";"13,99";"11,03";"185893";
"25/08/2015";"13,9";"12,91";"14,48";"12,63";"101911";
"26/08/2015";"13,74";"14";"14,07";"13,4";"44277";
"27/08/2015";"14,02";"14,28";"14,44";"13,86";"35222";
"28/08/2015";"13,99";"14,28";"14,28";"13,8";"16561";
"31/08/2015";"13,3";"13,8";"13,94";"12,95";"55620";
"01/09/2015";"12,49";"12,95";"12,95";"12,16";"44049";
"02/09/2015";"12,76";"12,46";"13,49";"12,46";"62601";
"03/09/2015";"13,3";"13,2";"13,45";"12,92";"18777";
"04/09/2015";"12,62";"12,83";"13,22";"12,62";"12933";
"07/09/2015";"12,62";"12,94";"12,94";"12,62";"5876";
"08/09/2015";"13,37";"12,66";"13,37";"12,61";"27328";
"09/09/2015";"13,11";"13,43";"13,5";"13,01";"16828";
"10/09/2015";"13,1";"13,13";"13,3";"12,38";"26408";
"11/09/2015";"12,81";"13,19";"13,32";"12,8";"17798";
"14/09/2015";"12,68";"12,57";"12,89";"12,52";"10084";
"15/09/2015";"12,17";"12,65";"12,75";"11,8";"25602";
"16/09/2015";"11,23";"11,86";"11,99";"10,7";"92094";
"17/09/2015";"12";"11,37";"12,38";"11,37";"69892";
"18/09/2015";"12,15";"12,27";"12,39";"11,84";"14823";
"21/09/2015";"14,2";"12,29";"15,47";"12,12";"284231";
"22/09/2015";"13,86";"14,44";"14,44";"13,54";"53088";
"23/09/2015";"13,92";"14,1";"14,84";"13,9";"63255";
"24/09/2015";"13,19";"13,95";"13,95";"12,83";"47481";
"25/09/2015";"13";"13,54";"13,58";"12,84";"13501";
"28/09/2015";"12,74";"12,71";"13,17";"12,35";"43358";
"29/09/2015";"11,9";"12,21";"12,4";"11,25";"32620";
"30/09/2015";"11,92";"12,42";"12,44";"11,91";"15163";
"01/10/2015";"11,55";"12,2";"12,2";"11,24";"37217";
"02/10/2015";"11,45";"11,59";"11,8";"11,2";"14500";
"05/10/2015";"11,79";"11,82";"12,63";"11,53";"33728";
"06/10/2015";"12,08";"12,09";"12,49";"11,79";"21972";
"07/10/2015";"11,9";"12,06";"12,29";"11,74";"17629";
"08/10/2015";"12,09";"12,1";"12,5";"11,72";"23188";
"09/10/2015";"11,95";"12,25";"12,25";"11,84";"21449";
"12/10/2015";"12,34";"11,99";"12,6";"11,88";"25968";
"13/10/2015";"12,05";"12,42";"12,5";"11,96";"12115";
"14/10/2015";"11,92";"12,02";"12,08";"11,85";"17033";
"15/10/2015";"11,85";"12,05";"12,05";"11,83";"15914";
"16/10/2015";"11,92";"11,81";"12,24";"11,7";"29222";
"19/10/2015";"12,05";"12,1";"12,43";"11,98";"21451";
"20/10/2015";"11,89";"12,1";"12,16";"11,84";"10889";
"21/10/2015";"12,01";"12,15";"12,15";"11,9";"6547";
"22/10/2015";"11,91";"12,11";"12,11";"11,71";"14908";
"23/10/2015";"11,72";"12,18";"12,18";"11,71";"17725";
"26/10/2015";"11,78";"11,89";"11,89";"11,6";"19392";
"27/10/2015";"11,34";"11,5";"11,87";"11,3";"30755";
"28/10/2015";"10,97";"11,25";"11,39";"10,8";"21424";
"29/10/2015";"10,78";"10,97";"11,07";"10,4";"22193";
"30/10/2015";"11,58";"10,66";"11,72";"10,55";"34515";
"02/11/2015";"11,69";"11,67";"12";"11,5";"28238";
"03/11/2015";"11,35";"11,6";"11,6";"10,95";"21146";
"04/11/2015";"11,69";"11,36";"11,7";"11,36";"14647";
"05/11/2015";"11,23";"11,67";"11,87";"10,82";"43961";
"06/11/2015";"11,4";"10,91";"11,49";"10,9";"36680";
"09/11/2015";"11,3";"11,48";"11,76";"11,14";"22610";
"10/11/2015";"11,77";"11,15";"11,97";"11,15";"49369";
"11/11/2015";"11,51";"11,6";"11,94";"11,31";"27405";
"12/11/2015";"11,48";"11,57";"11,6";"11,2";"18610";
"13/11/2015";"11,04";"11,47";"11,47";"10,97";"27593";
"16/11/2015";"10,86";"10,87";"11";"10,42";"37402";
"17/11/2015";"11,01";"11,47";"11,48";"10,83";"62143";
"18/11/2015";"11,5";"10,91";"11,84";"10,62";"95377";
"19/11/2015";"11,59";"11,68";"12,8";"11,37";"136159";
"20/11/2015";"11,21";"11,68";"11,72";"11,16";"31242";
"23/11/2015";"11,24";"11,43";"11,47";"11,04";"23562";
"24/11/2015";"10,95";"11,04";"11,39";"10,86";"19852";
"25/11/2015";"10,82";"10,89";"10,98";"10,77";"21308";
"26/11/2015";"11";"11,02";"11,42";"10,91";"24222";
"27/11/2015";"10,95";"10,93";"11,2";"10,75";"24642";
"30/11/2015";"10,93";"10,9";"11,09";"10,77";"11310";
"01/12/2015";"10,74";"10,79";"10,92";"10,73";"20309";
"02/12/2015";"10,75";"10,76";"10,96";"10,71";"8979";
"03/12/2015";"10,63";"10,82";"10,9";"10,55";"20481";
"04/12/2015";"10,81";"10,65";"10,94";"10,43";"19934";
"07/12/2015";"10,9";"10,92";"11,25";"10,8";"18810";
"08/12/2015";"10,8";"10,7";"10,85";"10,57";"11629";
"09/12/2015";"10,91";"10,63";"11,19";"10,63";"17789";
"10/12/2015";"10,75";"10,9";"11,09";"10,72";"6801";
"11/12/2015";"10,07";"10,7";"11,2";"9,77";"46981";
"14/12/2015";"9,72";"10,15";"10,33";"9,58";"18974";
"15/12/2015";"9,86";"9,6";"9,96";"9,2";"26667";
"16/12/2015";"10,08";"9,52";"10,16";"9,52";"17819";
