"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"10/09/2012";"24,09";"24";"24,2";"23,94";"4473";
"11/09/2012";"23,97";"24,01";"24,1";"23,8";"4287";
"12/09/2012";"23,9";"24";"24,09";"23,9";"1005";
"13/09/2012";"23,97";"23,95";"24";"23,95";"2832";
"14/09/2012";"24,05";"24,1";"24,1";"23,9";"2678";
"17/09/2012";"23,96";"24";"24,06";"23,81";"2708";
"18/09/2012";"24,09";"24,06";"24,1";"23,96";"1474";
"19/09/2012";"24,02";"24,05";"24,1";"23,91";"3097";
"20/09/2012";"23,97";"24,03";"24,03";"23,8";"5021";
"21/09/2012";"23,59";"23,55";"24";"23,55";"6571";
"24/09/2012";"23,71";"23,59";"23,8";"23,59";"2823";
"25/09/2012";"23,87";"23,8";"23,91";"23,7";"2915";
"26/09/2012";"23,67";"23,94";"23,94";"23,55";"16031";
"27/09/2012";"23,72";"23,6";"23,79";"23,55";"3888";
"28/09/2012";"23,7";"23,72";"23,75";"23,65";"1108";
"01/10/2012";"23,76";"23,6";"23,97";"23,6";"2277";
"02/10/2012";"23,95";"23,9";"23,95";"23,71";"1135";
"03/10/2012";"24,04";"24";"24,04";"23,7";"2277";
"04/10/2012";"24,04";"24,05";"24,05";"23,94";"960";
"05/10/2012";"24,1";"24,04";"24,1";"23,6";"6855";
"08/10/2012";"24,29";"24,03";"24,33";"24,03";"2906";
"09/10/2012";"24,7";"24,5";"24,86";"24,31";"9302";
"10/10/2012";"25,14";"24,7";"25,14";"24,7";"11007";
"11/10/2012";"25";"25,14";"25,2";"25";"2044";
"12/10/2012";"25,3";"25";"25,3";"24,8";"2964";
"15/10/2012";"25,35";"25,3";"25,35";"25,15";"575";
"16/10/2012";"25,39";"25,35";"25,65";"25,19";"5161";
"17/10/2012";"25,24";"25,39";"25,53";"25,1";"1331";
"18/10/2012";"25,22";"25,25";"25,33";"25,1";"1253";
"19/10/2012";"25,01";"25,22";"25,31";"25";"1384";
"22/10/2012";"25";"25";"25,28";"25";"9606";
"23/10/2012";"25,3";"24,91";"25,3";"24,76";"3434";
"24/10/2012";"26";"25,3";"26";"25,2";"5867";
"25/10/2012";"25,99";"26";"26,28";"25,91";"16951";
"26/10/2012";"25,7";"25,98";"25,98";"25,27";"5844";
"29/10/2012";"25,89";"25,7";"25,89";"25,56";"1529";
"30/10/2012";"25,56";"25,88";"25,88";"25,56";"505";
"31/10/2012";"24,7";"25,36";"25,55";"24,7";"2468";
"01/11/2012";"25,41";"24,69";"25,41";"24,69";"51426";
"02/11/2012";"25,19";"25,5";"25,5";"25,01";"607";
"05/11/2012";"25,19";"25,19";"25,19";"25,1";"741";
"06/11/2012";"25,19";"25,18";"25,19";"25,01";"2412";
"07/11/2012";"25,18";"25,18";"25,19";"25,11";"899";
"08/11/2012";"24,32";"25,1";"25,18";"24,32";"3992";
"09/11/2012";"24,48";"24,5";"24,78";"24,3";"2248";
"12/11/2012";"24,78";"24,78";"24,78";"24,32";"1262";
"13/11/2012";"24,26";"24,77";"24,77";"24,26";"1680";
"14/11/2012";"24,18";"24,2";"24,21";"24,02";"986";
"15/11/2012";"24,16";"24,01";"24,5";"24,01";"1224";
"16/11/2012";"24,21";"24,16";"24,31";"24,12";"1431";
"19/11/2012";"24,83";"24,22";"24,83";"24,22";"2083";
"20/11/2012";"24,89";"24,83";"24,9";"24,76";"826";
"21/11/2012";"25,05";"24,52";"25,05";"24,52";"5545";
"22/11/2012";"25,15";"25,05";"25,15";"24,81";"1349";
"23/11/2012";"25,15";"25,05";"25,19";"25";"13953";
"26/11/2012";"25,04";"25,19";"25,19";"24,81";"981";
"27/11/2012";"25,2";"25,05";"25,2";"25";"6975";
"28/11/2012";"26,42";"25,7";"27,08";"25,7";"17177";
