"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"03/02/2015";"16";"16";"16";"16";"260478";
"06/02/2015";"17,6";"17,6";"18,3";"17,22";"237610";
"09/02/2015";"20,38";"18,35";"20,75";"17,92";"272595";
"10/02/2015";"24,1";"21";"25,395";"21";"387451";
"11/02/2015";"21,6";"25,2";"28,9";"21,055";"578527";
"12/02/2015";"22,385";"22,44";"24,99";"21,85";"196370";
"13/02/2015";"21,2";"23,5";"23,575";"21,06";"104845";
"16/02/2015";"22,14";"21,99";"22,48";"21,71";"98043";
"17/02/2015";"22,47";"22,5";"23,2";"22,2";"55157";
"18/02/2015";"22,51";"23";"23";"22,48";"24646";
"19/02/2015";"21,8";"22,51";"22,645";"21,8";"36266";
"20/02/2015";"21";"21,9";"21,9";"21";"37925";
"23/02/2015";"21,85";"21,32";"21,9";"21,32";"20352";
"24/02/2015";"21,8";"21,895";"21,895";"21,41";"8819";
"25/02/2015";"21,5";"21,89";"21,9";"21,32";"15318";
"26/02/2015";"20,75";"21,5";"21,505";"20,75";"23219";
"27/02/2015";"20,32";"20,76";"21";"20,31";"22181";
"02/03/2015";"21";"21,5";"21,5";"20,85";"32060";
"03/03/2015";"20,32";"21,1";"21,1";"20,25";"14910";
"04/03/2015";"20,15";"20,4";"20,5";"20";"20235";
"05/03/2015";"19,9";"20,44";"20,44";"19,7";"21664";
"06/03/2015";"19,83";"19,71";"20,14";"19,62";"25028";
"09/03/2015";"20,69";"19,95";"20,9";"19,84";"17123";
"10/03/2015";"20,36";"20,65";"20,75";"20,34";"4900";
"11/03/2015";"20,75";"20,3";"20,75";"19,85";"11148";
"12/03/2015";"20,7";"20,7";"20,79";"20,42";"6738";
"13/03/2015";"20,1";"20,7";"20,8";"20,08";"9702";
"16/03/2015";"20,375";"20,235";"20,69";"20,235";"6225";
"17/03/2015";"20,12";"20,585";"20,65";"20,1";"3842";
"18/03/2015";"20,66";"20,125";"20,66";"20,05";"6246";
