"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"7,1";"7,18";"7,18";"6,99";"16218";
"18/01/2013";"7,1";"7,05";"7,1";"7,01";"31039";
"21/01/2013";"7,05";"7,07";"7,09";"7,04";"4495";
"22/01/2013";"7,01";"7,05";"7,07";"7";"6621";
"23/01/2013";"7,05";"7,01";"7,05";"7";"5123";
"24/01/2013";"6,8";"7,06";"7,06";"6,7";"34733";
"25/01/2013";"7,05";"6,9";"7,1";"6,78";"25512";
"28/01/2013";"7,37";"7,1";"7,39";"7,05";"33717";
"29/01/2013";"7,33";"7,4";"7,4";"7,15";"33192";
"30/01/2013";"7,21";"7,33";"7,38";"7,15";"10108";
"31/01/2013";"7,15";"7,2";"7,28";"7,11";"8987";
"01/02/2013";"7,1";"7,15";"7,15";"6,9";"17864";
"04/02/2013";"7,09";"7,1";"7,1";"6,95";"17181";
"05/02/2013";"7,01";"6,95";"7,07";"6,95";"2245";
"06/02/2013";"7,09";"6,95";"7,09";"6,95";"9277";
"07/02/2013";"7,04";"7,09";"7,09";"7,01";"1960";
"08/02/2013";"7,15";"7";"7,15";"6,91";"10164";
"11/02/2013";"7,44";"7,25";"7,45";"7,23";"32142";
"12/02/2013";"7,65";"7,43";"7,65";"7,32";"31262";
"13/02/2013";"7,5";"7,66";"7,67";"7,41";"6437";
"14/02/2013";"7,35";"7,5";"7,53";"7,21";"19756";
"15/02/2013";"7,43";"7,3";"7,43";"7,2";"10214";
"18/02/2013";"7,55";"7,49";"7,55";"7,4";"8872";
"19/02/2013";"7,58";"7,51";"7,58";"7,4";"18248";
"20/02/2013";"7,51";"7,59";"7,59";"7,5";"2871";
"21/02/2013";"7,5";"7,51";"7,51";"7,4";"16809";
"22/02/2013";"7,55";"7,45";"7,57";"7,42";"5582";
"25/02/2013";"7,7";"7,54";"7,83";"7,54";"44305";
"26/02/2013";"7,34";"7,62";"7,62";"7,34";"33976";
"27/02/2013";"7,3";"7,21";"7,3";"7,15";"15532";
"28/02/2013";"7,29";"7,21";"7,3";"7,2";"45344";
"01/03/2013";"7,19";"7,3";"7,3";"7,11";"17842";
"04/03/2013";"7,27";"7,24";"7,27";"7,2";"7727";
"05/03/2013";"7,35";"7,25";"7,35";"7,22";"7638";
"06/03/2013";"7,29";"7,3";"7,35";"7,2";"8304";
"07/03/2013";"7,1";"7,29";"7,3";"7";"20310";
"08/03/2013";"7,19";"7,19";"7,2";"7,1";"16926";
"11/03/2013";"7,11";"7,13";"7,2";"7,01";"9867";
"12/03/2013";"7,01";"7,15";"7,15";"7,01";"2645";
"13/03/2013";"7";"7";"7";"6,91";"14899";
"14/03/2013";"6,95";"7,05";"7,05";"6,91";"6756";
"15/03/2013";"6,93";"6,95";"6,99";"6,92";"4675";
"18/03/2013";"6,89";"6,93";"6,93";"6,8";"13331";
"19/03/2013";"6,86";"6,9";"6,9";"6,83";"3713";
"20/03/2013";"6,7";"6,86";"6,9";"6,61";"16407";
"21/03/2013";"6,7";"6,79";"6,8";"6,7";"4444";
"22/03/2013";"6,63";"6,7";"6,7";"6,57";"10798";
"25/03/2013";"6,5";"6,62";"6,66";"6,5";"8351";
"26/03/2013";"6,2";"6,41";"6,48";"6,09";"40183";
"27/03/2013";"6,11";"6,15";"6,25";"6,02";"10043";
"28/03/2013";"5,9";"6,11";"6,11";"5,88";"24201";
"02/04/2013";"5,88";"5,87";"5,93";"5,87";"10065";
"03/04/2013";"6";"5,93";"6";"5,9";"16378";
"04/04/2013";"6";"6";"6";"5,95";"3670";
"05/04/2013";"5,95";"6";"6";"5,9";"6049";
"08/04/2013";"5,85";"5,92";"6";"5,85";"17395";
"09/04/2013";"5,9";"5,91";"5,98";"5,9";"20368";
"10/04/2013";"5,91";"5,9";"5,92";"5,87";"7257";
"11/04/2013";"5,89";"5,91";"5,94";"5,8";"16968";
"12/04/2013";"5,89";"5,89";"5,94";"5,83";"12907";
"15/04/2013";"5,89";"5,94";"5,98";"5,85";"34323";
"16/04/2013";"5,88";"5,89";"5,9";"5,8";"16159";
"17/04/2013";"5,7";"5,9";"5,9";"5,5";"22888";
"18/04/2013";"5,48";"5,7";"5,7";"5,43";"33306";
"19/04/2013";"5,58";"5,48";"5,7";"5,48";"44662";
"22/04/2013";"5,55";"5,59";"5,59";"5,43";"6101";
