"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"04/07/2013";"16,65";"16,65";"16,65";"16,65";"94464";
"05/07/2013";"18,89";"17,64";"19,99";"16,75";"39247";
"08/07/2013";"20,16";"20,4";"21,45";"20,16";"54381";
"09/07/2013";"19,25";"19,06";"19,93";"18,62";"18909";
"10/07/2013";"18,79";"19,25";"19,25";"18,59";"18054";
"11/07/2013";"18,85";"18,79";"19,71";"18,6";"11772";
"12/07/2013";"18,81";"19,3";"19,3";"18,7";"4148";
"15/07/2013";"18,62";"19";"19,25";"18,62";"3485";
"16/07/2013";"17,99";"19,08";"19,08";"17,2";"11915";
"17/07/2013";"17,8";"18,35";"18,35";"17,6";"3654";
"18/07/2013";"17,23";"17,79";"17,79";"16,95";"11829";
"19/07/2013";"17,37";"17,95";"17,95";"17";"9180";
"22/07/2013";"17,32";"17,5";"17,7";"17,25";"1282";
"23/07/2013";"16,82";"17,5";"17,5";"16,65";"9898";
"24/07/2013";"15,7";"16,6";"16,6";"15,55";"14786";
"25/07/2013";"15,98";"15,95";"16";"15,81";"4114";
"26/07/2013";"16,86";"15,9";"16,9";"15,7";"9756";
"29/07/2013";"16,9";"16,9";"16,9";"16,33";"992";
"30/07/2013";"16,41";"16,8";"16,85";"16,41";"924";
"31/07/2013";"16,99";"16,79";"16,99";"16,4";"2067";
"01/08/2013";"17,14";"16,94";"17,14";"16,8";"2194";
"02/08/2013";"16,96";"16,88";"17,15";"16,88";"976";
"05/08/2013";"17,21";"17,15";"17,21";"17,05";"1325";
"06/08/2013";"17,22";"17,22";"17,22";"17,1";"790";
"07/08/2013";"17";"17,2";"17,2";"17";"1099";
"08/08/2013";"17,22";"17";"17,22";"16,83";"616";
"09/08/2013";"16,44";"17,21";"17,21";"16,36";"3896";
"12/08/2013";"16";"16,6";"17,9";"15,61";"25196";
"13/08/2013";"16,28";"16,7";"16,7";"16,28";"936";
"14/08/2013";"16,36";"16,6";"16,85";"16,36";"1437";
"15/08/2013";"16,5";"16,41";"16,5";"16,31";"947";
"16/08/2013";"16,52";"16,26";"16,52";"16,2";"1192";
"19/08/2013";"16,2";"16,25";"16,46";"16,2";"1771";
"20/08/2013";"16,3";"16,25";"16,4";"16,15";"421";
"21/08/2013";"16,23";"16,3";"16,47";"16,06";"189";
"22/08/2013";"16";"16,47";"16,47";"16";"1160";
"23/08/2013";"16,5";"16,39";"16,5";"16,3";"1066";
"26/08/2013";"16,5";"16,5";"16,5";"16,5";"256";
"27/08/2013";"16,23";"16,15";"16,39";"16";"2428";
"28/08/2013";"15,95";"16,3";"16,3";"15,8";"2817";
"29/08/2013";"16,25";"15,99";"16,4";"15,99";"5961";
"30/08/2013";"15,99";"16,39";"16,39";"15,99";"1078";
"02/09/2013";"15,91";"15,83";"16,28";"15,83";"691";
