"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"30/03/2015";"12,33";"12,7";"12,78";"11,38";"581973";
"31/03/2015";"12,7";"12,42";"13,05";"12,1";"149453";
"01/04/2015";"12,6";"12,69";"12,75";"12,5";"40599";
"02/04/2015";"12,55";"12,6";"12,6";"12,5";"38174";
"07/04/2015";"12,22";"12,55";"12,55";"12,1";"81058";
"08/04/2015";"12";"12,22";"12,22";"11,74";"44275";
"09/04/2015";"11,59";"11,97";"11,97";"11,5";"51738";
"10/04/2015";"11,5";"11,59";"11,62";"11,4";"23786";
"13/04/2015";"11,41";"11,52";"11,57";"11,4";"18338";
"14/04/2015";"11";"11,4";"11,4";"10,35";"52941";
"15/04/2015";"11";"11";"11,01";"10,53";"56941";
"16/04/2015";"11,03";"10,95";"11,04";"10,78";"50863";
"17/04/2015";"11";"11,03";"11,08";"10,89";"41175";
"20/04/2015";"10,95";"11,01";"11,01";"10,88";"37970";
"21/04/2015";"11,14";"10,95";"11,14";"10,9";"11414";
"22/04/2015";"11,65";"11,14";"11,65";"10,96";"17271";
"23/04/2015";"11,43";"11,63";"11,63";"11,33";"11840";
"24/04/2015";"11,39";"11,43";"11,54";"11,3";"12971";
"27/04/2015";"11,45";"11,39";"11,46";"11,32";"8192";
"28/04/2015";"11,27";"11,45";"11,45";"11,2";"9751";
"29/04/2015";"11,2";"11,2";"11,39";"11,2";"3629";
"30/04/2015";"11,27";"11,2";"11,27";"11,15";"3871";
"04/05/2015";"11,39";"11,27";"11,39";"11,25";"2977";
"05/05/2015";"11,41";"11,39";"11,75";"11,32";"26613";
"06/05/2015";"11,45";"11,41";"11,5";"11,41";"1889";
"07/05/2015";"11,26";"11,46";"11,46";"11,26";"7920";
"08/05/2015";"11,23";"11,26";"11,27";"11,23";"1599";
"11/05/2015";"11,18";"11,24";"11,24";"11,17";"2106";
"12/05/2015";"11,17";"11,18";"11,24";"11,17";"4672";
"13/05/2015";"12";"11,19";"12,65";"11,11";"57711";
"14/05/2015";"12,85";"12,45";"13,2";"12,35";"185284";
"15/05/2015";"12,6";"12,98";"13,35";"12,47";"94532";
"18/05/2015";"12,32";"12,6";"12,62";"12,15";"22797";
"19/05/2015";"12,58";"12,32";"12,59";"11,85";"25332";
"20/05/2015";"12,43";"12,5";"12,56";"12,36";"9059";
"21/05/2015";"12,8";"12,43";"12,85";"12,43";"71881";
"22/05/2015";"12,69";"12,8";"12,82";"12,64";"8654";
"25/05/2015";"12,55";"12,7";"12,7";"12,49";"4270";
"26/05/2015";"12,76";"12,69";"12,89";"12,45";"27598";
"27/05/2015";"12,8";"12,75";"12,9";"12,65";"50274";
"28/05/2015";"13";"12,85";"13,38";"12,69";"39168";
"29/05/2015";"13,11";"13,1";"13,5";"13,05";"59711";
"01/06/2015";"13,63";"13,42";"14,44";"13,35";"90241";
"02/06/2015";"13,88";"13,7";"13,93";"13,58";"34205";
"03/06/2015";"13,96";"13,86";"13,96";"13,5";"61270";
"04/06/2015";"13,94";"13,95";"13,95";"13,86";"15764";
"05/06/2015";"13,94";"13,94";"13,94";"13,8";"31199";
"08/06/2015";"13,84";"13,93";"13,94";"13,74";"42627";
"09/06/2015";"13,62";"13,84";"13,87";"13,25";"19155";
"10/06/2015";"13,5";"13,74";"13,78";"12,9";"16164";
"11/06/2015";"12,98";"13,45";"13,45";"12,53";"36173";
"12/06/2015";"12,68";"12,98";"12,98";"12,59";"9833";
"15/06/2015";"12,43";"12,52";"12,68";"12,23";"20788";
"16/06/2015";"12,68";"12,43";"12,85";"12,33";"19772";
"17/06/2015";"12,9";"12,68";"12,9";"12,49";"20773";
"18/06/2015";"12,76";"12,9";"12,94";"12,65";"27090";
"19/06/2015";"13,03";"12,78";"13,03";"12,47";"35583";
"22/06/2015";"12,7";"13,15";"13,3";"12,55";"33074";
"23/06/2015";"13,05";"13";"13,64";"12,69";"50298";
"24/06/2015";"12,93";"13,05";"13,05";"12,69";"7280";
"25/06/2015";"12,56";"12,95";"12,99";"12,49";"26076";
"26/06/2015";"12,44";"12,49";"12,49";"12,22";"6501";
"29/06/2015";"11,89";"11,25";"12";"11,1";"30903";
"30/06/2015";"11,8";"11,89";"11,89";"11,52";"9633";
"01/07/2015";"12,14";"11,8";"12,25";"11,75";"12706";
"02/07/2015";"12,07";"12,14";"12,15";"11,92";"10011";
"03/07/2015";"12";"12,08";"12,08";"11,94";"2162";
"06/07/2015";"11,86";"11,95";"11,98";"11,79";"5933";
"07/07/2015";"11,76";"11,86";"11,86";"11,62";"15516";
"08/07/2015";"11,63";"11,75";"11,75";"11,5";"3430";
"09/07/2015";"11,48";"11,63";"11,77";"11,44";"10425";
"10/07/2015";"11,81";"11,5";"11,87";"11,48";"9278";
"13/07/2015";"11,93";"11,81";"12,07";"11,81";"5673";
"14/07/2015";"12,3";"11,92";"12,38";"11,55";"14448";
"15/07/2015";"13,4";"13,5";"13,8";"12,89";"65910";
"16/07/2015";"13,26";"13,4";"13,7";"13,05";"11028";
"17/07/2015";"13,07";"13,26";"13,27";"12,98";"7652";
"20/07/2015";"12,95";"13,07";"13,09";"12,9";"7307";
"21/07/2015";"13,37";"12,96";"13,78";"12,8";"31231";
"22/07/2015";"13,38";"13,4";"13,5";"13,33";"12670";
"23/07/2015";"13,31";"13,4";"13,4";"13,14";"16838";
"24/07/2015";"13,5";"13,32";"13,5";"13,28";"38631";
"27/07/2015";"13,86";"13,64";"14,2";"13,54";"37026";
"28/07/2015";"13,85";"13,9";"13,9";"13,7";"11851";
"29/07/2015";"14";"13,89";"14,1";"13,85";"36039";
"30/07/2015";"14,14";"14,01";"14,21";"14";"38885";
"31/07/2015";"14,1";"14,19";"14,2";"14,09";"13623";
"03/08/2015";"14,09";"14,1";"14,11";"14,04";"7130";
"04/08/2015";"14,02";"14,09";"14,09";"14";"9886";
"05/08/2015";"14,03";"14,03";"14,08";"14,02";"6782";
"06/08/2015";"14,01";"14,04";"14,05";"14,01";"4735";
"07/08/2015";"14,01";"14,01";"14,03";"14";"4859";
"10/08/2015";"14";"14,01";"14,04";"13,99";"12355";
"11/08/2015";"13,87";"14,01";"14,01";"13,39";"23748";
"12/08/2015";"13,24";"13,87";"13,87";"12,65";"23847";
"13/08/2015";"13,54";"13,32";"13,73";"13,32";"5651";
"14/08/2015";"13,54";"13,55";"13,6";"13,49";"3089";
"17/08/2015";"13,54";"13,55";"13,59";"13,54";"1138";
"18/08/2015";"13,55";"13,55";"13,55";"13,5";"2730";
"19/08/2015";"13,15";"13,55";"13,55";"13,14";"6944";
"20/08/2015";"12,99";"13,16";"13,41";"12,99";"8261";
"21/08/2015";"12,69";"12,99";"12,99";"12,51";"11421";
"24/08/2015";"12";"12,44";"12,44";"11,51";"23768";
"25/08/2015";"12,43";"12";"12,7";"11,98";"7767";
"26/08/2015";"12,44";"12,5";"12,65";"12,39";"4266";
"27/08/2015";"12,39";"12,43";"12,46";"12,34";"4335";
"28/08/2015";"12,41";"12,39";"12,41";"12,34";"3949";
"31/08/2015";"12,44";"12,41";"12,5";"12,39";"5086";
"01/09/2015";"12,33";"12,44";"12,44";"12,25";"2467";
"02/09/2015";"12,39";"12,34";"12,39";"12,33";"2509";
"03/09/2015";"12,78";"12,39";"12,78";"12,39";"5542";
"04/09/2015";"13,43";"13,61";"14,15";"13,05";"33193";
"07/09/2015";"13,01";"13,43";"13,44";"13";"5943";
"08/09/2015";"13,12";"13,01";"13,29";"13,01";"7343";
"09/09/2015";"13,3";"13,13";"13,4";"13,12";"11692";
"10/09/2015";"13,31";"13,3";"13,35";"13,29";"13156";
"11/09/2015";"13,31";"13,31";"13,35";"13,26";"9618";
"14/09/2015";"13,24";"13,31";"13,32";"13,2";"11859";
"15/09/2015";"13,17";"13,24";"13,25";"13,12";"4128";
"16/09/2015";"13,24";"13,12";"13,25";"13,03";"6932";
"17/09/2015";"13,19";"13,24";"13,31";"13,07";"8312";
"18/09/2015";"13,23";"13,2";"13,23";"13,19";"4119";
"21/09/2015";"13,3";"13,23";"13,3";"13,2";"3555";
"22/09/2015";"13";"13,2";"13,21";"12,78";"4745";
"23/09/2015";"12,81";"12,99";"13";"12,75";"1993";
"24/09/2015";"12,64";"12,75";"12,82";"12,39";"5732";
"25/09/2015";"12,61";"12,64";"12,7";"12,58";"6475";
"28/09/2015";"12,58";"12,62";"12,64";"12,33";"3964";
"29/09/2015";"12,26";"12,58";"12,69";"12,26";"4073";
"30/09/2015";"12,2";"12,27";"12,3";"12,2";"6785";
"01/10/2015";"12,2";"12,2";"12,21";"12,19";"2354";
"02/10/2015";"12,17";"12,2";"12,2";"12,17";"1075";
"05/10/2015";"12,23";"12,17";"12,5";"12,13";"16340";
"06/10/2015";"12,23";"12,23";"12,31";"12,17";"3757";
"07/10/2015";"12";"12,23";"12,23";"11,85";"8022";
"08/10/2015";"12,05";"12";"12,07";"11,97";"5670";
"09/10/2015";"12,06";"12,05";"12,08";"12";"4373";
"12/10/2015";"12";"12,06";"12,08";"11,9";"4209";
"13/10/2015";"11,97";"12";"12";"11,84";"2213";
"14/10/2015";"11,84";"11,92";"11,92";"11,76";"3036";
"15/10/2015";"11,73";"11,84";"11,84";"11,61";"4392";
"16/10/2015";"11,8";"11,73";"11,84";"11,65";"3590";
"19/10/2015";"11,83";"11,8";"11,84";"11,77";"3248";
"20/10/2015";"11,83";"11,82";"11,83";"11,78";"6020";
"21/10/2015";"11,83";"11,81";"11,84";"11,81";"960";
