"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"8,4";"8,4";"8,4";"8,4";"500";
"18/01/2013";"8,4";"8,35";"8,4";"8,31";"154";
"21/01/2013";"8,4";"8,4";"8,4";"8,3";"1329";
"22/01/2013";"8,26";"8,4";"8,4";"8,1";"6990";
"23/01/2013";"8,2";"8,26";"8,26";"8,2";"164";
"24/01/2013";"8,22";"8,2";"8,3";"8,15";"987";
"25/01/2013";"8,22";"8,3";"8,3";"8,2";"590";
"28/01/2013";"8,06";"8,2";"8,28";"8,06";"3000";
"29/01/2013";"8,18";"8,05";"8,18";"8,05";"1410";
"30/01/2013";"8,09";"8,18";"8,18";"7,9";"7090";
"31/01/2013";"8,09";"8,09";"8,09";"8";"713";
"01/02/2013";"8,15";"8";"8,15";"8";"805";
"04/02/2013";"8,25";"8,15";"8,3";"8,05";"5195";
"05/02/2013";"8,22";"8,3";"8,3";"8,1";"2198";
"06/02/2013";"8,02";"8,15";"8,15";"8,02";"2172";
"07/02/2013";"8,15";"8";"8,15";"8";"1132";
"08/02/2013";"8,2";"8,15";"8,2";"8,12";"316";
"11/02/2013";"8,25";"8,2";"8,25";"7,99";"2947";
"12/02/2013";"8,25";"8,25";"8,25";"8,25";"1";
"13/02/2013";"8,25";"8,3";"8,3";"8,1";"1490";
"14/02/2013";"8,2";"8,25";"8,25";"8,1";"1438";
"15/02/2013";"8,2";"8,2";"8,25";"8,2";"188";
"18/02/2013";"8,24";"8,2";"8,24";"8,17";"553";
"19/02/2013";"8,25";"8,24";"8,25";"8,17";"1152";
"20/02/2013";"8,2";"8,2";"8,2";"8,2";"40";
"21/02/2013";"8,24";"8,2";"8,24";"8,07";"993";
"22/02/2013";"8,15";"8,24";"8,24";"8,15";"29";
"25/02/2013";"8,2";"8,17";"8,2";"8,1";"1012";
"26/02/2013";"8,1";"8,2";"8,2";"7,95";"1359";
"27/02/2013";"8,05";"7,95";"8,05";"7,95";"2016";
"28/02/2013";"7,94";"8,05";"8,05";"7,94";"964";
"01/03/2013";"8,02";"8,05";"8,05";"7,9";"496";
"04/03/2013";"8,05";"8";"8,1";"8";"1958";
"05/03/2013";"8,6";"8,4";"8,65";"8,4";"22201";
"06/03/2013";"8,71";"8,65";"8,85";"8,65";"12262";
"07/03/2013";"8,8";"8,8";"8,84";"8,71";"6392";
"08/03/2013";"9,13";"8,8";"9,2";"8,71";"17099";
"11/03/2013";"9,65";"9,75";"9,75";"9,51";"24852";
"12/03/2013";"9,45";"9,6";"9,6";"9,4";"9494";
"13/03/2013";"9,35";"9,4";"9,4";"9,2";"4857";
"14/03/2013";"9,18";"9,35";"9,35";"9,13";"5350";
"15/03/2013";"9,1";"9,11";"9,11";"9,01";"3643";
"18/03/2013";"9,1";"9";"9,1";"8,85";"4580";
"19/03/2013";"9";"9";"9,05";"8,93";"3910";
"20/03/2013";"9";"9";"9";"8,85";"2326";
"21/03/2013";"8,85";"8,98";"9";"8,85";"1157";
"22/03/2013";"8,9";"8,85";"8,9";"8,8";"3121";
"25/03/2013";"8,6";"8,89";"8,89";"8,6";"5744";
"26/03/2013";"8,62";"8,7";"8,7";"8,57";"1141";
"27/03/2013";"8,5";"8,62";"8,7";"8,5";"3950";
"28/03/2013";"8,54";"8,5";"8,55";"8,5";"3401";
"02/04/2013";"8,42";"8,55";"8,55";"8,41";"2270";
"03/04/2013";"8,5";"8,5";"8,5";"8,41";"358";
"04/04/2013";"8,26";"8,5";"8,5";"8,26";"1986";
"05/04/2013";"8,18";"8,26";"8,32";"8,18";"2312";
"08/04/2013";"8,5";"8,18";"8,5";"8,15";"3154";
"09/04/2013";"8,55";"8,49";"8,55";"8,4";"7160";
"10/04/2013";"8,64";"8,54";"8,64";"8,5";"6706";
"11/04/2013";"8,5";"8,55";"8,6";"8,5";"3061";
"12/04/2013";"8,59";"8,5";"8,6";"8,5";"1200";
"15/04/2013";"8,46";"8,54";"8,54";"8,45";"21223";
"16/04/2013";"8,4";"8,45";"8,45";"8,25";"3336";
"17/04/2013";"8,17";"8,4";"8,4";"8,17";"2015";
"18/04/2013";"8,1";"8,17";"8,2";"8";"5539";
"19/04/2013";"8,1";"8,1";"8,1";"8";"134";
"22/04/2013";"8,05";"8,1";"8,13";"8";"1787";
"23/04/2013";"8,06";"8,05";"8,06";"8,05";"161";
"24/04/2013";"8,07";"8,06";"8,07";"8,06";"241";
"25/04/2013";"8,15";"8,07";"8,15";"8,07";"11";
"26/04/2013";"8,15";"8,15";"8,15";"8,15";"346";
"29/04/2013";"8,3";"8,19";"8,3";"8,18";"1517";
"30/04/2013";"8,25";"8,3";"8,3";"8,25";"221";
"02/05/2013";"8,2";"8,25";"8,26";"8,2";"244";
"03/05/2013";"8,2";"8,2";"8,25";"8,1";"1689";
"06/05/2013";"8,2";"8,1";"8,2";"8,1";"854";
"07/05/2013";"8,29";"8,25";"8,3";"8,2";"1365";
"08/05/2013";"8,33";"8,29";"8,34";"8,29";"499";
"09/05/2013";"8,34";"8,34";"8,34";"8,25";"203";
"10/05/2013";"8,34";"8,34";"8,34";"8,34";"52";
"13/05/2013";"8,77";"8,34";"8,79";"8,34";"9907";
"14/05/2013";"8,68";"8,77";"8,77";"8,53";"2912";
"15/05/2013";"8,54";"8,68";"8,68";"8,5";"4762";
"16/05/2013";"8,45";"8,65";"8,7";"8,3";"17045";
"17/05/2013";"8,4";"8,4";"8,4";"8,37";"2727";
"20/05/2013";"8,37";"8,45";"8,45";"8,3";"5330";
"21/05/2013";"8,38";"8,38";"8,38";"8,38";"792";
"22/05/2013";"8,38";"8,38";"8,38";"8,32";"756";
"23/05/2013";"8,33";"8,35";"8,35";"8,3";"1891";
"24/05/2013";"8,33";"8,33";"8,33";"8,3";"16444";
"27/05/2013";"8,33";"8,4";"8,4";"8,33";"4847";
"28/05/2013";"8,34";"8,33";"8,4";"8,25";"14775";
"29/05/2013";"8,34";"8,34";"8,37";"8,3";"6123";
"30/05/2013";"8,33";"8,32";"8,37";"8,32";"29635";
"31/05/2013";"8,33";"8,33";"8,33";"8,28";"5703";
"03/06/2013";"8,35";"8,33";"8,4";"8,31";"39490";
"04/06/2013";"8,34";"8,35";"8,35";"8,34";"6997";
"05/06/2013";"8,3";"8,3";"8,35";"8,28";"9103";
"06/06/2013";"8,31";"8,31";"8,31";"8,06";"12401";
"07/06/2013";"8,31";"8,31";"8,31";"8,22";"6377";
"10/06/2013";"8,31";"8,31";"8,31";"8,26";"3973";
"11/06/2013";"8,3";"8,25";"8,34";"8,25";"2090";
"12/06/2013";"8,3";"8,3";"8,3";"8,3";"4436";
"13/06/2013";"8,3";"8,29";"8,39";"8,25";"10326";
"14/06/2013";"8,3";"8,3";"8,3";"8,25";"3030";
"17/06/2013";"8,3";"8,25";"8,3";"8,21";"2283";
"18/06/2013";"8,3";"8,29";"8,3";"8,25";"6344";
"19/06/2013";"8,3";"8,29";"8,3";"8,2";"1437";
"20/06/2013";"8,27";"8,35";"8,44";"8,25";"67519";
"21/06/2013";"8,27";"8,27";"8,27";"8,21";"5642";
"24/06/2013";"8,24";"8,25";"8,25";"8,15";"5958";
"25/06/2013";"8,21";"8,24";"8,28";"8,21";"9331";
"26/06/2013";"8,24";"8,21";"8,24";"8,21";"1044";
"27/06/2013";"8,24";"8,24";"8,24";"8,24";"3162";
"28/06/2013";"8,25";"8,25";"8,25";"8,24";"2212";
"01/07/2013";"8,25";"8,28";"8,28";"8,21";"1658";
"02/07/2013";"8,25";"8,28";"8,28";"8,2";"1714";
"03/07/2013";"8,25";"8,25";"8,25";"8,2";"854";
"04/07/2013";"8,25";"8,25";"8,25";"8,25";"1066";
"05/07/2013";"8,23";"8,25";"8,25";"8,2";"2358";
"08/07/2013";"8,17";"8,2";"8,2";"8,1";"1845";
"09/07/2013";"8,17";"8,17";"8,17";"8,1";"1550";
"10/07/2013";"8,17";"8,1";"8,17";"8,1";"696";
"11/07/2013";"8,15";"8,18";"8,18";"8,15";"562";
"12/07/2013";"8,05";"8,1";"8,1";"8";"2188";
"15/07/2013";"8,05";"8,05";"8,05";"8";"1101";
"16/07/2013";"8,06";"8";"8,06";"7,51";"7075";
"17/07/2013";"8,08";"8,06";"8,08";"8";"871";
"18/07/2013";"8,1";"8,08";"8,1";"8,05";"476";
"19/07/2013";"8,1";"8,09";"8,1";"8,05";"523";
"22/07/2013";"8,1";"8,1";"8,1";"8,1";"81252";
"23/07/2013";"8,15";"8,11";"8,15";"8,11";"1061";
"24/07/2013";"8,15";"8,14";"8,15";"8,1";"789";
"25/07/2013";"8,15";"8,15";"8,2";"8,1";"788";
"26/07/2013";"8,1";"8,15";"8,15";"7,95";"404050";
"29/07/2013";"8,13";"8,1";"8,15";"8,05";"1415";
"30/07/2013";"8,01";"8,09";"8,1";"8";"2634";
"31/07/2013";"8,1";"8,01";"8,1";"8,01";"4199";
"01/08/2013";"8,1";"8,05";"8,1";"8,01";"1976";
"02/08/2013";"8";"8,1";"8,1";"8";"1855";
