"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"20,6";"20,6";"21";"20,6";"3565,6";
"18/01/2013";"20,6";"20,8";"21";"20,2";"4065,3";
"21/01/2013";"21";"20,4";"21";"20";"9826,45";
"22/01/2013";"20,6";"21";"21";"20,6";"4361,6";
"23/01/2013";"20,4";"20,6";"20,8";"20,2";"7883,8";
"24/01/2013";"20,4";"20,2";"20,8";"20,2";"3693,7";
"25/01/2013";"20,4";"20,6";"20,6";"20,2";"1730,7";
"28/01/2013";"20,2";"20,4";"20,6";"20";"8941,7";
"29/01/2013";"20";"20,2";"20,2";"19,4";"10839,25";
"30/01/2013";"19";"19,8";"19,8";"19";"13245,65";
"31/01/2013";"19,2";"19";"19,4";"19";"3581,05";
"01/02/2013";"19";"19,4";"19,6";"19";"4376,3";
"04/02/2013";"18";"19";"19,2";"17,8";"18133,9";
"05/02/2013";"18,2";"18,2";"18,4";"17,8";"9625,2";
"06/02/2013";"18";"18,2";"18,4";"17,8";"4378,55";
"07/02/2013";"17,4";"17,4";"18";"17";"27113,65";
"08/02/2013";"18,4";"17,4";"18,6";"17,2";"11021,45";
"11/02/2013";"18,8";"18,2";"19";"17,8";"19693,45";
"12/02/2013";"18";"18,8";"18,8";"17,4";"11371,8";
"13/02/2013";"17,6";"17,8";"18";"17,4";"3480,75";
"14/02/2013";"17,8";"17,6";"17,8";"17,4";"4708,45";
"15/02/2013";"18";"17,8";"18,2";"17,6";"3758,9";
"18/02/2013";"18,6";"18,4";"18,6";"18";"5023,3";
"19/02/2013";"18,4";"18,6";"18,8";"18,2";"6735,95";
"20/02/2013";"18";"18,4";"18,4";"18";"2701,6";
"21/02/2013";"17,8";"18";"18,2";"17,8";"3397,5";
"22/02/2013";"18";"18";"18,2";"17,6";"3486,3";
"25/02/2013";"17,8";"18";"18,4";"17,8";"3471,8";
"26/02/2013";"19,2";"17,6";"19,2";"17,4";"20198,1";
"27/02/2013";"19,6";"19,4";"21,8";"18,6";"64645,05";
"28/02/2013";"19,8";"19,6";"20,4";"18,6";"14927,65";
"01/03/2013";"19,2";"20,8";"20,8";"19";"16788,15";
"04/03/2013";"18,8";"19";"19,4";"18,8";"4462,3";
"05/03/2013";"19,4";"18,8";"20";"18,8";"7655,15";
"06/03/2013";"19,2";"19,4";"19,8";"19";"4326,3";
"07/03/2013";"19,4";"19,2";"19,6";"18,8";"2062,65";
"08/03/2013";"19,2";"19,6";"19,6";"19,2";"4384,55";
"11/03/2013";"19";"19,2";"19,4";"18,8";"2561,15";
"12/03/2013";"19,4";"18,8";"19,8";"18,8";"3800,8";
"13/03/2013";"19";"19,2";"19,4";"18,6";"5489,25";
"14/03/2013";"19,2";"19";"19,2";"18,8";"1506,35";
"15/03/2013";"19,2";"18,8";"19,4";"18,8";"3862,8";
"18/03/2013";"18,4";"19";"19";"18,4";"6306,05";
"19/03/2013";"18,6";"18,4";"18,8";"18,2";"3688,2";
"20/03/2013";"18,6";"18,4";"18,6";"18,2";"2223,2";
"21/03/2013";"18,4";"18,6";"18,8";"18,2";"2068,1";
"22/03/2013";"18,2";"18,2";"18,6";"18,2";"1260,15";
"25/03/2013";"17,8";"18,4";"18,4";"17,8";"6193,05";
"26/03/2013";"18";"18,2";"18,4";"17,4";"7261,5";
"27/03/2013";"17,6";"18";"18,2";"17,4";"5197,15";
"28/03/2013";"18,2";"17,6";"18,2";"17,4";"2883,55";
"02/04/2013";"18,2";"18,2";"18,2";"17,6";"1265,45";
"03/04/2013";"17,6";"18";"18,2";"17,6";"1008,3";
"04/04/2013";"17,8";"18";"18,2";"17,4";"3561,85";
"05/04/2013";"17,4";"17,6";"17,8";"17,2";"4407,95";
"08/04/2013";"17,4";"17,4";"17,6";"17,4";"1027,2";
"09/04/2013";"18";"17,4";"18,2";"17,4";"4188,2";
"10/04/2013";"18";"17,6";"18";"17,6";"2024,75";
"11/04/2013";"18";"17,6";"18";"17,6";"1498,8";
"12/04/2013";"18";"17,8";"18";"17,6";"1342,15";
"15/04/2013";"17,2";"18,2";"18,2";"17,2";"6133,7";
"16/04/2013";"17,2";"17,2";"17,6";"16,8";"6009,5";
"17/04/2013";"16,8";"17,2";"17,2";"16,8";"4422,7";
"18/04/2013";"15,8";"16,8";"16,8";"15,6";"12471,1";
"19/04/2013";"15,6";"15,6";"16";"15";"9077,95";
"22/04/2013";"15,6";"15,6";"16";"15,4";"2807,8";
"23/04/2013";"16";"15,6";"16";"15,4";"8369,1";
"24/04/2013";"15,6";"16,4";"16,8";"14,8";"29791,05";
"25/04/2013";"15,6";"15,4";"15,6";"15,2";"2083,4";
"26/04/2013";"15,4";"15,2";"15,6";"14,8";"6500,9";
"29/04/2013";"14,8";"15,4";"15,6";"14,8";"10114,25";
"30/04/2013";"15,8";"14,8";"16";"14,6";"12806";
"02/05/2013";"15,6";"16";"16";"15,4";"3716,4";
"03/05/2013";"15,4";"15,8";"16";"14,8";"9156,8";
"06/05/2013";"15,4";"15,4";"15,4";"14,8";"3819,55";
"07/05/2013";"15,4";"15,4";"15,4";"14,8";"6028,25";
"08/05/2013";"14,6";"15,4";"15,6";"14,6";"10868,5";
"09/05/2013";"15";"14,8";"15,2";"14,8";"3017";
"10/05/2013";"15";"15";"15,2";"14,8";"1381,5";
"13/05/2013";"15,2";"15,2";"15,2";"15";"2613,5";
"14/05/2013";"15";"15,2";"15,4";"14,8";"7963,9";
"15/05/2013";"15";"15";"15,2";"14,8";"6303,8";
"16/05/2013";"15";"15,2";"15,2";"14,6";"4848,1";
"17/05/2013";"15";"15";"15";"14,8";"1832,9";
"20/05/2013";"15,4";"15";"15,4";"14,8";"7610";
"21/05/2013";"15,4";"15,4";"15,4";"15";"2274,8";
"22/05/2013";"15,2";"15,2";"15,4";"15";"2443,15";
"23/05/2013";"14,8";"15";"15,2";"14,8";"6290,35";
"24/05/2013";"15,2";"15";"15,2";"14,8";"4368,9";
"27/05/2013";"14,8";"15,2";"15,2";"14,8";"3644";
"28/05/2013";"15";"15";"15,2";"14,6";"8052,85";
"29/05/2013";"14,6";"14,8";"15";"13,8";"23347,65";
"30/05/2013";"14,6";"14,6";"14,8";"14,4";"6892,45";
"31/05/2013";"14,8";"14,8";"14,8";"14,4";"4507,05";
"03/06/2013";"14,8";"14,4";"14,8";"14,4";"5543,8";
"04/06/2013";"15,4";"15,4";"16,2";"15";"41141,45";
"05/06/2013";"14,4";"15,2";"15,2";"14,2";"26675,05";
"06/06/2013";"14,4";"14,4";"14,6";"14,2";"3860";
"07/06/2013";"14,4";"14,4";"14,6";"14,2";"2154,85";
"10/06/2013";"14,2";"14,4";"14,6";"14";"8242,3";
"11/06/2013";"13,8";"14,2";"14,2";"13,6";"9439,95";
"12/06/2013";"13,6";"14";"14";"13,6";"5700,2";
"13/06/2013";"13,4";"13,8";"13,8";"13,4";"10929,05";
"14/06/2013";"13,4";"13,6";"13,8";"13,4";"3847,3";
"17/06/2013";"13,6";"13,8";"13,8";"13,4";"8565,6";
"18/06/2013";"13,4";"13,4";"13,6";"13,2";"4851,5";
"19/06/2013";"13,4";"13,4";"13,6";"13,2";"3107,9";
"20/06/2013";"13,2";"13,4";"13,6";"13,2";"2302,15";
"21/06/2013";"13,2";"13,4";"13,8";"13,2";"15501,85";
"24/06/2013";"13";"13,2";"13,4";"13";"7171,85";
"25/06/2013";"13,4";"13,4";"13,6";"13";"2258,5";
"26/06/2013";"13,6";"13,4";"13,6";"13";"3225,6";
"27/06/2013";"13,6";"13,4";"13,6";"13,2";"2947";
"28/06/2013";"13,6";"14";"14,4";"13,4";"12045";
"01/07/2013";"13,6";"13,6";"13,8";"13,4";"2935,35";
"02/07/2013";"13,4";"13,8";"13,8";"13,4";"988,2";
"03/07/2013";"13,6";"13,8";"13,8";"13,4";"1215";
