"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"07/05/2013";"11,48";"12,07";"12,07";"11,21";"35748";
"08/05/2013";"11,49";"11,57";"11,6";"11,45";"11596";
"09/05/2013";"11,6";"11,55";"11,6";"11,4";"4160";
"10/05/2013";"11,48";"11,5";"11,6";"11,3";"7273";
"13/05/2013";"11";"11,45";"11,46";"10,8";"16450";
"14/05/2013";"11,23";"11,35";"11,35";"11";"3101";
"15/05/2013";"11";"11,27";"11,27";"10,9";"4199";
"16/05/2013";"10,4";"10,98";"10,98";"10,4";"14163";
"17/05/2013";"10,1";"10,38";"10,5";"9,96";"9365";
"20/05/2013";"10,67";"10,93";"10,93";"10,23";"4451";
"21/05/2013";"10,85";"10,84";"10,94";"10,67";"797";
"22/05/2013";"10,8";"10,99";"10,99";"10,8";"1937";
"23/05/2013";"10,78";"10,65";"10,93";"10,26";"1984";
"24/05/2013";"10,58";"10,87";"10,87";"10,16";"3329";
"27/05/2013";"10,49";"10,58";"10,6";"10,22";"2636";
"28/05/2013";"10,77";"10,49";"10,77";"10,35";"1522";
"29/05/2013";"10,53";"10,3";"10,75";"10,3";"862";
"30/05/2013";"10,7";"10,52";"10,7";"10,25";"1679";
"31/05/2013";"10,53";"10,7";"10,8";"10,53";"1491";
"03/06/2013";"10,8";"10,69";"10,9";"10,67";"2510";
"04/06/2013";"11,15";"10,9";"11,15";"10,8";"15473";
"05/06/2013";"11";"10,9";"11,18";"10,9";"2385";
"06/06/2013";"11,1";"11,19";"11,19";"11";"2285";
"07/06/2013";"10,9";"11,1";"11,1";"10,9";"828";
"10/06/2013";"11";"11,14";"11,14";"11";"875";
"11/06/2013";"10,7";"11,01";"11,01";"10,7";"478";
"12/06/2013";"10,9";"10,9";"10,9";"10,7";"549";
"13/06/2013";"10,79";"10,9";"10,9";"10,47";"4362";
"14/06/2013";"10,7";"10,8";"10,8";"10,52";"895";
"17/06/2013";"10,9";"10,75";"11,1";"10,6";"1948";
"18/06/2013";"10,8";"10,8";"11,03";"10,8";"3380";
"19/06/2013";"10,8";"11,02";"11,03";"10,7";"749";
"20/06/2013";"11";"11,02";"11,02";"10,55";"2269";
"21/06/2013";"10,89";"10,9";"10,9";"10,55";"852";
"24/06/2013";"10,73";"10,98";"10,98";"10,55";"483";
"25/06/2013";"10,72";"10,47";"10,72";"10,17";"1728";
"26/06/2013";"10,74";"10,75";"10,75";"10,31";"647";
"27/06/2013";"10,75";"10,75";"10,75";"10,75";"50";
"28/06/2013";"10,65";"10,75";"10,75";"10,65";"61";
"01/07/2013";"10,9";"10,75";"11,35";"10,7";"4467";
"02/07/2013";"10,92";"10,99";"11,06";"10,9";"1580";
"03/07/2013";"10,98";"11,12";"11,12";"10,98";"2104";
"04/07/2013";"11,12";"11,08";"11,12";"10,97";"1480";
"05/07/2013";"11";"11,11";"11,12";"11";"617";
"08/07/2013";"11,12";"11,2";"11,2";"11,12";"150";
"09/07/2013";"11";"11,12";"11,12";"11";"2913";
"10/07/2013";"11";"11";"11";"10,9";"400";
"11/07/2013";"10,58";"11";"11";"10,21";"2971";
"12/07/2013";"10,58";"10,6";"10,6";"10,26";"330";
"15/07/2013";"10,37";"10,58";"10,59";"10,37";"265";
"16/07/2013";"10,6";"10,35";"10,6";"10,26";"5707";
"17/07/2013";"10,5";"10,6";"10,61";"10,5";"222";
"18/07/2013";"10,27";"10,89";"10,89";"10,25";"3734";
"19/07/2013";"10,6";"10,26";"10,6";"10,26";"3077";
"22/07/2013";"10,36";"10,6";"10,6";"10,3";"963";
"23/07/2013";"10,53";"10,58";"10,58";"10,31";"46";
"24/07/2013";"10,5";"10,53";"10,53";"10,32";"929";
"25/07/2013";"10,33";"10,5";"10,5";"10,32";"327";
"26/07/2013";"10,43";"10,5";"10,5";"10,3";"1966";
"29/07/2013";"10,35";"10,45";"10,49";"10,35";"1644";
"30/07/2013";"10,27";"10,4";"10,46";"10,27";"2290";
"31/07/2013";"10,27";"10,49";"10,49";"10,27";"1632";
"01/08/2013";"10,2";"10,4";"10,4";"10,09";"9642";
"02/08/2013";"10,3";"10,2";"10,3";"10,15";"1022";
"05/08/2013";"10,18";"10,3";"10,3";"10";"716";
"06/08/2013";"10,22";"10,3";"10,3";"10,14";"240";
"07/08/2013";"10,11";"10";"10,15";"10";"1038";
"08/08/2013";"10,15";"10,1";"10,15";"10";"3569";
"09/08/2013";"10,37";"10,29";"10,38";"10,01";"787";
"12/08/2013";"10,33";"10,1";"10,34";"10,05";"551";
"13/08/2013";"10,29";"10,35";"10,35";"10,29";"364";
"14/08/2013";"10,21";"10,28";"10,28";"10,02";"685";
"15/08/2013";"10,24";"10,29";"10,29";"10,21";"160";
"16/08/2013";"10,25";"10,29";"10,29";"10,25";"58";
"19/08/2013";"10,22";"10,28";"10,28";"9,96";"2101";
"20/08/2013";"10,22";"10,22";"10,22";"9,97";"650";
"21/08/2013";"10";"10,3";"10,3";"10";"225";
"22/08/2013";"10";"10";"10,01";"10";"333";
"23/08/2013";"10,1";"10,05";"10,1";"10";"370";
"26/08/2013";"10,17";"10,1";"10,17";"9,95";"460";
"27/08/2013";"9,93";"9,95";"10";"9,9";"3865";
"28/08/2013";"9,68";"10";"10";"9";"4266";
"29/08/2013";"9,9";"9,6";"9,9";"9,6";"668";
"30/08/2013";"10,28";"9,9";"10,28";"9,65";"840";
"02/09/2013";"10,34";"10,28";"10,34";"9,66";"1391";
"03/09/2013";"10,19";"10,34";"10,34";"9,72";"2169";
"04/09/2013";"10,3";"10,33";"10,33";"9,82";"40";
"05/09/2013";"10,3";"9,82";"10,3";"9,82";"85";
"06/09/2013";"9,85";"9,99";"9,99";"9,8";"836";
"09/09/2013";"9,71";"10,3";"10,3";"9,71";"4961";
"10/09/2013";"9,6";"9,7";"10,3";"9,6";"6254";
"11/09/2013";"9,6";"9,8";"9,8";"9,6";"1175";
"12/09/2013";"9,7";"9,7";"9,7";"9,7";"531";
"13/09/2013";"9,43";"9,7";"9,7";"9,43";"1739";
"16/09/2013";"9,9";"9,45";"9,9";"9,45";"4164";
"17/09/2013";"10,69";"10";"10,7";"9,82";"16862";
"18/09/2013";"9,82";"10,75";"10,75";"9,7";"3230";
"19/09/2013";"10,02";"10,3";"10,3";"9,87";"1453";
"20/09/2013";"9,7";"9,82";"10,14";"9,48";"7599";
"23/09/2013";"10,4";"10,29";"10,65";"10,29";"8023";
"24/09/2013";"10,4";"10,49";"10,49";"10,2";"5209";
"25/09/2013";"10,45";"10,41";"10,49";"10,21";"1217";
"26/09/2013";"10,49";"10,48";"10,49";"10,33";"588";
"27/09/2013";"10,42";"10,48";"10,48";"10,16";"1239";
"30/09/2013";"10,38";"10,42";"10,42";"10,15";"3513";
"01/10/2013";"10,15";"10,4";"10,44";"10";"3300";
"02/10/2013";"10,2";"9,9";"10,2";"9,9";"1847";
"03/10/2013";"9,9";"10,1";"10,1";"9,9";"855";
"04/10/2013";"10";"9,9";"10,04";"9,9";"1477";
"07/10/2013";"9,93";"10,05";"10,05";"9,9";"1202";
"08/10/2013";"9,9";"10,1";"10,1";"9,9";"1222";
"09/10/2013";"9,9";"10,04";"10,1";"9,9";"2164";
"10/10/2013";"9,92";"10,05";"10,05";"9,92";"750";
"11/10/2013";"9,9";"10";"10";"9,9";"1050";
"14/10/2013";"9,9";"10,04";"10,04";"9,9";"751";
"15/10/2013";"9,95";"10";"10,03";"9,95";"3614";
"16/10/2013";"9,75";"10,1";"10,1";"9,75";"1364";
"17/10/2013";"9,97";"9,8";"9,97";"9,73";"886";
"18/10/2013";"9,85";"10";"10";"9,85";"780";
"21/10/2013";"9,87";"9,75";"9,9";"9,65";"4938";
"22/10/2013";"9,87";"9,9";"9,9";"9,6";"412";
"23/10/2013";"9,87";"9,9";"9,9";"9,87";"110";
"24/10/2013";"9,85";"9,89";"9,89";"9,66";"285";
"25/10/2013";"9,79";"9,9";"9,9";"9,79";"915";
"28/10/2013";"9,94";"9,8";"9,95";"9,78";"2969";
"29/10/2013";"9,82";"9,97";"9,97";"9,82";"1379";
"30/10/2013";"9,99";"9,71";"9,99";"9,66";"2108";
"31/10/2013";"9,91";"9,98";"9,98";"9,67";"417";
"01/11/2013";"9,97";"9,99";"10";"9,92";"980";
"04/11/2013";"10,04";"10,09";"10,09";"9,92";"2521";
"05/11/2013";"10,05";"10,06";"10,06";"9,93";"1863";
"06/11/2013";"10,03";"9,91";"10,06";"9,52";"8908";
"07/11/2013";"9,92";"10";"10";"9,9";"4370";
"08/11/2013";"10";"10";"10,06";"9,94";"3568";
"11/11/2013";"10,15";"10";"10,15";"10";"680";
"12/11/2013";"10,6";"10,8";"11";"10,6";"20993";
"13/11/2013";"10,5";"10,84";"10,84";"10,5";"6282";
"14/11/2013";"10,6";"10,77";"10,8";"10,6";"7818";
"15/11/2013";"10,47";"10,78";"10,78";"10,4";"3023";
"18/11/2013";"10,12";"10,45";"10,45";"9,71";"5038";
"19/11/2013";"10,21";"10,15";"10,21";"9,87";"774";
"20/11/2013";"10,17";"10,21";"10,21";"9,89";"1618";
"21/11/2013";"9,8";"10,2";"10,2";"9,8";"2293";
"22/11/2013";"10";"9,79";"10";"9,59";"12643";
"25/11/2013";"10";"9,98";"10";"9,83";"1480";
"26/11/2013";"9,8";"10";"10,17";"9,8";"1050";
"27/11/2013";"9,88";"9,85";"9,88";"9,7";"895";
"28/11/2013";"9,8";"10,16";"10,18";"9,71";"627";
"29/11/2013";"9,66";"9,77";"9,78";"9,66";"1027";
"02/12/2013";"9,71";"10";"10";"9,7";"3387";
"03/12/2013";"9,75";"9,71";"9,86";"9,63";"2396";
"04/12/2013";"9,62";"9,77";"9,77";"9,6";"823";
"05/12/2013";"9,54";"9,65";"9,66";"9,54";"1556";
"06/12/2013";"9,6";"9,53";"9,73";"9,52";"2299";
"09/12/2013";"9,65";"9,82";"9,82";"9,65";"694";
"10/12/2013";"9,49";"9,7";"9,7";"9,29";"3360";
"11/12/2013";"8,99";"9,55";"9,55";"8,97";"5740";
"12/12/2013";"9";"9";"9,32";"8,83";"5509";
"13/12/2013";"9";"9";"9";"8,99";"2965";
"16/12/2013";"8,73";"9";"9,02";"8,58";"7589";
"17/12/2013";"8,93";"9";"9,83";"8,74";"6261";
"18/12/2013";"8,82";"9,3";"9,3";"8,82";"14021";
"19/12/2013";"9";"8,8";"9";"8,8";"6289";
"20/12/2013";"9,75";"9,39";"10,2";"9";"60578";
"23/12/2013";"9,69";"9,75";"9,75";"9,4";"5146";
"24/12/2013";"9,68";"9,68";"9,68";"9,56";"1538";
"27/12/2013";"9,84";"9,87";"9,87";"9,78";"8311";
"30/12/2013";"9,79";"9,84";"9,94";"9,75";"4098";
"31/12/2013";"9,94";"9,93";"9,94";"9,86";"1990";
"02/01/2014";"10,28";"10,22";"10,39";"10,16";"3750";
"03/01/2014";"10,23";"10,3";"10,3";"10,22";"3933";
"06/01/2014";"10,33";"10,3";"10,39";"10,23";"4278";
"07/01/2014";"11,2";"11,03";"11,35";"10,8";"33192";
"08/01/2014";"11,2";"11,2";"11,35";"11,01";"15754";
"09/01/2014";"11,21";"11,36";"11,36";"11,2";"3870";
"10/01/2014";"11,1";"11,28";"11,29";"10,65";"17558";
"13/01/2014";"11,67";"11,6";"11,79";"11,52";"24765";
"14/01/2014";"12,49";"11,69";"12,8";"11,6";"23009";
"15/01/2014";"13,39";"13";"14,3";"12,77";"72093";
"16/01/2014";"13,49";"13,76";"13,8";"13,2";"32776";
"17/01/2014";"12,93";"13,29";"13,29";"12,79";"19342";
"20/01/2014";"13";"13,21";"13,41";"12,9";"12774";
"21/01/2014";"12,5";"12,9";"12,95";"12,13";"20213";
"22/01/2014";"12,77";"12,5";"13,39";"12,35";"16984";
"23/01/2014";"13,49";"13";"13,5";"12,83";"21472";
"24/01/2014";"12,9";"13,6";"13,7";"12,9";"17584";
"27/01/2014";"13,25";"13";"13,35";"12,6";"12349";
"28/01/2014";"13,22";"13,4";"14,25";"13,22";"41735";
"29/01/2014";"14,6";"13,4";"14,6";"13,4";"51849";
"30/01/2014";"14,4";"14,5";"14,87";"14";"31823";
"31/01/2014";"14,55";"14,35";"14,73";"14,25";"16282";
"03/02/2014";"14,69";"14,5";"14,7";"14,5";"9432";
"04/02/2014";"14,2";"14";"14,48";"13,26";"14206";
"05/02/2014";"14,27";"14,47";"14,87";"13,76";"25187";
"06/02/2014";"14,5";"14,59";"14,65";"14,31";"6603";
"07/02/2014";"14,28";"14,78";"14,8";"13,85";"25219";
"10/02/2014";"14,6";"14,4";"14,6";"14,3";"6455";
"11/02/2014";"14,56";"14,59";"14,68";"14,4";"7761";
"12/02/2014";"14,87";"14,56";"14,87";"14,5";"15041";
"13/02/2014";"14";"14,5";"14,77";"13,85";"1140375";
"14/02/2014";"14";"14,2";"14,39";"13,96";"81356";
"17/02/2014";"17,5";"14,39";"18,36";"14,1";"243274";
