"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"2,222";"2,299";"2,299";"2,222";"12099";
"18/01/2013";"2,21";"2,299";"2,3";"2,21";"12077";
"21/01/2013";"2,294";"2,25";"2,294";"2,25";"2317";
"22/01/2013";"2,299";"2,28";"2,299";"2,25";"4310";
"23/01/2013";"2,24";"2,3";"2,3";"2,231";"5230";
"24/01/2013";"2,29";"2,241";"2,298";"2,241";"1368";
"25/01/2013";"2,3";"2,32";"2,33";"2,3";"20864";
"28/01/2013";"2,301";"2,32";"2,32";"2,301";"7850";
"29/01/2013";"2,31";"2,302";"2,31";"2,277";"10728";
"30/01/2013";"2,32";"2,31";"2,347";"2,31";"27789";
"31/01/2013";"2,301";"2,36";"2,36";"2,301";"129060";
"01/02/2013";"2,291";"2,3";"2,338";"2,288";"1500";
"04/02/2013";"2,35";"2,35";"2,4";"2,349";"27516";
"05/02/2013";"2,375";"2,35";"2,375";"2,35";"2516";
"06/02/2013";"2,388";"2,4";"2,41";"2,38";"151000";
"07/02/2013";"2,35";"2,38";"2,38";"2,35";"11280";
"08/02/2013";"2,352";"2,35";"2,353";"2,33";"9050";
"11/02/2013";"2,37";"2,37";"2,38";"2,37";"4427";
"12/02/2013";"2,35";"2,37";"2,37";"2,35";"3916";
"13/02/2013";"2,34";"2,38";"2,38";"2,34";"4009";
"14/02/2013";"2,38";"2,341";"2,38";"2,33";"3000";
"15/02/2013";"2,312";"2,331";"2,36";"2,312";"15121";
"18/02/2013";"2,34";"2,34";"2,34";"2,34";"250";
"19/02/2013";"2,34";"2,34";"2,34";"2,34";"1001";
"20/02/2013";"2,31";"2,34";"2,34";"2,31";"5570";
"21/02/2013";"2,3";"2,3";"2,31";"2,3";"4415";
"22/02/2013";"2,27";"2,3";"2,3";"2,27";"5968";
"25/02/2013";"2,26";"2,27";"2,309";"2,26";"5170";
"26/02/2013";"2,266";"2,26";"2,3";"2,26";"4374";
"27/02/2013";"2,294";"2,299";"2,329";"2,294";"7136";
"01/03/2013";"2,267";"2,267";"2,329";"2,267";"803";
"04/03/2013";"2,253";"2,26";"2,29";"2,253";"12015";
"05/03/2013";"2,25";"2,25";"2,25";"2,25";"85";
"06/03/2013";"2,288";"2,25";"2,288";"2,25";"2724";
"07/03/2013";"2,28";"2,28";"2,28";"2,28";"250";
"08/03/2013";"2,288";"2,27";"2,288";"2,27";"3187";
"11/03/2013";"2,285";"2,27";"2,285";"2,27";"2854";
"12/03/2013";"2,216";"2,285";"2,285";"2,216";"7325";
"13/03/2013";"2,07";"2,221";"2,221";"2,07";"23506";
"14/03/2013";"2,17";"2,199";"2,2";"2,152";"23977";
"15/03/2013";"2,17";"2,178";"2,178";"2,17";"5190";
"18/03/2013";"2,199";"2,18";"2,2";"2,12";"21601";
"19/03/2013";"1,84";"2,02";"2,053";"1,819";"93715";
"20/03/2013";"1,785";"1,82";"1,84";"1,762";"25458";
"21/03/2013";"1,759";"1,78";"1,79";"1,73";"4287";
"22/03/2013";"1,79";"1,75";"1,79";"1,71";"22365";
"25/03/2013";"1,8";"1,75";"1,939";"1,75";"22751";
"26/03/2013";"1,83";"1,8";"1,88";"1,8";"10716";
"27/03/2013";"1,567";"1,79";"1,79";"1,56";"21652";
"28/03/2013";"1,4";"1,67";"1,67";"1,31";"27785";
"02/04/2013";"1,275";"1,43";"1,47";"1,275";"25522";
"03/04/2013";"1,4";"1,275";"1,45";"1,275";"30058";
"04/04/2013";"1,3";"1,335";"1,35";"1,3";"11015";
"05/04/2013";"1,24";"1,31";"1,31";"1,17";"139050";
"08/04/2013";"1,181";"1,3";"1,3";"1,17";"29580";
"09/04/2013";"1,2";"1,219";"1,3";"1,19";"64674";
"10/04/2013";"1,215";"1,21";"1,249";"1,2";"92374";
"11/04/2013";"1,327";"1,26";"1,37";"1,24";"123225";
"12/04/2013";"1,34";"1,368";"1,4";"1,325";"44659";
"15/04/2013";"1,5";"1,36";"1,5";"1,36";"135907";
"16/04/2013";"1,55";"1,52";"1,65";"1,501";"76246";
"17/04/2013";"1,465";"1,55";"1,55";"1,351";"32205";
"18/04/2013";"1,456";"1,54";"1,54";"1,4";"38156";
"19/04/2013";"1,386";"1,402";"1,429";"1,361";"19758";
"22/04/2013";"1,38";"1,438";"1,438";"1,38";"9258";
"23/04/2013";"1,449";"1,438";"1,449";"1,387";"15145";
"24/04/2013";"1,449";"1,45";"1,45";"1,41";"18098";
"25/04/2013";"1,43";"1,45";"1,48";"1,372";"122910";
"26/04/2013";"1,413";"1,426";"1,426";"1,38";"21149";
"29/04/2013";"1,46";"1,4";"1,47";"1,369";"62351";
"30/04/2013";"1,48";"1,41";"1,48";"1,407";"43581";
"02/05/2013";"1,47";"1,47";"1,47";"1,434";"8829";
"03/05/2013";"1,45";"1,413";"1,45";"1,413";"8450";
"06/05/2013";"1,42";"1,48";"1,48";"1,416";"5868";
"07/05/2013";"1,416";"1,45";"1,469";"1,416";"1840";
"08/05/2013";"1,459";"1,44";"1,459";"1,42";"42680";
