"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"19,01";"19,62";"19,62";"19,01";"127011";
"18/01/2013";"18,98";"19,1";"19,2";"18,86";"67151";
"21/01/2013";"18,8";"19,01";"19,05";"18,64";"54795";
"22/01/2013";"18,89";"18,85";"18,96";"18,68";"36432";
"23/01/2013";"19";"18,97";"19";"18,83";"37638";
"24/01/2013";"18,88";"19,15";"19,25";"18,88";"74328";
"25/01/2013";"18,8";"18,81";"18,88";"18,6";"48599";
"28/01/2013";"18,79";"18,8";"18,84";"18,56";"35941";
"29/01/2013";"18,5";"18,8";"18,8";"18,5";"23561";
"30/01/2013";"18,2";"18,66";"18,73";"17,75";"141607";
"31/01/2013";"17,74";"18,01";"18,13";"17,56";"82893";
"01/02/2013";"18,26";"17,55";"18,26";"17,5";"50217";
"04/02/2013";"18,04";"18,3";"18,5";"18,01";"66756";
"05/02/2013";"18";"18";"18,05";"17,84";"12487";
"06/02/2013";"19,15";"19,5";"19,5";"18,97";"250375";
"07/02/2013";"18,86";"19,18";"19,21";"18,8";"74313";
"08/02/2013";"19,33";"19,14";"19,35";"18,92";"55787";
"11/02/2013";"19,38";"19,33";"19,38";"19,15";"33424";
"12/02/2013";"19,39";"19,39";"19,39";"19,18";"18590";
"13/02/2013";"19,45";"19,37";"19,5";"19,29";"41880";
"14/02/2013";"19,38";"19,46";"19,47";"19,24";"31350";
"15/02/2013";"19,41";"19,38";"19,43";"19,15";"19468";
"18/02/2013";"19,31";"19,36";"19,45";"19,3";"12443";
"19/02/2013";"19,44";"19,3";"19,44";"19,3";"24074";
"20/02/2013";"19,65";"19,44";"19,8";"19,37";"72804";
"21/02/2013";"19,39";"19,7";"19,72";"19,2";"45275";
"22/02/2013";"19,44";"19,21";"19,51";"19,2";"16777";
"25/02/2013";"19,39";"19,36";"19,4";"19,3";"23683";
"26/02/2013";"19,16";"19,1";"19,23";"19,02";"22980";
"27/02/2013";"19,2";"19,16";"19,28";"19,06";"23714";
"28/02/2013";"19,3";"19,35";"19,44";"19,01";"24655";
"01/03/2013";"19,35";"19,25";"19,35";"19";"24225";
"04/03/2013";"19,44";"19,5";"19,5";"19,12";"25144";
"05/03/2013";"19,74";"19,15";"19,75";"19,15";"49998";
"06/03/2013";"20,63";"19,85";"20,7";"19,78";"186740";
"07/03/2013";"20,4";"20,63";"20,67";"20,07";"50485";
"08/03/2013";"19,25";"18,99";"19,39";"18,1";"522621";
"11/03/2013";"18,9";"19,17";"19,17";"18,36";"123005";
"12/03/2013";"18,67";"18,75";"18,75";"18,45";"60140";
"13/03/2013";"18,33";"18,51";"18,51";"18,1";"67559";
"14/03/2013";"18,37";"18,5";"18,5";"18,12";"68239";
"15/03/2013";"19,25";"18,48";"19,29";"18,27";"108064";
"18/03/2013";"19,08";"19,05";"19,25";"18,7";"174776";
"19/03/2013";"18,74";"19,12";"19,15";"18,72";"42163";
"20/03/2013";"18,65";"18,7";"18,78";"18,5";"43721";
"21/03/2013";"18,8";"18,8";"18,98";"18,55";"44690";
"22/03/2013";"18,49";"18,56";"18,7";"18,42";"48622";
"25/03/2013";"18,81";"18,55";"18,85";"18,31";"61302";
"26/03/2013";"18,91";"18,52";"19,06";"18,52";"86492";
"27/03/2013";"18,64";"19,24";"19,3";"18,52";"108103";
"28/03/2013";"19,07";"18,53";"19,25";"18,52";"151741";
"02/04/2013";"19,07";"19,23";"19,23";"18,8";"50031";
"03/04/2013";"19,14";"18,84";"19,15";"18,84";"32598";
"04/04/2013";"19,08";"18,91";"19,24";"18,91";"77610";
"05/04/2013";"18,38";"18,92";"18,97";"18,2";"69236";
"08/04/2013";"18,3";"18,19";"18,47";"18,19";"23869";
"09/04/2013";"18,05";"18,38";"18,4";"17,71";"84906";
"10/04/2013";"18,17";"18,05";"18,2";"17,7";"61027";
"11/04/2013";"18,94";"17,96";"18,96";"17,96";"53750";
"12/04/2013";"18,7";"18,63";"18,81";"18,36";"23513";
"15/04/2013";"19,19";"18,5";"19,19";"18,38";"97158";
"16/04/2013";"18,78";"18,7";"19,13";"18,7";"35004";
"17/04/2013";"18,89";"19,2";"19,2";"18,6";"66672";
"18/04/2013";"18,98";"18,79";"18,98";"18,66";"31522";
"19/04/2013";"19,2";"18,94";"19,33";"18,89";"95156";
"22/04/2013";"19,7";"19,49";"19,81";"19,46";"141072";
"23/04/2013";"20,34";"19,85";"20,4";"19,65";"82397";
"24/04/2013";"20,45";"20,3";"20,45";"20,01";"29104";
"25/04/2013";"20,3";"20,24";"20,38";"19,84";"246111";
"26/04/2013";"20,25";"20,04";"20,39";"20,04";"98775";
"29/04/2013";"19,87";"20,15";"20,27";"19,81";"52680";
"30/04/2013";"19,85";"19,85";"19,95";"19,66";"48707";
"02/05/2013";"19,56";"19,84";"20,06";"19,44";"79377";
"03/05/2013";"19,6";"19,58";"19,85";"19,41";"40588";
"06/05/2013";"19,75";"19,51";"19,85";"19,51";"20884";
"07/05/2013";"19,43";"19,75";"19,85";"19,36";"20963";
"08/05/2013";"19,41";"19,4";"19,63";"19,35";"36592";
"09/05/2013";"19,5";"19,5";"19,54";"19,32";"20303";
"10/05/2013";"19,19";"19,56";"19,56";"19,11";"28123";
"13/05/2013";"18,76";"19,19";"19,35";"18,72";"53193";
"14/05/2013";"17,74";"18,8";"19,07";"17,53";"288894";
"15/05/2013";"17,35";"17,83";"18,01";"16,5";"288797";
"16/05/2013";"17,48";"17,52";"17,95";"17,36";"103378";
"17/05/2013";"17,35";"17,51";"17,85";"17,2";"187656";
"20/05/2013";"17,71";"17,5";"18,11";"17,5";"214016";
"21/05/2013";"17,55";"17,75";"17,87";"17,4";"68797";
"22/05/2013";"17,49";"17,55";"17,66";"17,4";"58316";
"23/05/2013";"16,68";"17,21";"17,21";"16,61";"205725";
"24/05/2013";"16,65";"16,97";"17,08";"16,65";"91542";
"27/05/2013";"16,65";"16,62";"16,91";"16,62";"43843";
"28/05/2013";"16,74";"16,7";"16,85";"16,6";"73193";
"29/05/2013";"16,72";"16,75";"16,82";"16,6";"84217";
"30/05/2013";"16,76";"16,74";"16,84";"16,58";"92694";
"31/05/2013";"16,83";"16,79";"16,85";"16,6";"55178";
"03/06/2013";"16,2";"16,62";"16,65";"15,89";"186383";
"04/06/2013";"16,2";"16,4";"16,45";"16,11";"66264";
"05/06/2013";"16,15";"16,2";"16,24";"15,92";"58740";
"06/06/2013";"16,18";"16,28";"16,41";"16,15";"45878";
"07/06/2013";"16,12";"16,29";"16,29";"16,1";"67273";
"10/06/2013";"16,19";"16,2";"16,32";"16,05";"40372";
"11/06/2013";"16,07";"16,23";"16,23";"15,9";"88001";
"12/06/2013";"15,91";"15,92";"16,07";"15,87";"77437";
