"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"15/04/2016";"12,23";"13,72";"13,72";"12,03";"11214";
"18/04/2016";"12,11";"12";"12,25";"10,55";"5015";
"19/04/2016";"12,1";"12,08";"12,5";"12";"1804";
"20/04/2016";"12,05";"12,46";"12,46";"11,5";"1814";
"21/04/2016";"11,99";"12,1";"12,1";"11,5";"452";
"22/04/2016";"11,5";"12";"12";"11,3";"2059";
"25/04/2016";"10,8";"11,1";"11,3";"10,7";"7753";
"26/04/2016";"10,9";"10,81";"11,1";"10,81";"961";
"27/04/2016";"10,8";"11,09";"11,09";"10,8";"1082";
"28/04/2016";"10,59";"10,8";"10,81";"10,02";"998";
"29/04/2016";"10,64";"10,49";"11";"10,11";"8191";
"02/05/2016";"11";"10,11";"11";"10,06";"3200";
"03/05/2016";"10,6";"11,2";"11,58";"10,21";"2341";
"04/05/2016";"10,4";"10,41";"10,89";"10,4";"1109";
"05/05/2016";"10,5";"10,51";"10,8";"10,49";"5171";
"06/05/2016";"10,6";"10,5";"10,76";"10,49";"3517";
"09/05/2016";"10,5";"10,6";"10,6";"10,49";"7705";
"10/05/2016";"10,48";"10,5";"10,5";"10,48";"754";
"11/05/2016";"10,44";"10,48";"10,49";"10,44";"2384";
"12/05/2016";"10,31";"10,44";"10,44";"10,31";"10531";
"13/05/2016";"9,99";"10,31";"10,32";"9,65";"9907";
"16/05/2016";"9,95";"9,95";"9,98";"9,92";"2710";
"17/05/2016";"9,9";"9,95";"9,95";"9,9";"6890";
"18/05/2016";"9,84";"9,9";"9,9";"9,84";"2287";
"19/05/2016";"9,71";"9,84";"9,84";"9,71";"8061";
"20/05/2016";"9,48";"9,71";"9,71";"9,48";"6145";
"23/05/2016";"9,44";"9,49";"9,49";"9,4";"14947";
"24/05/2016";"9,46";"9,45";"9,48";"9,44";"2333";
"25/05/2016";"9,46";"9,46";"9,47";"9,45";"2108";
"26/05/2016";"9,49";"9,46";"9,49";"9,46";"1572";
"27/05/2016";"9,49";"9,49";"9,49";"9,49";"48";
"30/05/2016";"9,49";"9,49";"9,49";"9,49";"201";
"31/05/2016";"9,49";"9,49";"9,5";"9,49";"569";
"01/06/2016";"9,64";"9,55";"9,9";"9,55";"7788";
"02/06/2016";"9,63";"9,64";"9,65";"9,63";"744";
"03/06/2016";"9,78";"9,75";"10,3";"9,75";"11043";
"06/06/2016";"9,8";"9,78";"9,85";"9,78";"6542";
"07/06/2016";"9,91";"9,81";"9,91";"9,74";"10979";
"08/06/2016";"10,23";"9,98";"10,35";"9,98";"15708";
"09/06/2016";"10,18";"10,23";"10,23";"10,18";"3803";
"10/06/2016";"10,18";"10,2";"10,21";"10,17";"2314";
"13/06/2016";"9,9";"10,2";"10,2";"9,9";"8712";
"14/06/2016";"9,5";"9,9";"9,91";"9,5";"5386";
"15/06/2016";"9,41";"9,51";"9,51";"9,41";"5903";
"16/06/2016";"9,35";"9,41";"9,42";"9,35";"4708";
"17/06/2016";"9,34";"9,35";"9,35";"9,34";"865";
"20/06/2016";"9,29";"9,34";"9,35";"9,28";"5496";
"21/06/2016";"9,3";"9,29";"9,3";"9,29";"779";
"22/06/2016";"9,28";"9,3";"9,3";"9,28";"3664";
"23/06/2016";"9,13";"9,28";"9,29";"9,13";"6091";
"24/06/2016";"8,54";"8,91";"8,91";"8,49";"7279";
"27/06/2016";"8,65";"8,68";"8,68";"8,57";"2398";
"28/06/2016";"8,72";"8,65";"8,79";"8,65";"2166";
"29/06/2016";"8,8";"8,72";"8,83";"8,71";"1512";
"30/06/2016";"8,8";"8,8";"8,81";"8,8";"361";
"01/07/2016";"8,8";"8,8";"8,81";"8,79";"1161";
"04/07/2016";"8,71";"8,85";"8,85";"8,71";"1643";
"05/07/2016";"9";"8,71";"9,06";"8,71";"3165";
"06/07/2016";"9";"9,05";"9,05";"9";"478";
"07/07/2016";"9";"9";"9,01";"9";"330";
"08/07/2016";"9";"9";"9";"9";"297";
"11/07/2016";"9";"9,03";"9,03";"8,97";"498";
"12/07/2016";"8,98";"9";"9";"8,98";"259";
"13/07/2016";"8,98";"8,98";"8,99";"8,96";"329";
"14/07/2016";"8,96";"8,98";"9";"8,96";"465";
"15/07/2016";"8,8";"8,96";"8,96";"8,8";"937";
"18/07/2016";"8,8";"8,8";"9";"8,79";"2019";
