"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"3,07549";"3,12354";"3,14277";"2,96977";"141059,53627";
"18/01/2013";"3,50798";"3,14277";"3,53681";"3,10432";"1089593,38104";
"21/01/2013";"3,95969";"3,53681";"4,10386";"3,41187";"1917871,13842";
"22/01/2013";"3,95969";"4,03658";"4,24802";"3,72903";"1239617,73253";
"23/01/2013";"3,73864";"4,00775";"4,21919";"3,72903";"966192,94922";
"24/01/2013";"3,99814";"4,01736";"4,24802";"3,83475";"1275238,72245";
"25/01/2013";"4,04619";"4,07502";"4,13269";"3,95969";"264314,30024";
"28/01/2013";"3,9693";"3,98853";"4,07502";"3,88281";"320098,84102";
"29/01/2013";"3,93086";"3,89242";"4,01736";"3,8732";"163889,84913";
"30/01/2013";"4,02697";"3,9693";"4,13269";"3,92125";"228200,12063";
"31/01/2013";"3,95008";"3,98853";"4,02697";"3,90203";"135446,12191";
"01/02/2013";"4,08464";"3,97892";"4,09425";"3,91164";"175885,59596";
"04/02/2013";"4,23841";"4,2288";"4,73818";"4,2288";"1907276,92434";
"05/02/2013";"4,42102";"4,23841";"4,45946";"4,16152";"590110,83487";
"06/02/2013";"4,5844";"4,52674";"4,62285";"4,34413";"641014,46244";
"07/02/2013";"4,87273";"4,59401";"4,98806";"4,53635";"1286385,43385";
"08/02/2013";"5,73771";"4,90156";"5,73771";"4,87273";"2029724,27227";
"11/02/2013";"6,23748";"5,95876";"8,07316";"5,86265";"4612649,22909";
"12/02/2013";"6,83335";"6,53542";"7,41001";"6,30475";"3668488,54104";
"13/02/2013";"5,87226";"6,72763";"6,84297";"5,73771";"2253846,73379";
"14/02/2013";"6,16059";"5,49744";"6,40086";"5,1995";"2971377,39245";
"15/02/2013";"6,15098";"6,05487";"6,66036";"5,95876";"2032798,90423";
"18/02/2013";"6,20865";"6,19903";"6,42009";"5,86265";"844571,74605";
"19/02/2013";"6,1702";"6,22787";"6,33359";"6,00682";"584182,15368";
"20/02/2013";"5,95876";"6,14137";"6,1702";"5,9011";"317089,75959";
"21/02/2013";"5,57433";"5,86265";"5,95876";"5,51666";"508074,86791";
"22/02/2013";"5,38211";"5,33405";"5,56471";"5,24755";"616620,30124";
"25/02/2013";"6,24709";"5,54549";"6,6988";"5,51666";"2327410,03475";
"26/02/2013";"6,18942";"5,95876";"6,49697";"5,70888";"776374,22413";
"27/02/2013";"6,00682";"6,4297";"6,4297";"5,89149";"374098,95072";
"28/02/2013";"6,12215";"6,00682";"6,21826";"5,87226";"317285,37069";
"01/03/2013";"5,94915";"6,05487";"6,15098";"5,85304";"192534,38987";
"04/03/2013";"5,70888";"5,73771";"5,85304";"5,62238";"390104,72516";
"05/03/2013";"5,79538";"5,66082";"5,86265";"5,38211";"476437,89348";
"06/03/2013";"5,8146";"5,89149";"6,05487";"5,60316";"304567,52755";
"07/03/2013";"5,84343";"5,8146";"5,92993";"5,67043";"155264,23188";
"08/03/2013";"5,84343";"5,95876";"6,16059";"5,8146";"390442,88265";
"11/03/2013";"5,67043";"5,79538";"5,86265";"5,6416";"210367,25525";
"12/03/2013";"5,45899";"5,65121";"5,68005";"5,45899";"208945,9533";
"13/03/2013";"5,33405";"5,43016";"5,49744";"5,15145";"566292,06165";
"14/03/2013";"5,41094";"5,66082";"5,76654";"5,36289";"403821,4335";
"15/03/2013";"5,32444";"5,41094";"5,46861";"5,26678";"241875,20959";
