"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"04/04/2014";"7,09";"7,39";"7,4";"6,65";"885672";
"07/04/2014";"7,09";"7,09";"7,17";"6,85";"72945";
"08/04/2014";"6,86";"7,09";"7,09";"6,75";"64495";
"09/04/2014";"6,8";"6,9";"6,9";"6,21";"241993";
"10/04/2014";"6,81";"6,8";"6,81";"6,56";"77192";
"11/04/2014";"6,75";"6,75";"6,78";"6,3";"96554";
"14/04/2014";"6,55";"6,7";"6,7";"6,41";"63090";
"15/04/2014";"6,55";"6,55";"6,55";"6,42";"40326";
"16/04/2014";"6,74";"6,55";"6,75";"6,49";"24725";
"17/04/2014";"6,69";"6,74";"6,75";"6,55";"23226";
"22/04/2014";"6,7";"6,72";"6,72";"6,6";"9737";
"23/04/2014";"6,85";"6,71";"6,85";"6,6";"18611";
"24/04/2014";"6,85";"6,85";"6,95";"6,76";"33199";
"25/04/2014";"6,82";"6,85";"6,9";"6,79";"19213";
"28/04/2014";"6,92";"6,92";"6,96";"6,82";"15686";
"29/04/2014";"6,99";"6,96";"7,1";"6,93";"21572";
"30/04/2014";"6,86";"7,02";"7,02";"6,81";"30681";
"02/05/2014";"7,03";"6,9";"7,03";"6,83";"10353";
"05/05/2014";"7,01";"7,03";"7,03";"6,86";"16158";
"06/05/2014";"7";"7,05";"7,07";"6,87";"20850";
"07/05/2014";"6,92";"6,97";"6,98";"6,8";"6684";
"08/05/2014";"6,98";"6,93";"7,04";"6,87";"15314";
"09/05/2014";"6,92";"6,99";"7,05";"6,92";"14019";
"12/05/2014";"6,72";"6,93";"6,95";"6,72";"17548";
"13/05/2014";"6,52";"6,7";"6,71";"6,52";"25366";
"14/05/2014";"6,57";"6,55";"6,76";"6,54";"20420";
"15/05/2014";"6,46";"6,66";"6,66";"6,34";"22600";
"16/05/2014";"6,46";"6,46";"6,46";"6,26";"16357";
"19/05/2014";"6,7";"6,3";"6,88";"6,3";"35366";
"20/05/2014";"6,62";"6,73";"6,86";"6,62";"30114";
"21/05/2014";"6,51";"6,69";"6,69";"6,44";"21674";
"22/05/2014";"6,46";"6,5";"6,5";"6,42";"6015";
"23/05/2014";"6,4";"6,46";"6,48";"6,4";"11953";
"26/05/2014";"6,2";"6,32";"6,34";"6,16";"41392";
"27/05/2014";"5,95";"6,13";"6,17";"5,94";"66390";
"28/05/2014";"5,98";"5,94";"6,01";"5,94";"10105";
"29/05/2014";"6,07";"6,01";"6,12";"5,98";"15746";
"30/05/2014";"6";"6,1";"6,12";"5,99";"18782";
"02/06/2014";"6";"6,1";"6,58";"6";"69952";
"03/06/2014";"5,99";"6";"6,09";"5,85";"32057";
"04/06/2014";"5,86";"5,99";"5,99";"5,75";"30479";
"05/06/2014";"5,87";"5,89";"5,89";"5,79";"10183";
"06/06/2014";"5,87";"5,87";"5,99";"5,77";"12485";
"09/06/2014";"6";"5,88";"6";"5,88";"9087";
"10/06/2014";"5,98";"6";"6";"5,97";"3865";
"11/06/2014";"5,95";"5,98";"6";"5,87";"14742";
"12/06/2014";"5,93";"5,95";"5,95";"5,87";"2815";
"13/06/2014";"5,89";"5,92";"5,93";"5,86";"2690";
"16/06/2014";"5,99";"5,89";"6";"5,89";"8334";
"17/06/2014";"5,96";"5,99";"5,99";"5,95";"3036";
"18/06/2014";"5,94";"5,99";"5,99";"5,87";"6859";
"19/06/2014";"5,94";"5,94";"5,95";"5,88";"2869";
"20/06/2014";"5,93";"5,94";"5,94";"5,85";"6298";
"23/06/2014";"5,92";"5,94";"5,95";"5,85";"11637";
"24/06/2014";"5,95";"5,92";"5,97";"5,9";"4539";
"25/06/2014";"5,91";"5,95";"5,95";"5,85";"5213";
"26/06/2014";"5,7";"5,91";"5,91";"5,7";"11212";
"27/06/2014";"5,78";"5,72";"5,89";"5,72";"6845";
"30/06/2014";"5,55";"5,77";"5,8";"5,55";"11548";
"01/07/2014";"5,6";"5,5";"5,68";"5,5";"5864";
"02/07/2014";"5,47";"5,6";"5,73";"5,4";"29381";
"03/07/2014";"5,6";"5,47";"5,64";"5,46";"7676";
"04/07/2014";"5,49";"5,62";"5,68";"5,42";"8691";
"07/07/2014";"5,49";"5,6";"5,64";"5,49";"5618";
"08/07/2014";"5,47";"5,52";"5,6";"5,47";"6151";
"09/07/2014";"5,51";"5,46";"5,55";"5,46";"1437";
"10/07/2014";"5,35";"5,55";"5,55";"5,35";"13997";
"11/07/2014";"5,4";"5,36";"5,76";"5,36";"17681";
"14/07/2014";"5,45";"5,43";"5,5";"5,42";"3196";
"15/07/2014";"5,42";"5,46";"5,5";"5,41";"2713";
"16/07/2014";"5,44";"5,42";"5,5";"5,35";"7470";
"17/07/2014";"5,6";"5,44";"5,73";"5,43";"15280";
"18/07/2014";"5,6";"5,68";"5,71";"5,56";"7798";
"21/07/2014";"5,6";"5,66";"5,67";"5,6";"3164";
"22/07/2014";"5,6";"5,65";"5,67";"5,6";"1351";
"23/07/2014";"5,67";"5,61";"5,67";"5,6";"3034";
"24/07/2014";"5,65";"5,61";"5,66";"5,52";"3321";
"25/07/2014";"5,84";"5,66";"5,9";"5,66";"12553";
"28/07/2014";"6,18";"5,99";"6,18";"5,93";"61609";
"29/07/2014";"6,32";"6,34";"6,48";"6,22";"36206";
"30/07/2014";"6,18";"6,38";"6,47";"6,18";"23931";
"31/07/2014";"6";"6,16";"6,17";"6";"23455";
"01/08/2014";"6";"6";"6";"5,9";"8230";
"04/08/2014";"5,91";"5,94";"5,98";"5,84";"12602";
"05/08/2014";"6";"5,91";"6,04";"5,91";"4626";
"06/08/2014";"5,94";"6";"6,05";"5,94";"3846";
"07/08/2014";"6";"5,94";"6,04";"5,91";"8786";
"08/08/2014";"5,85";"6";"6";"5,75";"14621";
"11/08/2014";"5,9";"5,85";"6,01";"5,84";"7571";
"12/08/2014";"5,95";"5,91";"6";"5,87";"5494";
"13/08/2014";"5,86";"5,8";"5,89";"5,8";"2996";
"14/08/2014";"5,8";"5,86";"5,86";"5,8";"1053";
"15/08/2014";"5,8";"5,8";"5,87";"5,8";"172";
"18/08/2014";"5,8";"5,8";"5,8";"5,79";"1715";
"19/08/2014";"5,8";"5,8";"5,85";"5,77";"6382";
"20/08/2014";"5,8";"5,8";"5,8";"5,76";"999";
"21/08/2014";"5,84";"5,81";"5,84";"5,75";"1449";
"22/08/2014";"5,8";"5,84";"5,84";"5,74";"604";
"25/08/2014";"5,88";"5,8";"5,88";"5,75";"1563";
"26/08/2014";"5,8";"5,8";"5,8";"5,75";"2003";
"27/08/2014";"5,8";"5,8";"5,82";"5,8";"562";
"28/08/2014";"5,81";"5,8";"5,9";"5,75";"3041";
"29/08/2014";"5,8";"5,79";"5,8";"5,79";"1716";
"01/09/2014";"5,8";"5,8";"5,8";"5,72";"3001";
"02/09/2014";"5,76";"5,8";"5,8";"5,64";"3243";
"03/09/2014";"5,76";"5,76";"5,79";"5,66";"2537";
"04/09/2014";"5,76";"5,76";"5,81";"5,72";"2364";
"05/09/2014";"5,72";"5,76";"5,78";"5,72";"2387";
"08/09/2014";"5,72";"5,7";"5,77";"5,65";"6876";
"09/09/2014";"5,8";"5,72";"5,9";"5,72";"9011";
"10/09/2014";"5,8";"5,85";"5,85";"5,66";"8697";
"11/09/2014";"5,8";"5,8";"5,8";"5,7";"2333";
"12/09/2014";"5,7";"5,8";"5,8";"5,66";"7216";
"15/09/2014";"5,7";"5,7";"5,74";"5,66";"2484";
"16/09/2014";"5,69";"5,7";"5,73";"5,65";"4202";
"17/09/2014";"5,69";"5,68";"5,69";"5,64";"442";
"18/09/2014";"5,6";"5,68";"5,7";"5,56";"10724";
"19/09/2014";"5,58";"5,6";"5,62";"5,53";"10285";
"22/09/2014";"5,55";"5,5";"5,6";"5,45";"16108";
"23/09/2014";"5,42";"5,55";"5,55";"5,25";"11604";
"24/09/2014";"5,39";"5,42";"5,42";"5,3";"6946";
"25/09/2014";"5,4";"5,4";"5,45";"5,37";"9176";
"26/09/2014";"5,77";"5,49";"5,82";"5,38";"23956";
"29/09/2014";"5,96";"5,9";"6,34";"5,85";"61266";
"30/09/2014";"5,8";"6,09";"6,09";"5,8";"14249";
"01/10/2014";"5,85";"5,8";"5,85";"5,55";"21188";
"02/10/2014";"5,85";"5,84";"5,85";"5,75";"7251";
"03/10/2014";"5,81";"5,88";"5,88";"5,76";"6608";
"06/10/2014";"5,81";"5,81";"5,87";"5,77";"2351";
"07/10/2014";"5,7";"5,76";"5,81";"5,7";"3286";
"08/10/2014";"5,58";"5,65";"5,73";"5,5";"6617";
"09/10/2014";"5,65";"5,65";"5,69";"5,5";"4086";
"10/10/2014";"5,45";"5,65";"5,65";"5,45";"7522";
"13/10/2014";"5,39";"5,38";"5,47";"5,26";"11625";
"14/10/2014";"5,38";"5,39";"5,39";"5,27";"3349";
"15/10/2014";"5,21";"5,39";"5,39";"5,21";"5265";
"16/10/2014";"4,8";"5,21";"5,22";"4,75";"20429";
"17/10/2014";"5,02";"4,9";"5,18";"4,9";"7046";
"20/10/2014";"4,99";"5,02";"5,02";"4,99";"1742";
"21/10/2014";"5,07";"5,05";"5,29";"5,02";"7192";
"22/10/2014";"5,08";"5,15";"5,23";"5,08";"16082";
"23/10/2014";"5,39";"5,08";"5,45";"5,07";"5814";
"24/10/2014";"5,78";"5,59";"6,14";"5,59";"55933";
"27/10/2014";"5,8";"5,99";"5,99";"5,8";"13457";
