"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"02/04/2014";"15";"17,65";"17,65";"15";"190504";
"03/04/2014";"14,75";"15,1";"15,14";"14,37";"77521";
"04/04/2014";"14,75";"14,75";"14,89";"14,42";"40640";
"07/04/2014";"14,5";"14,8";"14,8";"14,21";"37299";
"08/04/2014";"14,45";"14,5";"14,5";"14";"25515";
"09/04/2014";"14,49";"14,46";"14,49";"14";"17240";
"10/04/2014";"14,2";"14,49";"14,5";"14,19";"12974";
"11/04/2014";"14";"14,03";"14,2";"13,91";"12347";
"14/04/2014";"13,02";"14,17";"14,19";"13,02";"12542";
"15/04/2014";"13,27";"13,05";"13,97";"13,05";"3458";
"16/04/2014";"13,67";"13,73";"13,9";"13,54";"4936";
"17/04/2014";"13,92";"13,8";"14,2";"13,8";"7126";
"22/04/2014";"13,91";"14";"14,2";"13,91";"4864";
"23/04/2014";"13,97";"14";"14,09";"13,96";"1850";
"24/04/2014";"13,99";"13,98";"14,3";"13,96";"4663";
"25/04/2014";"13,96";"14";"14,2";"13,93";"1995";
"28/04/2014";"13,93";"14";"14,03";"13,93";"935";
"29/04/2014";"13,8";"13,92";"14";"13,62";"1580";
"30/04/2014";"13,56";"13,5";"13,8";"13,3";"5341";
"02/05/2014";"13,21";"13,5";"13,66";"13,1";"3168";
"05/05/2014";"13,54";"13,26";"13,54";"13,25";"5580";
"06/05/2014";"14";"13,61";"14";"13,55";"13823";
"07/05/2014";"14";"13,99";"14";"13,7";"1128";
"08/05/2014";"14,19";"14";"14,19";"14";"653";
"09/05/2014";"14,2";"14,2";"14,23";"13,85";"2337";
"12/05/2014";"14,04";"14,2";"14,2";"13,9";"1922";
"13/05/2014";"14,2";"14";"14,2";"13,95";"1799";
"14/05/2014";"14,19";"14,19";"14,2";"14,03";"1680";
"15/05/2014";"14";"14";"14,05";"14";"1904";
"16/05/2014";"13,8";"14";"14,01";"13,8";"1276";
"19/05/2014";"13,83";"13,97";"14,19";"13,83";"1938";
"20/05/2014";"13,8";"14,08";"14,08";"13,61";"659";
"21/05/2014";"14";"13,9";"14";"13,9";"1409";
"22/05/2014";"14,15";"14";"14,33";"14";"1869";
"23/05/2014";"14,38";"14,28";"14,38";"14,28";"1141";
"26/05/2014";"14,13";"14,02";"14,34";"14,02";"1292";
"27/05/2014";"14,02";"14,1";"14,26";"14,02";"1501";
"28/05/2014";"14";"13,91";"14,04";"13,89";"1725";
"29/05/2014";"14";"14";"14,04";"13,91";"810";
"30/05/2014";"14,04";"14";"14,04";"13,89";"1044";
"02/06/2014";"13,99";"13,9";"14,03";"13,89";"1225";
"03/06/2014";"14";"13,9";"14";"13,89";"10346";
"04/06/2014";"13,68";"13,9";"14";"13,63";"1427";
"05/06/2014";"13,99";"13,71";"13,99";"13,54";"6304";
"06/06/2014";"13,67";"13,62";"13,87";"13,61";"842";
"09/06/2014";"13,95";"13,84";"14,04";"13,73";"1953";
"10/06/2014";"14,55";"14,2";"14,8";"14,15";"37220";
"11/06/2014";"14,44";"14,55";"14,63";"14,1";"12075";
"12/06/2014";"14,2";"14,43";"14,47";"14,2";"4177";
"13/06/2014";"14,18";"14,1";"14,19";"13,97";"5164";
"16/06/2014";"14,29";"14,46";"14,46";"14,02";"2990";
"17/06/2014";"14,2";"14,2";"14,34";"14,01";"1033";
"18/06/2014";"14,2";"14,03";"14,3";"14,03";"1131";
"19/06/2014";"14,2";"14,6";"14,7";"14,15";"34547";
"20/06/2014";"14,17";"14,2";"14,25";"14,06";"10243";
"23/06/2014";"13,97";"14,05";"14,49";"13,97";"5036";
"24/06/2014";"13,89";"13,97";"14,2";"13,79";"4019";
