"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"1,93";"1,9";"1,95";"1,88";"3462";
"18/01/2013";"1,91";"1,9";"1,98";"1,9";"15260";
"21/01/2013";"2,06";"1,94";"2,1";"1,91";"69182";
"22/01/2013";"2,25";"2,06";"2,25";"2,05";"54961";
"23/01/2013";"2,15";"2,25";"2,25";"2,12";"13337";
"24/01/2013";"2,09";"2,15";"2,15";"1,97";"13969";
"25/01/2013";"2,05";"2,1";"2,1";"2,05";"4961";
"28/01/2013";"2,05";"2,02";"2,05";"2";"1531";
"29/01/2013";"2,04";"2,05";"2,05";"1,98";"1109";
"30/01/2013";"2,02";"2,05";"2,05";"1,99";"1572";
"31/01/2013";"2";"1,95";"2";"1,92";"4636";
"01/02/2013";"1,99";"2";"2";"1,92";"1451";
"04/02/2013";"1,99";"1,99";"1,99";"1,99";"2250";
"05/02/2013";"2";"2";"2";"2";"2200";
"06/02/2013";"2";"2";"2";"2";"1";
"07/02/2013";"2,04";"2";"2,14";"1,91";"5453";
"08/02/2013";"2,07";"2,02";"2,07";"2,01";"4052";
"11/02/2013";"2,13";"2,11";"2,14";"2,03";"6477";
"12/02/2013";"2,13";"2,13";"2,13";"2,03";"2500";
"13/02/2013";"2,1";"2,13";"2,13";"2,04";"1552";
"14/02/2013";"2,1";"2,1";"2,1";"2,03";"4803";
"15/02/2013";"2,13";"2,1";"2,13";"2,05";"1261";
"18/02/2013";"2,1";"2,1";"2,1";"2,1";"275";
"19/02/2013";"2,1";"2,1";"2,1";"2,04";"502";
"20/02/2013";"2,11";"2,1";"2,11";"2,05";"6638";
"21/02/2013";"2,05";"2,1";"2,1";"1,9";"13276";
"22/02/2013";"2";"2,03";"2,03";"2";"2870";
"25/02/2013";"2";"2";"2";"2";"750";
"26/02/2013";"1,96";"2";"2";"1,91";"1920";
"27/02/2013";"1,96";"1,96";"1,96";"1,92";"498";
"28/02/2013";"2,1";"1,96";"2,15";"1,91";"14656";
"01/03/2013";"2,08";"2,05";"2,08";"2,03";"2201";
"04/03/2013";"2,04";"2,08";"2,08";"2,04";"30375";
"05/03/2013";"2,04";"2,04";"2,08";"1,98";"1142";
"06/03/2013";"2,01";"2,04";"2,04";"1,91";"5935";
"07/03/2013";"2,01";"2,01";"2,01";"2,01";"100";
"08/03/2013";"2";"2,01";"2,02";"1,94";"4600";
"11/03/2013";"2";"2";"2";"1,95";"352";
"12/03/2013";"1,96";"1,95";"2";"1,92";"5383";
"13/03/2013";"1,95";"1,96";"1,96";"1,92";"126";
"14/03/2013";"1,95";"1,95";"1,95";"1,95";"120";
"15/03/2013";"1,92";"1,95";"1,95";"1,92";"2127";
"18/03/2013";"1,95";"1,95";"1,95";"1,9";"2321";
"19/03/2013";"1,97";"1,95";"1,98";"1,95";"503";
"20/03/2013";"1,97";"1,97";"1,99";"1,97";"182";
"21/03/2013";"1,98";"1,97";"1,99";"1,92";"2942";
"22/03/2013";"1,92";"1,98";"1,98";"1,85";"4060";
"25/03/2013";"1,88";"1,92";"2,02";"1,87";"5712";
"26/03/2013";"1,79";"1,94";"1,94";"1,73";"19964";
"27/03/2013";"1,75";"1,79";"1,79";"1,63";"12580";
"28/03/2013";"1,76";"1,77";"1,77";"1,67";"1252";
"02/04/2013";"1,64";"1,73";"1,74";"1,64";"5390";
"03/04/2013";"1,7";"1,64";"1,7";"1,63";"3689";
"04/04/2013";"1,7";"1,7";"1,7";"1,65";"1052";
"05/04/2013";"1,7";"1,7";"1,7";"1,57";"4823";
"08/04/2013";"1,75";"1,65";"1,75";"1,65";"12013";
"09/04/2013";"1,72";"1,74";"1,74";"1,65";"3301";
"10/04/2013";"1,7";"1,71";"1,72";"1,63";"2482";
"11/04/2013";"1,7";"1,68";"1,7";"1,6";"8601";
"12/04/2013";"1,62";"1,65";"1,65";"1,57";"26190";
"15/04/2013";"1,61";"1,62";"1,64";"1,56";"5973";
"16/04/2013";"1,59";"1,61";"1,61";"1,57";"581";
"17/04/2013";"1,46";"1,59";"1,61";"1,41";"53131";
"18/04/2013";"1,45";"1,45";"1,47";"1,43";"4607";
"19/04/2013";"1,46";"1,46";"1,46";"1,43";"4493";
"22/04/2013";"1,46";"1,46";"1,46";"1,42";"1441";
"23/04/2013";"1,46";"1,48";"1,48";"1,46";"2600";
"24/04/2013";"1,46";"1,46";"1,46";"1,44";"1961";
"25/04/2013";"1,45";"1,46";"1,46";"1,44";"4450";
"26/04/2013";"1,46";"1,46";"1,46";"1,42";"701";
"29/04/2013";"1,44";"1,47";"1,47";"1,42";"1111";
"30/04/2013";"1,44";"1,42";"1,44";"1,42";"1495";
