"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"13/07/2016";"8,15";"8,24";"8,59";"8,1";"11146";
"14/07/2016";"8,4";"8,35";"8,44";"8,3";"4018";
"15/07/2016";"8,25";"8,44";"8,49";"8,15";"2290";
"18/07/2016";"8";"8,44";"8,44";"8";"13265";
"19/07/2016";"8,09";"8,1";"8,14";"8";"6151";
"20/07/2016";"8,08";"8";"8,08";"8";"17467";
"21/07/2016";"8";"8,08";"8,08";"8";"7282";
"22/07/2016";"8,05";"8";"8,06";"8";"11162";
"25/07/2016";"8";"8,07";"8,09";"8";"10810";
"26/07/2016";"8";"8";"8,08";"8";"5491";
"27/07/2016";"8";"8";"8";"8";"5810";
"28/07/2016";"8";"8";"8,07";"8";"6226";
"29/07/2016";"8";"8,06";"8,06";"8";"2462";
"01/08/2016";"8";"8";"8";"8";"8636";
"02/08/2016";"8";"8";"8";"8";"296";
"03/08/2016";"8";"8,07";"8,07";"8";"4450";
"04/08/2016";"8,06";"8";"8,06";"8";"120";
"05/08/2016";"8,07";"8,01";"8,07";"8,01";"112";
"08/08/2016";"8,01";"8,07";"8,38";"8,01";"1701";
"09/08/2016";"8,04";"8,04";"8,04";"8,02";"1263";
"10/08/2016";"8,29";"8,04";"8,29";"8,04";"620";
"11/08/2016";"8,2";"8,35";"8,38";"8,14";"2003";
"12/08/2016";"8,19";"8,28";"8,32";"8,19";"971";
"15/08/2016";"8,15";"8,19";"8,19";"8,12";"1000";
"16/08/2016";"8,09";"8,14";"8,18";"8,09";"809";
"17/08/2016";"8,08";"8,09";"8,11";"8,08";"201";
"18/08/2016";"8";"8,08";"8,15";"8";"1979";
"19/08/2016";"8,01";"8";"8,05";"7,72";"1742";
"22/08/2016";"8";"8,01";"8,01";"8";"816";
"23/08/2016";"8,05";"8";"8,05";"8";"1145";
"24/08/2016";"8";"8,05";"8,1";"7,96";"1005";
"25/08/2016";"8";"8,14";"8,14";"8";"348";
"26/08/2016";"7,98";"8";"8";"7,86";"1383";
"29/08/2016";"7,98";"8,2";"8,2";"7,98";"861";
"30/08/2016";"8,01";"7,99";"8,01";"7,99";"647";
"31/08/2016";"8";"8,01";"8,01";"7,98";"1498";
"01/09/2016";"8";"8,05";"8,59";"8";"3195";
"02/09/2016";"9";"8,7";"10,82";"8,51";"54886";
"05/09/2016";"8,61";"9,25";"9,25";"8,61";"10754";
"06/09/2016";"9,5";"8,67";"10,1";"8,61";"25218";
"07/09/2016";"9,4";"9,49";"9,79";"9,4";"10994";
"08/09/2016";"9,39";"9,5";"9,7";"9,31";"16089";
"09/09/2016";"9,5";"9,44";"9,76";"9,31";"7321";
"12/09/2016";"9,5";"9,5";"9,5";"9,31";"2362";
"13/09/2016";"9,5";"9,65";"9,65";"9,46";"3866";
"14/09/2016";"9,58";"9,65";"9,89";"9,33";"13263";
"15/09/2016";"9,35";"9,57";"9,58";"9,18";"25804";
"16/09/2016";"8,9";"9,35";"9,42";"8,9";"11818";
"19/09/2016";"8,76";"8,91";"9,1";"8,67";"8490";
"20/09/2016";"8,76";"8,76";"8,98";"8,68";"10203";
"21/09/2016";"8,8";"8,76";"9,19";"8,76";"5464";
"22/09/2016";"8,9";"9,1";"9,1";"8,85";"3433";
"23/09/2016";"9";"8,9";"9,28";"8,81";"9263";
"26/09/2016";"9";"9,05";"9,35";"8,76";"16341";
"27/09/2016";"8,73";"9";"9,1";"8,65";"5883";
"28/09/2016";"8,85";"9";"9";"8,75";"3247";
"29/09/2016";"8,85";"8,85";"9,23";"8,85";"936";
"30/09/2016";"8,85";"8,85";"9,05";"8,76";"1456";
"03/10/2016";"8,85";"8,87";"9";"8,8";"1461";
"04/10/2016";"8,85";"9";"9";"8,66";"7886";
"05/10/2016";"8,5";"8,85";"8,85";"8,31";"9100";
"06/10/2016";"8,45";"8,5";"8,5";"8,45";"648";
"07/10/2016";"8,49";"8,45";"8,49";"8,31";"1396";
"10/10/2016";"8,46";"8,49";"8,56";"8,43";"604";
"11/10/2016";"8,4";"8,51";"8,74";"8,31";"3703";
"12/10/2016";"8,14";"8,33";"8,36";"8,12";"3025";
"13/10/2016";"8,21";"8,11";"8,24";"8,11";"5814";
