"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"10/09/2012";"17,3875";"17,495";"17,495";"17,13";"2280";
"11/09/2012";"17,4025";"17,495";"17,5";"17,3975";"2428";
"12/09/2012";"17,775";"17,5";"18,375";"17,5";"11488";
"13/09/2012";"17,75";"17,51";"18,1";"17,51";"4180";
"14/09/2012";"17,875";"17,98";"18,375";"17,5275";"16128";
"17/09/2012";"18,3675";"18,37";"18,37";"18,005";"1964";
"18/09/2012";"18,1875";"18,3225";"18,3675";"17,7025";"11720";
"19/09/2012";"18,29";"18,05";"18,35";"18,05";"1512";
"20/09/2012";"17,8";"18,1125";"18,1125";"17,785";"540";
"21/09/2012";"17,705";"17,8";"18,1025";"17,705";"1048";
"24/09/2012";"18,1125";"18,1125";"18,1125";"17,89";"356";
"25/09/2012";"17,835";"18";"18,1";"17,835";"2224";
"26/09/2012";"18,0075";"18";"18,1875";"17,7";"3644";
"27/09/2012";"18,15";"17,9975";"18,5";"17,975";"14496";
"28/09/2012";"19";"18,25";"19";"17,9425";"23408";
"01/10/2012";"18,685";"18,985";"18,985";"18,275";"2012";
"02/10/2012";"18,56";"18,75";"18,7525";"18,56";"1996";
"04/10/2012";"18,5";"18,5625";"18,5625";"18,43";"1144";
"05/10/2012";"18,425";"18,5";"18,5625";"18,425";"1352";
"08/10/2012";"18,5";"18,45";"18,5";"18,425";"892";
"09/10/2012";"18,5";"18,835";"18,835";"18,45";"11228";
"10/10/2012";"18,495";"18,835";"18,835";"18,495";"12740";
"11/10/2012";"18,7275";"18,83";"18,83";"18,525";"768";
"12/10/2012";"18,5975";"18,83";"18,83";"18,5025";"1536";
"15/10/2012";"18,795";"18,5";"18,83";"18,5";"1136";
"16/10/2012";"18,75";"18,78";"18,7875";"18,5575";"2116";
"17/10/2012";"18,75";"18,7475";"18,7625";"18,525";"3188";
"18/10/2012";"19,275";"18,75";"19,4475";"18,5375";"11732";
"19/10/2012";"19,375";"19,4425";"19,5";"19,3275";"5812";
"22/10/2012";"19,0275";"19,37";"19,375";"19,0275";"13608";
"23/10/2012";"19,25";"19,0275";"19,495";"19,025";"3652";
"24/10/2012";"20,35";"19,72";"20,425";"19,3775";"40488";
"25/10/2012";"20,125";"20,47";"20,47";"19,625";"14664";
"26/10/2012";"20,125";"20,125";"20,125";"19,775";"1908";
"29/10/2012";"21,25";"20,1575";"21,3225";"20,1575";"24328";
"30/10/2012";"21,125";"21,25";"21,25";"20,975";"5632";
"31/10/2012";"21";"21,125";"21,125";"21";"6676";
"01/11/2012";"20,9525";"20,9125";"21,125";"20,9125";"1324";
"02/11/2012";"21,4375";"21,125";"21,875";"21,125";"20608";
"05/11/2012";"22,25";"21,95";"22,25";"21,525";"11016";
"06/11/2012";"21,75";"22,2525";"22,36";"21,75";"4844";
"07/11/2012";"21,3";"21,875";"21,875";"21,3";"7400";
"08/11/2012";"21,875";"21,315";"21,875";"21,315";"4084";
"09/11/2012";"21,255";"21,875";"21,875";"21,255";"6568";
"12/11/2012";"21,425";"21,2525";"21,5125";"21,25";"2384";
"13/11/2012";"21,25";"21,45";"21,475";"21,25";"1620";
"14/11/2012";"21,25";"21,255";"21,425";"21,25";"5500";
"15/11/2012";"21,25";"21,25";"21,385";"21,225";"8352";
"16/11/2012";"21,15";"21,255";"21,3725";"21,15";"4548";
"19/11/2012";"21,215";"21,255";"21,385";"21,2075";"2488";
"20/11/2012";"21,2275";"21,255";"21,3675";"21,2125";"2308";
"21/11/2012";"20,9";"21,25";"21,25";"20,9";"4168";
"22/11/2012";"21,1575";"20,905";"21,1575";"20,6625";"7208";
"23/11/2012";"21,5";"21,2475";"21,7075";"21,2475";"20752";
"26/11/2012";"21,825";"21,25";"22,25";"21,25";"32088";
"27/11/2012";"22,3625";"21,705";"22,3725";"21,705";"57536";
"28/11/2012";"22,345";"22,3475";"22,3475";"22";"4188";
"29/11/2012";"22,975";"22,1";"22,975";"22,1";"23208";
"30/11/2012";"24,75";"23,05";"25,03";"23,05";"40044";
"03/12/2012";"24,25";"24,5";"24,625";"24,1475";"12008";
