"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"0,91908";"0,9094";"0,91908";"0,89973";"60867,35411";
"18/01/2013";"0,91908";"0,91908";"0,91908";"0,88038";"162745,69796";
"21/01/2013";"0,97712";"0,91908";"0,99647";"0,91908";"789807,8243";
"22/01/2013";"0,95777";"0,9868";"0,9868";"0,92875";"265184,27864";
"23/01/2013";"1,01582";"0,97712";"1,04484";"0,9481";"841165,62337";
"24/01/2013";"1,03517";"1,03517";"1,11257";"1,01582";"1274157,37073";
"25/01/2013";"0,99647";"1,01582";"1,02549";"0,9868";"381824,13939";
"28/01/2013";"0,9868";"0,99647";"0,99647";"0,95777";"343491,32977";
"29/01/2013";"1,01582";"0,97712";"1,02549";"0,96745";"257754,42194";
"30/01/2013";"1,00615";"1,01582";"1,01582";"0,97712";"227361,05713";
"31/01/2013";"0,99647";"1,00615";"1,00615";"0,95777";"295661,36888";
"01/02/2013";"0,96745";"0,99647";"0,99647";"0,9481";"145089,96866";
"04/02/2013";"0,93842";"0,96745";"0,96745";"0,92875";"230816,54001";
"05/02/2013";"0,92875";"0,93842";"0,95777";"0,92875";"49206,77907";
"06/02/2013";"0,91908";"0,93842";"0,93842";"0,89973";"151604,01386";
"07/02/2013";"0,89973";"0,91908";"0,92875";"0,89005";"144687,87987";
"08/02/2013";"0,91908";"0,9094";"0,93842";"0,89973";"252748,46813";
"11/02/2013";"1,03517";"0,91908";"1,06419";"0,9094";"1163143,65217";
"12/02/2013";"0,97712";"1,01582";"1,04484";"0,91908";"751994,93926";
"13/02/2013";"0,96745";"0,9868";"0,9868";"0,9481";"139806,99738";
"14/02/2013";"0,97712";"0,97712";"0,99647";"0,9481";"231544,2277";
"15/02/2013";"0,96745";"0,96745";"0,99647";"0,96745";"89077,65585";
"18/02/2013";"0,96745";"0,99647";"0,99647";"0,95777";"125273,91653";
"19/02/2013";"0,9868";"0,96745";"0,9868";"0,96745";"27529,12818";
"20/02/2013";"0,97712";"0,97712";"0,9868";"0,96745";"64576,08057";
"21/02/2013";"0,9481";"0,96745";"0,96745";"0,93842";"212370,07054";
"22/02/2013";"0,93842";"0,9481";"0,97712";"0,93842";"96530,25279";
"25/02/2013";"0,93842";"0,95777";"0,96745";"0,93842";"107970,66096";
"26/02/2013";"0,92875";"0,92875";"0,92875";"0,9094";"224699,41537";
"27/02/2013";"0,92875";"0,92875";"0,93842";"0,91908";"142708,44531";
"28/02/2013";"0,93842";"0,92875";"0,93842";"0,91908";"161221,06821";
"01/03/2013";"0,92875";"0,91908";"0,92875";"0,9094";"173179,33367";
"04/03/2013";"0,91908";"0,91908";"0,92875";"0,89973";"115243,40326";
"05/03/2013";"0,91908";"0,92875";"0,92875";"0,89973";"146820,29422";
"06/03/2013";"0,92875";"0,9094";"0,93842";"0,9094";"94768,91781";
"07/03/2013";"0,9481";"0,9481";"0,99647";"0,93842";"616976,82976";
"08/03/2013";"0,9481";"0,95777";"0,96745";"0,92875";"70338,6642";
"11/03/2013";"0,92875";"0,9481";"0,9481";"0,92875";"47221,14264";
"12/03/2013";"0,92875";"0,93842";"0,93842";"0,9094";"69119,99405";
"13/03/2013";"0,92875";"0,91908";"0,92875";"0,9094";"43870,05813";
"14/03/2013";"0,92875";"0,9481";"0,96745";"0,92875";"76484,73096";
