"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"2,49";"2,52";"2,53";"2,45";"105031";
"18/01/2013";"2,52";"2,49";"2,54";"2,45";"114249";
"21/01/2013";"2,6";"2,52";"2,66";"2,52";"542156";
"22/01/2013";"2,54";"2,6";"2,6";"2,51";"210154";
"23/01/2013";"2,54";"2,53";"2,61";"2,53";"125802";
"24/01/2013";"2,53";"2,57";"2,57";"2,5";"155285";
"25/01/2013";"2,53";"2,51";"2,53";"2,47";"161175";
"28/01/2013";"2,54";"2,53";"2,56";"2,51";"80094";
"29/01/2013";"2,62";"2,54";"2,63";"2,51";"338601";
"30/01/2013";"2,49";"2,62";"2,62";"2,45";"348403";
"31/01/2013";"2,47";"2,48";"2,49";"2,42";"146530";
"01/02/2013";"2,52";"2,47";"2,53";"2,47";"78158";
"04/02/2013";"2,47";"2,52";"2,55";"2,47";"111044";
"05/02/2013";"2,51";"2,46";"2,55";"2,46";"129270";
"06/02/2013";"2,47";"2,51";"2,54";"2,42";"180022";
"07/02/2013";"2,52";"2,52";"2,53";"2,45";"181708";
"08/02/2013";"2,52";"2,49";"2,54";"2,49";"139572";
"11/02/2013";"2,81";"2,53";"2,81";"2,5";"1345379";
"12/02/2013";"2,75";"2,85";"2,92";"2,68";"1138519";
"13/02/2013";"2,68";"2,73";"2,73";"2,59";"465696";
"14/02/2013";"2,67";"2,67";"2,7";"2,6";"210583";
"15/02/2013";"2,77";"2,67";"2,83";"2,67";"631627";
"18/02/2013";"2,79";"2,76";"2,81";"2,74";"215304";
"19/02/2013";"2,92";"2,79";"2,94";"2,79";"974468";
"20/02/2013";"2,89";"2,94";"2,97";"2,86";"413117";
"21/02/2013";"2,76";"2,85";"2,88";"2,75";"349765";
"22/02/2013";"2,71";"2,76";"2,79";"2,7";"269929";
"25/02/2013";"2,76";"2,73";"2,93";"2,64";"616567";
"26/02/2013";"2,86";"2,69";"2,88";"2,68";"432067";
"27/02/2013";"2,92";"2,88";"3,05";"2,88";"1204884";
"28/02/2013";"2,94";"2,93";"2,95";"2,89";"149069";
"01/03/2013";"2,87";"2,89";"2,93";"2,83";"220856";
"04/03/2013";"2,87";"2,89";"2,95";"2,86";"193836";
"05/03/2013";"2,81";"2,92";"2,96";"2,78";"442287";
"06/03/2013";"2,77";"2,81";"2,81";"2,73";"212118";
"07/03/2013";"2,79";"2,77";"2,82";"2,72";"150938";
"08/03/2013";"2,85";"2,82";"2,88";"2,8";"208465";
"11/03/2013";"2,76";"2,85";"2,85";"2,76";"133864";
"12/03/2013";"2,8";"2,76";"2,81";"2,75";"55181";
"13/03/2013";"2,8";"2,79";"2,81";"2,77";"59372";
"14/03/2013";"2,8";"2,79";"2,8";"2,76";"89757";
"15/03/2013";"2,77";"2,8";"2,81";"2,75";"47681";
"18/03/2013";"2,74";"2,73";"2,75";"2,69";"129133";
"19/03/2013";"2,61";"2,74";"2,74";"2,56";"278260";
"20/03/2013";"2,55";"2,62";"2,64";"2,55";"169661";
"21/03/2013";"2,65";"2,55";"2,67";"2,54";"143175";
"22/03/2013";"2,58";"2,65";"2,65";"2,56";"85720";
"25/03/2013";"2,56";"2,58";"2,61";"2,54";"118672";
"26/03/2013";"2,51";"2,56";"2,56";"2,5";"80683";
"27/03/2013";"2,49";"2,51";"2,57";"2,46";"141370";
"28/03/2013";"2,47";"2,48";"2,49";"2,44";"200985";
"02/04/2013";"2,47";"2,46";"2,48";"2,43";"118502";
"03/04/2013";"2,58";"2,47";"2,62";"2,46";"256959";
"04/04/2013";"2,57";"2,6";"2,65";"2,57";"181061";
"05/04/2013";"2,5";"2,57";"2,58";"2,46";"122100";
"08/04/2013";"2,48";"2,5";"2,54";"2,47";"80398";
"09/04/2013";"2,5";"2,49";"2,52";"2,49";"48055";
"10/04/2013";"2,54";"2,5";"2,55";"2,49";"111970";
"11/04/2013";"2,56";"2,55";"2,58";"2,53";"54669";
"12/04/2013";"2,59";"2,6";"2,68";"2,58";"359949";
"15/04/2013";"2,6";"2,64";"2,68";"2,6";"152148";
"16/04/2013";"2,5";"2,56";"2,58";"2,48";"166953";
"17/04/2013";"2,43";"2,54";"2,54";"2,43";"91916";
"18/04/2013";"2,37";"2,43";"2,45";"2,34";"149744";
"19/04/2013";"2,38";"2,35";"2,4";"2,32";"84802";
"22/04/2013";"2,53";"2,38";"2,53";"2,38";"157297";
"23/04/2013";"2,55";"2,5";"2,56";"2,5";"125865";
"24/04/2013";"2,57";"2,56";"2,57";"2,52";"72278";
"25/04/2013";"2,54";"2,57";"2,57";"2,51";"89004";
"26/04/2013";"2,49";"2,52";"2,53";"2,49";"102032";
"29/04/2013";"2,51";"2,49";"2,55";"2,49";"121438";
"30/04/2013";"2,62";"2,52";"2,64";"2,49";"264544";
"02/05/2013";"2,67";"2,62";"2,67";"2,6";"161061";
"03/05/2013";"2,67";"2,67";"2,69";"2,66";"69261";
"06/05/2013";"2,68";"2,67";"2,7";"2,6";"135922";
