"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"7";"7";"7";"7";"10";
"18/01/2013";"7";"7";"7";"7";"10";
"21/01/2013";"7";"7";"7";"7";"10";
"22/01/2013";"7";"7";"7";"7";"10";
"23/01/2013";"7";"7";"7";"7";"10";
"24/01/2013";"7";"7";"7";"7";"10";
"25/01/2013";"7";"7";"7";"7";"10";
"28/01/2013";"7";"7";"7";"7";"10";
"29/01/2013";"7";"7";"7";"7";"10";
"30/01/2013";"7";"7";"7";"7";"10";
"31/01/2013";"7";"7";"7";"7";"10";
"01/02/2013";"7";"7";"7";"7";"10";
"04/02/2013";"7";"7";"7";"7";"10";
"05/02/2013";"7";"7";"7";"7";"10";
"06/02/2013";"7";"7";"7";"7";"10";
"07/02/2013";"7";"7";"7";"7";"5";
"08/02/2013";"7";"7";"7";"7";"10";
"11/02/2013";"7";"7";"7";"7";"10";
"12/02/2013";"7";"7";"7";"7";"10";
"13/02/2013";"7";"7";"7";"7";"10";
"14/02/2013";"7";"7";"7";"7";"10";
"15/02/2013";"7";"7";"7";"7";"10";
"18/02/2013";"7";"7";"7";"7";"10";
"19/02/2013";"7";"7";"7";"7";"200";
"20/02/2013";"7";"7";"7";"7";"10";
"21/02/2013";"7";"7";"7";"7";"10";
"22/02/2013";"7";"7";"7";"7";"10";
"25/02/2013";"7";"7";"7";"7";"10";
"26/02/2013";"7";"7";"7";"7";"10";
"27/02/2013";"7";"7";"7";"7";"10";
"28/02/2013";"7";"7";"7";"7";"10";
"01/03/2013";"7";"7";"7";"7";"10";
"04/03/2013";"7";"7";"7";"7";"10";
"05/03/2013";"7";"7";"7";"7";"10";
"06/03/2013";"6,99";"6,99";"6,99";"6,99";"610";
"07/03/2013";"6,8";"6,8";"6,8";"6,8";"610";
"08/03/2013";"6,75";"6,75";"6,75";"6,75";"110";
"11/03/2013";"6,75";"6,75";"6,75";"6,75";"510";
"12/03/2013";"6,75";"6,75";"6,75";"6,75";"626";
"13/03/2013";"6,75";"6,75";"6,75";"6,75";"800";
"14/03/2013";"6";"6";"6";"6";"320";
"15/03/2013";"5,5";"5,5";"5,5";"5,5";"870";
"18/03/2013";"5,24";"5,24";"5,24";"5,24";"34150";
"19/03/2013";"4,5";"4,5";"4,5";"4,5";"1000";
"20/03/2013";"3,75";"3,75";"3,75";"3,75";"5";
"21/03/2013";"3,75";"3,75";"3,75";"3,75";"5";
"22/03/2013";"3,75";"3,75";"3,75";"3,75";"5";
"25/03/2013";"4,49";"4,49";"4,49";"4,49";"2005";
"26/03/2013";"5";"5";"5";"5";"3590";
"27/03/2013";"4";"4";"4";"4";"480";
"28/03/2013";"4";"4";"4";"4";"50";
"02/04/2013";"4";"4";"4";"4";"1470";
"03/04/2013";"4";"4";"4";"4";"10";
"04/04/2013";"4";"4";"4";"4";"240";
"05/04/2013";"4,5";"4,5";"4,5";"4,5";"537";
"08/04/2013";"4,5";"4,5";"4,5";"4,5";"13";
"09/04/2013";"4,5";"4,5";"4,5";"4,5";"84";
"10/04/2013";"4,5";"4,5";"4,5";"4,5";"70";
"11/04/2013";"4,5";"4,5";"4,5";"4,5";"24";
"12/04/2013";"4,5";"4,5";"4,5";"4,5";"18";
"15/04/2013";"4,5";"4,5";"4,5";"4,5";"13";
"16/04/2013";"4,5";"4,5";"4,5";"4,5";"10";
"17/04/2013";"4,5";"4,5";"4,5";"4,5";"7";
"18/04/2013";"4,25";"4,25";"4,25";"4,25";"510";
"19/04/2013";"4,25";"4,25";"4,25";"4,25";"10";
"22/04/2013";"4,25";"4,25";"4,25";"4,25";"10";
"23/04/2013";"4,25";"4,25";"4,25";"4,25";"10";
"24/04/2013";"4";"4";"4";"4";"1000";
"25/04/2013";"4,25";"4,25";"4,25";"4,25";"10";
"26/04/2013";"4,25";"4,25";"4,25";"4,25";"10";
"29/04/2013";"4,25";"4,25";"4,25";"4,25";"25";
"30/04/2013";"4,25";"4,25";"4,25";"4,25";"96";
"02/05/2013";"4,25";"4,25";"4,25";"4,25";"96";
"03/05/2013";"4,24";"4,24";"4,24";"4,24";"5";
"06/05/2013";"4,24";"4,24";"4,24";"4,24";"110";
"07/05/2013";"4,24";"4,24";"4,24";"4,24";"54";
"08/05/2013";"4,24";"4,24";"4,24";"4,24";"25";
"09/05/2013";"4,24";"4,24";"4,24";"4,24";"25";
"10/05/2013";"4,24";"4,24";"4,24";"4,24";"25";
"13/05/2013";"4,24";"4,24";"4,24";"4,24";"25";
"14/05/2013";"4,24";"4,24";"4,24";"4,24";"25";
"15/05/2013";"4,25";"4,25";"4,25";"4,25";"1383";
"16/05/2013";"3,6";"3,6";"3,6";"3,6";"1000";
"20/05/2013";"4,49";"4,49";"4,49";"4,49";"20";
"21/05/2013";"4,5";"4,5";"4,5";"4,5";"10";
"22/05/2013";"3,6";"3,6";"3,6";"3,6";"1383";
"23/05/2013";"4,1";"4,1";"4,1";"4,1";"51";
"24/05/2013";"4,75";"4,75";"4,75";"4,75";"500";
"27/05/2013";"4,74";"4,74";"4,74";"4,74";"10";
"28/05/2013";"4,75";"4,75";"4,75";"4,75";"10";
"29/05/2013";"4,75";"4,75";"4,75";"4,75";"10";
"30/05/2013";"4,74";"4,74";"4,74";"4,74";"529";
"31/05/2013";"4,3";"4,3";"4,3";"4,3";"10";
"03/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"04/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"05/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"06/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"07/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"10/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"11/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"12/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"13/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"14/06/2013";"4,25";"4,25";"4,25";"4,25";"110";
"17/06/2013";"3,41";"3,41";"3,41";"3,41";"1200";
"18/06/2013";"4";"4";"4";"4";"399";
"19/06/2013";"4,25";"4,25";"4,25";"4,25";"100";
"20/06/2013";"4,25";"4,25";"4,25";"4,25";"50";
"21/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"24/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"25/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"26/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"27/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"28/06/2013";"4,25";"4,25";"4,25";"4,25";"10";
"01/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"02/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"03/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"04/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"05/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"08/07/2013";"4,25";"4,25";"4,25";"4,25";"1200";
"09/07/2013";"4,25";"4,25";"4,25";"4,25";"150";
"10/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"11/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"12/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"15/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"16/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"17/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"18/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"19/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"22/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"23/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"24/07/2013";"4,25";"4,25";"4,25";"4,25";"10";
"25/07/2013";"4";"4";"4";"4";"180";
"26/07/2013";"4";"4";"4";"4";"10";
"29/07/2013";"3,85";"3,85";"3,85";"3,85";"10";
"30/07/2013";"3,85";"3,85";"3,85";"3,85";"20";
"31/07/2013";"3,85";"3,85";"3,85";"3,85";"10";
"01/08/2013";"3,85";"3,85";"3,85";"3,85";"10";
"02/08/2013";"3,85";"3,85";"3,85";"3,85";"10";
"05/08/2013";"3,8";"3,8";"3,8";"3,8";"10";
"06/08/2013";"3,85";"3,85";"3,85";"3,85";"10";
"07/08/2013";"3,84";"3,84";"3,84";"3,84";"10";
"08/08/2013";"3,84";"3,84";"3,84";"3,84";"10";
"09/08/2013";"3,84";"3,84";"3,84";"3,84";"10";
"12/08/2013";"3,84";"3,84";"3,84";"3,84";"10";
"13/08/2013";"3,84";"3,84";"3,84";"3,84";"10";
"14/08/2013";"3,84";"3,84";"3,84";"3,84";"10";
"15/08/2013";"3,84";"3,84";"3,84";"3,84";"10";
"16/08/2013";"3,84";"3,84";"3,84";"3,84";"10";
