"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"15/02/2017";"8,58";"8,53";"8,93";"8,5";"60077";
"16/02/2017";"8,5";"8,59";"8,59";"8,45";"158338";
"17/02/2017";"8,3";"8,5";"8,5";"7,98";"11731";
"20/02/2017";"8,29";"8,25";"8,3";"8";"12872";
"21/02/2017";"8,29";"8,3";"8,32";"8,19";"11943";
"22/02/2017";"8,34";"8,36";"8,36";"8,24";"2944";
"23/02/2017";"8,2";"8,35";"8,35";"8,2";"2667";
"24/02/2017";"8,2";"8,05";"8,34";"8";"1998";
"27/02/2017";"8,2";"8,2";"8,34";"8,2";"7855";
"28/02/2017";"8,3";"8,25";"8,35";"8,25";"4025";
"01/03/2017";"8,35";"8,25";"8,35";"8,25";"8715";
"02/03/2017";"8,38";"8,3";"8,6";"8,22";"20604";
"03/03/2017";"8,56";"8,57";"8,59";"8,38";"6744";
"06/03/2017";"8,5";"8,58";"8,6";"8,5";"6039";
"07/03/2017";"8,41";"8,6";"8,6";"8,41";"1365";
"08/03/2017";"8,5";"8,6";"8,6";"8,5";"11970";
"09/03/2017";"8,5";"8,5";"8,5";"8,49";"3330";
"10/03/2017";"8,39";"8,5";"8,5";"8,37";"9054";
"13/03/2017";"8,55";"8,5";"8,55";"8,42";"1044";
"14/03/2017";"8,42";"8,5";"8,5";"8,35";"2772";
"15/03/2017";"8,4";"8,4";"8,4";"8,4";"99";
"16/03/2017";"8,5";"8,58";"8,58";"8,39";"1466";
"17/03/2017";"8,5";"8,5";"8,54";"8,45";"746";
"20/03/2017";"8,45";"8,5";"8,5";"8,35";"2128";
"21/03/2017";"8,38";"8,44";"8,45";"8,36";"715";
"22/03/2017";"8,38";"8,36";"8,49";"8,26";"1324";
"23/03/2017";"8,37";"8,45";"8,45";"8,02";"5270";
"24/03/2017";"7,8";"7,7";"7,98";"7,7";"8619";
"27/03/2017";"7,76";"7,72";"7,83";"7,72";"2648";
"28/03/2017";"7,55";"7,7";"7,71";"7,29";"10565";
"29/03/2017";"7,23";"7,3";"7,33";"7,02";"17544";
"30/03/2017";"7,5";"7,23";"7,55";"7,15";"5477";
"31/03/2017";"7,5";"7,5";"7,5";"7,22";"3629";
"03/04/2017";"7,51";"7,41";"7,53";"7,41";"2767";
"04/04/2017";"7,58";"7,55";"7,68";"7,55";"2554";
"05/04/2017";"7,36";"7,58";"7,58";"7,36";"1785";
"06/04/2017";"7,38";"7,41";"7,51";"7,37";"763";
"07/04/2017";"7,3";"7,4";"7,41";"7,3";"1312";
"10/04/2017";"7,45";"7,31";"7,59";"7,15";"6020";
"11/04/2017";"7,4";"7,59";"7,59";"7,3";"3092";
"12/04/2017";"7,38";"7,28";"7,38";"7,2";"1637";
"13/04/2017";"7,35";"7,15";"7,35";"7,15";"5297";
"18/04/2017";"7,25";"7,54";"7,54";"7,25";"1065";
"19/04/2017";"7,25";"7,18";"7,26";"7,03";"8646";
"20/04/2017";"7,34";"7,26";"7,34";"7,25";"899";
"21/04/2017";"7,3";"7,33";"7,34";"7,25";"1373";
"24/04/2017";"7,28";"7,29";"7,34";"7,25";"1048";
"25/04/2017";"7,26";"7,28";"7,29";"7,26";"1363";
"26/04/2017";"7,25";"7,27";"7,29";"7,25";"4917";
"27/04/2017";"7,25";"7,26";"7,29";"7,25";"506";
"28/04/2017";"7,21";"7,26";"7,28";"7,1";"3320";
"02/05/2017";"7,17";"7,19";"7,2";"7,07";"1708";
"03/05/2017";"7";"7,03";"7,1";"6,86";"39060";
"04/05/2017";"6,86";"6,95";"6,97";"6,86";"3148";
"05/05/2017";"6,99";"6,82";"7";"6,75";"5269";
"08/05/2017";"6,85";"6,91";"6,99";"6,85";"1991";
"09/05/2017";"6,56";"6,84";"6,84";"6,43";"7728";
"10/05/2017";"6,23";"6,57";"6,57";"6,23";"9555";
"11/05/2017";"6,06";"6,15";"6,2";"6";"29018";
