"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"02/07/2015";"12,395";"12,5";"12,85";"12,275";"382062";
"03/07/2015";"12,15";"12,49";"12,49";"11,905";"73366";
"06/07/2015";"11,7";"11,9";"12";"11,58";"53672";
"07/07/2015";"11,45";"11,795";"11,795";"11,405";"27676";
"08/07/2015";"11,595";"11,46";"11,765";"11,365";"14656";
"09/07/2015";"11,595";"11,6";"11,75";"11,36";"16834";
"10/07/2015";"11,85";"11,6";"11,97";"11,6";"8916";
"13/07/2015";"12,09";"11,945";"12,215";"11,805";"17855";
"14/07/2015";"12,17";"12,205";"12,22";"11,9";"8460";
"15/07/2015";"12,14";"12,09";"12,15";"11,9";"8574";
"16/07/2015";"12,29";"12,24";"12,345";"12,01";"13489";
"17/07/2015";"12,2";"12,3";"12,3";"12";"4719";
"20/07/2015";"12,2";"12,3";"12,3";"12,1";"5465";
"21/07/2015";"12,195";"12,2";"12,29";"12,11";"3779";
"22/07/2015";"12,205";"12,1";"12,205";"12,1";"6087";
"23/07/2015";"12,295";"12,2";"12,295";"12,2";"4146";
"24/07/2015";"12,345";"12,3";"12,345";"12,2";"12459";
"27/07/2015";"12,37";"12,255";"12,38";"12,175";"9543";
"28/07/2015";"12,385";"12,38";"12,385";"12,3";"9232";
"29/07/2015";"12,35";"12,35";"12,4";"12,305";"8675";
"30/07/2015";"12,36";"12,4";"12,5";"12,35";"17399";
"31/07/2015";"12,45";"12,395";"12,495";"12,37";"16240";
"03/08/2015";"12,375";"12,4";"12,4";"12,075";"7173";
"04/08/2015";"12,35";"12,45";"12,45";"12,255";"1385";
"05/08/2015";"12,205";"12,345";"12,35";"12,2";"5168";
"06/08/2015";"12,17";"12,15";"12,385";"12,1";"1637";
"07/08/2015";"12";"12,1";"12,1";"11,8";"6070";
"10/08/2015";"12,2";"12";"12,2";"11,82";"5390";
"11/08/2015";"12,21";"12,25";"12,58";"12,1";"51632";
"12/08/2015";"12";"12,3";"12,3";"11,875";"11119";
"13/08/2015";"12";"12,38";"12,38";"11,95";"11550";
"14/08/2015";"11,91";"11,91";"12,15";"11,905";"2171";
"17/08/2015";"12,19";"12,1";"12,195";"12,1";"676";
"18/08/2015";"12,245";"12,035";"12,245";"12,035";"2361";
"19/08/2015";"12,2";"12,225";"12,225";"12,18";"650";
"20/08/2015";"12,185";"12,2";"12,24";"12";"2408";
"21/08/2015";"11,97";"11,95";"12,085";"11,715";"5301";
"24/08/2015";"11,15";"11,7";"11,75";"10,55";"7831";
"25/08/2015";"11,455";"11";"11,475";"10,8";"6371";
"26/08/2015";"11,44";"11,45";"11,45";"11,25";"6497";
"27/08/2015";"11,335";"11,44";"11,44";"11,175";"2229";
"28/08/2015";"11,365";"11,26";"11,395";"11,15";"3118";
"31/08/2015";"11,37";"11,37";"11,395";"11,105";"3464";
"01/09/2015";"11,1";"11,245";"11,245";"11,08";"1481";
"02/09/2015";"11,18";"11,25";"11,25";"11,02";"748";
"03/09/2015";"11,15";"11,24";"11,24";"11,15";"1327";
"04/09/2015";"11,15";"11,24";"11,24";"11,05";"1086";
"07/09/2015";"11,24";"11,2";"11,45";"11,2";"5379";
"08/09/2015";"11,25";"11,34";"11,35";"11,125";"4042";
"09/09/2015";"11,055";"11,3";"11,3";"11,05";"5257";
"10/09/2015";"11,05";"11,105";"11,105";"11,05";"1198";
"11/09/2015";"11,01";"11,05";"11,235";"11,005";"778";
"14/09/2015";"11,005";"11,01";"11,195";"11,005";"1005";
"15/09/2015";"11,1";"11,055";"11,17";"11,005";"1054";
"16/09/2015";"11,095";"11,01";"11,1";"10,805";"4224";
"17/09/2015";"11,08";"11,09";"11,095";"10,84";"937";
"18/09/2015";"11";"11,08";"11,08";"10,91";"399";
"21/09/2015";"11,1";"11,09";"11,1";"11,09";"1282";
"22/09/2015";"10,75";"11,095";"11,215";"10,7";"4718";
"23/09/2015";"11,4";"10,99";"11,7";"10,76";"12502";
"24/09/2015";"11,4";"11,16";"11,75";"11,16";"5421";
"25/09/2015";"11,69";"11,5";"11,7";"11,45";"878";
"28/09/2015";"11,35";"11,35";"11,495";"10,975";"2358";
"29/09/2015";"11,35";"11,35";"11,35";"10,955";"871";
