"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"08/02/2017";"6,81";"6,85";"7,49";"6,8";"23818";
"09/02/2017";"6,82";"6,86";"6,86";"6,8";"17625";
"10/02/2017";"6,81";"6,82";"6,82";"6,8";"31497";
"13/02/2017";"6,78";"6,81";"6,81";"6,76";"6217";
"14/02/2017";"6,57";"6,78";"6,78";"6,53";"6049";
"15/02/2017";"6,27";"6,57";"6,57";"6,21";"8887";
"16/02/2017";"5,9";"6,27";"6,27";"5,65";"10876";
"17/02/2017";"5,68";"5,83";"5,83";"5,68";"13529";
"20/02/2017";"5,66";"5,68";"5,68";"5,65";"3754";
"21/02/2017";"5,79";"5,66";"5,79";"5,66";"13562";
"22/02/2017";"6";"5,87";"6,18";"5,87";"7323";
"23/02/2017";"5,99";"6";"6";"5,94";"1500";
"24/02/2017";"5,99";"5,99";"5,99";"5,99";"280";
"27/02/2017";"5,98";"6";"6";"5,98";"637";
"28/02/2017";"5,99";"5,99";"5,99";"5,99";"42";
"01/03/2017";"5,97";"5,99";"5,99";"5,95";"2641";
"02/03/2017";"5,59";"5,97";"5,97";"5,59";"8034";
"03/03/2017";"5,6";"5,59";"5,6";"5,55";"2541";
"06/03/2017";"5,59";"5,6";"5,61";"5,59";"1178";
"07/03/2017";"5,61";"5,6";"5,61";"5,6";"692";
"08/03/2017";"5,62";"5,61";"5,62";"5,61";"151";
"09/03/2017";"5,63";"5,62";"5,63";"5,62";"8";
"10/03/2017";"5,73";"5,63";"5,73";"5,6";"5180";
"13/03/2017";"5,73";"5,73";"5,74";"5,73";"1631";
"14/03/2017";"5,7";"5,73";"5,73";"5,7";"1388";
"15/03/2017";"5,58";"5,7";"5,7";"5,58";"1220";
"16/03/2017";"5,6";"5,59";"5,6";"5,59";"1497";
"17/03/2017";"5,6";"5,6";"5,6";"5,6";"861";
"20/03/2017";"5,6";"5,6";"5,61";"5,59";"1654";
"21/03/2017";"5,57";"5,59";"5,59";"5,57";"635";
"22/03/2017";"5,58";"5,57";"5,58";"5,57";"109";
"23/03/2017";"5,58";"5,58";"5,58";"5,58";"351";
"24/03/2017";"5,58";"5,58";"5,59";"5,58";"337";
"27/03/2017";"5,58";"5,59";"5,6";"5,58";"5713";
"28/03/2017";"5,58";"5,58";"5,58";"5,58";"96";
"29/03/2017";"5,6";"5,59";"5,6";"5,59";"1041";
"30/03/2017";"5,57";"5,6";"5,6";"5,57";"2147";
"31/03/2017";"5,6";"5,57";"5,6";"5,54";"4342";
"03/04/2017";"5,6";"5,61";"5,61";"5,6";"915";
"04/04/2017";"5,59";"5,6";"5,6";"5,56";"1132";
"05/04/2017";"5,58";"5,59";"5,59";"5,58";"301";
"06/04/2017";"5,58";"5,58";"5,58";"5,58";"1";
"07/04/2017";"5,58";"5,58";"5,58";"5,58";"115";
"10/04/2017";"5,58";"5,58";"5,58";"5,58";"377";
"11/04/2017";"5,59";"5,58";"5,59";"5,58";"319";
"12/04/2017";"5,58";"5,59";"5,59";"5,58";"142";
"13/04/2017";"5,58";"5,58";"5,58";"5,58";"440";
"18/04/2017";"5,41";"5,58";"5,58";"5,41";"4184";
"19/04/2017";"5,41";"5,41";"5,41";"5,4";"515";
"20/04/2017";"5,43";"5,41";"5,43";"5,41";"1454";
"21/04/2017";"5,4";"5,44";"5,55";"5,4";"1991";
"24/04/2017";"5,42";"5,42";"5,42";"5,41";"681";
"25/04/2017";"5,43";"5,42";"5,43";"5,42";"1231";
"26/04/2017";"5,43";"5,42";"5,44";"5,42";"178";
"27/04/2017";"5,45";"5,44";"5,45";"5,43";"384";
"28/04/2017";"5,44";"5,46";"5,46";"5,4";"4080";
"02/05/2017";"5,29";"5,39";"5,39";"5,29";"1814";
"03/05/2017";"5,37";"5,33";"5,4";"5,29";"3513";
"04/05/2017";"5,37";"5,37";"5,37";"5,36";"2172";
"05/05/2017";"5,37";"5,36";"5,37";"5,36";"4656";
"08/05/2017";"5,28";"5,35";"5,35";"5,28";"2001";
"09/05/2017";"5,18";"5,28";"5,28";"5,18";"2975";
"10/05/2017";"5,19";"5,18";"5,2";"5,14";"5401";
"11/05/2017";"5,07";"5,19";"5,2";"5,02";"5117";
"12/05/2017";"4,98";"5,08";"5,08";"4,98";"2043";
"15/05/2017";"4,99";"4,99";"4,99";"4,98";"675";
