"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"2,25";"2,27";"2,29";"2,25";"20347";
"18/01/2013";"2,27";"2,25";"2,29";"2,25";"12280";
"21/01/2013";"2,29";"2,3";"2,3";"2,25";"20199";
"22/01/2013";"2,3";"2,3";"2,3";"2,29";"9580";
"23/01/2013";"2,3";"2,3";"2,3";"2,27";"9915";
"24/01/2013";"2,25";"2,3";"2,3";"2,25";"29262";
"25/01/2013";"2,25";"2,24";"2,3";"2,24";"28295";
"28/01/2013";"2,29";"2,28";"2,3";"2,27";"43873";
"29/01/2013";"2,27";"2,3";"2,3";"2,27";"15327";
"30/01/2013";"2,29";"2,29";"2,29";"2,28";"7563";
"31/01/2013";"2,25";"2,3";"2,32";"2,25";"38105";
"01/02/2013";"2,29";"2,29";"2,29";"2,25";"15155";
"04/02/2013";"2,25";"2,29";"2,3";"2,24";"21392";
"05/02/2013";"2,24";"2,25";"2,25";"2,2";"41655";
"06/02/2013";"2,2";"2,2";"2,24";"2,11";"62997";
"07/02/2013";"2,19";"2,24";"2,24";"2,13";"26913";
"08/02/2013";"2,11";"2,15";"2,19";"2,1";"80523";
"11/02/2013";"2,27";"2,28";"2,3";"2,22";"124194";
"12/02/2013";"2,27";"2,29";"2,3";"2,26";"42936";
"13/02/2013";"2,3";"2,27";"2,3";"2,26";"33198";
"14/02/2013";"2,25";"2,3";"2,3";"2,25";"62444";
"15/02/2013";"2,22";"2,22";"2,22";"2,16";"56193";
"18/02/2013";"2,28";"2,26";"2,3";"2,25";"53112";
"19/02/2013";"2,37";"2,3";"2,39";"2,28";"80455";
"20/02/2013";"2,53";"2,37";"2,6";"2,37";"308520";
"21/02/2013";"2,56";"2,57";"2,58";"2,45";"83077";
"22/02/2013";"2,67";"2,57";"2,73";"2,56";"213569";
"25/02/2013";"2,75";"2,73";"2,77";"2,7";"107481";
"26/02/2013";"2,51";"2,69";"2,7";"2,45";"236616";
"27/02/2013";"2,57";"2,51";"2,57";"2,4";"106752";
"28/02/2013";"2,3";"2,41";"2,41";"2,25";"344621";
"01/03/2013";"2,18";"2,35";"2,35";"2,12";"224916";
"04/03/2013";"2,31";"2,15";"2,37";"2,12";"92127";
"05/03/2013";"2,34";"2,3";"2,36";"2,24";"38873";
"06/03/2013";"2,35";"2,35";"2,35";"2,32";"17577";
"07/03/2013";"2,28";"2,33";"2,33";"2,27";"21943";
"08/03/2013";"2,3";"2,3";"2,3";"2,28";"12848";
"11/03/2013";"2,35";"2,3";"2,36";"2,3";"22685";
"12/03/2013";"2,34";"2,32";"2,34";"2,32";"7489";
"13/03/2013";"2,35";"2,36";"2,36";"2,33";"18186";
"14/03/2013";"2,33";"2,35";"2,36";"2,33";"9659";
"15/03/2013";"2,35";"2,35";"2,36";"2,32";"18678";
"18/03/2013";"2,33";"2,31";"2,35";"2,3";"11299";
"19/03/2013";"2,29";"2,31";"2,34";"2,28";"13049";
"20/03/2013";"2,3";"2,29";"2,3";"2,26";"23645";
"21/03/2013";"2,25";"2,28";"2,3";"2,2";"34811";
"22/03/2013";"2,25";"2,27";"2,27";"2,21";"25591";
"25/03/2013";"2,28";"2,29";"2,29";"2,25";"6915";
"26/03/2013";"2,28";"2,23";"2,28";"2,22";"20756";
"27/03/2013";"2,23";"2,27";"2,29";"2,23";"15704";
"28/03/2013";"2,23";"2,22";"2,23";"2,21";"8400";
"02/04/2013";"2,25";"2,28";"2,28";"2,23";"16819";
"03/04/2013";"2,29";"2,25";"2,33";"2,22";"30537";
"04/04/2013";"2,24";"2,24";"2,27";"2,23";"17000";
"05/04/2013";"2,17";"2,22";"2,22";"2,11";"43451";
"08/04/2013";"2,06";"2,15";"2,15";"2,03";"45425";
"09/04/2013";"2,09";"2,06";"2,12";"2,06";"17153";
"10/04/2013";"2,1";"2,12";"2,12";"2,06";"21670";
"11/04/2013";"2,14";"2,1";"2,14";"2,1";"8355";
"12/04/2013";"2,07";"2,14";"2,14";"2,07";"14102";
"15/04/2013";"2,1";"2,07";"2,1";"2,07";"26182";
"16/04/2013";"2,1";"2,1";"2,11";"2,08";"11736";
"17/04/2013";"2,09";"2,1";"2,1";"2,09";"6690";
"18/04/2013";"2,08";"2,09";"2,11";"2,07";"27636";
"19/04/2013";"2,08";"2,07";"2,12";"2,07";"16921";
"22/04/2013";"2,15";"2,08";"2,17";"2,08";"36414";
"23/04/2013";"2,13";"2,15";"2,15";"2,11";"5751";
"24/04/2013";"2,14";"2,13";"2,14";"2,13";"4413";
"25/04/2013";"2,12";"2,14";"2,15";"2,12";"7657";
"26/04/2013";"2,16";"2,15";"2,18";"2,13";"20402";
"29/04/2013";"2,12";"2,15";"2,16";"2,11";"17983";
"30/04/2013";"2,12";"2,16";"2,16";"2,12";"3694";
"02/05/2013";"2,12";"2,13";"2,13";"2,1";"6883";
"03/05/2013";"2,1";"2,1";"2,1";"2,1";"11255";
"06/05/2013";"2,12";"2,09";"2,12";"2,04";"66043";
"07/05/2013";"2,07";"2,1";"2,12";"2,04";"24510";
"08/05/2013";"2,04";"2,07";"2,09";"2,04";"31208";
"09/05/2013";"2,07";"2,06";"2,08";"2,05";"21942";
"10/05/2013";"2,05";"2,07";"2,08";"2,04";"13232";
"13/05/2013";"2,04";"2,08";"2,08";"2,04";"17960";
"14/05/2013";"2,04";"2,04";"2,06";"2,04";"8360";
"15/05/2013";"2,06";"2,06";"2,06";"2,04";"9650";
"16/05/2013";"2,03";"2,07";"2,07";"2,03";"15003";
"17/05/2013";"1,97";"2,02";"2,03";"1,92";"34318";
"20/05/2013";"1,98";"2";"2";"1,97";"14015";
"21/05/2013";"2";"1,99";"2";"1,98";"7400";
