"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"6,17176";"6,21748";"6,21748";"6,15347";"4232,58434";
"18/01/2013";"6,21748";"6,17176";"6,21748";"6,17176";"17382,03175";
"21/01/2013";"6,20833";"6,21748";"6,21748";"6,15347";"7764,11272";
"22/01/2013";"6,19005";"6,21748";"6,21748";"6,19005";"7429,44326";
"23/01/2013";"6,19005";"6,19919";"6,21748";"6,1809";"10799,10536";
"24/01/2013";"6,1809";"6,19005";"6,19005";"6,16262";"5816,24897";
"25/01/2013";"6,12604";"6,1809";"6,1809";"6,12604";"6666,04691";
"28/01/2013";"6,13519";"6,17176";"6,21748";"6,12604";"10487,40341";
"29/01/2013";"6,1169";"6,13519";"6,13519";"6,1169";"3043,74217";
"30/01/2013";"6,16262";"6,1169";"6,16262";"6,1169";"9129,03914";
"31/01/2013";"6,13519";"6,17176";"6,17176";"6,08947";"6145,44997";
"01/02/2013";"6,12604";"6,16262";"6,16262";"6,09861";"3960,25527";
"04/02/2013";"6,09861";"6,14433";"6,14433";"6,08947";"4567,2538";
"05/02/2013";"6,15347";"6,09861";"6,15347";"6,08947";"2619,39005";
"06/02/2013";"6,16262";"6,15347";"6,16262";"6,12604";"6354,34496";
"07/02/2013";"6,14433";"6,16262";"6,16262";"6,08947";"6220,91465";
"08/02/2013";"6,1169";"6,14433";"6,14433";"6,08947";"3686,83251";
"11/02/2013";"6,1169";"6,1169";"6,12604";"6,08947";"4207,42944";
"12/02/2013";"6,15347";"6,13519";"6,15347";"6,1169";"4625,21942";
"13/02/2013";"6,15347";"6,15347";"6,16262";"6,09861";"5228,93688";
"14/02/2013";"6,08947";"6,15347";"6,15347";"6,06204";"5795,46884";
"15/02/2013";"6,14433";"6,08947";"6,14433";"6,06204";"5029,88511";
"18/02/2013";"6,12604";"6,15347";"6,15347";"6,06204";"5986,86477";
"19/02/2013";"6,10776";"6,12604";"6,17176";"6,06204";"7064,15045";
"20/02/2013";"5,98889";"6,10776";"6,10776";"5,93403";"23173,12582";
"21/02/2013";"5,92489";"5,98889";"5,98889";"5,88832";"7094,7738";
"22/02/2013";"5,82431";"5,94318";"5,94318";"5,76031";"7916,13577";
"25/02/2013";"5,80603";"5,82431";"5,83346";"5,78774";"5762,65811";
"26/02/2013";"5,73288";"5,75117";"5,75117";"5,66888";"18823,51654";
"27/02/2013";"5,62316";"5,66888";"5,66888";"5,46772";"28094,73552";
"28/02/2013";"5,54087";"5,57744";"5,57744";"5,52258";"19316,77121";
"01/03/2013";"5,47687";"5,53173";"5,53173";"5,44029";"10184,45099";
"04/03/2013";"5,5043";"5,47687";"5,5043";"5,46772";"41447,60946";
"05/03/2013";"5,46772";"5,5043";"5,51344";"5,46772";"11336,10766";
"06/03/2013";"5,47687";"5,46772";"5,53173";"5,44029";"11470,63166";
"07/03/2013";"5,49515";"5,47687";"5,57744";"5,47687";"4755,36866";
"08/03/2013";"5,49515";"5,49515";"5,57744";"5,48601";"2079,10667";
"11/03/2013";"5,67802";"5,49515";"5,70545";"5,49515";"7944,57174";
"12/03/2013";"5,71459";"5,67802";"5,74202";"5,67802";"2265,03415";
"13/03/2013";"5,73288";"5,71459";"5,74202";"5,69631";"5911,40009";
"14/03/2013";"5,80603";"5,73288";"5,80603";"5,73288";"3900,10226";
"15/03/2013";"5,80603";"5,83346";"5,85174";"5,73288";"3522,77885";
"18/03/2013";"5,80603";"6,03461";"6,03461";"5,80603";"9262,46945";
"19/03/2013";"5,92489";"5,85174";"5,92489";"5,80603";"5863,27768";
"20/03/2013";"5,99804";"5,93403";"5,99804";"5,92489";"6024,05027";
"21/03/2013";"5,94318";"6,00718";"6,00718";"5,94318";"1935,83315";
"22/03/2013";"5,92489";"5,94318";"5,94318";"5,85174";"3227,48227";
"25/03/2013";"5,83346";"5,92489";"5,92489";"5,76031";"6406,84213";
"26/03/2013";"5,87917";"5,83346";"5,87917";"5,75117";"2349,24836";
"27/03/2013";"5,94318";"5,87917";"5,94318";"5,76031";"6232,94526";
"28/03/2013";"5,94318";"5,94318";"5,99804";"5,93403";"3931,8193";
"02/04/2013";"5,85174";"5,93403";"5,93403";"5,85174";"4399,91907";
"03/04/2013";"5,8426";"5,85174";"5,89746";"5,80603";"3644,17856";
"04/04/2013";"5,8426";"5,85174";"5,85174";"5,76945";"4508,19448";
"05/04/2013";"5,76031";"5,76031";"5,8426";"5,73288";"7497,2521";
"08/04/2013";"5,73288";"5,74202";"5,76031";"5,71459";"2623,76481";
"09/04/2013";"5,76031";"5,73288";"5,76031";"5,62316";"2593,14146";
"10/04/2013";"5,69631";"5,71459";"5,76031";"5,66888";"3205,60845";
"11/04/2013";"5,62316";"5,67802";"5,67802";"5,61402";"3711,9874";
"12/04/2013";"5,65059";"5,62316";"5,65059";"5,62316";"1729,12554";
"15/04/2013";"5,65059";"5,65059";"5,65059";"5,62316";"1176,81156";
"16/04/2013";"5,65973";"5,65973";"5,66888";"5,61402";"5286,9025";
"17/04/2013";"5,64145";"5,65973";"5,65973";"5,5683";"4308,04902";
"18/04/2013";"5,62316";"5,65059";"5,65059";"5,62316";"1196,498";
"19/04/2013";"5,64145";"5,62316";"5,64145";"5,61402";"1725,84447";
"22/04/2013";"5,55916";"5,64145";"5,64145";"5,55916";"2495,80296";
"23/04/2013";"5,60487";"5,55916";"5,60487";"5,53173";"1728,03185";
"24/04/2013";"5,62316";"5,60487";"5,62316";"5,55916";"1925,98993";
"25/04/2013";"5,65059";"5,62316";"5,65973";"5,44029";"16014,91795";
"26/04/2013";"5,65059";"5,65973";"5,65973";"5,48601";"4248,9897";
"29/04/2013";"5,61402";"5,65059";"5,65059";"5,55001";"4673,34183";
"30/04/2013";"5,6323";"5,61402";"5,6323";"5,61402";"266,86061";
"02/05/2013";"5,6323";"5,64145";"5,64145";"5,6323";"1980,67448";
"03/05/2013";"5,64145";"5,64145";"5,64145";"5,6323";"690,11905";
"06/05/2013";"5,64145";"5,64145";"5,66888";"5,64145";"3217,63905";
"07/05/2013";"5,60487";"5,64145";"5,64145";"5,60487";"2969,37118";
"08/05/2013";"5,52258";"5,61402";"5,62316";"5,52258";"2158,94612";
"09/05/2013";"5,48601";"5,55001";"5,55001";"5,48601";"4281,80043";
"10/05/2013";"5,48601";"5,48601";"5,48601";"5,44029";"3504,1861";
"13/05/2013";"5,44944";"5,48601";"5,48601";"5,44029";"14582,18268";
"14/05/2013";"5,37629";"5,48601";"5,48601";"5,25743";"9640,88655";
"15/05/2013";"5,30314";"5,44944";"5,44944";"5,25743";"9768,8484";
"16/05/2013";"5,41286";"5,33972";"5,43115";"5,33057";"5479,39213";
"17/05/2013";"5,41286";"5,41286";"5,44944";"5,41286";"407,94676";
"20/05/2013";"5,46772";"5,5043";"5,5043";"5,44944";"2764,85096";
"21/05/2013";"5,42201";"5,46772";"5,46772";"5,42201";"1014,94529";
"22/05/2013";"5,5043";"5,46772";"5,5043";"5,44029";"2998,90084";
"23/05/2013";"5,39458";"5,5043";"5,5043";"5,32143";"7185,55015";
"24/05/2013";"5,39458";"5,39458";"5,44029";"5,39458";"8449,857";
"27/05/2013";"5,48601";"5,49515";"5,49515";"5,46772";"4467,72791";
"28/05/2013";"5,47687";"5,48601";"5,49515";"5,44944";"3388,25485";
"29/05/2013";"5,47687";"5,47687";"5,48601";"5,46772";"1291,64912";
"30/05/2013";"5,33057";"5,48601";"5,48601";"5,16599";"29107,49342";
"31/05/2013";"5,21171";"5,37629";"5,37629";"5,16599";"8405,01567";
"03/06/2013";"5,87917";"5,49515";"6,06204";"5,48601";"105928,3523";
"04/06/2013";"5,94318";"6,03461";"6,08947";"5,94318";"25866,88686";
"05/06/2013";"6,02547";"6,02547";"6,03461";"5,96146";"11117,36945";
"06/06/2013";"5,97061";"6,02547";"6,02547";"5,94318";"7677,71112";
"07/06/2013";"5,94318";"5,97061";"5,97061";"5,94318";"11098,77671";
"10/06/2013";"5,94318";"5,94318";"5,97975";"5,93403";"7081,6495";
"11/06/2013";"5,88832";"5,94318";"5,94318";"5,80603";"6463,71407";
"12/06/2013";"5,88832";"5,88832";"5,88832";"5,83346";"2825,00396";
"13/06/2013";"5,85174";"5,88832";"5,89746";"5,76031";"10894,25648";
"14/06/2013";"5,76031";"5,85174";"5,89746";"5,69631";"12683,53503";
"17/06/2013";"5,76945";"5,76031";"5,76945";"5,54087";"10129,76644";
"18/06/2013";"5,82431";"5,76945";"5,83346";"5,75117";"2186,2884";
"19/06/2013";"5,85174";"5,81517";"5,85174";"5,76031";"4198,67991";
"20/06/2013";"5,66888";"5,78774";"5,78774";"5,61402";"6975,56147";
"21/06/2013";"5,66888";"5,66888";"5,66888";"5,61402";"2970,46487";
"24/06/2013";"5,65973";"5,66888";"5,66888";"5,53173";"7414,13158";
"25/06/2013";"5,62316";"5,53173";"5,65059";"5,53173";"5448,76878";
"26/06/2013";"5,65973";"5,6323";"5,66888";"5,60487";"14429,06593";
"27/06/2013";"5,64145";"5,66888";"5,66888";"5,6323";"5511,10917";
"28/06/2013";"5,66888";"5,65059";"5,66888";"5,62316";"5193,93876";
"01/07/2013";"5,65973";"5,66888";"5,66888";"5,61402";"3269,04253";
"02/07/2013";"5,61402";"5,65973";"5,65973";"5,61402";"2243,16033";
"03/07/2013";"5,60487";"5,61402";"5,62316";"5,48601";"14461,87666";
"04/07/2013";"5,62316";"5,59573";"5,62316";"5,59573";"10970,81485";
"05/07/2013";"5,60487";"5,62316";"5,62316";"5,55916";"16147,25456";
"08/07/2013";"5,57744";"5,60487";"5,61402";"5,57744";"2041,92118";
"09/07/2013";"5,53173";"5,54087";"5,57744";"5,48601";"5602,97921";
"10/07/2013";"5,53173";"5,52258";"5,53173";"5,44944";"7485,2215";
"11/07/2013";"5,52258";"5,48601";"5,53173";"5,48601";"3129,05007";
"12/07/2013";"5,44029";"5,51344";"5,51344";"5,41286";"7146,17728";
"15/07/2013";"5,53173";"5,44029";"5,53173";"5,44029";"5340,49336";
"16/07/2013";"5,44944";"5,52258";"5,52258";"5,44944";"2967,1838";
"17/07/2013";"5,51344";"5,48601";"5,51344";"5,44944";"6989,77946";
"18/07/2013";"5,5043";"5,5043";"5,5043";"5,43115";"2319,7187";
"19/07/2013";"5,48601";"5,5043";"5,5043";"5,48601";"1930,36469";
"22/07/2013";"5,48601";"5,48601";"5,48601";"5,45858";"2062,70131";
"23/07/2013";"5,48601";"5,48601";"5,48601";"5,42201";"7936,9159";
"24/07/2013";"5,46772";"5,48601";"5,48601";"5,40372";"4020,40827";
"25/07/2013";"5,38543";"5,46772";"5,47687";"5,37629";"5640,16471";
"26/07/2013";"5,23";"5,38543";"5,39458";"5,22085";"17808,57126";
"29/07/2013";"5,37629";"5,31229";"5,37629";"5,30314";"8795,46337";
"30/07/2013";"5,34886";"5,37629";"5,37629";"5,31229";"3733,86122";
"31/07/2013";"5,294";"5,34886";"5,37629";"5,21171";"10378,03431";
"01/08/2013";"5,23914";"5,28486";"5,28486";"5,23914";"5781,25085";
"02/08/2013";"5,27571";"5,23914";"5,27571";"5,21171";"40883,26489";
"05/08/2013";"5,33057";"5,27571";"5,33057";"5,27571";"2611,73421";
"06/08/2013";"5,39458";"5,33057";"5,39458";"5,23";"12832,27701";
"07/08/2013";"5,42201";"5,38543";"5,42201";"5,32143";"7441,47386";
"08/08/2013";"5,358";"5,41286";"5,41286";"5,34886";"2629,23327";
"09/08/2013";"5,34886";"5,358";"5,358";"5,34886";"2221,28651";
"12/08/2013";"5,33972";"5,34886";"5,37629";"5,33057";"2396,27708";
"13/08/2013";"5,34886";"5,358";"5,39458";"5,33057";"2910,31187";
"14/08/2013";"5,47687";"5,358";"5,47687";"5,33057";"22738,93048";
"15/08/2013";"5,41286";"5,47687";"5,48601";"5,358";"9590,57676";
"16/08/2013";"5,46772";"5,44944";"5,46772";"5,41286";"1729,12554";
"19/08/2013";"5,44944";"5,46772";"5,46772";"5,44944";"2685,01151";
"20/08/2013";"5,45858";"5,44944";"5,45858";"5,43115";"2157,85243";
"21/08/2013";"5,48601";"5,45858";"5,48601";"5,44944";"4728,02638";
"22/08/2013";"5,45858";"5,48601";"5,49515";"5,42201";"3096,23934";
"23/08/2013";"5,48601";"5,48601";"5,48601";"5,48601";"645,27772";
"26/08/2013";"5,44944";"5,41286";"5,48601";"5,36715";"10485,21603";
"27/08/2013";"5,41286";"5,44944";"5,46772";"5,33057";"16735,66034";
"28/08/2013";"5,42201";"5,41286";"5,42201";"5,27571";"12937,27135";
"29/08/2013";"5,42201";"5,42201";"5,43115";"5,41286";"1559,60343";
"30/08/2013";"5,41286";"5,42201";"5,43115";"5,39458";"3814,79436";
"02/09/2013";"5,40372";"5,41286";"5,44029";"5,38543";"5670,78806";
"03/09/2013";"5,41286";"5,40372";"5,41286";"5,23914";"11588,75029";
"04/09/2013";"5,42201";"5,41286";"5,42201";"5,38543";"1893,1792";
"05/09/2013";"5,43115";"5,42201";"5,43115";"5,42201";"43397,66059";
"06/09/2013";"5,43115";"5,43115";"5,44029";"5,42201";"2861,09577";
"09/09/2013";"5,43115";"5,43115";"5,43115";"5,39458";"1010,57052";
"10/09/2013";"5,41286";"5,43115";"5,43115";"5,38543";"3791,82685";
"11/09/2013";"5,44029";"5,43115";"5,44029";"5,34886";"6325,90899";
