"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"2,35621";"2,35621";"2,38449";"2,33736";"23424,23155";
"18/01/2013";"2,27139";"2,27139";"2,30909";"2,24312";"84662,30502";
"21/01/2013";"2,42219";"2,28082";"2,48816";"2,28082";"127756,86446";
"22/01/2013";"2,44104";"2,45046";"2,47874";"2,42219";"67841,88818";
"23/01/2013";"2,45046";"2,47874";"2,47874";"2,33736";"29074,18548";
"24/01/2013";"2,41276";"2,45046";"2,45046";"2,36564";"12456,42426";
"25/01/2013";"2,34679";"2,41276";"2,41276";"2,25254";"39186,80726";
"28/01/2013";"2,32794";"2,39391";"2,40334";"2,30909";"15582,20159";
"29/01/2013";"2,39391";"2,32794";"2,40334";"2,30909";"23501,68632";
"30/01/2013";"2,38449";"2,40334";"2,41276";"2,35621";"9229,84963";
"31/01/2013";"2,35621";"2,32794";"2,36564";"2,29966";"10998,57699";
"01/02/2013";"2,31851";"2,34679";"2,34679";"2,29966";"4372,48078";
"04/02/2013";"2,30909";"2,35621";"2,35621";"2,25254";"19878,28863";
"05/02/2013";"2,26197";"2,28082";"2,30909";"2,26197";"20096,85962";
"06/02/2013";"2,16772";"2,26197";"2,28082";"2,04519";"134754,31914";
"07/02/2013";"2,16772";"2,21484";"2,21484";"2,13944";"23390,27877";
"08/02/2013";"2,45046";"2,30909";"2,59184";"2,20542";"377492,2555";
"11/02/2013";"2,82746";"2,49759";"3,01595";"2,39391";"1050434,13027";
"12/02/2013";"2,71436";"2,82746";"3,1102";"2,71436";"593584,69081";
"13/02/2013";"2,64838";"2,72378";"2,78033";"2,57299";"162802,49421";
"14/02/2013";"2,50701";"2,68608";"2,68608";"2,41276";"212542,24829";
"15/02/2013";"2,13944";"2,27139";"2,30909";"2,07347";"518517,22774";
"18/02/2013";"2,01692";"2,07347";"2,10174";"1,97922";"103003,16957";
"19/02/2013";"2,28073";"2,06721";"2,44572";"2,05751";"202227,25502";
"20/02/2013";"2,26132";"2,32925";"2,33896";"2,21279";"63058,84874";
"21/02/2013";"2,18367";"2,28073";"2,28073";"2,13515";"66861,95676";
"22/02/2013";"2,14485";"2,13515";"2,21279";"2,13515";"39285,04454";
"25/02/2013";"2,16426";"2,17397";"2,2322";"2,14485";"57509,2579";
"26/02/2013";"2,01869";"2,18367";"2,18367";"2,01869";"94419,29189";
"27/02/2013";"2,09633";"2,0478";"2,14485";"2,0478";"34357,7992";
"28/02/2013";"2,06721";"2,09633";"2,10603";"2,0381";"21288,54369";
"01/03/2013";"2,0478";"2,06721";"2,16426";"2,01869";"46346,19308";
"04/03/2013";"2,0478";"2,11574";"2,11574";"2,0381";"16460,21419";
"05/03/2013";"2,07692";"2,05751";"2,08662";"2,01869";"11857,53646";
"06/03/2013";"2,09633";"2,06721";"2,09633";"2,06721";"5477,4647";
"07/03/2013";"2,07692";"2,08662";"2,10603";"2,0381";"17360,7605";
"08/03/2013";"2,06721";"2,06721";"2,12544";"2,0381";"19726,4977";
"11/03/2013";"2,0381";"2,09633";"2,09633";"1,98957";"29326,48616";
"12/03/2013";"1,97986";"1,95075";"2,00898";"1,91193";"195883,24634";
"13/03/2013";"2,00898";"1,97986";"2,00898";"1,95075";"36597,83086";
"14/03/2013";"2,00898";"2,0381";"2,05751";"1,97986";"100746,8146";
"15/03/2013";"1,83429";"1,94104";"1,96045";"1,83429";"792347,82931";
"18/03/2013";"1,83429";"1,82458";"1,84399";"1,79547";"140540,86358";
"19/03/2013";"1,82458";"1,83429";"1,84399";"1,79547";"180805,79317";
"20/03/2013";"1,81488";"1,83429";"1,83429";"1,80517";"28524,8557";
"21/03/2013";"1,80517";"1,81488";"1,82458";"1,79547";"55113,63988";
"22/03/2013";"1,82458";"1,82458";"1,87311";"1,79547";"179866,09268";
"25/03/2013";"1,80517";"1,84399";"1,8634";"1,79547";"193938,93183";
"26/03/2013";"1,8537";"1,80517";"1,87311";"1,79547";"165695,36806";
"27/03/2013";"1,81488";"1,8634";"1,8634";"1,80517";"61704,93817";
"28/03/2013";"1,79547";"1,80517";"1,82458";"1,78576";"95781,44545";
"02/04/2013";"1,82458";"1,83429";"1,84399";"1,80517";"67423,51023";
"03/04/2013";"1,79547";"1,83429";"1,84399";"1,79547";"64705,38535";
"04/04/2013";"1,81488";"1,81488";"1,81488";"1,78576";"98509,87407";
"05/04/2013";"1,72753";"1,81488";"1,82458";"1,6693";"201910,93041";
"08/04/2013";"1,71782";"1,72753";"1,73723";"1,69841";"28128,16196";
"09/04/2013";"1,69841";"1,72753";"1,73723";"1,68871";"23797,50279";
"10/04/2013";"1,74694";"1,71782";"1,74694";"1,70812";"28962,76437";
"11/04/2013";"1,79547";"1,76635";"1,83429";"1,75664";"201784,19449";
"12/04/2013";"1,78576";"1,82458";"1,83429";"1,78576";"63892,42078";
"15/04/2013";"1,74694";"1,79547";"1,79547";"1,71782";"42046,44511";
"16/04/2013";"1,73723";"1,71782";"1,74694";"1,6693";"51345,56455";
"17/04/2013";"1,60136";"1,72753";"1,72753";"1,58195";"175550,88911";
"18/04/2013";"1,50431";"1,60136";"1,60136";"1,4946";"206784,59633";
