"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"10/09/2012";"13,145";"13,34";"13,405";"12,985";"115335,8";
"11/09/2012";"13,32";"13,15";"13,345";"12,95";"92086,6";
"12/09/2012";"13,65";"13,3";"14,22";"13,145";"524174,4";
"13/09/2012";"13,42";"13,69";"13,9";"13,355";"139884";
"14/09/2012";"13,45";"13,79";"13,79";"13,4";"104464,6";
"17/09/2012";"13,4";"13,41";"13,79";"13,32";"119402,6";
"18/09/2012";"13,245";"13,425";"13,6";"13,065";"143847,8";
"19/09/2012";"13,285";"13,37";"13,37";"13,05";"82218,2";
"20/09/2012";"12,935";"13,1";"13,215";"12,825";"128385,8";
"21/09/2012";"12,915";"13";"13,05";"12,78";"83400,8";
"24/09/2012";"12,635";"12,765";"12,85";"12,615";"92220";
"25/09/2012";"13,135";"12,745";"13,445";"12,695";"137209,8";
"26/09/2012";"12,61";"12,87";"12,995";"12,43";"155597,2";
"27/09/2012";"12,655";"12,75";"12,8";"12,59";"43821,6";
"28/09/2012";"12,7";"12,705";"12,865";"12,48";"64583,4";
"01/10/2012";"12,65";"12,8";"12,84";"12,57";"71993";
"02/10/2012";"12,54";"12,74";"12,78";"12,54";"35001,8";
"03/10/2012";"12,3";"12,505";"12,595";"12,205";"90657";
"04/10/2012";"12,105";"12,3";"12,4";"12,08";"71579,8";
"05/10/2012";"12,405";"12,105";"12,59";"12,1";"98898,4";
"08/10/2012";"12,695";"12,225";"12,79";"12,205";"141696,8";
"09/10/2012";"12,6";"12,775";"12,9";"12,295";"98035";
"10/10/2012";"12,2";"12,45";"12,585";"12,095";"78090,8";
"11/10/2012";"12,26";"12,195";"12,51";"12,15";"41293,6";
"12/10/2012";"12,4";"12,39";"12,875";"12,05";"156610";
"15/10/2012";"12,355";"12,405";"12,58";"12,3";"44886,6";
"16/10/2012";"12,45";"12,5";"12,545";"12,27";"61675,2";
"17/10/2012";"12,65";"12,45";"12,75";"12,285";"96367";
"18/10/2012";"12,585";"12,675";"12,675";"12,385";"81528,8";
"19/10/2012";"12,4";"12,55";"12,595";"12,4";"50947,6";
"22/10/2012";"13,14";"12,9";"13,5";"12,775";"597560,2";
"23/10/2012";"12,7";"13,24";"13,32";"12,575";"174212,2";
"24/10/2012";"12,7";"12,795";"13,15";"12,6";"128456";
"25/10/2012";"12,15";"12,745";"12,93";"12,1";"302905,6";
"26/10/2012";"12,265";"12,15";"12,71";"12,065";"144634,8";
"29/10/2012";"12,055";"12,475";"12,475";"11,88";"134698,8";
"30/10/2012";"12,17";"11,93";"12,195";"11,85";"88350,8";
"31/10/2012";"11,96";"12";"12,3";"11,925";"80642,8";
"01/11/2012";"12,1";"12";"12,2";"11,895";"62514,8";
"02/11/2012";"11,93";"12,235";"12,3";"11,89";"120700";
"05/11/2012";"11,575";"11,815";"11,865";"11,555";"132087,8";
"06/11/2012";"11,8";"11,56";"11,835";"11,505";"64098,6";
"07/11/2012";"11,525";"11,85";"11,925";"11,4";"75588,8";
"08/11/2012";"11,31";"11,565";"11,69";"11,28";"82968,8";
"09/11/2012";"11,335";"11,35";"11,5";"11,255";"66825,2";
"12/11/2012";"11,345";"11,35";"11,48";"11,3";"41835,8";
"13/11/2012";"11,32";"11,345";"11,42";"11,265";"40552,6";
