"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"30/09/2016";"21,5";"21,5";"21,5";"21,5";"200";
"06/10/2016";"22";"22";"22";"22";"1580";
"07/10/2016";"22";"22";"22";"22";"250";
"10/10/2016";"22";"22";"22";"22";"52";
"18/10/2016";"22";"22";"22";"22";"360";
"19/10/2016";"22";"22";"22";"22";"1";
"21/10/2016";"22";"22";"22";"22";"100";
"24/10/2016";"22";"22";"22";"22";"100";
"25/10/2016";"22";"22";"22";"22";"201";
"26/10/2016";"21,99";"21,99";"21,99";"21,99";"1";
"27/10/2016";"21,99";"21,99";"21,99";"21,99";"1";
"28/10/2016";"21,99";"21,99";"21,99";"21,99";"1";
"31/10/2016";"21,99";"21,99";"21,99";"21,99";"1";
"01/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"02/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"03/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"04/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"07/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"08/11/2016";"22";"22";"22";"22";"101";
"09/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"10/11/2016";"22";"22";"22";"22";"201";
"11/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"14/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"15/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"16/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"17/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"18/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"21/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"22/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"23/11/2016";"21,99";"21,99";"21,99";"21,99";"1";
"24/11/2016";"21,5";"21,5";"21,5";"21,5";"300";
"25/11/2016";"21,49";"21,49";"21,49";"21,49";"1";
"28/11/2016";"21,49";"21,49";"21,49";"21,49";"1";
"29/11/2016";"21,49";"21,49";"21,49";"21,49";"1";
"30/11/2016";"21,49";"21,49";"21,49";"21,49";"1";
"01/12/2016";"21,5";"21,5";"21,5";"21,5";"426";
"02/12/2016";"21,5";"21,5";"21,5";"21,5";"1";
"05/12/2016";"21,5";"21,5";"21,5";"21,5";"51";
"06/12/2016";"22";"22";"22";"22";"50";
"07/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"08/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"09/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"12/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"13/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"14/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"15/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"16/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"19/12/2016";"22";"22";"22";"22";"145";
"20/12/2016";"21,51";"21,51";"21,51";"21,51";"21";
"21/12/2016";"21,52";"21,52";"21,52";"21,52";"1";
"22/12/2016";"21,52";"21,52";"21,52";"21,52";"1";
"23/12/2016";"21,52";"21,52";"21,52";"21,52";"1";
"27/12/2016";"22";"22";"22";"22";"10";
"28/12/2016";"22";"22";"22";"22";"50";
"29/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"30/12/2016";"21,99";"21,99";"21,99";"21,99";"1";
"02/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"03/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"04/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"05/01/2017";"22";"22";"22";"22";"21";
"06/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"09/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"10/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"11/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"12/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"13/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"16/01/2017";"22";"22";"22";"22";"330";
"17/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"18/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"19/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"20/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"23/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"24/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"25/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"26/01/2017";"21,99";"21,99";"21,99";"21,99";"1";
"27/01/2017";"21,6";"21,6";"21,6";"21,6";"101";
"30/01/2017";"21,61";"21,61";"21,61";"21,61";"1";
"31/01/2017";"21,61";"21,61";"21,61";"21,61";"1";
"01/02/2017";"21,61";"21,61";"21,61";"21,61";"1";
"02/02/2017";"21,61";"21,61";"21,61";"21,61";"1";
"03/02/2017";"21,61";"21,61";"21,61";"21,61";"1";
"06/02/2017";"21,61";"21,61";"21,61";"21,61";"1";
"07/02/2017";"21,61";"21,61";"21,61";"21,61";"1";
"08/02/2017";"21,62";"21,62";"21,62";"21,62";"1";
"09/02/2017";"21,62";"21,62";"21,62";"21,62";"1";
"10/02/2017";"21,63";"21,63";"21,63";"21,63";"1";
"13/02/2017";"21,63";"21,63";"21,63";"21,63";"1";
"14/02/2017";"21,63";"21,63";"21,63";"21,63";"1";
"15/02/2017";"21,63";"21,63";"21,63";"21,63";"1";
"16/02/2017";"21,63";"21,63";"21,63";"21,63";"1";
