"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"02/04/2014";"6,75";"7,3";"7,3";"6,51";"188192";
"03/04/2014";"6,57";"6,71";"6,74";"6,5";"31933";
"04/04/2014";"7";"6,6";"7";"6,53";"43598";
"07/04/2014";"6,89";"6,95";"7,09";"6,7";"31825";
"08/04/2014";"6,73";"6,89";"6,89";"6,72";"8549";
"09/04/2014";"6,76";"6,85";"6,85";"6,6";"18909";
"10/04/2014";"6,64";"6,75";"6,85";"6,64";"7467";
"11/04/2014";"6,4";"6,61";"6,72";"6,4";"33315";
"14/04/2014";"6,5";"6,4";"6,51";"6,31";"8934";
"15/04/2014";"6,49";"6,55";"6,55";"6,36";"3553";
"16/04/2014";"6,42";"6,45";"6,5";"6,4";"2217";
"17/04/2014";"6,5";"6,48";"6,5";"6,4";"8049";
"22/04/2014";"6,55";"6,6";"6,66";"6,55";"4861";
"23/04/2014";"6,54";"6,55";"6,55";"6,44";"1829";
"24/04/2014";"6,48";"6,41";"6,54";"6,41";"3657";
"25/04/2014";"6,42";"6,41";"6,47";"6,4";"2298";
"28/04/2014";"6,44";"6,41";"6,5";"6,41";"2660";
"29/04/2014";"6,46";"6,4";"6,49";"6,4";"1954";
"30/04/2014";"6,41";"6,41";"6,42";"6,4";"885";
"02/05/2014";"6,26";"6,42";"6,42";"6,26";"3482";
"05/05/2014";"6,12";"6,25";"6,26";"6,12";"5224";
"06/05/2014";"6,12";"6,18";"6,19";"6,12";"3168";
"07/05/2014";"6,5";"6,2";"6,5";"6,2";"29607";
"08/05/2014";"6,5";"6,5";"6,5";"6,35";"825";
"09/05/2014";"6,72";"6,49";"6,84";"6,36";"12661";
"12/05/2014";"6,86";"6,72";"6,97";"6,61";"9308";
"13/05/2014";"6,88";"6,84";"6,93";"6,78";"1765";
"14/05/2014";"6,8";"6,75";"6,98";"6,54";"2784";
"15/05/2014";"6,8";"6,65";"7";"6,65";"4625";
"16/05/2014";"6,75";"6,67";"6,99";"6,67";"3229";
"19/05/2014";"6,97";"6,81";"6,97";"6,66";"1756";
"20/05/2014";"6,98";"6,97";"6,99";"6,5";"5305";
"21/05/2014";"6,77";"6,97";"6,97";"6,77";"3323";
"22/05/2014";"6,95";"6,77";"6,95";"6,7";"1755";
"23/05/2014";"6,89";"6,86";"6,94";"6,73";"1008";
"26/05/2014";"6,89";"6,8";"6,91";"6,61";"1150";
"27/05/2014";"6,68";"6,8";"6,9";"6,67";"1485";
"28/05/2014";"6,68";"6,8";"6,8";"6,67";"1927";
"29/05/2014";"6,64";"6,68";"6,75";"6,64";"1094";
"30/05/2014";"6,8";"6,75";"6,94";"6,62";"5224";
"02/06/2014";"6,93";"6,8";"6,93";"6,72";"1710";
"03/06/2014";"6,71";"6,76";"6,89";"6,7";"2273";
"04/06/2014";"6,73";"6,74";"6,89";"6,73";"1743";
"05/06/2014";"6,72";"6,86";"6,86";"6,72";"838";
"06/06/2014";"6,7";"6,73";"6,87";"6,7";"1992";
"09/06/2014";"6,69";"6,7";"6,7";"6,69";"1168";
"10/06/2014";"6,73";"6,76";"6,94";"6,69";"3648";
"11/06/2014";"6,94";"6,9";"6,94";"6,77";"1820";
"12/06/2014";"6,84";"6,89";"6,9";"6,74";"1810";
"13/06/2014";"6,86";"6,79";"6,86";"6,67";"2322";
"16/06/2014";"6,8";"6,8";"6,8";"6,8";"298";
"17/06/2014";"6,75";"6,78";"6,78";"6,68";"431";
"18/06/2014";"6,7";"6,75";"6,87";"6,7";"8082";
"19/06/2014";"6,75";"6,75";"6,8";"6,65";"4068";
"20/06/2014";"6,68";"6,73";"6,74";"6,67";"547";
"23/06/2014";"6,62";"6,69";"6,7";"6,6";"2145";
"24/06/2014";"6,54";"6,6";"6,63";"6,54";"1558";
"25/06/2014";"6,46";"6,54";"6,6";"6,46";"3236";
"26/06/2014";"6,5";"6,46";"6,6";"6,35";"2680";
"27/06/2014";"6,5";"6,51";"6,57";"6,5";"168";
"30/06/2014";"6,53";"6,49";"6,6";"6,38";"2155";
"01/07/2014";"6,44";"6,5";"6,5";"6,22";"3248";
"02/07/2014";"6,28";"6,42";"6,42";"6,18";"5613";
"03/07/2014";"6,22";"6,17";"6,23";"6,15";"2310";
"04/07/2014";"6,43";"6,22";"6,43";"6,22";"2451";
"07/07/2014";"6,38";"6,27";"6,38";"6,16";"2076";
"08/07/2014";"6,39";"6,33";"6,4";"6,12";"2806";
"09/07/2014";"6,26";"6,37";"6,37";"6,26";"256";
"10/07/2014";"6,12";"6,26";"6,26";"6,11";"1593";
"11/07/2014";"6,06";"6,12";"6,15";"6,06";"1275";
"14/07/2014";"6,05";"6,1";"6,15";"6,05";"910";
"15/07/2014";"6,1";"6,05";"6,1";"6,05";"539";
"16/07/2014";"6,07";"6,1";"6,1";"6,07";"709";
"17/07/2014";"6,05";"6,07";"6,1";"6,05";"1016";
"18/07/2014";"6,03";"6,07";"6,07";"6,03";"1121";
"21/07/2014";"6,03";"6,04";"6,08";"6,03";"779";
"22/07/2014";"5,74";"6,01";"6,01";"5,5";"5113";
"23/07/2014";"6,1";"5,73";"6,34";"5,7";"7671";
"24/07/2014";"6,2";"6,05";"6,38";"6,05";"1367";
"25/07/2014";"6,27";"6,23";"6,27";"6,04";"1113";
"28/07/2014";"6";"6,3";"6,3";"6";"10523";
"29/07/2014";"6,18";"6,09";"6,18";"6,09";"365";
"30/07/2014";"6";"6,13";"6,4";"6";"4041";
"31/07/2014";"6,03";"6,13";"6,23";"6,03";"1142";
"01/08/2014";"6";"6,05";"6,06";"6";"1428";
"04/08/2014";"5,9";"5,98";"5,98";"5,81";"959";
"05/08/2014";"5,98";"5,9";"6";"5,9";"228";
"06/08/2014";"5,8";"5,97";"5,97";"5,6";"1812";
"07/08/2014";"5,69";"5,8";"5,85";"5,63";"1080";
"08/08/2014";"5,65";"5,69";"5,69";"5,54";"2316";
"11/08/2014";"5,55";"5,64";"5,64";"5,55";"1502";
"12/08/2014";"5,68";"5,68";"5,68";"5,21";"5878";
"13/08/2014";"5,62";"5,64";"5,64";"5,62";"181";
"14/08/2014";"5,62";"5,62";"5,62";"5,62";"101";
"15/08/2014";"5,55";"5,62";"5,64";"5,55";"307";
"18/08/2014";"5,67";"5,56";"5,68";"5,56";"678";
"19/08/2014";"5,68";"5,67";"5,68";"5,67";"214";
"20/08/2014";"5,62";"5,61";"5,68";"5,61";"486";
"21/08/2014";"5,85";"5,61";"5,85";"5,6";"2570";
"22/08/2014";"5,86";"5,79";"5,86";"5,68";"675";
"25/08/2014";"5,86";"5,89";"5,89";"5,73";"232";
"26/08/2014";"5,79";"5,75";"5,79";"5,73";"311";
"27/08/2014";"5,89";"5,73";"6,12";"5,73";"2944";
"28/08/2014";"5,89";"5,9";"5,9";"5,89";"189";
"29/08/2014";"5,84";"5,89";"6,12";"5,62";"2489";
"01/09/2014";"5,65";"5,77";"5,8";"5,64";"1234";
"02/09/2014";"5,65";"5,67";"5,75";"5,41";"5008";
"03/09/2014";"5,5";"5,61";"5,76";"5,5";"1701";
"04/09/2014";"5,74";"5,64";"6,12";"5,54";"5787";
"05/09/2014";"5,58";"5,7";"5,76";"5,52";"1978";
"08/09/2014";"5,74";"5,61";"6";"5,58";"2205";
"09/09/2014";"5,9";"5,8";"6,1";"5,8";"3943";
"10/09/2014";"5,8";"6,11";"6,11";"5,76";"2608";
"11/09/2014";"5,92";"5,85";"6";"5,6";"4717";
"12/09/2014";"5,9";"5,91";"5,91";"5,85";"549";
"15/09/2014";"5,82";"5,78";"6,05";"5,78";"4068";
"16/09/2014";"5,89";"5,85";"6,01";"5,7";"2183";
"17/09/2014";"6";"5,91";"6";"5,74";"2123";
"18/09/2014";"6";"5,92";"6,03";"5,82";"1556";
"19/09/2014";"5,85";"6";"6,05";"5,8";"854";
"22/09/2014";"5,85";"5,86";"5,94";"5,85";"379";
"23/09/2014";"5,91";"5,86";"5,92";"5,86";"414";
"24/09/2014";"5,85";"5,89";"5,9";"5,83";"547";
"25/09/2014";"5,9";"5,82";"5,9";"5,82";"702";
"26/09/2014";"5,9";"5,9";"5,9";"5,82";"390";
"29/09/2014";"5,72";"5,73";"5,95";"5,71";"6712";
"30/09/2014";"6,23";"6,21";"7,18";"6,2";"186674";
"01/10/2014";"6,05";"6,31";"6,39";"5,95";"83891";
"02/10/2014";"6,16";"6,01";"6,21";"5,91";"18807";
"03/10/2014";"6,57";"6,3";"6,6";"6,07";"14512";
"06/10/2014";"6,69";"6,65";"6,93";"6,6";"61527";
"07/10/2014";"6,41";"6,79";"6,8";"6,36";"28302";
"08/10/2014";"6,07";"6,35";"6,4";"6,07";"14527";
"09/10/2014";"6,34";"6,37";"6,64";"6";"31387";
"10/10/2014";"6,01";"6,3";"6,4";"5,99";"19872";
"13/10/2014";"6";"5,71";"6,3";"5,65";"18528";
"14/10/2014";"5,76";"6,33";"6,4";"5,7";"37802";
"15/10/2014";"5,51";"5,77";"5,84";"5,51";"18957";
