"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"30/03/2015";"10,45";"10,9";"10,9";"10,06";"369342";
"31/03/2015";"10,6";"10,35";"10,66";"10,22";"127828";
"01/04/2015";"10,55";"10,72";"10,72";"10,44";"37255";
"02/04/2015";"10,5";"10,6";"10,65";"10,27";"29880";
"07/04/2015";"10,12";"10,5";"10,56";"10,1";"34170";
"08/04/2015";"9,75";"10,19";"10,22";"9,7";"78147";
"09/04/2015";"9,3";"9,72";"9,72";"9,01";"79211";
"10/04/2015";"9,49";"9,18";"9,49";"8,75";"53280";
"13/04/2015";"9,76";"9,59";"9,76";"9,31";"20355";
"14/04/2015";"9,36";"9,86";"9,86";"9,3";"18057";
"15/04/2015";"9,72";"9,4";"9,75";"9,4";"17956";
"16/04/2015";"9,75";"9,72";"9,78";"9,5";"19255";
"17/04/2015";"9,78";"9,55";"10,07";"9,55";"17886";
"20/04/2015";"10,04";"10,04";"10,14";"9,81";"12225";
"21/04/2015";"10";"9,86";"10,17";"9,86";"12919";
"22/04/2015";"9,7";"9,99";"10";"9,7";"8838";
"23/04/2015";"9,5";"10";"10";"9,5";"13327";
"24/04/2015";"9,94";"9,68";"9,96";"9,68";"5953";
"27/04/2015";"9,81";"9,95";"9,95";"9,58";"8449";
"28/04/2015";"9,75";"9,8";"9,85";"9,54";"7412";
"29/04/2015";"9,68";"9,77";"9,85";"9,54";"6525";
"30/04/2015";"9,68";"9,82";"9,82";"9,54";"2008";
"04/05/2015";"9,48";"9,6";"9,7";"9,48";"3896";
"05/05/2015";"9,59";"9,48";"9,59";"9,35";"7250";
"06/05/2015";"9,54";"9,5";"9,59";"9,36";"2273";
"07/05/2015";"9,49";"9,49";"9,57";"9,32";"4504";
"08/05/2015";"9,54";"9,56";"9,57";"9,49";"1794";
"11/05/2015";"9,6";"9,5";"9,6";"9,5";"1406";
"12/05/2015";"10,44";"10,15";"11,7";"10,15";"223412";
"13/05/2015";"10,2";"10,34";"10,56";"9,9";"43902";
"14/05/2015";"10,08";"10,2";"10,55";"9,93";"14420";
"15/05/2015";"10,08";"10,1";"10,33";"10,08";"7457";
"18/05/2015";"9,95";"10,18";"10,29";"9,82";"6055";
"19/05/2015";"9,65";"9,77";"9,94";"9,5";"17395";
"20/05/2015";"9,7";"9,79";"9,79";"9,5";"5768";
"21/05/2015";"9,63";"9,7";"9,8";"9,5";"12025";
"22/05/2015";"9,7";"9,7";"9,7";"9,55";"7800";
"25/05/2015";"9,67";"9,7";"9,76";"9,67";"7115";
"26/05/2015";"9,52";"9,68";"9,8";"9,51";"14398";
"27/05/2015";"9,49";"9,52";"9,68";"9,49";"9474";
"28/05/2015";"9,75";"9,45";"9,95";"9,45";"15290";
"29/05/2015";"9,95";"9,65";"10";"9,65";"9970";
"01/06/2015";"10,02";"10";"10,15";"9,87";"10931";
"02/06/2015";"10";"10,14";"10,14";"9,9";"13619";
"03/06/2015";"10,2";"9,95";"10,29";"9,95";"12971";
"04/06/2015";"9,99";"10,02";"10,15";"9,9";"6189";
"05/06/2015";"9,82";"9,99";"9,99";"9,82";"2912";
"08/06/2015";"10";"9,82";"10,15";"9,82";"13011";
"09/06/2015";"9,99";"9,91";"10,04";"9,8";"8257";
"10/06/2015";"9,82";"9,8";"9,9";"9,71";"5119";
"11/06/2015";"9,8";"9,8";"9,92";"9,79";"7848";
"12/06/2015";"9,7";"9,71";"9,89";"9,55";"7937";
"15/06/2015";"9,77";"9,6";"9,89";"9,6";"5501";
"16/06/2015";"9,9";"9,81";"9,9";"9,7";"8588";
"17/06/2015";"9,77";"9,9";"9,9";"9,65";"5902";
"18/06/2015";"9,8";"9,77";"9,82";"9,6";"5975";
"19/06/2015";"9,72";"9,7";"9,8";"9,59";"9081";
"22/06/2015";"11,6";"10,16";"12,15";"10,16";"281179";
"23/06/2015";"11,2";"11,7";"11,74";"10,82";"52375";
"24/06/2015";"10,42";"10,91";"10,98";"10,21";"46927";
"25/06/2015";"10,48";"10,68";"10,68";"10,32";"8800";
"26/06/2015";"10,78";"10,6";"10,83";"10,25";"17122";
"29/06/2015";"9,95";"10,01";"10,28";"9,72";"43969";
"30/06/2015";"10,12";"10";"10,28";"9,9";"7900";
"01/07/2015";"10,16";"10,17";"10,34";"10,03";"9840";
"02/07/2015";"10,2";"10,27";"10,27";"9,97";"8893";
"03/07/2015";"9,78";"10,2";"10,2";"9,75";"19866";
"06/07/2015";"9,83";"9,72";"10,1";"9,7";"3803";
"07/07/2015";"9,91";"9,94";"10,19";"9,88";"10230";
"08/07/2015";"9,76";"9,91";"9,95";"9,75";"4647";
"09/07/2015";"9,85";"9,8";"9,88";"9,7";"9238";
"10/07/2015";"9,83";"9,91";"9,91";"9,53";"19097";
"13/07/2015";"9,7";"9,8";"9,9";"9,58";"4312";
"14/07/2015";"9,58";"9,91";"9,95";"9,55";"15846";
"15/07/2015";"9,78";"9,81";"9,9";"9,7";"13645";
"16/07/2015";"10,13";"9,9";"10,17";"9,62";"17803";
"17/07/2015";"10,57";"10,33";"10,79";"10,19";"20737";
"20/07/2015";"10,51";"10,6";"10,6";"10,41";"10677";
"21/07/2015";"10,45";"10,17";"10,55";"10,17";"11664";
"22/07/2015";"10,26";"10,3";"10,33";"10,2";"2624";
"23/07/2015";"10,11";"10,34";"10,34";"10,1";"4581";
"24/07/2015";"10,73";"10,3";"10,8";"10,28";"26122";
"27/07/2015";"10,09";"10,8";"10,8";"10,01";"11160";
"28/07/2015";"10,04";"10,37";"10,37";"10";"6124";
"29/07/2015";"10,2";"10,25";"10,32";"10,19";"2602";
"30/07/2015";"10,24";"10,23";"10,39";"10,23";"1849";
"31/07/2015";"10,49";"10,34";"10,49";"10,26";"5627";
"03/08/2015";"10,52";"10,5";"10,55";"10,31";"2903";
"04/08/2015";"10,25";"10,39";"10,47";"10,25";"3063";
"05/08/2015";"11,15";"10,27";"11,29";"10,27";"44889";
"06/08/2015";"11";"11,18";"11,41";"10,8";"26947";
"07/08/2015";"10,81";"10,91";"11,1";"10,8";"5600";
"10/08/2015";"10,69";"10,8";"10,8";"10,4";"6682";
"11/08/2015";"10,6";"10,42";"10,6";"10,4";"4808";
"12/08/2015";"10,47";"10,56";"10,56";"10,29";"3681";
"13/08/2015";"10,45";"10,57";"10,57";"10,3";"2404";
"14/08/2015";"10,21";"10,37";"10,37";"10,2";"5449";
