"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"10/09/2012";"2,67";"2,7";"2,7";"2,53";"1723";
"11/09/2012";"2,51";"2,59";"2,66";"2,51";"5290";
"12/09/2012";"2,64";"2,52";"2,64";"2,48";"9396";
"13/09/2012";"2,6";"2,64";"2,67";"2,6";"3251";
"14/09/2012";"2,59";"2,6";"2,6";"2,55";"697";
"17/09/2012";"2,56";"2,71";"2,71";"2,56";"2358";
"18/09/2012";"2,45";"2,55";"2,55";"2,45";"2151";
"19/09/2012";"2,5";"2,46";"2,5";"2,46";"201";
"20/09/2012";"2,56";"2,5";"2,56";"2,5";"501";
"21/09/2012";"2,56";"2,56";"2,56";"2,45";"523";
"24/09/2012";"2,56";"2,55";"2,56";"2,55";"501";
"25/09/2012";"2,5";"2,56";"2,56";"2,5";"501";
"26/09/2012";"2,5";"2,5";"2,5";"2,5";"91";
"27/09/2012";"2,5";"2,5";"2,5";"2,5";"2501";
"28/09/2012";"2,5";"2,49";"2,5";"2,42";"2831";
"01/10/2012";"2,5";"2,5";"2,5";"2,5";"126";
"02/10/2012";"2,58";"2,5";"2,58";"2,48";"2901";
"03/10/2012";"2,6";"2,58";"2,61";"2,55";"2808";
"04/10/2012";"2,6";"2,6";"2,6";"2,58";"4946";
"05/10/2012";"2,6";"2,6";"2,6";"2,6";"1";
"08/10/2012";"2,6";"2,6";"2,6";"2,6";"201";
"09/10/2012";"2,65";"2,61";"2,65";"2,61";"1376";
"10/10/2012";"2,62";"2,63";"2,67";"2,62";"2002";
"11/10/2012";"2,7";"2,62";"2,7";"2,62";"1302";
"12/10/2012";"2,68";"2,68";"2,68";"2,59";"4321";
"15/10/2012";"2,66";"2,68";"2,68";"2,6";"701";
"16/10/2012";"2,66";"2,66";"2,66";"2,66";"1";
"17/10/2012";"2,75";"2,69";"2,75";"2,64";"8306";
"18/10/2012";"2,7";"2,75";"2,77";"2,7";"806";
"19/10/2012";"2,74";"2,7";"2,76";"2,64";"2813";
"22/10/2012";"2,77";"2,78";"2,78";"2,76";"1869";
"23/10/2012";"2,77";"2,76";"2,77";"2,76";"206";
"24/10/2012";"2,76";"2,76";"2,76";"2,71";"876";
"25/10/2012";"2,8";"2,76";"2,85";"2,76";"4829";
"26/10/2012";"2,89";"2,8";"2,89";"2,8";"1545";
"29/10/2012";"2,89";"2,88";"2,89";"2,85";"314";
"30/10/2012";"2,9";"2,8";"2,9";"2,8";"333";
"31/10/2012";"3";"2,9";"3";"2,9";"12544";
"01/11/2012";"2,94";"3";"3";"2,94";"1607";
"02/11/2012";"2,95";"2,95";"2,95";"2,95";"551";
"05/11/2012";"2,94";"2,95";"2,95";"2,94";"626";
"06/11/2012";"2,91";"2,94";"2,94";"2,91";"592";
"07/11/2012";"2,86";"2,86";"2,86";"2,86";"3136";
"08/11/2012";"2,83";"2,87";"2,87";"2,83";"418";
"09/11/2012";"2,81";"2,83";"2,83";"2,81";"2001";
"12/11/2012";"2,82";"2,81";"2,85";"2,81";"34293";
"13/11/2012";"2,81";"2,82";"2,82";"2,81";"301";
"14/11/2012";"2,83";"2,81";"2,83";"2,81";"221";
"15/11/2012";"2,79";"2,83";"2,83";"2,79";"2701";
"16/11/2012";"2,78";"2,79";"2,79";"2,78";"561";
"19/11/2012";"2,78";"2,79";"2,79";"2,78";"311";
"20/11/2012";"2,77";"2,78";"2,78";"2,77";"1501";
"21/11/2012";"2,83";"2,78";"2,83";"2,78";"1069";
"22/11/2012";"2,86";"2,82";"2,86";"2,79";"2183";
"23/11/2012";"2,9";"2,86";"2,94";"2,84";"523";
"26/11/2012";"2,9";"2,9";"2,9";"2,9";"1";
"27/11/2012";"2,88";"2,88";"2,88";"2,88";"215";
"28/11/2012";"2,88";"2,84";"2,88";"2,84";"182";
"29/11/2012";"2,85";"2,88";"2,88";"2,85";"101";
"30/11/2012";"2,87";"2,85";"2,87";"2,84";"1401";
"03/12/2012";"2,92";"2,86";"2,92";"2,86";"261";
"04/12/2012";"2,83";"2,91";"2,92";"2,83";"1065";
"05/12/2012";"2,83";"2,84";"2,85";"2,83";"951";
"06/12/2012";"2,86";"2,82";"2,86";"2,81";"3092";
"07/12/2012";"2,86";"2,86";"2,86";"2,81";"846";
"10/12/2012";"2,84";"2,81";"2,84";"2,8";"1316";
"11/12/2012";"2,78";"2,84";"2,84";"2,78";"3911";
"12/12/2012";"2,77";"2,77";"2,77";"2,77";"709";
"13/12/2012";"2,77";"2,77";"2,77";"2,77";"1303";
"14/12/2012";"2,8";"2,77";"2,8";"2,76";"2215";
"17/12/2012";"2,8";"2,8";"2,8";"2,76";"301";
"18/12/2012";"2,82";"2,83";"2,83";"2,8";"6768";
"19/12/2012";"2,82";"2,82";"2,82";"2,82";"1";
"20/12/2012";"2,82";"2,83";"2,83";"2,82";"186";
"21/12/2012";"2,82";"2,83";"2,83";"2,82";"809";
"24/12/2012";"2,81";"2,81";"2,82";"2,81";"647";
"27/12/2012";"2,81";"2,82";"2,82";"2,81";"1079";
"28/12/2012";"2,81";"2,81";"2,81";"2,81";"8485";
"31/12/2012";"2,81";"2,82";"2,82";"2,81";"1001";
"02/01/2013";"2,92";"2,82";"3";"2,82";"5749";
"03/01/2013";"3,15";"2,92";"3,15";"2,92";"6865";
"04/01/2013";"3,15";"3,15";"3,15";"3,15";"1551";
"07/01/2013";"3,15";"3,15";"3,3";"3,15";"3917";
"08/01/2013";"3,15";"3,15";"3,15";"3,15";"849";
"09/01/2013";"3,05";"3,16";"3,16";"3,05";"1391";
"10/01/2013";"3,15";"3,15";"3,15";"3,15";"301";
"11/01/2013";"3,15";"3,15";"3,15";"3,15";"201";
"14/01/2013";"3,15";"3,15";"3,15";"3,15";"521";
"15/01/2013";"3,15";"3,15";"3,15";"3,15";"343";
"16/01/2013";"3,15";"3,15";"3,15";"3,15";"1";
"17/01/2013";"3,15";"3,15";"3,15";"3,1";"502";
"18/01/2013";"3,05";"3,15";"3,15";"3,05";"962";
"21/01/2013";"3,05";"3,08";"3,08";"3,05";"1039";
"22/01/2013";"3,06";"3,05";"3,06";"3,05";"101";
"23/01/2013";"3,06";"3,06";"3,06";"3,06";"51";
"24/01/2013";"3,06";"3,07";"3,07";"3,06";"101";
"25/01/2013";"3,06";"3,06";"3,1";"3,04";"4693";
"28/01/2013";"3,06";"3,07";"3,11";"3,06";"931";
"29/01/2013";"3,06";"3,06";"3,06";"3,06";"1";
"30/01/2013";"3,06";"3,06";"3,06";"3,06";"271";
"31/01/2013";"3,07";"3,06";"3,07";"3,05";"627";
"01/02/2013";"3,07";"3,06";"3,07";"3,06";"101";
"04/02/2013";"3,07";"3,07";"3,07";"3,03";"1138";
"05/02/2013";"3,03";"3,07";"3,07";"3,03";"833";
