"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"0,25806";"0,25806";"0,26799";"0,24814";"1824988,26251";
"18/01/2013";"0,26799";"0,26799";"0,26799";"0,24814";"815835,63885";
"21/01/2013";"0,27791";"0,26799";"0,27791";"0,25806";"722537,79674";
"22/01/2013";"0,26799";"0,26799";"0,27791";"0,25806";"1002797,35146";
"23/01/2013";"0,24814";"0,25806";"0,26799";"0,24814";"1859658,09141";
"24/01/2013";"0,24814";"0,24814";"0,25806";"0,24814";"419244,34737";
"25/01/2013";"0,24814";"0,25806";"0,26799";"0,24814";"1177042,87761";
"28/01/2013";"0,24814";"0,25806";"0,26799";"0,24814";"980781,44489";
"29/01/2013";"0,23821";"0,24814";"0,25806";"0,22829";"3926891,54961";
"30/01/2013";"0,23821";"0,23821";"0,24814";"0,22829";"900750,89719";
"31/01/2013";"0,23821";"0,23821";"0,23821";"0,22829";"285148,59765";
"01/02/2013";"0,23821";"0,22829";"0,23821";"0,21836";"2474022,56419";
"04/02/2013";"0,20843";"0,22829";"0,23821";"0,19851";"3104012,60999";
"05/02/2013";"0,19851";"0,19851";"0,20843";"0,18858";"2269869,70881";
"06/02/2013";"0,17866";"0,19851";"0,19851";"0,16873";"3699426,32382";
"07/02/2013";"0,17866";"0,17866";"0,18858";"0,16873";"2109012,57977";
"08/02/2013";"0,17866";"0,17866";"0,17866";"0,16873";"1432310,24053";
"11/02/2013";"0,16873";"0,16873";"0,17866";"0,16873";"910090,7162";
"12/02/2013";"0,17866";"0,16873";"0,18858";"0,15881";"4488041,5618";
"13/02/2013";"0,19851";"0,17866";"0,21836";"0,16873";"7259720,96004";
"14/02/2013";"0,19851";"0,20843";"0,21836";"0,18858";"2531990,05386";
"15/02/2013";"0,18858";"0,19851";"0,19851";"0,17866";"3064112,79679";
"18/02/2013";"0,17866";"0,17866";"0,18858";"0,17866";"918090,64769";
"19/02/2013";"0,17866";"0,17866";"0,18858";"0,17866";"546134,78872";
