"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"18/07/2016";"10,3";"10,9";"10,91";"10,06";"24015";
"19/07/2016";"10,34";"10,5";"10,5";"10,28";"5734";
"20/07/2016";"10,68";"10,38";"10,69";"10,34";"5063";
"21/07/2016";"10,68";"10,68";"10,7";"10,55";"4281";
"22/07/2016";"10,66";"10,6";"10,66";"10,4";"8152";
"25/07/2016";"10,6";"10,6";"10,65";"10,5";"2851";
"26/07/2016";"10,58";"10,6";"10,64";"10,51";"3978";
"27/07/2016";"10,6";"10,58";"10,6";"10,55";"6218";
"28/07/2016";"10,6";"10,6";"10,6";"10,59";"694";
"29/07/2016";"10,52";"10,6";"10,6";"10,44";"5016";
"01/08/2016";"10,5";"10,52";"10,52";"10,5";"522";
"02/08/2016";"10,47";"10,5";"10,5";"10,47";"921";
"03/08/2016";"10,31";"10,47";"10,47";"10,3";"8151";
"04/08/2016";"10,2";"10,31";"10,31";"10,2";"2773";
"05/08/2016";"10,19";"10,2";"10,21";"10,19";"335";
"08/08/2016";"10,2";"10,19";"10,2";"10,19";"1352";
"09/08/2016";"10,25";"10,2";"10,25";"10,18";"3761";
"10/08/2016";"10,45";"10,24";"10,45";"10,23";"5890";
"11/08/2016";"10,4";"10,45";"10,45";"10,4";"981";
"12/08/2016";"10,39";"10,4";"10,4";"10,39";"652";
"15/08/2016";"10,39";"10,4";"10,4";"10,39";"1660";
"16/08/2016";"10,36";"10,4";"10,4";"10,33";"2367";
"17/08/2016";"10,35";"10,36";"10,36";"10,3";"9011";
"18/08/2016";"10,35";"10,35";"10,35";"10,34";"1068";
"19/08/2016";"10,35";"10,35";"10,38";"10,33";"14363";
"22/08/2016";"10,29";"10,35";"10,35";"10,28";"4281";
"23/08/2016";"10,3";"10,29";"10,31";"10,29";"1671";
"24/08/2016";"10,25";"10,29";"10,29";"10,19";"9324";
"25/08/2016";"10,27";"10,25";"10,27";"10,24";"1151";
"26/08/2016";"10,27";"10,28";"10,28";"10,27";"1351";
"29/08/2016";"10,26";"10,26";"10,26";"10,25";"1289";
"30/08/2016";"10,19";"10,25";"10,26";"10,19";"4831";
"31/08/2016";"10,2";"10,19";"10,2";"10,18";"1531";
"01/09/2016";"10,24";"10,23";"10,26";"10,22";"4187";
"02/09/2016";"10,23";"10,23";"10,24";"10,2";"3516";
"05/09/2016";"10,3";"10,23";"10,3";"10,23";"2752";
"06/09/2016";"10,3";"10,25";"10,3";"10,23";"1681";
"07/09/2016";"10,5";"10,3";"10,5";"10,3";"3866";
"08/09/2016";"10,47";"10,5";"10,5";"10,36";"497";
"09/09/2016";"10,59";"10,49";"10,59";"10,39";"3238";
"12/09/2016";"10,56";"10,58";"10,58";"10,51";"2045";
"13/09/2016";"10,37";"10,55";"10,55";"10,35";"5081";
"14/09/2016";"10,44";"10,38";"10,44";"10,28";"4596";
"15/09/2016";"10,44";"10,43";"10,44";"10,43";"432";
"16/09/2016";"10,4";"10,4";"10,4";"10,38";"1345";
"19/09/2016";"10,4";"10,4";"10,42";"10,4";"2661";
"20/09/2016";"10,4";"10,4";"10,4";"10,39";"301";
"21/09/2016";"10,38";"10,4";"10,4";"10,3";"4670";
"22/09/2016";"10,39";"10,39";"10,39";"10,39";"146";
"23/09/2016";"10,38";"10,39";"10,39";"10,35";"4156";
"26/09/2016";"10,37";"10,38";"10,38";"10,35";"2564";
"27/09/2016";"10,37";"10,37";"10,37";"10,37";"1";
"28/09/2016";"10,38";"10,36";"10,38";"10,36";"673";
"29/09/2016";"10,35";"10,38";"10,38";"10,34";"514";
"30/09/2016";"10,34";"10,35";"10,35";"10,34";"281";
"03/10/2016";"10,32";"10,33";"10,33";"10,32";"1281";
"04/10/2016";"10,23";"10,32";"10,32";"10,2";"8993";
"05/10/2016";"10,21";"10,21";"10,21";"10,21";"1358";
"06/10/2016";"10,21";"10,21";"10,21";"10,21";"241";
"07/10/2016";"10,2";"10,2";"10,2";"10,2";"731";
"10/10/2016";"10,11";"10,2";"10,2";"10,1";"3127";
"11/10/2016";"10,04";"10,1";"10,1";"10,04";"2479";
"12/10/2016";"9,9";"10";"10";"9,88";"3024";
"13/10/2016";"9,88";"9,9";"9,9";"9,88";"1466";
"14/10/2016";"9,88";"9,88";"9,88";"9,88";"2194";
"17/10/2016";"9,81";"9,88";"9,88";"9,8";"2041";
"18/10/2016";"9,82";"9,81";"9,83";"9,8";"2254";
"19/10/2016";"9,82";"9,82";"9,82";"9,82";"290";
"20/10/2016";"9,82";"9,82";"9,82";"9,82";"121";
"21/10/2016";"9,7";"9,82";"9,82";"9,65";"1274";
"24/10/2016";"9,67";"9,7";"9,7";"9,66";"1797";
"25/10/2016";"9,63";"9,67";"9,67";"9,63";"1340";
"26/10/2016";"9,42";"9,6";"9,6";"9,4";"1900";
"27/10/2016";"9,39";"9,4";"9,4";"9,38";"556";
"28/10/2016";"9,39";"9,39";"9,39";"9,39";"51";
"31/10/2016";"9,34";"9,39";"9,39";"9,34";"2103";
"01/11/2016";"9,35";"9,34";"9,35";"9,32";"323";
"02/11/2016";"9,3";"9,34";"9,34";"9,3";"835";
"03/11/2016";"9,28";"9,3";"9,3";"9,28";"366";
"04/11/2016";"9,01";"9,28";"9,28";"9,01";"2056";
"07/11/2016";"8,94";"9";"9";"8,94";"1343";
"08/11/2016";"8,9";"8,94";"8,94";"8,85";"470";
