"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"18/01/2013";"17,46654";"17,46654";"17,46654";"17,46654";"1";
"22/01/2013";"17,46654";"17,46654";"17,46654";"17,46654";"1";
"25/01/2013";"17,46654";"17,46654";"17,46654";"17,46654";"1";
"29/01/2013";"17,46654";"17,46654";"17,46654";"17,46654";"1";
"01/02/2013";"17,46654";"17,46654";"17,46654";"17,46654";"1";
"05/02/2013";"17,46654";"17,46654";"17,46654";"17,46654";"1";
"08/02/2013";"17,44656";"17,44656";"17,44656";"17,44656";"1";
"12/02/2013";"17,44656";"17,44656";"17,44656";"17,44656";"1";
"15/02/2013";"17,44656";"17,44656";"17,44656";"17,44656";"1";
"19/02/2013";"17,44656";"17,44656";"17,44656";"17,44656";"1";
"22/02/2013";"17,44656";"17,44656";"17,44656";"17,44656";"1";
"26/02/2013";"17,42657";"17,42657";"17,42657";"17,42657";"1";
"01/03/2013";"17,42657";"17,42657";"17,42657";"17,42657";"1";
"06/03/2013";"17,42657";"17,42657";"17,42657";"17,42657";"1";
"08/03/2013";"17,42657";"17,42657";"17,42657";"17,42657";"1";
"12/03/2013";"17,42657";"17,42657";"17,42657";"17,42657";"1";
"15/03/2013";"17,42657";"17,42657";"17,42657";"17,42657";"1";
"18/03/2013";"18,08606";"18,08606";"18,08606";"18,08606";"345";
"19/03/2013";"18,08606";"18,08606";"18,08606";"18,08606";"215";
"20/03/2013";"18,08606";"18,08606";"18,08606";"18,08606";"76";
"25/03/2013";"18,08606";"18,08606";"18,08606";"18,08606";"50";
"15/04/2013";"16,98691";"16,98691";"16,98691";"16,98691";"300";
"19/04/2013";"16,98691";"16,98691";"16,98691";"16,98691";"1";
"23/04/2013";"16,98691";"16,98691";"16,98691";"16,98691";"1";
"26/04/2013";"16,98691";"16,98691";"16,98691";"16,98691";"1";
"30/04/2013";"16,98691";"16,98691";"16,98691";"16,98691";"1";
"03/05/2013";"16,98691";"16,98691";"16,98691";"16,98691";"1";
"13/05/2013";"16,97692";"16,97692";"16,97692";"16,97692";"10";
"14/05/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"17/05/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"24/05/2013";"16,98691";"16,98691";"16,98691";"16,98691";"15";
"31/05/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"04/06/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"07/06/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"11/06/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"18/06/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"21/06/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"25/06/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"05/07/2013";"16,97692";"16,97692";"16,97692";"16,97692";"1";
"26/08/2013";"17,98614";"17,98614";"17,98614";"17,98614";"12";
"01/10/2013";"17,98614";"17,98614";"17,98614";"17,98614";"1";
"15/10/2013";"17,99613";"17,99613";"17,99613";"17,99613";"1";
"21/10/2013";"17,99613";"17,99613";"17,99613";"17,99613";"1";
"25/10/2013";"17,99613";"17,99613";"17,99613";"17,99613";"1";
"08/11/2013";"18,98537";"18,98537";"18,98537";"18,98537";"20";
"14/11/2013";"19,48498";"19,48498";"19,48498";"19,48498";"20";
"30/12/2013";"19,48498";"19,48498";"19,48498";"19,48498";"50";
"31/12/2013";"19,48498";"19,48498";"19,48498";"19,48498";"30";
"10/01/2014";"18,73556";"18,73556";"18,73556";"18,73556";"110";
"15/01/2014";"24,48113";"24,48113";"24,48113";"24,48113";"50";
"16/01/2014";"24,48113";"24,48113";"24,48113";"24,48113";"59";
"27/01/2014";"24,48113";"24,48113";"24,48113";"24,48113";"50";
"05/02/2014";"24,48113";"24,48113";"24,48113";"24,48113";"9";
"10/02/2014";"24,73094";"24,73094";"24,73094";"24,73094";"48";
"11/02/2014";"24,98075";"24,98075";"24,98075";"24,98075";"16";
"14/02/2014";"28,96768";"28,96768";"28,96768";"28,96768";"47";
"17/02/2014";"28,89773";"28,89773";"28,89773";"28,89773";"110";
"18/02/2014";"28,89773";"28,89773";"28,89773";"28,89773";"12";
