"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"06/02/2015";"7,19";"6,66";"7,19";"6,53";"185692";
"09/02/2015";"11,5";"7,3";"12,2";"7,18";"1419348";
"10/02/2015";"15,26";"12,5";"17,3";"12,02";"2182897";
"11/02/2015";"12,74";"17";"17,74";"12,04";"1298436";
"12/02/2015";"13,63";"12,68";"14,36";"12,2";"365825";
"13/02/2015";"13,28";"13,68";"13,76";"12,7";"122584";
"16/02/2015";"12,4";"13,2";"13,2";"11,8";"156872";
"17/02/2015";"13,8";"12,1";"13,86";"11,9";"209825";
"18/02/2015";"12,9";"13,87";"13,87";"12,85";"128507";
"19/02/2015";"12,8";"13,09";"13,37";"12,7";"47891";
"20/02/2015";"12,27";"12,71";"12,94";"12,05";"62397";
"23/02/2015";"11,65";"12,13";"12,14";"11,62";"98731";
"24/02/2015";"10,9";"11,36";"11,5";"10,85";"92963";
"25/02/2015";"11,99";"10,9";"12,14";"10,8";"121151";
"26/02/2015";"11,72";"12";"12,12";"11,43";"45691";
"27/02/2015";"11,37";"11,45";"11,69";"11,32";"27534";
"02/03/2015";"11,05";"11,25";"11,72";"10,93";"38792";
"03/03/2015";"10,9";"10,8";"11,25";"10,8";"23110";
"04/03/2015";"10,84";"11,1";"11,12";"10,81";"21438";
"05/03/2015";"12,51";"11,37";"12,66";"10,88";"161490";
"06/03/2015";"13,18";"12,48";"13,64";"12,1";"220336";
"09/03/2015";"14,17";"13,65";"14,36";"13,2";"159399";
"10/03/2015";"13,36";"14,39";"14,39";"13,14";"84351";
"11/03/2015";"13,04";"13,2";"13,6";"13";"40031";
"12/03/2015";"12,92";"13,04";"13,32";"12,9";"29881";
"13/03/2015";"12,12";"13,2";"13,3";"11,89";"73338";
"16/03/2015";"12,2";"12,1";"12,5";"11,8";"18916";
"17/03/2015";"11,98";"12,07";"12,2";"11,8";"24352";
"18/03/2015";"11,34";"11,99";"11,99";"11,3";"46579";
"19/03/2015";"11,65";"11,6";"12,1";"11,5";"19102";
