"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"27/10/2014";"20";"16,25";"21,39";"15,5";"8617";
"28/10/2014";"23,695";"20";"23,75";"19,82";"12300";
"29/10/2014";"24,5";"23,5";"24,5";"22,1";"7384";
"30/10/2014";"24,995";"24,5";"25";"24";"1675";
"31/10/2014";"24,8";"24,885";"24,975";"23,885";"664";
"03/11/2014";"23,5";"24,8";"24,8";"23";"612";
"04/11/2014";"24,1";"24,1";"24,1";"23,6";"190";
"05/11/2014";"24,1";"24,96";"24,96";"22,5";"1873";
"06/11/2014";"21,75";"22,32";"22,5";"21,745";"1508";
"07/11/2014";"21,75";"23";"24,64";"21,75";"1076";
"10/11/2014";"20";"20,755";"21,75";"20";"921";
"13/11/2014";"20,5";"20,5";"20,5";"20,5";"15";
"14/11/2014";"20";"20,65";"21,095";"20";"3598";
"17/11/2014";"20";"20";"20";"20";"200";
"18/11/2014";"19,9";"20";"20";"19,9";"300";
"19/11/2014";"20";"19,995";"20";"19,995";"125";
"21/11/2014";"19,995";"19,995";"19,995";"19,995";"12";
"24/11/2014";"20";"19,5";"20";"19,5";"164";
"25/11/2014";"20";"20,3";"20,3";"20";"300";
"26/11/2014";"20";"20";"20";"20";"200";
"28/11/2014";"20";"20,3";"20,3";"20";"250";
"01/12/2014";"19,5";"19,5";"19,5";"19,5";"62";
"02/12/2014";"20";"20";"20";"20";"600";
"03/12/2014";"20";"20";"20";"20";"400";
"04/12/2014";"19,615";"20";"20";"19,605";"400";
"05/12/2014";"19,5";"19,5";"19,5";"19,5";"10";
"11/12/2014";"20";"20";"20";"20";"100";
"12/12/2014";"20";"20";"20";"20";"1004";
"16/12/2014";"18,5";"19,5";"19,5";"18,5";"1055";
"17/12/2014";"19,05";"18,75";"19,5";"18,3";"1040";
"18/12/2014";"20";"20";"20,25";"20";"955";
"19/12/2014";"19,05";"19,3";"19,3";"19,05";"150";
"22/12/2014";"19";"19";"19";"19";"775";
"23/12/2014";"18,5";"19";"19,005";"18,5";"842";
"29/12/2014";"19,245";"19,245";"19,245";"19,245";"10";
"30/12/2014";"18,5";"18,5";"18,5";"18,5";"20";
"31/12/2014";"19,15";"19,145";"19,15";"19,145";"255";
"02/01/2015";"19,15";"19,15";"19,15";"19,15";"51";
"05/01/2015";"19,52";"19,5";"19,52";"19,5";"250";
"06/01/2015";"19";"19";"19";"19";"1500";
"07/01/2015";"19";"19,2";"19,2";"19";"1080";
"08/01/2015";"19";"19";"19";"19";"180";
"09/01/2015";"19";"19";"19";"19";"500";
"12/01/2015";"19";"19";"19";"19";"4630";
"13/01/2015";"19";"19,3";"19,3";"19";"1080";
"16/01/2015";"18,55";"18,55";"18,55";"18,55";"16";
"20/01/2015";"19";"19";"19";"19";"90";
"21/01/2015";"19";"19";"19";"19";"10";
"22/01/2015";"19,2";"19";"19,2";"19";"1500";
"23/01/2015";"19";"19,5";"19,5";"19";"3275";
"26/01/2015";"19";"19";"19";"19";"40";
"27/01/2015";"18,75";"18,75";"18,75";"18,75";"50";
"29/01/2015";"19,25";"19,25";"19,25";"19,25";"30";
"30/01/2015";"19";"19";"19";"19";"100";
"05/02/2015";"18,7";"18,7";"18,7";"18,7";"100";
"06/02/2015";"19";"19";"19";"19";"205";
"11/02/2015";"18,5";"18,5";"18,5";"18,5";"585";
"13/02/2015";"18,255";"18,23";"18,255";"18,23";"45";
"17/02/2015";"18,5";"18,5";"18,5";"18,495";"71";
"23/02/2015";"18,5";"18,5";"18,505";"18,5";"1214";
"24/02/2015";"18,25";"18,5";"18,5";"18";"3519";
