"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"24/01/2013";"8,46";"8,46";"8,46";"8,46";"118,33333";
"28/01/2013";"9,18";"9,18";"9,18";"9,18";"19558,33333";
"18/02/2013";"9,54";"9,54";"9,54";"9,54";"5,55556";
"19/02/2013";"9,54";"9,54";"9,54";"9,54";"5550";
"18/03/2013";"5,04";"5,04";"5,04";"5,04";"83,33333";
"19/03/2013";"5,4";"5,4";"5,4";"5,4";"80,5";
"25/03/2013";"7,56";"7,56";"7,56";"7,56";"5,55556";
"26/03/2013";"8,1";"8,1";"8,1";"8,1";"50";
"27/03/2013";"7,92";"7,92";"7,92";"7,92";"5,55556";
"12/04/2013";"4,5";"4,5";"4,5";"4,5";"27,77778";
"22/04/2013";"6,48";"6,48";"6,48";"6,48";"22,22222";
"23/04/2013";"6,48";"6,48";"6,48";"6,48";"5,55556";
"04/06/2013";"6,12";"6,12";"6,12";"6,12";"5,55556";
"01/07/2013";"5,94";"5,94";"5,94";"5,94";"5,55556";
"03/07/2013";"6,12";"6,12";"6,12";"6,12";"27,77778";
"04/07/2013";"6,12";"6,12";"6,12";"6,12";"23,33333";
"15/08/2013";"6,12";"6,12";"6,12";"6,12";"2,77778";
"04/09/2013";"6,12";"6,12";"6,12";"6,12";"5,55556";
"21/10/2013";"6,12";"6,12";"6,12";"6,12";"0,22222";
"10/04/2014";"6,21";"6,1";"6,21";"6,1";"1409";
"11/04/2014";"6";"6,21";"6,21";"6";"1610";
"14/04/2014";"6";"5,99";"6";"5,63";"2929";
"15/04/2014";"5,99";"5,99";"5,99";"5,99";"1";
"16/04/2014";"5,83";"5,99";"5,99";"5,79";"128";
"17/04/2014";"6";"5,83";"6";"5,83";"31";
"22/04/2014";"5,75";"5,99";"6";"5,75";"1011";
"23/04/2014";"6";"5,75";"6";"5,75";"11";
"24/04/2014";"5,7";"5,99";"5,99";"5,7";"901";
"25/04/2014";"5,7";"5,7";"5,7";"5,7";"1";
"28/04/2014";"5,9";"5,7";"5,9";"5,15";"796";
"29/04/2014";"5,5";"5,84";"5,84";"5,5";"201";
"30/04/2014";"5,5";"5,5";"5,5";"5,5";"221";
"02/05/2014";"5,15";"5,5";"5,5";"5,15";"101";
"05/05/2014";"5,14";"5,14";"5,14";"5,14";"1";
"06/05/2014";"5,14";"5,14";"5,14";"5,14";"1";
"07/05/2014";"5,15";"5,11";"5,15";"4,95";"4891";
"08/05/2014";"5,14";"5,14";"5,14";"5,14";"1";
"09/05/2014";"4,9";"5,14";"5,14";"4,9";"329";
"12/05/2014";"4,91";"4,91";"4,91";"4,91";"1";
"13/05/2014";"5";"4,91";"5";"4,91";"51";
"14/05/2014";"4,99";"4,99";"4,99";"4,99";"1";
"15/05/2014";"5,25";"5";"5,25";"4,89";"5451";
"16/05/2014";"5,25";"5,24";"5,25";"5,24";"23";
"19/05/2014";"5,17";"5,24";"5,35";"5,17";"2219";
"20/05/2014";"4,94";"5,18";"5,18";"4,66";"1745";
"21/05/2014";"4,85";"4,91";"4,91";"4,85";"451";
"22/05/2014";"4,94";"4,85";"4,94";"4,85";"301";
