"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"21/04/2015";"4,54";"4,24";"4,88";"4,24";"67102";
"22/04/2015";"4,35";"4,53";"4,53";"4,35";"19178";
"23/04/2015";"4,24";"4,32";"4,32";"3,9";"33983";
"24/04/2015";"4,4";"4,15";"4,4";"4,05";"29204";
"27/04/2015";"4,55";"4,5";"4,7";"4,42";"26913";
"28/04/2015";"4,5";"4,4";"4,5";"4,22";"11308";
"29/04/2015";"4,45";"4,53";"4,6";"4,41";"11484";
"30/04/2015";"4,75";"4,45";"4,89";"4,43";"34254";
"04/05/2015";"5,5";"4,9";"5,65";"4,77";"44401";
"05/05/2015";"7,01";"5,46";"8,77";"5,39";"223787";
"06/05/2015";"6,86";"6,96";"8,4";"6,34";"213915";
"07/05/2015";"7,78";"7,4";"8,12";"7,24";"174500";
"08/05/2015";"7,8";"7,78";"7,88";"7,35";"32330";
"11/05/2015";"10,87";"7,62";"11,41";"7,33";"580657";
"12/05/2015";"9,37";"10,5";"10,72";"9";"258746";
"13/05/2015";"10,2";"9,46";"11,4";"8,92";"302225";
"14/05/2015";"11,3";"10,2";"11,95";"9,75";"373730";
"15/05/2015";"11,38";"11,5";"12,25";"10,94";"223023";
"18/05/2015";"10,03";"11,8";"11,87";"9,8";"133248";
"19/05/2015";"9,59";"9,95";"10,4";"9,2";"90153";
"20/05/2015";"9,55";"9,31";"9,87";"8,95";"76724";
"21/05/2015";"9,37";"9,46";"9,75";"9,2";"19217";
"22/05/2015";"8,95";"9,15";"9,36";"8,61";"56337";
"25/05/2015";"9,48";"8,75";"10,29";"8,63";"78497";
"26/05/2015";"9,07";"9,79";"9,82";"9";"49253";
"27/05/2015";"8,93";"9,15";"9,3";"8,76";"54240";
"28/05/2015";"8,89";"9,11";"9,15";"8,76";"22586";
"29/05/2015";"8,62";"8,71";"8,86";"8,55";"30407";
"01/06/2015";"8,48";"8,89";"8,94";"8,33";"31087";
"02/06/2015";"8,34";"8,21";"8,41";"7,98";"30559";
"03/06/2015";"8,33";"8,13";"8,6";"8,13";"12992";
"04/06/2015";"8,42";"8,22";"8,58";"8,15";"6641";
"05/06/2015";"9,12";"9,75";"10,48";"8,95";"200485";
"08/06/2015";"9";"9,25";"9,75";"8,78";"42689";
"09/06/2015";"9,18";"9,16";"9,18";"8,65";"23297";
"10/06/2015";"9,12";"9,15";"9,15";"8,9";"7559";
"11/06/2015";"8,81";"9,12";"9,13";"8,74";"20080";
"12/06/2015";"8,89";"8,77";"9,07";"8,68";"14385";
"15/06/2015";"9,96";"8,9";"10,25";"8,9";"115202";
"16/06/2015";"13,31";"10,08";"13,31";"10";"345172";
"17/06/2015";"13,5";"14,49";"14,98";"12,33";"393838";
"18/06/2015";"15,98";"13,5";"15,98";"12,41";"190241";
"19/06/2015";"17,25";"16,02";"18,37";"15,55";"311068";
"22/06/2015";"15,5";"16,95";"18,89";"15,45";"185958";
"23/06/2015";"15,71";"15,5";"16,29";"14,5";"88763";
"24/06/2015";"16,22";"15,46";"16,45";"15,37";"25968";
"25/06/2015";"15,56";"15,74";"16";"15,32";"19753";
"26/06/2015";"14,92";"15,34";"15,35";"14,63";"60463";
"29/06/2015";"13,49";"13,97";"14,28";"12,9";"73487";
"30/06/2015";"13,73";"13,3";"14,29";"13,06";"39446";
"01/07/2015";"14,65";"13,81";"15,25";"13,47";"47855";
"02/07/2015";"15,68";"14,99";"16,26";"14,8";"52021";
"03/07/2015";"15,79";"15,67";"16,24";"15,25";"26401";
"06/07/2015";"14,84";"14,96";"15,49";"14,45";"70478";
"07/07/2015";"14";"15";"15";"13,51";"41554";
"08/07/2015";"14,9";"13,92";"15,28";"13,25";"73548";
"09/07/2015";"14,85";"15,05";"15,24";"14,25";"32242";
"10/07/2015";"14,5";"14,77";"15,22";"14,44";"34831";
"13/07/2015";"16,84";"14,5";"16,95";"14,34";"106916";
"14/07/2015";"18,5";"17,25";"19,71";"16,84";"228086";
"15/07/2015";"17,81";"18,3";"19,9";"17,71";"116271";
"16/07/2015";"18,4";"17,84";"18,83";"17,6";"33776";
"17/07/2015";"18,18";"18,8";"18,8";"17,8";"34904";
"20/07/2015";"17,65";"18";"18,34";"17,35";"46775";
"21/07/2015";"16,72";"17,91";"17,91";"16,71";"36103";
"22/07/2015";"17,36";"16,36";"17,89";"15,5";"58384";
"23/07/2015";"17";"17,74";"17,78";"16,41";"25543";
"24/07/2015";"17,7";"17";"18,85";"17";"118270";
"27/07/2015";"17,22";"18,25";"18,27";"17,22";"38705";
"28/07/2015";"16,85";"17,07";"17,65";"16,82";"35333";
"29/07/2015";"17";"17,46";"17,46";"16,08";"49979";
"30/07/2015";"16,7";"17,3";"17,3";"16,41";"13397";
"31/07/2015";"16,59";"16,43";"16,59";"15,77";"36297";
"03/08/2015";"16,02";"16,23";"16,61";"15,77";"58117";
"04/08/2015";"16,68";"16";"17,45";"15,58";"110298";
"05/08/2015";"16,95";"17";"17,98";"16,01";"103258";
"06/08/2015";"16,68";"16,99";"17,6";"16,5";"40440";
"07/08/2015";"16,57";"16,7";"17,15";"16,55";"29450";
"10/08/2015";"16,6";"16,92";"17,18";"16,45";"19204";
"11/08/2015";"16,35";"16,81";"17,09";"16,35";"34148";
"12/08/2015";"16,16";"16,36";"16,64";"16,03";"22685";
"13/08/2015";"16,87";"16,45";"17,2";"16";"49117";
"14/08/2015";"16,94";"16,9";"17,11";"16,72";"22102";
"17/08/2015";"16,64";"16,8";"17,26";"16,52";"14462";
"18/08/2015";"16,26";"16,55";"16,56";"16,1";"40500";
"19/08/2015";"15,86";"16,38";"16,38";"15,85";"17459";
"20/08/2015";"15,53";"15,84";"16,73";"15,13";"47065";
"21/08/2015";"14,82";"15,3";"15,48";"14,67";"64008";
"24/08/2015";"13";"13,5";"14,29";"12,2";"128716";
"25/08/2015";"14,07";"13,03";"14,38";"12,87";"82503";
"26/08/2015";"13,5";"13,8";"14,6";"13,15";"104359";
"27/08/2015";"14,16";"14";"14,44";"13,73";"45290";
"28/08/2015";"14,25";"13,99";"14,8";"13,95";"32826";
"31/08/2015";"13,5";"14,35";"14,35";"13,27";"47751";
"01/09/2015";"13,06";"13";"13,49";"12,63";"81064";
"02/09/2015";"13,4";"13";"13,83";"12,5";"37182";
"03/09/2015";"13,28";"13,78";"13,82";"13,11";"29058";
"04/09/2015";"13,5";"13,59";"13,64";"12,95";"23292";
"07/09/2015";"13,41";"14,1";"14,49";"13,23";"36931";
"08/09/2015";"13,37";"13,87";"14,01";"13,06";"32213";
"09/09/2015";"13,08";"13,66";"14,07";"12,8";"64484";
"10/09/2015";"13,33";"12,64";"13,72";"12,64";"49042";
"11/09/2015";"12,96";"13,36";"13,71";"12,93";"45891";
"14/09/2015";"14,14";"14,11";"14,99";"13,58";"117096";
"15/09/2015";"13,67";"14,28";"14,48";"13,11";"62457";
"16/09/2015";"13,26";"13,69";"13,69";"12,89";"47101";
"17/09/2015";"13,4";"13,34";"13,58";"12,98";"27501";
"18/09/2015";"13,7";"13,57";"14,15";"13,34";"50444";
"21/09/2015";"13,59";"13,46";"13,81";"13,4";"19503";
"22/09/2015";"13,79";"13,84";"13,84";"13,1";"17638";
"23/09/2015";"13,4";"13,58";"13,76";"13,3";"13042";
"24/09/2015";"12,98";"13,39";"13,39";"12,67";"39648";
"25/09/2015";"13,08";"13,24";"13,38";"12,85";"10643";
"28/09/2015";"12,6";"12,71";"13";"12,52";"28063";
"29/09/2015";"11,9";"12,25";"12,26";"11,59";"30109";
"30/09/2015";"10,7";"11,65";"12,1";"10,5";"134482";
"01/10/2015";"10,35";"11";"11,9";"10,32";"75774";
"02/10/2015";"10,9";"10,32";"11,17";"10,06";"47510";
"05/10/2015";"13,33";"11,21";"13,39";"11,21";"116807";
"06/10/2015";"13,26";"13,55";"14,19";"12,83";"135443";
"07/10/2015";"12,54";"13";"13";"11,89";"83903";
"08/10/2015";"13,12";"12,25";"13,47";"12,2";"70417";
"09/10/2015";"12,9";"13,12";"13,55";"12,9";"51286";
"12/10/2015";"12,52";"13,21";"13,21";"12,46";"39276";
"13/10/2015";"13,06";"12,6";"13,2";"12,31";"46249";
"14/10/2015";"13,03";"12,99";"13,33";"12,55";"29532";
"15/10/2015";"12,32";"12,89";"13,09";"11,9";"79734";
"16/10/2015";"12,6";"12,5";"12,67";"12,05";"42923";
"19/10/2015";"12,53";"12,31";"12,75";"12,31";"22116";
"20/10/2015";"11,93";"12,74";"13,14";"11,84";"62619";
"21/10/2015";"11,5";"11,84";"12";"11,23";"96985";
"22/10/2015";"11,22";"11";"11,56";"10,95";"82273";
"23/10/2015";"10,84";"11,05";"11,36";"10,51";"83098";
"26/10/2015";"10,72";"10,71";"11,5";"10,35";"96975";
"27/10/2015";"10,55";"10,33";"10,62";"10,03";"95668";
"28/10/2015";"10,38";"10,62";"10,62";"10,12";"33747";
"29/10/2015";"10,12";"10,47";"10,47";"9,84";"45098";
"30/10/2015";"10,17";"10,24";"10,24";"9,75";"44825";
"02/11/2015";"10,76";"10,3";"10,93";"10,2";"53111";
"03/11/2015";"10,55";"10,78";"11";"10,27";"42548";
"04/11/2015";"10,3";"10,4";"10,88";"10,18";"60540";
"05/11/2015";"10,32";"10,3";"10,57";"10,22";"36488";
"06/11/2015";"10,29";"10,27";"10,93";"10,12";"90542";
"09/11/2015";"10,79";"10,49";"11,39";"10,3";"128827";
"10/11/2015";"11,09";"10,82";"11,19";"10,6";"44963";
"11/11/2015";"10,6";"10,77";"11,09";"10,47";"48025";
"12/11/2015";"10,4";"10,48";"10,64";"10,31";"19243";
"13/11/2015";"10,3";"10,35";"10,45";"10,13";"34548";
"16/11/2015";"10,22";"10,12";"10,3";"10,05";"30675";
"17/11/2015";"10,45";"10,22";"10,57";"10,17";"21368";
"18/11/2015";"10,4";"10,3";"10,68";"10,12";"17323";
"19/11/2015";"10,84";"10,65";"11,2";"10,6";"37876";
"20/11/2015";"10,5";"11,19";"11,95";"10,29";"204777";
"23/11/2015";"10,06";"10,77";"10,77";"10,05";"44406";
"24/11/2015";"9,67";"10,1";"10,1";"9,52";"69163";
"25/11/2015";"9,41";"9,44";"9,82";"9,33";"33061";
"26/11/2015";"9,57";"9,53";"9,65";"9,33";"26374";
"27/11/2015";"9,12";"9,5";"9,6";"9,12";"37024";
"30/11/2015";"8,83";"8,96";"8,98";"8,13";"83027";
"01/12/2015";"8,38";"8,6";"8,96";"8,33";"50333";
"02/12/2015";"9,13";"8,35";"9,19";"8,35";"52871";
"03/12/2015";"8,28";"9,02";"9,17";"8,19";"91356";
"04/12/2015";"8,06";"8,48";"8,48";"7,81";"64017";
"07/12/2015";"8,14";"7,9";"8,45";"7,9";"40366";
"08/12/2015";"8,3";"8,11";"8,45";"8";"22557";
"09/12/2015";"8,38";"8,48";"8,48";"8,11";"13234";
"10/12/2015";"7,8";"8,21";"8,39";"7,6";"45736";
"11/12/2015";"7,2";"7,8";"7,89";"6,86";"178525";
